,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
0,10,Paul Akouokou,5.7,6,1.05,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,10,5.7,17,12,5,9,3,9,13,69.2,4,113,38,33.6,34,67,12,7,0,0,7,12,29,9,0,10,5.7,287,328,87.5,5344,1253,117,132,88.6,129,142,90.8,33,43,76.7,0,0.1,-0.1,3,28,2,0,28,10,5.7,380,12,84,255,52,2,377,6,9,66.7,6,0,258,950,433,17,2,0,4,6,279,271,97.1,5,10,5.7,0,2,0,0.0,0.35,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.02,0.0,0.0,70
1,11,David Alaba,29.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0,11,29.4,25,18,13,10,2,9,16,56.3,7,223,83,37.2,100,100,23,37,17,1,20,41,66,67,2,11,29.4,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,+0.6,22,132,18,5,102,11,29.4,2169,257,988,1074,294,49,2080,5,8,62.5,5,0,1600,9757,5326,126,44,8,12,7,1746,1688,96.7,54,11,29.4,2,21,6,28.6,0.72,0.20,0.10,0.33,22.0,7,0,0,1.6,1.6,0.08,+0.4,+0.4,86
2,13,Jordi Alba,29.4,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0,13,29.4,44,25,12,26,6,22,46,47.8,24,318,99,31.1,103,154,61,56,7,0,49,48,92,38,2,13,29.4,2336,2770,84.3,40855,15180,1085,1178,92.1,1002,1152,87.0,222,351,63.2,10,5.9,+4.1,58,231,64,18,254,13,29.4,3016,93,717,1490,944,82,2678,7,22,31.8,8,5,1902,6630,3530,160,44,11,21,8,2291,2155,94.1,111,13,29.4,2,31,6,19.4,1.06,0.20,0.06,0.33,23.5,1,0,0,1.3,1.3,0.04,+0.7,+0.7,85
3,23,Dani Alves,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0,23,12.2,35,19,16,15,4,14,29,48.3,15,166,44,26.5,63,76,27,18,3,0,15,23,58,8,0,23,12.2,920,1083,84.9,16220,5343,469,502,93.4,337,375,89.9,103,182,56.6,3,1.9,+1.1,24,101,27,13,60,23,12.2,1175,30,239,725,289,8,1017,13,18,72.2,15,1,830,3514,2011,107,42,0,4,5,821,798,97.2,17,23,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,30.2,0,0,0,0.2,0.2,0.03,+0.8,+0.8,82
4,24,Emmanuel Amankwaa Akurugu,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0,24,0.9,0,0,0,0,0,0,2,0.0,2,12,4,33.3,6,6,0,3,0,0,3,0,0,0,0,24,0.9,27,40,67.5,447,165,15,19,78.9,9,12,75.0,3,7,42.9,1,0.0,+1.0,1,1,0,0,2,24,0.9,49,1,11,27,14,3,41,3,4,75.0,3,0,26,165,110,6,1,1,2,0,33,25,75.8,2,24,0.9,0,1,0,0.0,1.14,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,62
5,29,Mauro Arambarri,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1,29,29.6,64,37,22,32,10,17,57,29.8,40,634,162,25.6,175,385,74,54,5,0,49,47,111,24,1,29,29.6,947,1262,75.0,21303,5331,348,411,84.7,339,410,82.7,241,388,62.1,5,1.9,+3.1,40,85,13,5,65,29,29.6,1585,42,286,1011,359,19,1444,39,56,69.6,39,1,975,4990,2066,97,24,3,29,36,1003,931,92.8,46,29,29.6,0,37,8,21.6,1.25,0.27,0.00,0.00,26.6,2,0,0,1.1,1.1,0.03,-1.1,-1.1,80
6,34,Santiago Arias,4.9,8,1.64,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0,34,4.9,13,6,9,3,1,4,10,40.0,6,75,26,34.7,47,19,9,11,5,0,6,4,17,10,0,34,4.9,164,223,73.5,2943,1285,63,77,81.8,80,106,75.5,18,33,54.5,0,0.4,-0.4,5,10,4,3,14,34,4.9,273,22,85,103,97,6,224,3,7,42.9,3,1,141,616,321,16,7,0,5,2,137,118,86.1,10,34,4.9,1,3,1,33.3,0.61,0.20,0.33,1.00,14.1,0,0,0,0.6,0.6,0.21,+0.4,+0.4,79
7,35,Santiago Arzamendia,5.2,4,0.77,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,35,5.2,14,12,9,4,1,7,16,43.8,9,97,30,30.9,39,36,22,9,0,0,9,8,22,15,0,35,5.2,109,170,64.1,1801,516,51,63,81.0,43,58,74.1,9,37,24.3,0,0.0,0.0,1,4,4,3,5,35,5.2,238,15,79,98,77,3,217,2,10,20.0,3,3,131,615,356,12,6,0,8,8,170,123,72.4,12,35,5.2,1,6,1,16.7,1.15,0.19,0.17,1.00,35.6,0,0,0,0.2,0.2,0.03,+0.8,+0.8,70
8,36,Sergio Asenjo,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,36,6.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,36,6.0,183,222,82.4,4919,2700,34,34,100.0,89,90,98.9,60,97,61.9,0,0.0,0.0,0,1,0,0,0,36,6.0,246,214,245,1,0,0,187,0,0,,0,0,130,544,297,0,0,0,0,0,111,110,99.1,0,36,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,79
9,38,Marco Asensio,19.2,65,3.38,41,10,3,8,2,1,7,0.36,3,0,1,2,0,1,38,19.2,16,10,8,6,2,7,20,35.0,13,184,44,23.9,37,76,71,15,1,0,14,25,41,5,1,38,19.2,740,904,81.9,12641,2393,391,438,89.3,243,275,88.4,85,146,58.2,0,2.3,-2.3,30,50,20,3,54,38,19.2,1091,14,106,473,605,97,1011,20,39,51.3,24,2,813,4718,2501,122,49,18,13,25,1002,838,83.6,140,38,19.2,10,64,31,48.4,3.33,1.61,0.16,0.32,18.6,1,0,0,7.4,7.4,0.12,+2.6,+2.6,83
