,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
10,36,Marco Asensio,19.8,62,3.14,47,4,4,2,5,0,11,0.56,7,0,1,0,3,0,36,19.8,14,8,5,6,3,3,24,12.5,21,257,63,24.5,46,121,90,17,0,0,17,16,30,3,0,36,19.8,842,1019,82.6,13279,3245,488,540,90.4,262,308,85.1,77,122,63.1,4,4.0,0.0,32,52,50,18,77,36,19.8,1233,7,104,579,674,106,1182,36,56,64.3,38,4,1075,6926,3684,189,58,23,35,27,1215,996,82.0,176,36,19.8,1,45,17,37.8,2.28,0.86,0.02,0.06,17.8,1,0,0,4.3,4.3,0.10,-3.3,-3.3,83
11,37,Iago Aspas,25.0,101,4.04,77,4,8,6,4,2,15,0.60,12,0,2,0,1,0,37,25.0,14,10,5,5,4,3,18,16.7,15,475,114,24.0,43,274,158,14,0,0,14,16,30,4,0,37,25.0,722,904,79.9,11755,2519,383,458,83.6,248,300,82.7,71,100,71.0,6,5.3,+0.7,52,40,33,4,70,37,25.0,1142,5,86,569,570,123,1086,35,53,66.0,37,1,888,4403,2278,119,44,17,41,38,1280,900,70.3,250,37,25.0,20,64,26,40.6,2.56,1.04,0.23,0.58,16.3,10,5,5,12.9,9.1,0.14,+7.1,+5.9,85
12,40,Carlos Bacca,14.1,40,2.83,31,0,5,3,1,0,4,0.28,1,0,1,1,1,0,40,14.1,6,5,3,1,2,2,10,20.0,8,176,28,15.9,14,95,67,5,0,0,5,6,12,4,0,40,14.1,192,274,70.1,2908,657,112,161,69.6,57,80,71.3,16,23,69.6,1,2.2,-1.2,23,7,6,0,18,40,14.1,404,7,34,175,228,76,387,10,21,47.6,12,1,285,1181,679,43,18,13,31,25,545,298,54.7,123,40,14.1,6,30,14,46.7,2.13,0.99,0.17,0.36,14.4,0,1,1,5.7,5.0,0.17,+0.3,0.0,79
13,41,Gareth Bale,19.8,44,2.22,30,1,6,3,4,0,8,0.40,6,0,1,1,0,0,41,19.8,14,12,5,6,3,2,19,10.5,17,241,58,24.1,26,116,99,27,3,0,24,5,19,9,0,41,19.8,569,783,72.7,9852,2164,317,381,83.2,173,252,68.7,68,119,57.1,3,2.3,+0.7,17,42,23,10,50,41,19.8,1007,15,99,483,506,107,972,23,34,67.6,24,3,746,4147,2107,130,36,24,26,32,1108,830,74.9,186,41,19.8,8,74,31,41.9,3.73,1.56,0.09,0.23,18.4,10,1,1,8.2,7.4,0.10,-0.2,-0.4,85
14,42,Mikel Balenziaga,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,42,5.8,11,9,7,2,2,4,10,40.0,6,108,16,14.8,62,41,5,10,2,0,8,7,18,17,0,42,5.8,174,230,75.7,2989,1099,81,91,89.0,77,98,78.6,14,34,41.2,0,0.4,-0.4,3,9,3,1,15,42,5.8,277,28,94,138,51,0,232,4,5,80.0,5,0,150,631,303,7,3,0,1,1,160,140,87.5,4,42,5.8,0,1,0,0.0,0.17,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.01,0.0,0.0,74
15,45,Enis Bardhi,31.5,70,2.22,53,4,5,2,5,1,8,0.25,6,1,1,0,0,0,45,31.5,65,45,24,33,8,21,84,25.0,63,732,175,23.9,217,383,132,44,3,0,41,26,91,31,0,45,31.5,893,1211,73.7,15545,4747,450,554,81.2,305,380,80.3,111,218,50.9,4,2.8,+1.2,27,89,34,10,97,45,31.5,1588,63,321,826,582,40,1480,47,75,62.7,51,0,1156,5808,3282,166,53,4,49,55,1201,1015,84.5,150,45,31.5,3,63,18,28.6,2.00,0.57,0.05,0.17,23.9,18,0,0,3.7,3.7,0.06,-0.7,-0.7,78
16,47,Ander Barrenetxea,4.4,16,3.61,12,0,3,0,0,1,2,0.45,2,0,0,0,0,0,47,4.4,8,6,3,0,5,2,8,25.0,6,115,26,22.6,28,52,35,11,0,0,11,2,10,3,0,47,4.4,87,115,75.7,1256,286,52,61,85.2,30,37,81.1,4,10,40.0,0,0.6,-0.6,6,5,3,1,7,47,4.4,177,7,27,73,96,15,177,21,28,75.0,21,2,153,913,440,27,8,2,12,9,172,118,68.6,37,47,4.4,1,5,2,40.0,1.13,0.45,0.20,0.50,13.0,0,0,0,0.4,0.4,0.07,+0.6,+0.6,67
17,48,Marc Bartra,32.5,19,0.58,17,1,0,1,0,0,0,0.00,0,0,0,0,0,0,48,32.5,86,55,50,32,4,25,67,37.3,42,391,121,30.9,223,145,23,60,23,1,37,39,125,153,3,48,32.5,1991,2252,88.4,41839,12689,559,591,94.6,1112,1176,94.6,306,452,67.7,0,0.4,-0.4,4,134,4,0,83,48,32.5,2640,271,1261,1472,131,19,2582,15,25,60.0,16,0,1894,10520,6635,178,37,1,16,16,1936,1890,97.6,9,48,32.5,1,10,4,40.0,0.31,0.12,0.10,0.25,24.4,1,0,0,0.7,0.7,0.07,+0.3,+0.3,83
18,56,Karim Benzema,32.8,119,3.63,88,1,12,11,4,3,12,0.37,8,0,0,3,1,0,56,32.8,18,13,4,8,6,4,18,22.2,14,442,100,22.6,19,185,238,13,2,0,11,5,23,26,0,56,32.8,1011,1212,83.4,15046,2797,619,705,87.8,278,323,86.1,78,107,72.9,6,5.4,+0.6,48,83,58,5,97,56,32.8,1551,26,76,740,831,226,1472,52,85,61.2,54,0,1258,5618,2773,177,56,36,62,47,1915,1265,66.1,326,56,32.8,21,99,41,41.4,3.02,1.25,0.18,0.44,13.5,0,3,3,15.6,13.3,0.13,+5.4,+4.7,87
19,57,Yuri Berchiche,34.7,42,1.21,31,1,0,3,6,1,4,0.12,4,0,0,0,0,0,57,34.7,55,42,29,13,13,20,56,35.7,36,480,127,26.5,222,195,63,67,10,0,57,28,83,93,1,57,34.7,1390,1734,80.2,24328,9851,631,717,88.0,621,733,84.7,122,226,54.0,2,1.6,+0.4,18,98,33,19,132,57,34.7,2110,113,611,1045,597,43,1827,36,58,62.1,37,1,1356,7405,4054,207,66,10,35,28,1298,1159,89.3,56,57,34.7,2,27,6,22.2,0.78,0.17,0.07,0.33,20.7,0,0,0,1.2,1.2,0.04,+0.8,+0.8,79
