,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
0,6,Carlos Akapo,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,6,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2,6,9.6,233,349,66.8,4349,1848,98,115,85.2,101,148,68.2,29,74,39.2,0,0.3,-0.3,2,10,5,3,13,6,9.6,462,46,202,208,74,3,354,10,12,83.3,10,0,163,1119,574,28,7,1,5,5,166,154,92.8,8,6,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.8,0,0,0,0.4,0.4,0.19,+0.6,+0.6,70
1,9,Jordi Alba,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0,9,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0,9,33.6,2507,2933,85.5,39805,12496,1391,1508,92.2,909,1051,86.5,170,267,63.7,5,7.4,-2.4,51,125,83,19,211,9,33.6,3210,93,687,1312,1371,123,2944,17,37,45.9,24,7,2164,7772,4084,169,45,16,22,14,2601,2419,93.0,193,9,33.6,3,27,11,40.7,0.80,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,+0.6,+0.6,86
2,17,Alfon,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0,17,0.4,15,15,100.0,197,27,10,10,100.0,5,5,100.0,0,0,,0,0.1,-0.1,1,1,1,0,1,17,0.4,21,0,0,7,14,2,21,1,2,50.0,1,0,19,70,41,4,0,0,1,2,27,19,70.4,4,17,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,61
3,21,Jon Ander Garrido,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,21,8.9,20,15,12,4,4,7,26,26.9,19,174,60,34.5,69,86,19,18,3,0,15,9,29,17,0,21,8.9,195,248,78.6,3652,1011,72,83,86.7,88,106,83.0,25,38,65.8,0,0.1,-0.1,3,22,1,1,12,21,8.9,327,23,99,197,39,7,316,3,4,75.0,4,1,131,537,145,9,1,0,2,7,184,148,80.4,3,21,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,71
4,27,Mauro Arambarri,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0,27,33.1,74,56,27,36,11,17,76,22.4,59,752,195,25.9,182,453,117,54,5,0,49,54,128,49,0,27,33.1,754,1076,70.1,17074,4295,251,303,82.8,295,384,76.8,190,348,54.6,0,2.1,-2.1,21,83,26,10,88,27,33.1,1469,47,251,877,452,39,1349,31,56,55.4,34,4,866,5042,2174,100,47,8,31,32,863,737,85.4,59,27,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,+0.8,+0.8,58
5,30,Anaitz Arbilla,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0,30,31.2,56,30,36,17,3,23,50,46.0,27,232,72,31.0,104,100,28,57,13,0,44,56,112,139,0,30,31.2,1445,1876,77.0,34756,12178,423,471,89.8,613,719,85.3,392,645,60.8,1,0.9,+0.1,12,158,15,6,149,30,31.2,2213,138,779,1302,285,14,1942,28,30,93.3,30,0,1229,7430,3707,114,25,3,17,15,1210,1167,96.4,6,30,31.2,0,27,2,7.4,0.87,0.06,0.00,0.00,26.8,5,0,0,1.2,1.2,0.05,-1.2,-1.2,75
6,31,Unai Arietaleanizbeaskoa,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,31,0.5,0,0,0,0,0,0,0,,0,5,2,40.0,0,1,4,0,0,0,0,0,0,0,0,31,0.5,4,7,57.1,51,15,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,31,0.5,14,0,0,5,9,0,14,0,0,,0,0,8,14,7,1,0,0,4,1,21,12,57.1,9,31,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,60
7,32,Sergio Arribas,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,32,1.5,2,1,1,1,0,0,1,0.0,1,20,6,30.0,9,7,4,1,0,0,1,3,5,3,0,32,1.5,76,92,82.6,1168,317,38,43,88.4,29,34,85.3,4,5,80.0,0,0.0,0.0,1,3,4,1,9,32,1.5,106,4,19,53,41,2,104,5,6,83.3,5,0,89,444,239,14,3,1,0,3,99,82,82.8,11,32,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,62
8,33,Sergio Asenjo,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,33,36.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,33,36.0,1033,1307,79.0,29726,17194,176,176,100.0,512,520,98.5,340,606,56.1,0,0.0,0.0,0,11,0,0,0,33,36.0,1376,1213,1374,4,0,0,1018,0,0,,0,0,714,3164,1700,0,0,0,0,0,707,700,99.0,0,33,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,82
9,34,Marco Asensio,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0,34,20.8,13,10,7,6,0,4,28,14.3,24,206,46,22.3,48,99,59,20,0,0,20,15,28,10,0,34,20.8,808,1007,80.2,13286,3007,448,491,91.2,255,306,83.3,87,152,57.2,2,3.0,-1.0,36,45,38,10,75,34,20.8,1192,19,118,523,645,77,1126,38,56,67.9,40,2,933,5773,3084,173,54,14,27,21,1154,944,81.8,138,34,20.8,5,42,11,26.2,2.02,0.53,0.12,0.45,18.2,3,0,0,4.8,4.8,0.11,+0.2,+0.2,82
