,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,PRESSURE,%PRESSUREWIN,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
0,6,Jordi Alba,es ESP,DF,Barcelona,30,24.3,45,1.85,5,0.21,25,14,8,26.7,231,29.4,40,25,1864,87.1,5,28,2322,10,52.6,6152,2,7,3,0,86
1,7,Raul Albiol,es ESP,DF,Villarreal,33,36.0,16,0.44,1,0.03,50,33,18,54.5,278,30.6,40,17,1619,86.0,0,5,2261,3,100.0,7803,1,14,4,0,82
2,8,Paco Alcacer,es ESP,FW,Villarreal,25,10.3,16,1.56,3,0.29,4,2,1,8.3,146,29.5,10,2,181,78.7,1,9,316,4,50.0,658,4,25,8,1,81
3,9,Ruben Alcaraz,es ESP,MF,Valladolid,28,21.4,44,2.06,4,0.19,59,36,23,37.7,444,29.3,57,16,831,78.5,2,14,1330,21,72.4,4312,2,33,8,9,78
4,11,Carles Aleña,es ESP,MFFW,Betis,21,8.2,13,1.59,1,0.12,20,11,7,35.0,137,19.0,9,1,333,85.6,0,4,471,15,65.2,1975,1,12,4,0,74
5,12,Carles Aleña,es ESP,MF,Barcelona,21,1.9,2,1.05,1,0.52,2,1,1,20.0,38,15.8,2,0,143,91.7,0,0,170,2,66.7,582,0,1,1,0,74
6,13,Sergio Alvarez,es ESP,GK,Celta Vigo,32,2.0,0,0.00,0,0.00,0,0,0,,0,,0,0,39,73.6,0,0,55,0,,62,0,0,0,0,74
7,13,Sergio Alvarez,es ESP,GK,Celta Vigo,32,2.0,0,0.00,0,0.00,0,0,0,,0,,0,0,39,73.6,0,0,55,0,,62,0,0,0,0,75
8,14,Sergio Alvarez,es ESP,MFDF,Eibar,27,12.7,12,0.94,0,0.00,37,20,9,26.5,265,30.2,25,9,322,75.4,0,7,569,6,66.7,1385,0,4,0,0,74
9,14,Sergio Alvarez,es ESP,MFDF,Eibar,27,12.7,12,0.94,0,0.00,37,20,9,26.5,265,30.2,25,9,322,75.4,0,7,569,6,66.7,1385,0,4,0,0,75
10,15,Yeray Alvarez,es ESP,DF,Athletic Club,24,31.2,19,0.61,1,0.03,39,25,13,41.9,222,35.6,58,34,1149,81.9,0,3,1817,11,84.6,6110,0,12,2,0,80
11,16,Ibrahim Amadou,fr FRA,MF,Leganés,26,8.6,2,0.23,0,0.00,16,9,3,30.0,161,26.1,7,5,231,79.1,0,1,343,3,75.0,958,0,4,0,0,76
12,20,Miguel Angel Moya,es ESP,GK,Real Sociedad,35,13.0,0,0.00,0,0.00,0,0,0,0.0,2,50.0,0,0,363,79.3,0,0,490,2,100.0,997,0,0,0,0,78
13,21,Antoñito,es ESP,DFMF,Valladolid,31,11.4,19,1.66,0,0.00,25,16,12,44.4,150,32.7,24,19,321,71.0,0,10,574,6,37.5,1885,0,1,0,0,72
14,24,Mauro Arambarri,uy URU,MF,Getafe,23,34.1,37,1.09,4,0.12,74,49,21,32.8,799,25.8,69,26,649,66.8,1,13,1363,29,67.4,3964,1,46,7,4,58
15,25,Nestor Araujo,mx MEX,DF,Celta Vigo,27,32.1,7,0.22,3,0.09,47,27,15,46.9,217,32.7,43,38,1290,87.0,2,2,1824,1,100.0,7522,1,12,3,0,75
16,26,Ronald Araujo,uy URU,DF,Barcelona,20,2.6,0,0.00,0,0.00,4,2,3,75.0,26,30.8,9,0,197,94.7,0,0,233,1,100.0,716,0,1,0,0,67
17,27,Anaitz Arbilla,es ESP,DF,Eibar,32,22.3,20,0.90,2,0.09,33,20,12,31.6,162,35.2,38,15,870,74.4,0,4,1412,4,66.7,5302,1,14,2,3,75
18,29,Santiago Arias,co COL,DF,Atlético Madrid,27,12.0,21,1.76,2,0.17,30,17,11,52.4,124,37.9,28,9,498,76.3,1,10,780,4,57.1,2001,0,6,2,0,81
19,32,Sergio Asenjo,es ESP,GK,Villarreal,30,34.0,3,0.09,1,0.03,0,0,0,0.0,1,100.0,0,0,742,71.4,0,0,1123,1,100.0,1954,0,0,0,0,82
20,33,Marco Asensio,es ESP,FW,Real Madrid,23,3.7,11,2.95,1,0.27,5,4,1,16.7,34,32.4,2,2,134,82.2,1,7,203,6,75.0,807,3,9,5,1,82
21,34,Iago Aspas,es ESP,FW,Celta Vigo,31,36.2,107,2.95,12,0.33,29,21,12,35.3,537,27.2,24,19,998,77.8,3,54,1676,60,61.9,7020,14,78,31,11,84
22,36,Miguel Atienza,es ESP,MF,Eibar,20,0.3,1,3.00,0,0.00,1,1,1,100.0,15,26.7,2,1,10,71.4,0,0,21,0,,56,0,1,0,0,58
23,37,Ezequiel Avila,ar ARG,FW,Osasuna,25,17.7,50,2.83,7,0.40,19,16,5,33.3,342,26.9,17,4,185,57.3,2,21,575,15,45.5,1831,9,68,27,0,79
24,40,Ramon Azeez,ng NGA,MF,Granada,26,15.1,17,1.12,1,0.07,17,14,4,30.8,330,24.8,17,15,316,80.2,0,6,522,3,37.5,1974,2,19,3,0,75
25,42,Carlos Bacca,co COL,FWMF,Villarreal,32,7.6,12,1.57,2,0.26,3,1,1,14.3,84,25.0,5,1,101,75.9,1,4,205,6,54.5,502,2,17,6,0,77
26,43,Alex Baena,es ESP,MF,Villarreal,18,0.2,1,6.00,0,0.00,1,0,0,0.0,4,0.0,0,0,4,100.0,0,0,6,0,,10,0,0,0,0,64
27,45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,6.3,2,0.32,0,0.00,11,5,5,62.5,83,27.7,17,4,188,72.9,0,0,317,1,50.0,707,0,3,0,0,74
28,48,Enis Bardhi,mk MKD,MF,Levante,24,23.5,68,2.89,10,0.43,34,27,8,23.5,405,23.0,25,15,625,73.3,2,28,1133,38,64.4,3949,7,56,18,11,79
29,49,Kike Barja,es ESP,MFFW,Osasuna,22,3.5,10,2.88,2,0.58,1,1,1,50.0,48,20.8,5,0,62,69.7,1,3,138,11,64.7,703,0,6,3,0,69
30,51,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,17,4.9,19,3.87,0,0.00,11,6,3,33.3,128,30.5,5,0,139,72.8,0,10,280,22,48.9,1403,0,15,5,0,73
31,52,Marc Bartra,es ESP,DFMF,Betis,28,28.0,12,0.43,1,0.04,62,37,16,43.2,339,33.0,59,25,1422,86.9,1,3,2001,13,68.4,6277,3,21,5,0,80
32,54,Fran Beltran,es ESP,MF,Celta Vigo,20,20.3,29,1.43,0,0.00,34,24,7,25.9,358,30.7,19,11,781,88.6,0,12,1047,17,65.4,3836,1,14,4,0,75
33,56,Karim Benzema,fr FRA,FW,Real Madrid,31,34.9,118,3.38,17,0.49,17,13,7,28.0,319,26.0,16,11,1119,84.2,8,61,1688,39,54.2,6148,21,118,54,1,89
34,57,Yuri Berchiche,es ESP,DF,Athletic Club,29,31.7,56,1.77,3,0.09,50,31,24,53.3,408,33.1,75,22,1351,79.7,1,27,2079,47,66.2,7562,2,35,9,0,83
35,60,Pedro Bigas,es ESP,DF,Eibar,28,19.7,9,0.46,0,0.00,18,14,8,40.0,143,33.6,28,16,480,68.7,0,3,907,0,0.0,2451,3,8,5,0,72
36,61,Ruben Blanco,es ESP,GK,Celta Vigo,24,32.9,1,0.03,0,0.00,0,0,0,0.0,2,50.0,0,0,615,62.1,0,0,1068,0,,2429,0,0,0,0,76
37,64,Yassine Bounou,ma MAR,GK,Sevilla,28,5.5,2,0.36,1,0.18,0,0,0,,0,,0,0,127,74.7,1,1,185,0,,314,0,0,0,0,76
38,66,Martin Braithwaite,dk DEN,FWMF,Barcelona,28,4.5,8,1.77,1,0.22,3,1,0,0.0,45,33.3,1,2,99,77.3,0,1,170,5,62.5,608,1,13,8,0,76
39,67,Martin Braithwaite,dk DEN,FWMF,Leganés,28,21.5,43,2.00,5,0.23,15,9,3,27.3,303,23.1,21,3,269,69.0,1,12,607,32,61.5,1872,6,40,16,1,76
40,69,Darko Brašanac,rs SRB,MF,Osasuna,27,24.9,48,1.92,4,0.16,40,27,10,25.0,430,28.4,21,16,576,74.6,1,19,976,12,54.5,2650,0,21,7,0,76
41,70,Yan Brice Eteki,cm CMR,MF,Granada,21,16.7,15,0.90,2,0.12,33,19,6,21.4,406,23.4,24,14,338,79.2,0,3,583,13,65.0,1423,0,7,0,0,73
42,74,Esteban Burgos,ar ARG,DF,Eibar,27,12.4,4,0.32,0,0.00,15,9,7,63.6,75,36.0,23,12,244,64.2,0,1,515,7,100.0,1166,1,2,1,0,70
43,75,Burgui,es ESP,MF,Alavés,25,0.2,0,0.00,0,0.00,0,0,0,,5,40.0,0,0,4,57.1,0,0,10,0,,23,0,0,0,0,73
44,77,Sergio Busquets,es ESP,MF,Barcelona,31,27.6,57,2.07,11,0.40,78,63,32,50.8,491,29.7,52,36,2331,90.2,2,22,2844,22,81.5,6794,2,10,4,0,87
45,79,Erick Cabaco,uy URU,DF,Getafe,24,3.0,0,0.00,0,0.00,3,2,1,16.7,32,25.0,2,2,85,61.6,0,0,169,0,,291,0,1,0,0,74
46,80,Erick Cabaco,uy URU,DF,Levante,24,9.0,6,0.67,0,0.00,14,10,4,57.1,51,41.2,15,11,275,78.8,0,2,469,4,80.0,1152,0,4,0,0,74
47,85,Jonathan Calleri,ar ARG,FW,Espanyol,25,20.1,39,1.94,7,0.35,16,9,5,29.4,284,29.2,14,7,199,54.5,3,16,623,15,53.6,1479,1,46,14,0,74
48,86,Victor Camarasa,es ESP,MF,Alavés,25,14.4,24,1.67,2,0.14,17,14,6,31.6,254,25.6,16,10,430,80.7,1,14,662,16,55.2,2105,0,8,2,0,75
49,88,Jose Campaña,es ESP,MF,Levante,26,35.1,134,3.82,12,0.34,39,25,18,27.7,599,26.0,51,26,1650,77.8,7,74,2504,53,62.4,10125,2,44,8,5,80
50,91,Sergio Canales,es ESP,MFFW,Betis,28,35.1,138,3.93,14,0.40,30,25,8,21.6,379,22.4,44,8,1865,84.0,6,76,2529,48,67.6,12228,6,47,14,4,82
51,92,Ander Capa,es ESP,DF,Athletic Club,27,31.9,48,1.50,5,0.16,58,32,17,30.9,438,25.8,56,20,1188,74.3,4,26,1951,52,68.4,5859,3,17,7,0,81
52,93,Marc Cardona,es ESP,FW,Osasuna,24,7.8,15,1.91,3,0.38,2,2,0,0.0,150,31.3,7,0,135,73.4,2,10,270,10,58.8,1037,1,13,4,0,74
53,94,Diego Carlos,br BRA,DF,Sevilla,26,34.8,17,0.49,1,0.03,45,34,16,55.2,187,40.1,57,18,1600,86.6,0,8,2226,8,88.9,5577,2,20,2,0,83
54,95,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,25,7.0,25,3.57,7,1.00,13,7,5,31.3,148,25.7,11,5,174,75.0,2,11,353,18,54.5,1315,1,17,6,1,62
55,98,Dani Carvajal,es ESP,DF,Real Madrid,27,30.4,74,2.43,6,0.20,70,53,19,40.4,442,29.9,71,39,2058,84.6,5,42,2739,30,52.6,8074,1,20,9,0,86
56,99,William Carvalho,pt POR,MF,Betis,27,9.9,14,1.41,1,0.10,10,7,4,33.3,105,26.7,13,2,564,89.0,0,8,702,15,88.2,2266,0,6,2,0,80
57,100,Casemiro,br BRA,MF,Real Madrid,27,34.3,54,1.57,7,0.20,112,75,38,38.4,605,36.2,83,37,1826,83.5,3,9,2615,23,69.7,5841,4,44,12,3,89
58,102,Sofian Chakla,ma MAR,DF,Villarreal,25,2.0,1,0.50,1,0.50,0,0,0,0.0,11,45.5,1,1,79,83.2,0,0,107,0,,235,0,1,0,0,66
59,107,Denis Cheryshev,ru RUS,MFFW,Valencia,28,10.3,21,2.04,4,0.39,12,7,4,18.2,173,21.4,24,8,240,68.8,2,8,480,13,46.4,1820,1,21,7,0,77
60,108,Samuel Chukwueze,ng NGA,MFFW,Villarreal,20,22.8,99,4.36,14,0.62,18,15,7,33.3,347,28.0,29,9,553,73.7,2,35,1066,60,60.6,5483,3,50,11,0,77
61,110,Jasper Cillessen,nl NED,GK,Valencia,30,23.3,3,0.13,1,0.04,0,0,0,0.0,1,100.0,0,0,474,62.5,1,1,806,0,,1662,0,0,0,0,81
62,112,Carlos Clerc,es ESP,DF,Levante,27,20.5,23,1.12,2,0.10,37,19,12,48.0,256,29.3,48,17,709,73.2,2,10,1188,25,64.1,3869,0,4,2,0,76
63,113,Coke,es ESP,DF,Levante,32,11.0,17,1.55,0,0.00,25,15,9,34.6,120,30.8,16,6,463,80.2,0,7,697,15,55.6,2084,1,8,2,0,75
64,115,Francis Coquelin,fr FRA,MF,Valencia,28,21.2,17,0.80,2,0.09,34,24,11,35.5,284,27.8,30,29,885,89.9,0,7,1184,21,72.4,3444,0,10,1,0,80
65,116,Sebastien Corchia,fr FRA,DF,Espanyol,28,3.0,11,3.68,0,0.00,2,0,1,33.3,17,29.4,12,2,149,80.1,0,7,233,6,60.0,611,0,3,1,0,75
66,117,Iñigo Cordoba,es ESP,FW,Athletic Club,22,16.0,32,2.00,6,0.37,26,14,10,19.2,396,26.3,39,10,316,69.0,4,14,652,17,53.1,1997,1,25,8,0,77
67,118,Angel Correa,ar ARG,MFFW,Atlético Madrid,24,22.9,65,2.84,10,0.44,23,15,6,15.0,410,30.0,39,12,454,75.3,6,29,942,41,55.4,2676,5,44,17,1,82
68,119,Rober Correa,es ESP,DF,Eibar,26,10.3,16,1.55,0,0.00,16,9,7,50.0,92,27.2,21,5,381,74.3,0,6,628,5,71.4,1524,0,5,2,0,70
69,120,Thierry Correia,pt POR,DF,Valencia,20,2.9,4,1.39,1,0.35,7,5,1,33.3,32,46.9,6,1,107,79.9,0,2,172,1,50.0,438,0,1,0,0,72
