,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,PRESSURE,%PRESSUREWIN,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
70,122,Diego Costa,es ESP,FW,Atlético Madrid,30,15.0,29,1.93,5,0.33,10,9,2,20.0,200,29.5,14,3,260,71.0,4,13,533,15,55.6,1385,5,33,8,0,80
71,123,Jaume Costa,es ESP,DF,Valencia,31,15.4,18,1.17,0,0.00,26,18,12,42.9,149,26.2,37,8,672,82.2,1,8,981,12,63.2,2884,0,2,1,0,79
72,124,David Costas,es ESP,DF,Celta Vigo,24,3.8,0,0.00,0,0.00,7,4,0,0.0,26,34.6,6,7,182,91.9,0,0,240,0,,887,0,1,0,0,71
73,125,Thibaut Courtois,be BEL,GK,Real Madrid,27,34.0,1,0.03,0,0.00,0,0,0,0.0,1,0.0,0,0,849,78.3,0,0,1153,0,,3237,0,1,1,0,89
74,128,Marc Cucurella,es ESP,MFDF,Getafe,21,36.0,93,2.59,9,0.25,88,62,27,32.9,938,32.3,76,29,938,66.7,5,49,1818,24,50.0,4867,1,31,6,2,81
75,132,Ousmane Dembele,fr FRA,FW,Barcelona,22,4.0,18,4.54,2,0.50,0,0,0,0.0,58,17.2,4,0,201,77.0,0,8,310,16,51.6,1406,1,5,2,0,83
76,133,Deyverson,br BRA,FW,Getafe,28,2.3,5,2.21,2,0.88,0,0,0,0.0,44,15.9,2,1,34,50.0,1,4,96,4,66.7,168,0,4,1,1,74
77,134,Mouctar Diakhaby,gn GUI,DF,Valencia,22,16.0,6,0.37,0,0.00,14,10,3,30.0,124,31.5,23,4,726,90.3,0,1,956,8,100.0,4181,0,1,1,0,72
78,135,Brahim Diaz,es ESP,FWMF,Real Madrid,19,0.7,2,2.77,0,0.00,1,1,0,,14,14.3,1,2,35,87.5,0,0,63,2,28.6,226,0,3,2,0,65
79,136,Victor Diaz,es ESP,DF,Granada,31,32.0,45,1.40,8,0.25,79,45,27,40.3,405,29.6,88,27,1020,67.7,5,27,1878,15,57.7,3396,1,16,1,0,78
80,137,Papakouli Diop,sn SEN,MF,Eibar,33,25.0,32,1.28,2,0.08,43,27,15,34.1,414,27.3,37,20,593,73.6,0,14,1049,6,60.0,2132,1,26,7,0,78
81,138,Djene,tg TOG,DF,Getafe,27,34.0,11,0.32,0,0.00,51,28,16,55.2,274,36.9,24,32,683,73.2,0,6,1295,11,78.6,3865,0,5,1,0,82
82,139,Naïs Djouahra,fr FRA,FWDF,Real Sociedad,19,0.3,3,9.31,1,3.10,0,0,0,,4,0.0,0,0,15,65.2,1,2,25,1,50.0,119,0,1,0,0,62
83,140,Marko Dmitrović,rs SRB,GK,Eibar,27,35.0,8,0.23,0,0.00,0,0,0,0.0,5,0.0,1,0,479,45.1,0,1,1158,1,100.0,3202,0,1,1,0,81
84,141,Jaume Domenech,es ESP,GK,Valencia,28,14.7,1,0.07,0,0.00,0,0,0,0.0,0,,0,0,300,65.6,0,0,500,0,,867,0,0,0,0,77
85,142,Domingos Duarte,pt POR,DF,Granada,24,34.3,5,0.15,1,0.03,35,21,7,43.8,208,35.6,49,15,970,79.6,1,2,1566,6,66.7,4778,3,10,4,0,78
86,143,Oscar Duarte,cr CRC,DF,Levante,30,5.4,4,0.74,1,0.19,11,7,2,66.7,49,38.8,11,3,190,86.0,0,0,299,1,100.0,898,0,4,1,0,72
87,144,Ruben Duarte,es ESP,DF,Alavés,23,29.6,37,1.25,6,0.20,69,38,30,54.5,348,29.9,62,19,933,71.2,1,11,1651,4,40.0,3514,0,20,8,0,77
88,145,Hugo Duro,es ESP,FWMF,Getafe,19,4.2,7,1.67,2,0.48,5,2,2,25.0,98,29.6,4,1,50,59.5,1,3,145,0,0.0,287,1,6,3,0,68
89,146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,16.8,10,0.60,3,0.18,31,13,13,50.0,140,27.9,28,14,802,85.8,1,3,1145,2,40.0,4646,0,8,1,0,76
90,147,Rodrigo Ely,br BRA,DF,Alavés,25,23.6,2,0.08,0,0.00,27,16,10,37.0,160,30.6,38,12,667,79.5,0,1,1111,4,100.0,2502,2,6,3,0,75
91,149,Emerson,br BRA,DF,Betis,20,31.5,60,1.90,8,0.25,83,45,25,34.2,469,25.2,57,17,1288,80.3,6,30,2008,21,51.2,6415,3,23,4,0,78
92,150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,8.8,6,0.68,0,0.00,8,6,1,11.1,193,27.5,8,5,103,65.6,0,4,261,6,42.9,552,4,21,8,0,78
93,151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,15.4,24,1.56,5,0.32,8,5,2,11.8,295,16.9,17,2,163,61.3,2,7,469,17,48.6,1194,4,39,18,0,78
94,152,Sergi Enrich,es ESP,FW,Eibar,29,20.7,19,0.92,5,0.24,21,17,0,0.0,446,30.7,30,5,377,71.5,4,8,746,9,75.0,1076,1,30,6,0,77
95,155,Aaron Escandell,es ESP,GK,Granada,23,3.0,2,0.67,0,0.00,0,0,0,,1,0.0,0,0,77,60.2,0,0,133,0,,425,0,0,0,0,67
96,156,Sergio Escudero,es ESP,DF,Sevilla,29,8.6,12,1.40,1,0.12,26,13,13,59.1,123,30.9,19,6,475,80.2,0,6,707,7,63.6,1535,1,8,6,0,80
97,158,Vicente Esquerdo,es ESP,MFFW,Valencia,20,0.2,0,0.00,0,0.00,0,0,0,,4,25.0,1,0,6,66.7,0,0,17,0,0.0,65,0,0,0,0,64
98,159,Pervis Estupiñan,ec ECU,DF,Osasuna,21,33.1,76,2.30,10,0.30,87,57,37,51.4,497,33.6,58,44,1322,72.5,5,44,2256,63,58.3,7520,1,18,3,1,79
99,161,Beñat Etxebarria,es ESP,MF,Athletic Club,32,4.4,12,2.74,1,0.23,7,4,1,10.0,82,23.2,8,3,161,83.0,0,11,235,0,0.0,402,0,5,2,0,63
100,162,Xabier Etxeita,es ESP,DF,Getafe,31,16.1,5,0.31,0,0.00,22,11,9,45.0,140,32.9,21,7,209,56.8,0,1,581,0,,789,0,7,2,0,74
101,163,Edu Exposito,es ESP,MF,Eibar,22,25.7,44,1.71,3,0.12,56,41,16,27.6,480,30.8,28,20,759,81.4,1,19,1174,26,72.2,3613,4,33,16,0,76
102,167,Ansu Fati,es ESP,FWDF,Barcelona,16,11.4,38,3.33,3,0.26,19,10,6,37.5,224,30.4,16,2,446,82.9,1,17,724,23,41.1,3267,7,33,12,0,76
103,171,Nabil Fekir,fr FRA,MFFW,Betis,26,29.3,115,3.92,11,0.38,43,26,7,22.6,598,24.4,36,12,839,81.1,4,37,1524,84,66.1,7192,7,101,40,8,83
104,172,Felipe,br BRA,DF,Atlético Madrid,30,23.4,12,0.51,2,0.09,33,18,14,56.0,160,36.3,29,24,707,79.7,0,4,1175,4,80.0,3641,1,20,5,0,84
105,173,João Felix,pt POR,FWMF,Atlético Madrid,19,19.4,50,2.58,4,0.21,9,4,0,0.0,211,22.3,11,2,410,77.2,1,17,772,20,34.5,2739,6,64,18,2,81
106,174,Matheus Fernandes,br BRA,MF,Valladolid,21,1.8,1,0.54,0,0.00,6,4,3,50.0,34,35.3,2,0,43,69.4,0,1,76,2,100.0,137,0,2,0,0,68
107,175,Aitor Fernandez,es ESP,GK,Levante,28,36.0,4,0.11,0,0.00,0,0,0,,7,42.9,0,0,751,67.2,0,1,1258,0,,2265,0,0,0,0,75
108,175,Aitor Fernandez,es ESP,GK,Levante,28,36.0,4,0.11,0,0.00,0,0,0,,7,42.9,0,0,751,67.2,0,1,1258,0,,2265,0,0,0,0,83
109,176,Andres Fernandez,es ESP,GK,Villarreal,32,4.0,1,0.25,1,0.25,0,0,0,,0,,0,0,119,78.3,1,1,164,0,,378,0,0,0,0,78
110,177,Carlos Fernandez,es ESP,FWMF,Granada,23,24.5,47,1.92,11,0.45,24,13,4,13.3,539,22.4,24,12,381,60.8,3,17,941,33,56.9,2485,10,45,18,3,76
111,178,Gabriel Fernandez,uy URU,FWMF,Celta Vigo,25,6.2,4,0.64,1,0.16,3,2,0,0.0,76,26.3,6,2,84,68.3,1,2,192,8,61.5,765,1,7,3,0,80
112,179,Joaquin Fernandez,es ESP,MFDF,Valladolid,23,18.4,14,0.76,2,0.11,37,23,9,27.3,272,27.2,33,21,609,81.4,0,4,947,8,80.0,2187,2,10,4,0,66
113,180,Fernando,br BRA,MF,Sevilla,32,29.5,31,1.05,3,0.10,66,44,28,43.8,508,36.8,58,30,1380,89.8,3,11,1866,16,72.7,5054,2,14,6,0,83
114,182,Junior Firpo,es ESP,DF,Barcelona,22,11.3,15,1.33,3,0.27,24,14,13,61.9,124,24.2,26,8,749,89.8,1,11,948,11,55.0,3225,1,4,1,0,79
115,184,Hernâni Fortes,pt POR,MFFW,Levante,27,7.3,22,3.03,0,0.00,4,3,0,0.0,70,20.0,12,4,91,53.2,0,11,276,11,37.9,1391,2,22,9,0,76
116,185,Dimitri Foulquier,fr FRA,DF,Granada,26,12.4,11,0.88,0,0.00,23,8,13,68.4,198,29.3,24,5,281,68.0,0,4,551,12,52.2,1756,1,5,2,0,75
117,186,Jorge de Frutos,es ESP,MFDF,Valladolid,22,0.7,1,1.53,0,0.00,2,0,1,50.0,17,11.8,1,0,15,88.2,0,1,29,0,0.0,51,0,1,0,0,70
118,187,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,5.0,4,0.79,0,0.00,4,1,0,0.0,34,32.4,8,3,224,83.0,0,1,310,1,100.0,1525,0,3,0,0,75
119,188,Enric Gallego,es ESP,FWMF,Getafe,32,1.8,2,1.10,0,0.00,4,2,0,0.0,19,21.1,3,2,26,54.2,0,0,80,2,50.0,119,0,3,1,0,73
120,189,Enric Gallego,es ESP,FW,Osasuna,32,9.8,23,2.35,3,0.31,10,6,1,20.0,173,27.7,9,3,148,57.4,0,9,380,6,46.2,387,3,21,7,0,73
121,190,Kevin Gameiro,fr FRA,FW,Valencia,32,17.6,30,1.71,6,0.34,15,12,3,17.6,348,20.7,13,6,331,75.9,2,15,597,22,71.0,2284,6,19,10,0,79
122,193,Dani Garcia,es ESP,MF,Athletic Club,29,33.7,25,0.74,1,0.03,74,43,22,27.8,501,30.9,52,28,1225,83.3,1,15,1782,9,81.8,3970,0,14,0,0,79
123,194,David Garcia,es ESP,DF,Osasuna,25,31.0,17,0.55,2,0.06,39,27,17,47.2,263,35.4,46,17,861,74.2,0,6,1540,2,66.7,3132,0,19,5,0,76
124,195,Javi Garcia,es ESP,MF,Betis,32,4.2,1,0.24,0,0.00,2,1,0,0.0,33,18.2,3,1,159,83.2,0,0,239,1,50.0,669,0,4,1,0,60
125,196,Manu Garcia,es ESP,MF,Alavés,33,21.9,10,0.46,0,0.00,51,38,15,21.1,477,30.8,33,13,521,73.4,0,2,961,10,66.7,1877,0,20,7,0,75
126,197,Raul Garcia,es ESP,DF,Getafe,30,2.7,5,1.85,0,0.00,7,5,2,33.3,34,29.4,10,3,89,65.4,0,4,174,4,80.0,562,0,0,0,0,64
127,197,Raul Garcia,es ESP,DF,Getafe,30,2.7,5,1.85,0,0.00,7,5,2,33.3,34,29.4,10,3,89,65.4,0,4,174,4,80.0,562,0,0,0,0,80
128,198,Raul Garcia,es ESP,MFFW,Athletic Club,33,31.9,45,1.41,4,0.13,65,37,15,20.0,734,27.1,56,16,557,58.5,1,17,1366,8,50.0,2596,15,75,27,0,64
129,198,Raul Garcia,es ESP,MFFW,Athletic Club,33,31.9,45,1.41,4,0.13,65,37,15,20.0,734,27.1,56,16,557,58.5,1,17,1366,8,50.0,2596,15,75,27,0,80
130,199,Raul Garcia,es ESP,DFMF,Valladolid,30,11.2,17,1.51,3,0.27,20,13,9,33.3,146,30.8,24,8,310,68.3,1,8,589,3,37.5,1574,0,8,3,1,64
131,199,Raul Garcia,es ESP,DFMF,Valladolid,30,11.2,17,1.51,3,0.27,20,13,9,33.3,146,30.8,24,8,310,68.3,1,8,589,3,37.5,1574,0,8,3,1,80
132,200,Ruben Garcia,es ESP,MFFW,Osasuna,26,24.3,98,4.03,7,0.29,51,26,9,25.0,408,30.9,46,9,719,70.4,2,50,1354,31,70.5,3701,8,52,19,9,79
133,201,Unai Garcia,es ESP,DF,Osasuna,27,6.0,2,0.34,0,0.00,8,5,3,37.5,60,33.3,18,2,155,72.1,0,1,281,3,75.0,684,1,2,1,0,70
134,203,Manuel Garrido,es ESP,FW,Leganés,18,1.3,3,2.35,0,0.00,0,0,0,0.0,46,30.4,1,0,22,73.3,0,0,42,2,66.7,94,0,1,1,0,71
135,204,Mario Gaspar,es ESP,DF,Villarreal,28,21.8,31,1.42,3,0.14,41,20,21,51.2,277,28.9,49,15,867,79.4,2,19,1325,3,30.0,2491,0,14,1,0,80
136,205,Jose Antonio Martinez Gil,es ESP,DF,Granada,26,13.2,5,0.38,0,0.00,22,11,8,50.0,95,40.0,16,8,366,75.0,1,0,622,3,100.0,1697,0,2,0,0,60
137,206,Ibai Gomez,es ESP,FW,Athletic Club,29,7.7,25,3.24,2,0.26,5,3,2,20.0,75,30.7,11,3,202,63.3,0,16,400,8,53.3,921,0,14,5,2,79
138,207,Maxi Gomez,uy URU,FW,Valencia,22,23.8,33,1.39,3,0.13,11,7,2,33.3,275,23.3,12,4,255,64.9,2,11,589,5,50.0,1310,9,39,19,0,70
139,208,Moi Gomez,es ESP,FWMF,Villarreal,25,25.8,60,2.33,10,0.39,28,16,8,30.8,426,27.5,51,20,921,81.1,4,23,1404,21,43.8,5461,5,37,14,1,77
140,209,Sergi Gomez,es ESP,DF,Sevilla,27,8.0,5,0.63,0,0.00,7,4,4,100.0,47,40.4,11,2,434,89.3,0,2,557,1,100.0,1707,0,3,0,0,77
