,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,PRESSURE,%PRESSUREWIN,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
0,10,Paul Akouokou,ci CIV,MF,Betis,23,5.7,6,1.05,0,0.00,17,12,9,69.2,113,33.6,7,12,287,87.5,0,3,380,6,66.7,950,0,2,0,0,70
1,11,David Alaba,at AUT,DF,Real Madrid,29,29.4,46,1.57,8,0.27,25,18,9,56.3,223,37.2,37,41,1804,91.7,3,22,2169,5,62.5,9757,2,21,6,7,86
2,12,Tomas Alarcon,cl CHI,MF,Cádiz,22,15.8,26,1.64,3,0.19,30,15,10,45.5,260,32.7,32,27,414,71.4,1,14,764,4,44.4,1538,0,15,2,0,72
3,13,Jordi Alba,es ESP,DF,Barcelona,32,29.4,84,2.86,13,0.44,44,25,22,47.8,318,31.1,56,48,2336,84.3,10,58,3016,7,31.8,6630,2,31,6,1,85
4,14,Raul Albiol,es ESP,DF,Villarreal,35,27.4,9,0.33,2,0.07,27,15,9,64.3,168,40.5,38,37,1337,87.5,0,4,1777,5,62.5,7359,0,6,1,0,82
5,15,Paco Alcacer,es ESP,FW,Villarreal,27,8.7,13,1.49,6,0.69,5,3,2,40.0,111,25.2,8,4,124,72.5,3,6,248,4,57.1,547,1,19,8,1,79
6,18,Ivan Alejo,es ESP,MFFW,Cádiz,26,11.8,37,3.13,5,0.42,33,20,15,39.5,341,25.2,15,16,202,58.9,2,21,540,17,40.5,3248,2,12,4,0,75
7,22,Yeray Alvarez,es ESP,DF,Athletic Club,26,20.7,11,0.53,1,0.05,34,19,7,50.0,137,43.8,28,54,825,82.8,0,2,1220,4,57.1,4506,0,8,0,0,80
8,23,Dani Alves,br BRA,DF,Barcelona,38,12.2,31,2.54,4,0.33,35,19,14,48.3,166,26.5,18,23,920,84.9,3,24,1175,13,72.2,3514,1,5,2,0,82
9,24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,0.9,1,1.14,1,1.14,0,0,0,0.0,12,33.3,3,0,27,67.5,1,1,49,3,75.0,165,0,1,0,0,62
