,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,PRESSURE,%PRESSUREWIN,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
0,9,Jordi Alba,es ESP,DF,Barcelona,29,33.2,81,2.44,15,0.45,45,33,18,34.0,450,34.2,74,41,2305,85.8,8,44,2990,20,69.0,7762,2,14,4,0,87
1,11,Ruben Alcaraz,es ESP,MF,Valladolid,27,33.1,56,1.69,4,0.12,98,66,38,31.9,706,27.5,60,34,1435,82.1,2,20,2164,24,58.5,7443,3,52,12,11,79
2,12,Alex Alegria,es ESP,FWMF,Rayo Vallecano,25,1.6,5,3.21,0,0.00,1,1,1,20.0,33,30.3,2,0,24,63.2,0,3,62,5,45.5,110,0,3,2,0,72
3,13,Ivan Alejo,es ESP,MFFW,Getafe,23,1.6,2,1.23,0,0.00,1,0,0,0.0,54,16.7,1,0,16,39.0,0,1,68,7,77.8,282,0,1,0,0,74
4,14,Carles Aleña,es ESP,MF,Barcelona,20,7.1,24,3.39,5,0.71,6,3,1,12.5,181,23.2,5,4,540,92.0,0,9,665,11,64.7,2779,2,14,3,0,76
5,16,Junior Alonso,py PAR,DFMF,Celta Vigo,25,6.0,5,0.84,0,0.00,11,6,3,20.0,62,29.0,16,3,237,74.3,0,5,375,2,33.3,742,0,4,2,0,59
6,17,Sergio Alvarez,es ESP,GK,Celta Vigo,31,13.0,0,0.00,0,0.00,0,0,0,,0,,0,0,293,66.0,0,0,480,0,,1135,0,0,0,0,75
7,18,Sergio Alvarez,es ESP,MFDF,Eibar,26,11.9,6,0.51,1,0.08,30,22,10,45.5,163,30.7,16,10,404,81.5,0,2,621,3,100.0,1721,0,2,0,0,75
8,19,Yeray Alvarez,es ESP,DF,Athletic Club,23,29.0,5,0.17,0,0.00,54,34,18,40.0,204,38.2,42,51,1030,82.3,0,1,1626,4,66.7,5501,0,10,3,0,80
9,24,Miguel Angel Moya,es ESP,GK,Real Sociedad,34,11.0,0,0.00,0,0.00,0,0,0,0.0,0,,0,0,292,80.7,0,0,393,1,100.0,778,0,0,0,0,80
10,25,Antoñito,es ESP,DFMF,Valladolid,30,20.7,44,2.13,2,0.10,37,13,18,35.3,299,19.4,38,11,671,74.4,1,23,1101,29,69.0,3643,2,8,2,0,71
11,26,Vitorino Antunes,pt POR,DF,Getafe,31,24.2,58,2.39,5,0.21,43,26,27,54.0,348,28.7,61,25,713,60.5,3,29,1439,23,65.7,3714,1,29,6,4,80
12,27,Anuar,ma MAR,MF,Valladolid,23,12.0,6,0.50,0,0.00,30,19,10,58.8,276,24.3,23,7,306,76.3,0,3,535,3,60.0,2016,1,10,4,0,75
13,28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,0.2,1,6.43,0,0.00,0,0,0,0.0,5,20.0,0,0,6,85.7,0,1,9,0,0.0,17,0,0,0,0,69
14,29,Mauro Arambarri,uy URU,MF,Getafe,22,29.7,32,1.08,3,0.10,76,54,23,29.5,858,23.3,55,25,560,69.7,2,15,1114,40,78.4,2880,1,26,9,3,77
15,30,Guilherme Arana,br BRA,MFDF,Sevilla,21,7.0,5,0.72,0,0.00,6,5,2,33.3,90,30.0,6,3,239,81.0,0,2,347,4,36.4,1157,0,5,2,0,73
16,31,Nestor Araujo,mx MEX,DF,Celta Vigo,26,29.8,14,0.47,0,0.00,36,24,18,54.5,222,27.5,48,23,1299,87.9,0,4,1791,3,75.0,4779,3,12,7,0,76
17,32,Anaitz Arbilla,es ESP,DF,Eibar,31,21.7,14,0.65,3,0.14,31,18,12,48.0,141,28.4,26,28,855,78.2,2,4,1357,6,85.7,6032,1,19,1,3,77
18,33,Santiago Arias,co COL,DF,Atlético Madrid,26,19.7,32,1.63,3,0.15,55,34,13,36.1,206,39.8,28,25,821,79.2,1,14,1223,14,60.9,3547,1,9,1,0,79
19,34,Jose Arnaiz,es ESP,DFMF,Leganés,23,1.3,2,1.59,0,0.00,2,1,1,25.0,28,14.3,0,1,25,78.1,0,1,52,4,50.0,223,0,1,0,0,70
20,35,Sergio Asenjo,es ESP,GK,Villarreal,29,32.0,2,0.06,0,0.00,0,0,0,0.0,0,,1,0,521,64.7,0,0,929,0,,1983,0,0,0,0,82
21,36,Marco Asensio,es ESP,FW,Real Madrid,22,19.8,62,3.14,11,0.56,14,8,3,12.5,257,24.5,17,16,842,82.6,4,32,1233,36,64.3,6926,1,45,17,1,83
22,37,Iago Aspas,es ESP,FW,Celta Vigo,30,25.0,101,4.04,15,0.60,14,10,3,16.7,475,24.0,14,16,722,79.9,6,52,1142,35,66.0,4403,20,64,26,10,85
23,38,Ezequiel Avila,ar ARG,FWMF,Huesca,24,22.2,49,2.21,7,0.32,21,15,7,20.6,423,22.5,22,18,314,54.5,2,21,918,31,51.7,3134,10,89,23,2,75
24,40,Carlos Bacca,co COL,FW,Villarreal,31,14.1,40,2.83,4,0.28,6,5,2,20.0,176,15.9,5,6,192,70.1,1,23,404,10,47.6,1181,6,30,14,0,79
25,41,Gareth Bale,wls WAL,FW,Real Madrid,29,19.8,44,2.22,8,0.40,14,12,2,10.5,241,24.1,27,5,569,72.7,3,17,1007,23,67.6,4147,8,74,31,10,85
26,42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,5.8,3,0.52,0,0.00,11,9,4,40.0,108,14.8,10,7,174,75.7,0,3,277,4,80.0,631,0,1,0,0,74
27,43,Ever Banega,ar ARG,MF,Sevilla,30,29.6,110,3.71,11,0.37,64,44,16,22.9,574,24.6,31,31,1820,82.4,5,52,2533,62,64.6,8935,3,32,8,7,83
28,45,Enis Bardhi,mk MKD,MF,Levante,23,31.5,70,2.22,8,0.25,65,45,21,25.0,732,23.9,44,26,893,73.7,4,27,1588,47,62.7,5808,3,63,18,18,78
29,46,Antonio Barragan,es ESP,DFMF,Betis,31,10.4,12,1.16,0,0.00,17,8,3,18.8,130,27.7,17,9,540,83.1,0,10,743,2,28.6,2017,0,3,0,0,75
