,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
324,507,Pione Sisto,dk DEN,FWMF,Celta Vigo,22,28.0,97,3.47,14,0.50,18,12,9,27.3,12,12,863,80.3,10,41,1362,131,57.3,7684,5,52,19,3,78
325,508,Antonio Sivera,es ESP,GK,Alavés,20,0.7,0,0.00,0,0.00,0,0,0,,0,0,7,46.7,0,0,16,0,,46,0,0,0,0,70
326,509,Ruben Sobrino,es ESP,FWMF,Alavés,25,16.3,40,2.45,5,0.31,33,24,6,22.2,19,18,290,71.3,2,21,610,39,64.1,2302,3,25,13,0,76
327,510,Carlos Soler,es ESP,MF,Valencia,20,26.3,71,2.70,8,0.30,51,32,22,41.5,25,5,814,81.2,4,34,1269,56,46.4,5366,1,45,17,0,80
328,511,Kevin Soni,cm CMR,MF,Girona,19,0.2,0,0.00,0,0.00,1,1,0,,0,0,3,60.0,0,0,8,2,50.0,65,0,0,0,0,64
329,512,David Soria,es ESP,GK,Sevilla,24,14.0,2,0.14,1,0.07,1,0,1,100.0,0,2,273,72.4,0,0,424,0,,974,0,0,0,0,78
330,513,Roberto Soriano,it ITA,MFFW,Villarreal,26,12.7,25,1.98,0,0.00,30,20,3,18.8,14,4,395,77.3,0,13,629,21,66.7,2573,0,21,6,0,68
331,514,Cristhian Stuani,uy URU,FW,Girona,30,30.1,44,1.46,6,0.20,22,14,3,10.3,10,5,329,65.8,0,13,756,27,55.6,1571,21,69,32,0,80
332,515,Damian Suarez,uy URU,DF,Getafe,29,32.0,77,2.41,7,0.22,86,64,44,48.9,34,46,1175,69.2,4,36,2018,83,41.0,3365,1,10,4,2,77
333,516,Denis Suarez,es ESP,MFFW,Barcelona,23,6.6,21,3.18,4,0.61,11,9,3,37.5,7,2,312,80.6,2,14,463,36,58.3,2303,2,12,5,0,79
334,518,Luis Suarez,uy URU,FW,Barcelona,30,32.2,132,4.10,21,0.65,17,10,4,21.1,4,8,818,75.7,12,57,1441,103,37.9,3742,25,120,54,12,72
335,520,Markel Susaeta,es ESP,FWMF,Athletic Club,29,25.2,100,3.98,5,0.20,42,29,16,24.6,17,18,746,73.6,2,54,1234,71,52.1,5269,3,27,12,3,80
336,523,Cristian Tello,es ESP,FWMF,Betis,25,18.8,52,2.76,9,0.48,32,24,7,18.9,19,16,549,75.8,3,25,885,62,67.7,3809,4,34,17,1,80
337,524,Marc-Andre ter Stegen,de GER,GK,Barcelona,25,37.0,4,0.11,0,0.00,1,0,1,33.3,1,4,1068,81.9,0,0,1363,1,100.0,3645,0,0,0,0,89
338,525,David Timor,es ESP,MFDF,Girona,27,10.3,12,1.17,1,0.10,17,10,7,38.9,10,20,379,80.6,0,6,572,3,33.3,1037,2,12,5,3,76
339,526,Tito,es ESP,DF,Leganés,32,6.8,3,0.44,1,0.15,8,5,6,33.3,12,12,215,73.1,0,0,358,3,33.3,611,0,1,0,0,72
340,528,Toño,es ESP,DF,Levante,27,12.0,20,1.67,2,0.17,12,11,5,50.0,4,6,443,75.2,1,7,680,31,77.4,2535,0,2,1,0,75
341,529,Daniel Torres,co COL,MF,Alavés,27,13.5,15,1.11,1,0.07,19,11,7,22.6,15,19,420,81.7,0,7,625,10,90.0,1415,0,4,2,0,77
342,531,Ferran Torres,es ESP,MF,Valencia,17,3.5,6,1.74,1,0.29,8,7,2,33.3,1,3,68,61.8,1,4,142,10,80.0,747,0,3,2,0,73
343,535,Manu Trigueros,es ESP,MF,Villarreal,25,30.0,87,2.90,8,0.27,61,41,21,29.6,38,22,1612,84.3,4,43,2161,46,71.7,6298,3,26,6,2,83
344,537,Samuel Umtiti,fr FRA,DF,Barcelona,23,24.3,10,0.41,1,0.04,50,35,20,69.0,25,37,1483,91.1,0,1,1821,11,72.7,6754,1,9,5,0,87
345,538,Enes Ünal,tr TUR,FW,Villarreal,20,12.5,33,2.64,5,0.40,9,5,0,0.0,16,4,205,71.7,2,9,451,22,40.9,1348,5,36,18,6,78
346,539,Enes Ünal,tr TUR,FW,Levante,20,6.6,15,2.27,1,0.15,6,6,1,10.0,7,2,104,74.3,1,5,211,5,0.0,381,1,8,4,0,78
347,543,Jesus Vallejo,es ESP,DF,Real Madrid,20,7.0,1,0.14,0,0.00,8,7,2,40.0,6,16,319,87.2,0,0,418,6,83.3,1271,0,0,0,0,78
348,544,Federico Valverde,uy URU,MFFW,La Coruña,19,13.7,28,2.04,1,0.07,25,16,8,53.3,12,21,447,75.4,0,11,718,13,53.8,1975,0,18,4,0,73
349,545,Raphaël Varane,fr FRA,DF,Real Madrid,24,25.8,15,0.58,2,0.08,28,19,8,53.3,27,33,1211,90.4,1,6,1558,11,81.8,5111,0,10,2,0,86
350,546,Franco Vazquez,ar ARG,MF,Sevilla,28,20.4,82,4.01,7,0.34,39,32,6,17.6,20,11,655,71.6,6,41,1146,56,57.1,4136,4,56,13,0,82
351,547,Lucas Vazquez,es ESP,MFFW,Real Madrid,26,18.7,109,5.84,13,0.70,48,33,12,28.6,28,7,818,80.7,7,51,1234,66,54.5,4417,4,33,17,0,83
352,548,Koke Vegas,es ESP,GK,Levante,21,1.0,0,0.00,0,0.00,0,0,0,,0,0,15,51.7,0,0,33,0,,71,0,0,0,0,68
353,550,Thomas Vermaelen,be BEL,DF,Barcelona,31,11.3,7,0.62,1,0.09,13,9,5,45.5,10,18,603,92.8,1,3,725,2,50.0,2161,0,3,2,0,77
354,551,Mikel Vesga,es ESP,MF,Athletic Club,24,9.0,17,1.90,3,0.33,17,8,4,16.0,14,8,327,80.9,1,7,484,10,70.0,1299,1,7,4,0,72
355,552,Ruben Vezo,pt POR,DF,Valencia,23,17.3,11,0.64,0,0.00,43,24,16,50.0,25,23,630,76.4,0,3,1030,17,64.7,2363,0,3,1,0,77
356,553,Aleix Vidal,es ESP,MFFW,Barcelona,27,5.1,9,1.76,2,0.39,6,4,1,10.0,4,9,207,75.3,1,4,324,10,30.0,952,1,8,6,0,77
357,554,Nacho Vidal,es ESP,DF,Valencia,22,5.0,5,1.01,0,0.00,17,14,14,63.6,5,10,176,79.6,0,1,282,4,75.0,590,1,3,2,0,85
358,558,Carlos Vigaray,es ESP,DF,Alavés,22,9.9,13,1.31,0,0.00,27,16,11,68.8,5,14,238,68.6,0,2,431,10,30.0,1239,0,4,1,0,72
359,559,Didac Vilà,es ESP,DFMF,Espanyol,28,8.1,20,2.47,0,0.00,29,26,13,72.2,14,14,318,76.1,0,8,537,9,66.7,1589,0,11,3,0,72
360,560,Vitolo,es ESP,FWMF,Las Palmas,27,7.7,29,3.79,2,0.26,15,12,4,23.5,10,6,307,83.2,0,7,442,28,60.7,2129,1,6,4,0,81
361,561,Vitolo,es ESP,MFFW,Atlético Madrid,27,6.9,14,2.04,2,0.29,9,6,3,20.0,10,6,235,77.3,2,3,384,22,77.3,1870,1,8,2,0,81
362,563,Wakaso,gh GHA,MF,Alavés,27,12.2,22,1.80,2,0.16,43,30,13,33.3,22,35,330,68.8,1,9,630,24,70.8,2063,0,10,0,1,74
363,564,Daniel Wass,dk DEN,MFDF,Celta Vigo,28,32.6,103,3.16,12,0.37,30,21,8,32.0,23,30,1257,75.0,8,54,1950,24,45.8,4373,4,52,11,21,82
364,565,Axel Werner,ar ARG,GK,Atlético Madrid,21,1.0,0,0.00,0,0.00,0,0,0,,0,0,5,29.4,0,0,19,0,,85,0,0,0,0,72
365,566,Iñaki Williams,gh GHA,FWMF,Athletic Club,23,31.7,73,2.30,10,0.32,28,17,8,19.5,24,17,555,72.9,6,33,1140,121,50.4,5309,7,74,26,0,81
366,567,Yoel,es ESP,GK,Eibar,28,1.0,0,0.00,0,0.00,0,0,0,,0,0,14,35.0,0,0,46,0,,196,0,0,0,0,77
367,568,Joseba Zaldua,es ESP,DF,Leganés,25,28.4,50,1.76,2,0.07,68,52,39,62.9,28,61,921,72.9,0,15,1578,57,54.4,3764,1,11,3,0,74
368,570,Nabil El Zhar,ma MAR,FWMF,Leganés,30,22.0,61,2.77,4,0.18,11,6,3,16.7,14,18,469,72.8,2,25,871,92,53.3,3829,2,45,14,0,76
369,571,Luca Zidane,fr FRA,GK,Real Madrid,19,1.0,0,0.00,0,0.00,0,0,0,0.0,0,0,30,93.8,0,0,33,0,,99,0,0,0,0,63
370,572,Igor Zubeldia,es ESP,MF,Real Sociedad,20,17.6,22,1.25,4,0.23,39,29,14,33.3,20,32,810,85.8,2,6,1097,10,90.0,3712,1,20,3,0,73
371,573,David Zurutuza,es ESP,MF,Real Sociedad,31,24.9,46,1.85,6,0.24,49,36,20,40.8,32,41,987,84.7,2,11,1376,22,63.6,4301,0,14,3,1,77
