,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
242,388,Ximo Navarro,es ESP,DF,Las Palmas,27,29.0,14,0.48,1,0.03,63,43,28,56.0,27,66,1130,82.4,1,5,1691,42,85.7,5276,0,3,1,0,74
243,389,Jesus Navas,es ESP,FWDF,Sevilla,31,19.6,66,3.37,4,0.20,32,25,12,46.2,14,19,678,70.6,0,31,1126,28,57.1,4736,1,19,4,0,78
244,390,Keylor Navas,cr CRC,GK,Real Madrid,30,27.0,4,0.15,1,0.04,2,1,1,100.0,0,3,560,80.0,0,0,761,0,,2096,0,0,0,0,87
245,391,Raul Navas,es ESP,DF,Real Sociedad,29,19.9,14,0.70,2,0.10,22,15,14,53.8,23,30,1054,85.7,1,4,1393,6,100.0,4985,0,13,2,0,75
246,392,Merveille Ndockyt,cg CGO,MFFW,Getafe,19,0.8,1,1.32,0,0.00,1,1,0,0.0,2,2,16,64.0,0,0,31,2,100.0,106,0,0,0,0,66
247,393,Neto,br BRA,GK,Valencia,28,33.0,4,0.12,0,0.00,1,1,1,50.0,1,1,484,59.0,0,0,880,0,,2309,0,1,0,0,84
248,394,Saul Ñiguez,es ESP,MF,Atlético Madrid,22,35.1,51,1.45,10,0.29,132,90,40,38.5,61,55,1420,81.1,3,21,2245,96,61.5,6114,2,53,8,2,85
249,395,Nolito,es ESP,FWMF,Sevilla,30,17.8,77,4.34,13,0.73,49,36,14,42.4,17,10,461,70.5,5,32,875,54,50.0,2791,4,37,17,0,80
250,396,Unai Nuñez,es ESP,DF,Athletic Club,20,32.7,16,0.49,2,0.06,73,52,38,67.9,52,67,1220,81.9,0,3,1870,20,85.0,6144,1,21,2,0,75
251,398,Jan Oblak,si SVN,GK,Atlético Madrid,24,37.0,2,0.05,0,0.00,0,0,0,,0,2,505,55.4,0,2,964,3,100.0,2952,0,0,0,0,90
252,399,Alvaro Odriozola,es ESP,DF,Real Sociedad,21,32.4,84,2.59,7,0.22,41,27,20,57.1,25,26,1436,81.8,4,46,2051,87,36.8,8839,0,8,5,0,80
253,400,Oier Olazabal,es ESP,GK,Levante,27,26.0,3,0.12,1,0.04,0,0,0,0.0,1,1,383,52.7,0,0,793,2,100.0,2889,0,0,0,0,75
254,401,Paulo Oliveira,pt POR,DF,Eibar,25,24.6,15,0.61,1,0.04,41,22,16,72.7,23,62,658,73.4,0,5,1187,2,100.0,2335,0,13,3,0,78
255,405,Fabian Orellana,cl CHI,MFFW,Eibar,31,13.1,60,4.58,5,0.38,14,8,4,17.4,10,7,377,69.7,2,28,736,93,35.5,2951,3,26,5,1,79
256,406,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,20,30.8,98,3.18,10,0.32,33,23,7,17.9,32,18,740,73.4,5,43,1352,82,48.8,5562,12,65,32,2,80
