,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,1,0,0,1,0,0,1,0.0,1,16,4,25.0,5,8,3,0,0,0,0,1,2,1,0,Matches,9f9e1b9c
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0,Matches,81442ecb
3,Bobby Adekanye,nl NED,FWMF,Cádiz,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0,Matches,3ed84b2c
4,Martin Agirregabiria,es ESP,DFMF,Alavés,24,1996,17.3,34,16,18,10,6,13,28,46.4,15,187,58,31.0,73,90,24,25,4,1,21,34,68,48,1,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2,Matches,18abe173
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2,Matches,f2a68b97
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0,Matches,31f5b89b
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0,Matches,788be7f9
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0,Matches,4601e194
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,29,21,22,7,0,12,24,50.0,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1,Matches,4bd414c1
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0,Matches,a7a9d95a
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,8,7,6,2,0,5,9,55.6,4,66,16,24.2,45,19,2,27,12,1,15,22,30,63,0,Matches,ba71d071
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1,Matches,036bba5f
14,Iván Alejo,es ESP,MFFW,Cádiz,25,1995,9.2,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0,Matches,3d7e48ce
15,Carles Aleñá,es ESP,MFFW,Getafe,22,1998,15.2,18,10,4,11,3,7,21,33.3,14,260,64,24.6,49,153,58,17,1,0,16,7,25,9,0,Matches,6c811eb7
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0,Matches,6c811eb7
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0,Matches,1c772b46
18,Sergio Álvarez,es ESP,MFDF,Eibar,28,1992,17.4,38,23,8,26,4,6,26,23.1,20,338,97,28.7,91,211,36,35,5,0,30,13,51,40,0,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,27,19,16,10,1,9,23,39.1,14,145,46,31.7,83,55,7,25,6,0,19,39,66,132,0,Matches,3ecc11d8
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,4,0,0,4,0,0,1,0,Matches,69c5633e
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,20,15,12,4,4,7,26,26.9,19,174,60,34.5,69,86,19,18,3,0,15,9,29,17,0,Matches,c46736ab
