,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
22,Ángel,es ESP,GK,Granada,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,b1e5bbec
23,José Ángel,es ESP,DF,Eibar,30,1989,10.0,17,10,9,3,5,8,14,57.1,6,79,32,40.5,30,32,17,16,0,0,16,11,28,32,1,Matches,3024e383
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,1,1,0,0,1,0,0,,0,18,4,22.2,13,3,2,3,2,0,1,0,1,20,0,Matches,56cafd0a
25,José Antonio Miranda,gq EQG,MFDF,Getafe,22,1998,0.3,0,0,0,0,0,0,2,0.0,2,15,2,13.3,2,13,0,1,0,0,1,1,1,0,0,Matches,683788fd
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,3,2,0,0,0,0,0,0,0,0,Matches,f28876e5
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,74,56,27,36,11,17,76,22.4,59,752,195,25.9,182,453,117,54,5,0,49,54,128,49,0,Matches,58afe001
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,24,16,13,10,1,3,12,25.0,9,211,72,34.1,111,90,10,39,19,0,20,35,59,152,1,Matches,27a013f7
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,30,22,17,12,1,10,12,83.3,2,158,59,37.3,68,85,5,34,18,0,16,15,45,61,1,Matches,2bef2bca
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,56,30,36,17,3,23,50,46.0,27,232,72,31.0,104,100,28,57,13,0,44,56,112,139,0,Matches,850c0a0d
31,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,21,1999,0.5,0,0,0,0,0,0,0,,0,5,2,40.0,0,1,4,0,0,0,0,0,0,0,0,Matches,74d9a90b
32,Sergio Arribas,es ESP,FWDF,Real Madrid,18,2001,1.5,2,1,1,1,0,0,1,0.0,1,20,6,30.0,9,7,4,1,0,0,1,3,5,3,0,Matches,1e465e70
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches,9f0ea33f
34,Marco Asensio,es ESP,FWMF,Real Madrid,24,1996,20.8,13,10,7,6,0,4,28,14.3,24,206,46,22.3,48,99,59,20,0,0,20,15,28,10,0,Matches,45af8a54
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,11,6,3,6,2,1,19,5.3,18,355,99,27.9,43,160,152,29,3,0,26,17,28,22,0,Matches,7dcf86f6
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,30,19,6,22,2,8,22,36.4,14,181,65,35.9,46,104,31,11,2,0,9,15,45,12,0,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,MFFW,Osasuna,26,1994,2.2,3,2,1,1,1,1,2,50.0,1,29,3,10.3,6,12,11,3,0,0,3,1,4,1,0,Matches,253a06b9
38,Ramon Azeez,ng NGA,MFDF,Granada,27,1992,1.1,3,3,1,2,0,1,1,100.0,0,13,5,38.5,2,9,2,2,0,0,2,0,3,2,0,Matches,0cc474e7
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,8,7,4,3,1,1,5,20.0,4,126,27,21.4,11,46,69,4,0,0,4,4,12,1,0,Matches,09a9e921
40,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,0,0,0,0,0,0,4,0.0,4,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2,Matches,e4346678
41,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,1,0,0,0,1,0,2,0.0,2,29,3,10.3,4,17,8,2,1,0,1,3,4,0,0,Matches,518f2234
42,Miguel Baeza,es ESP,MFFW,Celta Vigo,20,2000,6.0,9,5,4,5,0,4,9,44.4,5,103,22,21.4,41,47,15,2,0,0,2,6,15,4,0,Matches,a98f3cbf
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,27,15,15,10,2,6,18,33.3,12,206,56,27.2,84,90,32,34,6,0,28,13,40,62,0,Matches,1fe67e86
44,Barcia,es ESP,DF,Granada,19,2000,1.0,2,0,2,0,0,0,0,,0,12,0,0.0,7,5,0,2,1,0,1,1,3,7,0,Matches,0c717ae6
45,Enis Bardhi,mk MKD,MFFW,Levante,25,1995,18.7,29,22,13,11,5,12,41,29.3,29,308,101,32.8,82,141,85,17,2,0,15,32,61,20,0,Matches,cac2537b
46,Kike Barja,es ESP,MFFW,Osasuna,23,1997,15.9,12,8,9,2,1,5,21,23.8,16,275,69,25.1,60,132,83,18,2,0,16,23,35,12,0,Matches,aad53e64
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,2,1,2,0,0,0,2,0.0,2,13,2,15.4,8,5,0,2,0,0,2,3,5,1,1,Matches,74aa6ab7
48,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,28,14,22,5,1,8,24,33.3,16,189,41,21.7,117,58,14,38,11,0,27,30,58,70,1,Matches,487d9b09
49,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,18,2001,14.5,32,20,9,13,10,8,32,25.0,24,344,96,27.9,81,156,107,28,1,0,27,12,44,10,0,Matches,200e89e1
50,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,30,10,17,12,1,9,21,42.9,12,207,65,31.4,108,89,10,27,6,0,21,24,54,101,3,Matches,b742cc0d
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches,42a028c5
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,53,32,22,25,6,18,52,34.6,34,476,133,27.9,179,253,44,42,15,0,27,18,71,55,0,Matches,d637fc22
53,Jon Bautista,es ESP,FWMF,Real Sociedad,25,1995,4.1,6,5,0,4,2,0,5,0.0,5,83,21,25.3,4,43,36,5,2,0,3,2,8,4,0,Matches,debc6b55
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,15.5,35,21,20,11,4,8,29,27.6,21,343,111,32.4,136,162,45,22,2,0,20,17,52,23,1,Matches,ed5c5fa3
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,608bcb88
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,12,7,4,3,5,5,9,55.6,4,244,42,17.2,31,86,127,12,5,0,7,14,26,21,0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,33,23,22,8,3,13,36,36.1,23,236,82,34.7,103,88,45,23,1,0,22,16,49,30,0,Matches,b6e50615
58,Álex Berenguer,es ESP,MFFW,Athletic Club,25,1995,25.3,50,31,24,20,6,9,54,16.7,45,625,158,25.3,159,276,190,62,3,0,59,24,74,30,0,Matches,dc1c2fce
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,15,12,7,7,1,7,13,53.8,6,106,45,42.5,50,52,4,15,6,1,9,16,31,106,1,Matches,697295b1
60,Blanco,es ESP,MFDF,Real Madrid,20,2000,2.4,6,3,3,2,1,3,9,33.3,6,73,19,26.0,24,39,10,8,2,0,6,2,8,6,0,Matches,506daeac
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,13,3,8,4,1,2,9,22.2,7,127,33,26.0,63,37,27,13,1,0,12,6,19,5,0,Matches,c4dce677
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,1,1,Matches,967f34d3
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,0,0,0,0,0,0,0,,0,7,2,28.6,1,4,2,0,0,0,0,0,0,0,0,Matches,d2ed99b4
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,3,2,1,2,0,1,5,20.0,4,71,11,15.5,22,38,11,7,3,0,4,6,9,4,0,Matches,8c2c48a9
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,0,0,0,0,0,0,2,0.0,2,2,1,50.0,2,0,0,0,0,0,0,0,0,2,1,Matches,f6798fc3
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,46,28,11,28,7,10,50,20.0,40,634,138,21.8,64,348,222,46,3,0,43,20,66,22,0,Matches,d49f3e6b
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,7,6,1,3,3,2,6,33.3,4,132,43,32.6,14,50,68,7,0,0,7,8,15,7,0,Matches,fd771f95
68,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,15,12,4,8,3,8,17,47.1,9,209,61,29.2,33,113,63,12,2,0,10,4,19,13,0,Matches,4accb7e0
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,1,1,0,1,0,1,1,100.0,0,2,1,50.0,0,1,1,0,0,0,0,0,1,0,0,Matches,b3f97139
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,1,0,0,1,0,0,0,0,Matches,10072610
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,27,20,11,14,2,10,19,52.6,9,316,75,23.7,106,168,42,21,4,0,17,15,42,24,0,Matches,3d688b46
72,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,3,0,0,0,0,0,0,0,1,0,Matches,c960cfdb
73,Bryan,es ESP,FW,Sevilla,19,2001,0.1,1,1,0,1,0,0,0,,0,3,2,66.7,0,2,1,0,0,0,0,0,1,0,0,Matches,7b5ab7f2
74,Bryan,es ESP,MFFW,Eibar,19,2001,25.2,36,17,14,10,12,3,24,12.5,21,420,113,26.9,93,144,183,32,0,0,32,15,51,12,0,Matches,7b5ab7f2
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,20,15,4,10,6,4,13,30.8,9,391,114,29.2,34,171,186,14,1,0,13,1,21,18,0,Matches,8f3565b3
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,9,8,5,4,0,3,8,37.5,5,58,28,48.3,29,25,4,15,6,0,9,12,21,88,1,Matches,40449bbd
77,Burgui,es ESP,MF,Alavés,26,1993,0.2,1,1,0,0,1,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,0,1,1,0,Matches,45e304c8
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,70,40,26,33,11,25,68,36.8,43,550,172,31.3,139,302,109,43,3,0,40,39,109,25,2,Matches,5ab0ea87
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,24,17,14,8,2,8,15,53.3,7,137,49,35.8,58,71,8,17,7,0,10,12,36,105,1,Matches,e7ab4179
80,Cala,es ESP,DF,Cádiz,30,1989,25.2,33,23,26,7,0,12,29,41.4,17,209,71,34.0,135,67,7,33,11,0,22,23,56,151,0,Matches,fe05804b
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,15,6,3,6,6,3,16,18.8,13,273,64,23.4,25,104,144,19,5,0,14,5,20,10,0,Matches,6922f806
82,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,21,13,17,3,1,9,21,42.9,12,183,67,36.6,119,60,4,28,13,0,15,19,40,112,0,Matches,dd672e1f
83,José Campaña,es ESP,MF,Levante,27,1993,8.3,12,8,4,4,4,4,11,36.4,7,114,31,27.2,33,54,27,10,0,0,10,8,20,5,0,Matches,61220da2
84,Sergio Canales,es ESP,MFFW,Betis,29,1991,27.8,17,11,5,10,2,3,26,11.5,23,289,94,32.5,83,141,65,26,0,0,26,14,31,12,0,Matches,a6de370d
85,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,1,1,0,1,0,0,1,0.0,1,36,2,5.6,2,17,17,1,0,0,1,0,1,2,0,Matches,4aa253fd
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,42,23,22,17,3,15,44,34.1,29,304,93,30.6,128,117,59,51,8,0,43,30,72,55,0,Matches,37f1cf47
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,13.2,20,14,14,4,2,7,24,29.2,17,224,59,26.3,105,104,15,16,2,0,14,21,41,39,0,Matches,5acc4a10
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,28.7,71,44,39,25,7,30,64,46.9,34,387,124,32.0,218,130,39,82,14,0,68,50,121,90,0,Matches,c4b888df
89,Cárdenas,es ESP,GK,Levante,23,1997,8.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0,Matches,e1846dde
90,Marc Cardona,es ESP,FWMF,Osasuna,25,1995,0.6,0,0,0,0,0,0,1,0.0,1,9,2,22.2,1,4,4,1,0,0,1,0,0,0,0,Matches,b92b456a
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,31.0,28,20,21,7,0,10,20,50.0,10,204,72,35.3,113,82,9,47,27,1,20,26,54,142,1,Matches,b4a014b1
92,Juan Carlos,es ESP,MFFW,Huesca,29,1991,3.2,5,3,3,2,0,0,10,0.0,10,98,23,23.5,17,53,28,7,0,0,7,3,8,2,0,Matches,82803509
93,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,26,1993,24.2,35,23,17,11,7,17,46,37.0,29,341,98,28.7,117,115,109,45,0,0,45,28,63,15,1,Matches,de39485a
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,2.9,5,2,2,3,0,3,4,75.0,1,39,15,38.5,17,19,3,7,0,0,7,1,6,6,0,Matches,8d6a9c93
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,11.1,11,9,2,8,1,2,8,25.0,6,173,43,24.9,14,98,61,6,1,0,5,7,18,13,0,Matches,8f898ba8
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,10.6,32,21,14,14,4,17,25,68.0,8,147,57,38.8,59,55,33,31,1,0,30,16,48,17,1,Matches,4958bfb2
97,William Carvalho,pt POR,MF,Betis,28,1992,13.6,28,19,10,16,2,5,17,29.4,12,177,51,28.8,51,104,22,13,4,0,9,8,36,24,1,Matches,dee86451
98,Casemiro,br BRA,MF,Real Madrid,28,1992,32.2,89,56,49,35,5,29,74,39.2,45,510,185,36.3,224,228,58,69,18,0,51,61,150,96,0,Matches,4d224fe8
99,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches,37f04799
100,Sofian Chakla,ma MAR,DF,Getafe,26,1993,10.0,13,7,10,2,1,3,5,60.0,2,76,25,32.9,46,29,1,6,3,0,3,13,26,96,0,Matches,37f04799
101,Chema,es ESP,DFMF,Getafe,28,1992,6.2,11,4,8,3,0,4,9,44.4,5,69,18,26.1,27,35,7,4,1,0,3,7,18,35,0,Matches,7f203b54
102,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,12.2,23,17,6,9,8,5,25,20.0,20,234,51,21.8,68,103,63,21,1,0,20,7,30,15,0,Matches,0ac94a23
103,Samuel Chukwueze,ng NGA,MFFW,Villarreal,21,1999,15.2,16,9,3,9,4,5,19,26.3,14,183,47,25.7,41,70,72,13,0,0,13,7,23,8,0,Matches,b8a642fc
104,Víctor Chust,es ESP,DF,Real Madrid,20,2000,1.1,3,1,1,2,0,0,2,0.0,2,9,3,33.3,5,4,0,3,3,0,0,1,4,11,0,Matches,ec1a731e
105,Cifu,es ESP,DF,Elche,29,1990,5.0,9,6,5,4,0,4,10,40.0,6,83,22,26.5,58,23,2,8,1,0,7,3,12,15,1,Matches,90f83973
106,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,94084f83
107,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches,04ac8285
108,Carlos Clerc,es ESP,DF,Levante,28,1992,30.9,66,47,37,22,7,23,50,46.0,27,425,151,35.5,187,168,70,53,4,0,49,35,101,94,1,Matches,33a61a52
109,Coke,es ESP,DF,Levante,33,1987,9.3,21,11,12,6,3,10,25,40.0,15,130,32,24.6,71,39,20,17,0,0,17,15,36,36,0,Matches,6d8f8441
110,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,8.2,21,9,3,15,3,5,11,45.5,6,127,38,29.9,37,73,17,12,2,0,10,17,38,12,0,Matches,a6951bf8
111,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,2.4,7,5,3,2,2,2,10,20.0,8,85,17,20.0,27,39,19,8,0,0,8,4,11,1,0,Matches,49ea92be
112,Iñigo Córdoba,es ESP,FWMF,Athletic Club,23,1997,1.1,0,0,0,0,0,0,4,0.0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0,Matches,49ea92be
113,Ángel Correa,ar ARG,FWMF,Atlético Madrid,25,1995,26.6,37,30,12,18,7,14,51,27.5,37,502,147,29.3,87,232,183,31,2,0,29,21,58,16,0,Matches,01eb744d
114,Rober Correa,es ESP,DF,Eibar,27,1992,12.6,23,17,14,6,3,9,14,64.3,5,134,45,33.6,59,50,25,24,1,0,23,24,47,58,0,Matches,46bd3a5b
115,Thierry Correia,pt POR,DF,Valencia,21,1999,23.7,59,34,43,11,5,24,44,54.5,20,355,95,26.8,197,109,49,42,5,0,37,36,95,86,1,Matches,c78b352d
116,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,2.3,1,0,1,0,0,1,3,33.3,2,30,6,20.0,3,18,9,1,0,0,1,0,1,2,0,Matches,a190d597
117,Jaume Costa,es ESP,DFMF,Villarreal,32,1988,3.9,11,3,6,5,0,5,8,62.5,3,42,15,35.7,11,23,8,10,1,0,9,8,19,12,0,Matches,808d48f3
118,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,5,Matches,1840e36d
119,Philippe Coutinho,br BRA,MFFW,Barcelona,28,1992,7.3,7,6,2,4,1,2,5,40.0,3,65,20,30.8,14,29,22,4,0,0,4,4,11,1,0,Matches,0ef89a37
120,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,21.8,33,17,16,15,2,18,32,56.3,14,228,65,28.5,103,92,33,48,6,1,42,10,43,59,1,Matches,a56da3ba
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches,d858d079
122,Cucho,co COL,FWMF,Getafe,21,1999,16.3,19,10,1,15,3,1,19,5.3,18,319,74,23.2,31,169,119,19,1,0,18,5,24,8,0,Matches,71b47ab9
123,Marc Cucurella,es ESP,MF,Getafe,22,1998,36.0,70,48,24,37,9,20,56,35.7,36,774,235,30.4,199,387,188,69,4,0,65,54,124,40,0,Matches,1daec722
124,Patrick Cutrone,it ITA,FW,Valencia,22,1998,1.2,0,0,0,0,0,0,0,,0,28,6,21.4,3,11,14,0,0,0,0,1,1,0,0,Matches,a4fe8cda
125,Moussa Dembélé,fr FRA,FWMF,Atlético Madrid,24,1996,1.1,0,0,0,0,0,0,0,,0,16,5,31.3,1,10,5,0,0,0,0,0,0,0,0,Matches,e7986081
126,Ousmane Dembélé,fr FRA,FWDF,Barcelona,23,1997,19.7,17,10,4,10,3,5,14,35.7,9,285,65,22.8,33,116,136,22,0,0,22,14,31,2,0,Matches,b19db005
127,Sergiño Dest,us USA,DF,Barcelona,19,2000,21.2,31,19,23,5,3,12,25,48.0,13,319,93,29.2,135,103,81,43,5,0,38,17,48,23,0,Matches,5976f83e
128,Deyverson,br BRA,FW,Alavés,29,1991,9.7,8,6,4,2,2,4,14,28.6,10,171,50,29.2,15,84,72,18,0,0,18,10,18,13,0,Matches,2e5e846d
129,Abdoulay Diaby,ml MLI,MF,Getafe,29,1991,0.2,1,1,0,1,0,0,0,,0,2,0,0.0,0,1,1,2,0,0,2,0,1,0,0,Matches,23c5db70
130,Mouctar Diakhaby,gn GUI,DF,Valencia,23,1996,23.1,21,15,14,7,0,10,14,71.4,4,157,54,34.4,94,57,6,51,26,0,25,10,31,135,1,Matches,d2110326
131,Víctor Díaz,es ESP,DF,Granada,32,1988,9.2,20,16,13,5,2,11,21,52.4,10,113,31,27.4,63,41,9,25,10,1,15,16,36,48,0,Matches,3624ce4c
132,Papakouli Diop,sn SEN,MF,Eibar,34,1986,25.8,48,36,16,25,7,16,57,28.1,41,342,114,33.3,88,207,47,31,6,0,25,39,87,54,2,Matches,7329018e
133,Djené,tg TOG,DF,Getafe,28,1991,32.7,61,36,31,27,3,21,34,61.8,13,276,102,37.0,131,129,16,39,13,2,26,55,116,210,1,Matches,a4971d84
134,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,34.7,1,1,1,0,0,0,3,0.0,3,7,0,0.0,7,0,0,0,0,0,0,0,1,1,1,Matches,ac295d9e
135,Jaume Doménech,es ESP,GK,Valencia,29,1990,28.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,3,1,Matches,c9cb972b
136,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4.0,6,4,5,1,0,3,5,60.0,2,43,9,20.9,33,10,0,7,4,0,3,7,13,29,0,Matches,3521abfe
137,John Donald,es ESP,DFFW,Elche,19,2000,0.6,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches,5e95c000
138,Cheick Doukouré,ci CIV,MF,Levante,27,1992,1.1,6,4,2,1,3,3,4,75.0,1,43,8,18.6,8,26,9,3,1,0,2,2,8,2,0,Matches,e208bcc8
139,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,8.7,17,10,5,10,2,5,14,35.7,9,117,39,33.3,44,66,7,8,3,0,5,9,26,11,0,Matches,685857dc
140,Domingos Duarte,pt POR,DF,Granada,25,1995,26.3,40,19,26,13,1,13,21,61.9,8,140,47,33.6,68,67,5,40,20,0,20,31,71,112,1,Matches,93090f69
141,Óscar Duarte,cr CRC,DF,Levante,31,1989,22.9,23,14,16,6,1,11,27,40.7,16,180,60,33.3,90,81,9,31,19,1,12,25,48,184,1,Matches,aa0ac32d
142,Rubén Duarte,es ESP,DF,Alavés,24,1995,28.3,61,34,31,23,7,23,48,47.9,25,370,115,31.1,156,162,52,82,7,0,75,42,103,116,1,Matches,1fe0492d
143,Unai Dufur,es ESP,DF,Eibar,21,1999,0.7,2,2,2,0,0,1,3,33.3,2,11,5,45.5,8,3,0,1,0,0,1,0,2,6,0,Matches,c261b5dd
144,Hugo Duro,es ESP,FW,Real Madrid,20,1999,0.6,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,1,0,0,1,0,0,0,0,Matches,37e103f8
