,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,389,75,243,172,3,3,373,0,0,,0,0,163,1009,555,7,0,0,0,0,201,189,94.0,0,Matches,ba71d071
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,1397,59,365,923,202,25,1351,13,22,59.1,16,1,892,4629,2139,69,22,1,10,20,922,858,93.1,10,Matches,036bba5f
14,Iván Alejo,es ESP,MFFW,Cádiz,25,1995,9.2,367,16,71,143,190,28,353,15,26,57.7,15,0,247,2075,1343,61,20,7,21,21,332,228,68.7,50,Matches,3d7e48ce
15,Carles Aleñá,es ESP,MFFW,Getafe,22,1998,15.2,735,8,67,383,329,20,667,18,28,64.3,19,3,497,2518,1296,61,24,1,17,19,638,491,77.0,46,Matches,6c811eb7
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,46,2,12,26,8,1,46,0,1,0.0,1,0,38,142,80,1,0,0,0,2,50,43,86.0,1,Matches,6c811eb7
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,21,0,0,7,14,2,21,1,2,50.0,1,0,19,70,41,4,0,0,1,2,27,19,70.4,4,Matches,1c772b46
18,Sergio Álvarez,es ESP,MFDF,Eibar,28,1992,17.4,856,37,188,559,150,17,846,6,9,66.7,6,0,461,2312,797,41,12,2,11,13,498,472,94.8,17,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,1288,146,687,648,54,17,1237,8,10,80.0,9,2,753,5327,2786,52,16,1,2,2,788,776,98.5,7,Matches,3ecc11d8
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,17,0,5,11,3,0,15,0,0,,0,0,8,67,41,1,0,0,1,0,9,9,100.0,0,Matches,69c5633e
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,327,23,99,197,39,7,316,3,4,75.0,4,1,131,537,145,9,1,0,2,7,184,148,80.4,3,Matches,c46736ab
22,Ángel,es ESP,GK,Granada,18,2002,1.0,40,37,40,0,0,0,21,0,0,,0,0,5,21,16,0,0,0,0,0,9,8,88.9,0,Matches,b1e5bbec
23,José Ángel,es ESP,DF,Eibar,30,1989,10.0,775,26,178,418,231,4,639,10,12,83.3,11,0,447,2224,1174,47,21,1,8,10,441,418,94.8,12,Matches,3024e383
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,77,13,40,36,2,1,77,0,0,,0,0,27,90,24,1,0,0,0,0,35,32,91.4,0,Matches,56cafd0a
25,José Antonio Miranda,gq EQG,MFDF,Getafe,22,1998,0.3,25,0,0,13,13,3,25,0,1,0.0,0,0,17,97,53,4,1,1,0,2,22,18,81.8,4,Matches,683788fd
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,24,0,5,16,3,1,19,0,1,0.0,0,0,10,35,8,0,0,0,0,0,14,14,100.0,0,Matches,f28876e5
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,1469,47,251,877,452,39,1349,31,56,55.4,34,4,866,5042,2174,100,47,8,31,32,863,737,85.4,59,Matches,58afe001
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,1807,283,1077,826,47,9,1779,7,8,87.5,7,0,1165,7972,4438,94,11,0,6,2,1266,1246,98.4,2,Matches,27a013f7
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,1211,176,588,644,47,13,1183,4,5,80.0,5,0,857,4393,2384,69,13,1,1,2,902,888,98.4,0,Matches,2bef2bca
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,2213,138,779,1302,285,14,1942,28,30,93.3,30,0,1229,7430,3707,114,25,3,17,15,1210,1167,96.4,6,Matches,850c0a0d
31,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,21,1999,0.5,14,0,0,5,9,0,14,0,0,,0,0,8,14,7,1,0,0,4,1,21,12,57.1,9,Matches,74d9a90b
32,Sergio Arribas,es ESP,FWDF,Real Madrid,18,2001,1.5,106,4,19,53,41,2,104,5,6,83.3,5,0,89,444,239,14,3,1,0,3,99,82,82.8,11,Matches,1e465e70
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,1376,1213,1374,4,0,0,1018,0,0,,0,0,714,3164,1700,0,0,0,0,0,707,700,99.0,0,Matches,9f0ea33f
34,Marco Asensio,es ESP,FWMF,Real Madrid,24,1996,20.8,1192,19,118,523,645,77,1126,38,56,67.9,40,2,933,5773,3084,173,54,14,27,21,1154,944,81.8,138,Matches,45af8a54
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,1556,31,153,751,761,173,1503,58,85,68.2,61,2,1182,6052,3313,176,57,44,51,41,1749,1244,71.1,320,Matches,7dcf86f6
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,413,16,63,260,100,9,410,3,3,100.0,3,0,226,952,389,21,6,0,2,5,283,237,83.7,15,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,MFFW,Osasuna,26,1994,2.2,87,0,10,43,39,7,86,0,2,0.0,0,0,48,240,102,5,2,0,2,7,98,64,65.3,17,Matches,253a06b9
38,Ramon Azeez,ng NGA,MFDF,Granada,27,1992,1.1,48,2,8,28,14,3,47,0,0,,0,0,24,134,22,1,1,0,1,1,35,28,80.0,4,Matches,0cc474e7
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,251,2,16,129,121,45,238,8,17,47.1,9,1,157,671,345,19,11,3,17,17,366,189,51.6,63,Matches,09a9e921
40,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,1228,1133,1227,2,0,0,859,0,0,,0,0,534,2283,1340,0,0,0,1,0,528,527,99.8,0,Matches,e4346678
41,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,71,1,8,33,40,2,70,1,1,100.0,1,0,52,216,96,7,5,0,0,5,71,56,78.9,20,Matches,518f2234
42,Miguel Baeza,es ESP,MFFW,Celta Vigo,20,2000,6.0,279,7,63,129,105,17,267,1,5,20.0,1,0,185,856,394,20,5,2,8,11,270,205,75.9,25,Matches,a98f3cbf
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,1111,74,353,566,249,6,924,9,14,64.3,11,0,583,3369,1870,68,19,2,12,13,667,620,93.0,14,Matches,1fe67e86
44,Barcia,es ESP,DF,Granada,19,2000,1.0,46,7,26,17,3,0,37,0,0,,0,0,13,46,14,0,0,0,0,0,12,11,91.7,0,Matches,0c717ae6
45,Enis Bardhi,mk MKD,MFFW,Levante,25,1995,18.7,1143,31,239,567,435,40,1058,39,70,55.7,43,4,817,4017,2308,103,39,4,31,44,958,803,83.8,109,Matches,cac2537b
46,Kike Barja,es ESP,MFFW,Osasuna,23,1997,15.9,731,20,114,335,342,36,718,45,79,57.0,49,1,596,3379,1796,106,21,7,39,42,747,525,70.3,89,Matches,aad53e64
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,28,2,8,11,11,1,18,1,1,100.0,1,0,10,86,42,3,1,1,0,0,6,4,66.7,0,Matches,74aa6ab7
48,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,1521,146,667,713,223,9,1319,9,16,56.3,9,2,877,3913,2212,77,27,2,11,6,1054,987,93.6,28,Matches,487d9b09
49,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,18,2001,14.5,648,11,101,287,311,42,637,39,64,60.9,45,4,501,2775,1491,82,25,13,42,49,576,435,75.5,74,Matches,200e89e1
50,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,1158,158,638,530,44,18,1114,6,6,100.0,6,0,670,3140,1575,47,7,1,4,3,748,738,98.7,3,Matches,b742cc0d
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,11,0,5,6,1,0,11,0,1,0.0,0,0,6,13,8,0,0,0,0,0,14,10,71.4,0,Matches,42a028c5
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,1266,86,380,813,145,21,1227,18,23,78.3,19,0,804,4594,2104,78,23,0,15,18,840,778,92.6,16,Matches,d637fc22
53,Jon Bautista,es ESP,FWMF,Real Sociedad,25,1995,4.1,146,5,8,66,82,24,139,2,4,50.0,2,0,77,342,177,12,4,2,12,10,198,99,50.0,33,Matches,debc6b55
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,15.5,932,41,259,562,155,8,911,10,14,71.4,13,1,647,3080,1307,53,11,0,14,14,738,647,87.7,26,Matches,ed5c5fa3
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches,608bcb88
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,1571,28,119,683,864,236,1507,39,60,65.0,40,5,1099,5738,3251,182,58,47,55,39,1882,1316,69.9,272,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,1298,41,300,670,417,43,1076,17,28,60.7,17,1,810,4639,2724,137,39,13,14,23,857,784,91.5,44,Matches,b6e50615
58,Álex Berenguer,es ESP,MFFW,Athletic Club,25,1995,25.3,1292,32,176,474,730,81,1178,45,85,52.9,49,6,805,4079,2604,127,46,18,41,50,1126,833,74.0,156,Matches,dc1c2fce
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,808,68,374,399,72,14,746,4,5,80.0,4,1,336,2212,1113,23,6,1,5,3,368,352,95.7,5,Matches,697295b1
60,Blanco,es ESP,MFDF,Real Madrid,20,2000,2.4,198,10,40,129,37,0,196,1,1,100.0,1,0,136,413,126,3,1,0,1,0,147,142,96.6,3,Matches,506daeac
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,247,9,54,93,112,24,245,2,13,15.4,2,1,155,909,408,26,2,4,17,17,223,157,70.4,39,Matches,c4dce677
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,698,631,697,1,0,0,504,0,0,,0,0,374,1735,944,0,0,0,0,0,358,358,100.0,0,Matches,967f34d3
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,14,0,2,11,3,0,14,0,1,0.0,0,0,11,56,34,1,1,0,0,0,12,12,100.0,0,Matches,d2ed99b4
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,132,5,31,80,32,5,130,0,3,0.0,0,0,70,445,250,12,1,0,3,8,101,77,76.2,6,Matches,8c2c48a9
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,1170,1064,1165,4,1,1,907,1,1,100.0,1,0,614,2425,860,0,0,0,0,1,605,602,99.5,0,Matches,f6798fc3
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,1187,27,101,717,439,96,1136,65,119,54.6,68,1,839,3275,1443,76,21,19,145,90,1464,827,56.5,178,Matches,d49f3e6b
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,408,10,35,156,236,75,398,11,16,68.8,11,0,277,1188,577,38,8,12,24,23,531,320,60.3,101,Matches,fd771f95
68,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,399,15,57,201,160,37,387,5,6,83.3,5,1,219,1132,643,31,12,8,14,15,357,244,68.3,46,Matches,4accb7e0
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,11,0,4,7,2,0,11,0,0,,0,0,5,15,6,0,0,0,0,0,9,8,88.9,0,Matches,b3f97139
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,701,609,699,3,0,0,496,3,3,100.0,3,0,352,1701,1041,0,0,0,0,0,313,311,99.4,0,Matches,10072610
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,480,24,114,312,66,3,473,5,6,83.3,5,0,271,947,352,9,2,0,10,13,278,247,88.8,14,Matches,3d688b46
72,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,10,1,2,5,3,0,10,0,0,,0,0,4,7,5,0,0,0,0,0,7,5,71.4,0,Matches,c960cfdb
73,Bryan,es ESP,FW,Sevilla,19,2001,0.1,10,0,1,6,3,1,10,0,0,,0,0,6,30,28,2,0,1,0,1,9,8,88.9,0,Matches,7b5ab7f2
74,Bryan,es ESP,MFFW,Eibar,19,2001,25.2,1367,14,125,505,855,104,1275,72,126,57.1,78,7,1057,6084,3434,210,59,35,59,62,1336,967,72.4,133,Matches,7b5ab7f2
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,637,26,56,317,296,101,615,11,22,50.0,13,2,313,1166,565,38,10,13,63,29,964,459,47.6,116,Matches,8f3565b3
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,676,81,324,369,18,12,650,1,1,100.0,1,0,336,2160,1085,18,2,1,0,2,360,345,95.8,1,Matches,40449bbd
77,Burgui,es ESP,MF,Alavés,26,1993,0.2,12,1,1,7,6,1,12,0,0,,0,0,8,43,35,3,2,1,0,0,12,7,58.3,1,Matches,45e304c8
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,2943,69,532,1926,617,14,2856,13,16,81.3,13,1,2017,6449,3296,144,46,2,18,13,2437,2343,96.1,50,Matches,5ab0ea87
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,604,59,287,314,33,9,554,3,4,75.0,3,0,253,1315,726,15,5,0,3,1,261,244,93.5,3,Matches,e7ab4179
80,Cala,es ESP,DF,Cádiz,30,1989,25.2,960,148,532,459,32,20,917,5,6,83.3,6,0,432,2524,1115,18,4,0,5,1,469,438,93.4,4,Matches,fe05804b
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,594,9,39,281,304,93,564,21,42,50.0,23,1,348,1401,746,49,11,10,46,41,838,427,51.0,113,Matches,6922f806
82,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,929,131,571,391,20,10,901,2,2,100.0,2,0,528,3032,1466,25,1,0,3,2,595,580,97.5,1,Matches,dd672e1f
83,José Campaña,es ESP,MF,Levante,27,1993,8.3,618,11,112,328,236,17,568,24,46,52.2,27,3,450,2337,1223,62,30,0,12,17,486,440,90.5,45,Matches,61220da2
84,Sergio Canales,es ESP,MFFW,Betis,29,1991,27.8,1958,18,219,1128,777,74,1834,36,47,76.6,37,2,1508,9241,4915,221,90,11,41,30,1785,1563,87.6,125,Matches,a6de370d
85,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,73,2,3,38,35,8,70,3,7,42.9,4,1,55,188,100,6,3,0,11,4,106,52,49.1,23,Matches,4aa253fd
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,1447,70,394,748,414,33,1148,27,57,47.4,28,2,763,4855,3161,150,51,7,18,20,856,741,86.6,50,Matches,37f1cf47
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,13.2,879,47,241,600,77,3,862,11,17,64.7,12,1,574,2587,1081,44,7,0,9,7,678,649,95.7,4,Matches,5acc4a10
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,28.7,1440,143,541,631,320,12,1141,33,41,80.5,35,4,620,2791,1597,64,19,4,12,23,605,532,87.9,28,Matches,c4b888df
89,Cárdenas,es ESP,GK,Levante,23,1997,8.0,292,240,290,3,0,0,212,0,0,,0,0,144,666,354,0,0,0,0,0,118,118,100.0,0,Matches,e1846dde
90,Marc Cardona,es ESP,FWMF,Osasuna,25,1995,0.6,32,2,7,16,9,3,31,1,1,100.0,1,0,19,72,29,1,0,1,0,0,42,22,52.4,5,Matches,b92b456a
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,31.0,2174,368,1234,961,46,23,2130,10,10,100.0,10,0,1535,5575,2290,32,3,0,4,1,1646,1626,98.8,4,Matches,b4a014b1
92,Juan Carlos,es ESP,MFFW,Huesca,29,1991,3.2,156,0,18,89,73,15,156,5,6,83.3,6,1,121,1074,548,22,13,3,9,18,134,112,83.6,23,Matches,82803509
93,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,26,1993,24.2,1383,29,200,553,743,137,1237,62,118,52.5,69,9,1023,6087,4000,247,59,50,44,58,1188,922,77.6,153,Matches,de39485a
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,2.9,144,9,53,70,34,3,121,1,2,50.0,1,0,69,393,205,11,6,0,2,0,97,84,86.6,5,Matches,8d6a9c93
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,11.1,433,16,32,273,155,43,426,5,12,41.7,5,0,221,963,343,17,12,0,29,11,558,333,59.7,47,Matches,8f898ba8
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,10.6,940,46,290,430,278,22,821,10,16,62.5,10,0,556,2483,1444,60,24,5,12,6,649,609,93.8,35,Matches,4958bfb2
97,William Carvalho,pt POR,MF,Betis,28,1992,13.6,1080,32,191,779,167,14,1059,16,17,94.1,17,1,746,2878,1445,65,13,0,10,21,904,858,94.9,26,Matches,dee86451
98,Casemiro,br BRA,MF,Real Madrid,28,1992,32.2,2370,149,755,1338,396,55,2326,15,22,68.2,16,2,1378,5712,2982,97,30,4,22,24,1734,1596,92.0,65,Matches,4d224fe8
99,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,0.1,10,1,5,5,1,1,9,0,0,,0,0,4,11,2,0,0,0,0,0,5,5,100.0,1,Matches,37f04799
100,Sofian Chakla,ma MAR,DF,Getafe,26,1993,10.0,336,54,193,145,12,7,324,0,1,0.0,1,0,111,789,405,12,2,0,0,1,93,86,92.5,1,Matches,37f04799
101,Chema,es ESP,DFMF,Getafe,28,1992,6.2,218,30,100,111,12,4,208,0,1,0.0,0,0,76,417,194,4,0,0,0,0,80,73,91.3,1,Matches,7f203b54
102,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,12.2,485,15,78,212,233,49,476,8,19,42.1,11,0,293,1636,1015,59,22,7,22,14,463,327,70.6,89,Matches,0ac94a23
103,Samuel Chukwueze,ng NGA,MFFW,Villarreal,21,1999,15.2,752,11,80,325,426,98,734,49,94,52.1,55,1,618,3958,2711,160,42,35,43,25,755,582,77.1,131,Matches,b8a642fc
104,Víctor Chust,es ESP,DF,Real Madrid,20,2000,1.1,87,15,51,38,1,0,84,0,0,,0,0,47,245,118,6,0,0,0,0,58,57,98.3,0,Matches,ec1a731e
105,Cifu,es ESP,DF,Elche,29,1990,5.0,274,14,93,138,65,2,229,3,8,37.5,4,0,137,682,345,17,7,0,3,7,158,135,85.4,12,Matches,90f83973
106,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2.0,73,54,73,0,0,0,37,0,0,,0,0,22,164,90,0,0,0,0,0,19,19,100.0,0,Matches,94084f83
107,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,349,322,347,4,1,0,227,0,0,,0,0,142,770,493,0,0,0,0,0,125,123,98.4,0,Matches,04ac8285
108,Carlos Clerc,es ESP,DF,Levante,28,1992,30.9,2005,94,645,927,574,34,1715,37,59,62.7,41,1,1191,6549,3839,156,62,10,25,22,1284,1167,90.9,85,Matches,33a61a52
109,Coke,es ESP,DF,Levante,33,1987,9.3,556,48,233,245,102,10,500,5,9,55.6,5,0,312,1307,645,29,8,1,6,3,366,327,89.3,11,Matches,6d8f8441
110,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,8.2,610,27,144,387,113,14,596,10,11,90.9,10,1,429,1682,839,32,12,0,3,10,457,430,94.1,26,Matches,a6951bf8
111,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,2.4,115,3,26,51,47,3,110,3,3,100.0,3,0,62,225,120,6,2,1,8,6,93,69,74.2,8,Matches,49ea92be
112,Iñigo Córdoba,es ESP,FWMF,Athletic Club,23,1997,1.1,49,0,12,19,20,2,49,1,3,33.3,1,0,26,94,62,2,1,0,1,0,48,31,64.6,4,Matches,49ea92be
113,Ángel Correa,ar ARG,FWMF,Atlético Madrid,25,1995,26.6,1262,19,163,554,614,175,1230,54,95,56.8,57,5,959,3335,1815,108,34,23,59,69,1295,918,70.9,255,Matches,01eb744d
114,Rober Correa,es ESP,DF,Eibar,27,1992,12.6,764,34,213,400,189,14,629,12,16,75.0,12,1,354,1853,860,42,20,0,9,6,354,323,91.2,20,Matches,46bd3a5b
115,Thierry Correia,pt POR,DF,Valencia,21,1999,23.7,1493,96,546,679,365,17,1271,25,48,52.1,32,4,836,4053,2373,98,30,3,16,17,921,841,91.3,52,Matches,c78b352d
116,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,2.3,99,2,6,44,53,20,99,0,0,,0,0,51,168,73,4,2,3,7,6,119,90,75.6,28,Matches,a190d597
117,Jaume Costa,es ESP,DFMF,Villarreal,32,1988,3.9,286,16,88,140,81,6,240,4,7,57.1,4,0,165,818,539,23,7,1,3,4,187,169,90.4,11,Matches,808d48f3
118,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,1391,1250,1389,4,0,0,1102,0,0,,0,0,786,4072,1710,0,0,0,0,0,744,738,99.2,0,Matches,1840e36d
119,Philippe Coutinho,br BRA,MFFW,Barcelona,28,1992,7.3,601,7,35,284,325,44,572,11,18,61.1,12,1,468,2554,1529,93,25,16,5,12,596,514,86.2,61,Matches,0ef89a37
120,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,21.8,1050,72,341,544,219,2,828,9,12,75.0,10,1,473,2303,1005,41,20,0,12,10,554,475,85.7,17,Matches,a56da3ba
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches,d858d079
122,Cucho,co COL,FWMF,Getafe,21,1999,16.3,747,9,50,314,430,57,731,22,33,66.7,23,1,543,3033,1572,95,27,14,59,54,831,562,67.6,108,Matches,71b47ab9
123,Marc Cucurella,es ESP,MF,Getafe,22,1998,36.0,1728,27,238,696,898,95,1598,25,51,49.0,27,3,1082,5434,3144,162,53,23,60,58,1412,1032,73.1,158,Matches,1daec722
124,Patrick Cutrone,it ITA,FW,Valencia,22,1998,1.2,30,0,2,17,12,4,28,2,2,100.0,2,0,17,99,48,5,0,0,3,0,58,21,36.2,5,Matches,a4fe8cda
125,Moussa Dembélé,fr FRA,FWMF,Atlético Madrid,24,1996,1.1,51,0,1,23,30,10,50,1,4,25.0,2,0,29,178,86,4,2,1,7,0,68,40,58.8,11,Matches,e7986081
126,Ousmane Dembélé,fr FRA,FWDF,Barcelona,23,1997,19.7,1287,8,77,445,883,155,1231,73,120,60.8,78,6,1062,6368,4159,260,73,57,50,29,1311,1079,82.3,191,Matches,b19db005
127,Sergiño Dest,us USA,DF,Barcelona,19,2000,21.2,1523,44,314,602,691,87,1376,33,59,55.9,36,0,1122,4631,2918,166,34,25,26,30,1202,1095,91.1,96,Matches,5976f83e
128,Deyverson,br BRA,FW,Alavés,29,1991,9.7,443,13,58,226,175,31,433,6,15,40.0,6,2,202,618,258,14,2,2,28,13,530,301,56.8,75,Matches,2e5e846d
129,Abdoulay Diaby,ml MLI,MF,Getafe,29,1991,0.2,17,0,1,5,14,3,17,0,1,0.0,0,0,12,106,87,2,3,0,0,1,14,13,92.9,3,Matches,23c5db70
130,Mouctar Diakhaby,gn GUI,DF,Valencia,23,1996,23.1,1214,259,794,446,49,24,1182,3,5,60.0,3,0,721,4193,2162,32,7,0,8,4,798,774,97.0,10,Matches,d2110326
131,Víctor Díaz,es ESP,DF,Granada,32,1988,9.2,490,55,197,208,98,3,401,1,5,20.0,1,0,187,811,404,10,6,0,4,1,211,195,92.4,3,Matches,3624ce4c
132,Papakouli Diop,sn SEN,MF,Eibar,34,1986,25.8,1128,58,214,728,219,30,1108,8,13,61.5,8,0,549,2014,769,38,9,4,13,16,648,553,85.3,25,Matches,7329018e
133,Djené,tg TOG,DF,Getafe,28,1991,32.7,1310,143,613,691,84,10,1245,9,13,69.2,9,0,609,3615,1717,47,6,3,8,11,503,478,95.0,6,Matches,a4971d84
134,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,34.7,1159,973,1146,12,5,2,803,1,1,100.0,1,0,516,2878,1573,0,0,0,0,0,444,443,99.8,0,Matches,ac295d9e
135,Jaume Doménech,es ESP,GK,Valencia,29,1990,28.0,986,878,977,10,0,0,653,1,1,100.0,1,0,424,1799,1051,0,0,0,0,0,355,351,98.9,0,Matches,c9cb972b
136,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4.0,196,56,140,63,7,3,193,0,0,,0,0,113,740,319,5,2,0,1,0,125,124,99.2,0,Matches,3521abfe
137,John Donald,es ESP,DFFW,Elche,19,2000,0.6,21,1,12,10,0,0,21,0,0,,0,0,18,124,65,0,0,0,1,0,21,20,95.2,0,Matches,5e95c000
138,Cheick Doukouré,ci CIV,MF,Levante,27,1992,1.1,63,2,10,39,14,1,63,1,2,50.0,1,0,42,189,62,3,0,0,1,2,41,38,92.7,3,Matches,e208bcc8
