,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,17,0,2,11,6,0,17,1,3,33.3,1,0,11,46,22,1,1,0,0,0,10,8,80.0,1,Matches,9f9e1b9c
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,2027,73,704,915,525,31,1760,41,60,68.3,43,5,1309,5909,3793,133,34,8,33,33,1437,1356,94.4,56,Matches,81442ecb
3,Bobby Adekanye,nl NED,FWMF,Cádiz,21,1999,0.4,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,Matches,3ed84b2c
4,Martin Agirregabiria,es ESP,DFMF,Alavés,24,1996,17.3,883,48,306,454,155,8,706,4,8,50.0,4,0,412,1633,843,33,8,2,8,9,501,425,84.8,19,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,815,129,510,327,20,11,799,5,6,83.3,6,1,472,2867,1515,33,3,1,4,5,464,460,99.1,1,Matches,18abe173
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,462,46,202,208,74,3,354,10,12,83.3,10,0,163,1119,574,28,7,1,5,5,166,154,92.8,8,Matches,f2a68b97
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,216,14,56,151,23,0,215,3,4,75.0,3,2,146,812,351,10,1,0,1,4,152,144,94.7,2,Matches,31f5b89b
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,25,1,12,11,3,1,25,1,1,100.0,1,0,19,97,35,1,0,0,0,2,13,13,100.0,1,Matches,788be7f9
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,33.6,3210,93,687,1312,1371,123,2944,17,37,45.9,24,7,2164,7772,4084,169,45,16,22,14,2601,2419,93.0,193,Matches,4601e194
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,2296,363,1320,1128,53,12,2231,5,9,55.6,5,0,1523,11104,7011,128,16,0,6,3,1648,1631,99.0,5,Matches,4bd414c1
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,397,8,33,193,183,81,356,7,10,70.0,7,0,222,796,355,25,6,9,26,15,595,274,46.1,106,Matches,a7a9d95a
