,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,56cafd0a
25,José Antonio Miranda,gq EQG,MFDF,Getafe,22,1998,0.3,0,2,0,0.0,6.92,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,683788fd
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,f28876e5
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,+0.8,+0.8,Matches,58afe001
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,0,6,0,0.0,0.22,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,27a013f7
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,10.2,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches,2bef2bca
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,0,27,2,7.4,0.87,0.06,0.00,0.00,26.8,5,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,850c0a0d
31,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,21,1999,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,74d9a90b
32,Sergio Arribas,es ESP,FWDF,Real Madrid,18,2001,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,1e465e70
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f0ea33f
34,Marco Asensio,es ESP,FWMF,Real Madrid,24,1996,20.8,5,42,11,26.2,2.02,0.53,0.12,0.45,18.2,3,0,0,4.8,4.8,0.11,+0.2,+0.2,Matches,45af8a54
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,14,43,22,51.2,1.35,0.69,0.21,0.41,15.7,5,5,5,12.5,8.7,0.20,+1.5,+0.3,Matches,7dcf86f6
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,0,5,0,0.0,0.54,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,MFFW,Osasuna,26,1994,2.2,0,8,2,25.0,3.56,0.89,0.00,0.00,20.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,253a06b9
38,Ramon Azeez,ng NGA,MFDF,Granada,27,1992,1.1,0,2,0,0.0,1.78,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,0cc474e7
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,5,20,12,60.0,2.29,1.37,0.25,0.42,15.2,0,0,0,3.5,3.5,0.17,+1.5,+1.5,Matches,09a9e921
40,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4346678
41,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,0,2,1,50.0,1.31,0.66,0.00,0.00,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,518f2234
42,Miguel Baeza,es ESP,MFFW,Celta Vigo,20,2000,6.0,1,11,2,18.2,1.82,0.33,0.09,0.50,14.1,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches,a98f3cbf
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,0,3,1,33.3,0.16,0.05,0.00,0.00,30.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,1fe67e86
44,Barcia,es ESP,DF,Granada,19,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0c717ae6
45,Enis Bardhi,mk MKD,MFFW,Levante,25,1995,18.7,1,36,13,36.1,1.93,0.70,0.03,0.08,20.2,5,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches,cac2537b
46,Kike Barja,es ESP,MFFW,Osasuna,23,1997,15.9,2,22,12,54.5,1.38,0.75,0.09,0.17,16.8,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches,aad53e64
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,74aa6ab7
48,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,0,5,0,0.0,0.20,0.00,0.00,,12.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,487d9b09
49,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,18,2001,14.5,3,23,7,30.4,1.58,0.48,0.13,0.43,19.0,0,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches,200e89e1
50,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,0,11,4,36.4,0.58,0.21,0.00,0.00,18.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,b742cc0d
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,42a028c5
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.20,15.0,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,d637fc22
53,Jon Bautista,es ESP,FWMF,Real Sociedad,25,1995,4.1,0,12,3,25.0,2.92,0.73,0.00,0.00,12.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,debc6b55
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,15.5,3,19,7,36.8,1.22,0.45,0.16,0.43,21.1,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches,ed5c5fa3
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,608bcb88
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,23,122,50,41.0,3.79,1.55,0.18,0.44,15.1,6,1,1,17.7,17.0,0.14,+5.3,+5.0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.0,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches,b6e50615
58,Álex Berenguer,es ESP,MFFW,Athletic Club,25,1995,25.3,8,48,15,31.3,1.90,0.59,0.17,0.53,17.0,4,0,0,6.1,6.1,0.13,+1.9,+1.9,Matches,dc1c2fce
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,0,10,1,10.0,0.59,0.06,0.00,0.00,12.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,697295b1
60,Blanco,es ESP,MFDF,Real Madrid,20,2000,2.4,0,2,0,0.0,0.82,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,506daeac
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,1,7,2,28.6,1.09,0.31,0.14,0.50,15.6,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches,c4dce677
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,967f34d3
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d2ed99b4
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8c2c48a9
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.0,0,0,0,0.3,0.3,0.34,+0.7,+0.7,Matches,f6798fc3
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,7,57,22,38.6,1.90,0.73,0.12,0.32,16.0,3,0,0,5.9,5.9,0.10,+1.1,+1.1,Matches,d49f3e6b
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,2,23,7,30.4,1.76,0.54,0.09,0.29,11.4,0,0,1,5.0,4.2,0.19,-3.0,-2.2,Matches,fd771f95
68,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,2,8,4,50.0,0.79,0.40,0.25,0.50,16.1,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches,4accb7e0
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3f97139
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,10072610
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,0,7,3,42.9,0.48,0.20,0.00,0.00,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,3d688b46
72,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c960cfdb
73,Bryan,es ESP,FW,Sevilla,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b5ab7f2
74,Bryan,es ESP,MFFW,Eibar,19,2001,25.2,4,40,15,37.5,1.59,0.60,0.10,0.27,17.2,1,0,0,4.0,3.6,0.09,0.0,+0.4,Matches,7b5ab7f2
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,11,47,23,48.9,2.60,1.27,0.23,0.48,11.2,0,0,0,7.1,7.1,0.16,+3.9,+3.9,Matches,8f3565b3
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,3,3,2,66.7,0.24,0.16,0.33,0.50,18.5,0,2,3,3.3,1.1,0.35,-0.3,-0.1,Matches,40449bbd
77,Burgui,es ESP,MF,Alavés,26,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45e304c8
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,0,3,1,33.3,0.11,0.04,0.00,0.00,17.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,5ab0ea87
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,0,4,0,0.0,0.27,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,e7ab4179
80,Cala,es ESP,DF,Cádiz,30,1989,25.2,3,14,5,35.7,0.55,0.20,0.21,0.60,12.6,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Matches,fe05804b
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,5,49,17,34.7,2.86,0.99,0.10,0.29,13.6,0,0,0,5.9,5.9,0.12,-0.9,-0.9,Matches,6922f806
82,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,2,7,4,57.1,0.35,0.20,0.29,0.50,8.9,0,0,0,0.9,0.9,0.13,+1.1,+1.1,Matches,dd672e1f
83,José Campaña,es ESP,MF,Levante,27,1993,8.3,1,12,4,33.3,1.44,0.48,0.00,0.00,22.3,1,1,1,1.4,0.7,0.06,-0.4,-0.7,Matches,61220da2
84,Sergio Canales,es ESP,MFFW,Betis,29,1991,27.8,8,45,11,24.4,1.62,0.40,0.13,0.55,21.2,5,2,3,5.4,2.9,0.07,+2.6,+3.1,Matches,a6de370d
85,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,0,3,0,0.0,1.14,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,4aa253fd
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,2,12,6,50.0,0.51,0.25,0.17,0.33,14.8,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches,37f1cf47
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,13.2,1,8,3,37.5,0.61,0.23,0.13,0.33,19.3,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,5acc4a10
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,28.7,0,11,3,27.3,0.38,0.10,0.00,0.00,24.8,6,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,c4b888df
89,Cárdenas,es ESP,GK,Levante,23,1997,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e1846dde
90,Marc Cardona,es ESP,FWMF,Osasuna,25,1995,0.6,0,1,1,100.0,1.70,1.70,0.00,0.00,8.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,b92b456a
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,31.0,1,15,5,33.3,0.48,0.16,0.07,0.20,9.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,b4a014b1
92,Juan Carlos,es ESP,MFFW,Huesca,29,1991,3.2,0,4,1,25.0,1.24,0.31,0.00,0.00,11.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,82803509
93,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,26,1993,24.2,6,43,25,58.1,1.78,1.03,0.14,0.24,16.9,1,0,0,6.0,6.0,0.14,0.0,0.0,Matches,de39485a
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,2.9,1,2,1,50.0,0.69,0.35,0.50,1.00,8.1,0,0,0,0.4,0.4,0.19,+0.6,+0.6,Matches,8d6a9c93
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,11.1,3,26,7,26.9,2.34,0.63,0.12,0.43,11.8,0,0,0,2.7,2.7,0.10,+0.3,+0.3,Matches,8f898ba8
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,10.6,0,10,2,20.0,0.95,0.19,0.00,0.00,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,4958bfb2
97,William Carvalho,pt POR,MF,Betis,28,1992,13.6,2,15,6,40.0,1.10,0.44,0.13,0.33,16.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches,dee86451
98,Casemiro,br BRA,MF,Real Madrid,28,1992,32.2,6,45,11,24.4,1.40,0.34,0.13,0.55,17.8,0,0,0,4.6,4.6,0.10,+1.4,+1.4,Matches,4d224fe8
99,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,0.1,0,1,0,0.0,6.92,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,37f04799
100,Sofian Chakla,ma MAR,DF,Getafe,26,1993,10.0,0,3,1,33.3,0.30,0.10,0.00,0.00,8.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,37f04799
101,Chema,es ESP,DFMF,Getafe,28,1992,6.2,0,3,1,33.3,0.48,0.16,0.00,0.00,29.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,7f203b54
102,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,12.2,0,21,5,23.8,1.72,0.41,0.00,0.00,18.6,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches,0ac94a23
103,Samuel Chukwueze,ng NGA,MFFW,Villarreal,21,1999,15.2,4,31,10,32.3,2.04,0.66,0.13,0.40,16.6,0,0,0,3.5,3.5,0.11,+0.5,+0.5,Matches,b8a642fc
104,Víctor Chust,es ESP,DF,Real Madrid,20,2000,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ec1a731e
105,Cifu,es ESP,DF,Elche,29,1990,5.0,0,3,0,0.0,0.60,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,90f83973
106,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,94084f83
107,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,04ac8285
108,Carlos Clerc,es ESP,DF,Levante,28,1992,30.9,0,6,4,66.7,0.19,0.13,0.00,0.00,19.2,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,33a61a52
109,Coke,es ESP,DF,Levante,33,1987,9.3,0,10,2,20.0,1.08,0.22,0.00,0.00,17.5,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,6d8f8441
110,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,8.2,0,4,0,0.0,0.49,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,a6951bf8
111,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,2.4,0,1,0,0.0,0.42,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,49ea92be
112,Iñigo Córdoba,es ESP,FWMF,Athletic Club,23,1997,1.1,0,2,0,0.0,1.89,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,49ea92be
113,Ángel Correa,ar ARG,FWMF,Atlético Madrid,25,1995,26.6,9,53,23,43.4,1.99,0.87,0.17,0.39,17.0,0,0,0,7.6,7.4,0.14,+1.4,+1.6,Matches,01eb744d
114,Rober Correa,es ESP,DF,Eibar,27,1992,12.6,0,6,0,0.0,0.48,0.00,0.00,,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,46bd3a5b
115,Thierry Correia,pt POR,DF,Valencia,21,1999,23.7,1,8,2,25.0,0.34,0.08,0.13,0.50,17.1,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,c78b352d
116,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.1,0,1,1,1.4,0.6,0.16,+0.6,+0.4,Matches,a190d597
117,Jaume Costa,es ESP,DFMF,Villarreal,32,1988,3.9,0,2,0,0.0,0.51,0.00,0.00,,15.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,808d48f3
118,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1840e36d
119,Philippe Coutinho,br BRA,MFFW,Barcelona,28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.0,0,0,0,3.9,3.9,0.14,-1.9,-1.9,Matches,0ef89a37
120,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,21.8,0,1,0,0.0,0.05,0.00,0.00,,20.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,a56da3ba
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d858d079
122,Cucho,co COL,FWMF,Getafe,21,1999,16.3,2,27,11,40.7,1.66,0.68,0.07,0.18,15.6,1,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches,71b47ab9
123,Marc Cucurella,es ESP,MF,Getafe,22,1998,36.0,3,27,8,29.6,0.75,0.22,0.11,0.38,17.1,0,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches,1daec722
124,Patrick Cutrone,it ITA,FW,Valencia,22,1998,1.2,0,3,1,33.3,2.50,0.83,0.00,0.00,16.0,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches,a4fe8cda
125,Moussa Dembélé,fr FRA,FWMF,Atlético Madrid,24,1996,1.1,0,6,2,33.3,5.40,1.80,0.00,0.00,10.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches,e7986081
126,Ousmane Dembélé,fr FRA,FWDF,Barcelona,23,1997,19.7,6,55,20,36.4,2.79,1.01,0.11,0.30,17.2,0,0,0,5.6,5.6,0.10,+0.4,+0.4,Matches,b19db005
127,Sergiño Dest,us USA,DF,Barcelona,19,2000,21.2,2,14,5,35.7,0.66,0.24,0.14,0.40,15.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5,Matches,5976f83e
128,Deyverson,br BRA,FW,Alavés,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.50,16.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches,2e5e846d
129,Abdoulay Diaby,ml MLI,MF,Getafe,29,1991,0.2,0,1,0,0.0,5.00,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches,23c5db70
130,Mouctar Diakhaby,gn GUI,DF,Valencia,23,1996,23.1,1,11,4,36.4,0.48,0.17,0.09,0.25,10.0,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,d2110326
131,Víctor Díaz,es ESP,DF,Granada,32,1988,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,26.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,3624ce4c
132,Papakouli Diop,sn SEN,MF,Eibar,34,1986,25.8,1,28,9,32.1,1.08,0.35,0.04,0.11,17.8,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches,7329018e
133,Djené,tg TOG,DF,Getafe,28,1991,32.7,0,2,0,0.0,0.06,0.00,0.00,,7.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,a4971d84
134,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,34.7,1,1,0,0.0,0.03,0.00,0.00,,44.0,0,1,2,1.6,0.1,0.07,-0.6,-0.1,Matches,ac295d9e
135,Jaume Doménech,es ESP,GK,Valencia,29,1990,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c9cb972b
136,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,3521abfe
137,John Donald,es ESP,DFFW,Elche,19,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5e95c000
138,Cheick Doukouré,ci CIV,MF,Levante,27,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e208bcc8
139,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,8.7,0,4,0,0.0,0.46,0.00,0.00,,21.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,685857dc
