,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f9e1b9c
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,1,18,3,16.7,0.70,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,81442ecb
3,Bobby Adekanye,nl NED,FWMF,Cádiz,21,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,3ed84b2c
4,Martin Agirregabiria,es ESP,DFMF,Alavés,24,1996,17.3,0,2,0,0.0,0.12,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,18abe173
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.8,0,0,0,0.4,0.4,0.19,+0.6,+0.6,Matches,f2a68b97
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31f5b89b
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,788be7f9
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,33.6,3,27,11,40.7,0.80,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches,4601e194
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,0,8,1,12.5,0.23,0.03,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,4bd414c1
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,6,36,18,50.0,2.10,1.05,0.14,0.28,13.7,3,1,2,8.3,6.7,0.20,-2.3,-1.7,Matches,a7a9d95a
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,0,2,0,0.0,0.20,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,ba71d071
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,6,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,036bba5f
14,Iván Alejo,es ESP,MFFW,Cádiz,25,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches,3d7e48ce
15,Carles Aleñá,es ESP,MFFW,Getafe,22,1998,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,21.0,0,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches,6c811eb7
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6c811eb7
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,1c772b46
18,Sergio Álvarez,es ESP,MFDF,Eibar,28,1992,17.4,0,6,2,33.3,0.34,0.11,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,1,11,1,9.1,0.51,0.05,0.09,1.00,14.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,3ecc11d8
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,69c5633e
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,c46736ab
22,Ángel,es ESP,GK,Granada,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b1e5bbec
23,José Ángel,es ESP,DF,Eibar,30,1989,10.0,0,2,0,0.0,0.20,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,3024e383
