,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0,Matches,7dcf86f6
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,MFFW,Osasuna,26,1994,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,253a06b9
38,Ramon Azeez,ng NGA,MFDF,Granada,27,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0cc474e7
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0,Matches,09a9e921
40,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e4346678
41,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,518f2234
42,Miguel Baeza,es ESP,MFFW,Celta Vigo,20,2000,6.0,14,2.32,8,2,0,2,1,1,0,0.00,0,0,0,0,0,0,Matches,a98f3cbf
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,13,0.69,10,1,0,0,1,1,2,0.11,2,0,0,0,0,0,Matches,1fe67e86
44,Barcia,es ESP,DF,Granada,19,2000,1.0,1,1.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,0c717ae6
45,Enis Bardhi,mk MKD,MFFW,Levante,25,1995,18.7,51,2.73,37,7,5,1,1,0,6,0.32,5,1,0,0,0,0,Matches,cac2537b
46,Kike Barja,es ESP,MFFW,Osasuna,23,1997,15.9,34,2.14,25,1,4,3,1,0,4,0.25,3,0,0,0,1,0,Matches,aad53e64
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,3,3.00,0,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,74aa6ab7
48,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,21,0.85,15,2,1,1,2,0,6,0.24,3,1,1,0,1,0,Matches,487d9b09
49,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,18,2001,14.5,31,2.13,25,0,2,2,1,1,4,0.28,4,0,0,0,0,0,Matches,200e89e1
50,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,7,0.37,6,0,0,0,0,1,1,0.05,1,0,0,0,0,0,Matches,b742cc0d
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,42a028c5
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,18,0.65,10,0,0,4,2,2,1,0.04,1,0,0,0,0,0,Matches,d637fc22
53,Jon Bautista,es ESP,FWMF,Real Sociedad,25,1995,4.1,9,2.19,7,0,0,2,0,0,1,0.24,1,0,0,0,0,0,Matches,debc6b55
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,15.5,23,1.48,19,1,2,1,0,0,1,0.06,1,0,0,0,0,0,Matches,ed5c5fa3
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,608bcb88
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,99,3.08,76,0,10,10,2,1,17,0.53,14,0,2,1,0,0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,42,2.25,35,1,2,0,3,1,6,0.32,5,0,0,0,1,0,Matches,b6e50615
58,Álex Berenguer,es ESP,MFFW,Athletic Club,25,1995,25.3,80,3.16,53,14,5,1,5,2,13,0.51,8,1,1,0,1,2,Matches,dc1c2fce
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,8,0.47,5,1,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches,697295b1
60,Blanco,es ESP,MFDF,Real Madrid,20,2000,2.4,5,2.05,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,506daeac
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,11,1.71,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c4dce677
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,967f34d3
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d2ed99b4
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,6,2.15,2,0,0,0,2,2,0,0.00,0,0,0,0,0,0,Matches,8c2c48a9
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,4,0.12,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f6798fc3
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,39,1.30,24,0,5,2,6,2,4,0.13,3,0,1,0,0,0,Matches,d49f3e6b
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,23,1.76,17,0,1,1,3,1,4,0.31,2,0,0,1,0,1,Matches,fd771f95
68,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,17,1.68,15,0,0,1,1,0,1,0.10,1,0,0,0,0,0,Matches,4accb7e0
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b3f97139
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,5,0.25,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,10072610
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,4,0.27,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,3d688b46
72,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c960cfdb
73,Bryan,es ESP,FW,Sevilla,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7b5ab7f2
74,Bryan,es ESP,MFFW,Eibar,19,2001,25.2,98,3.89,64,13,14,3,3,1,8,0.32,5,1,2,0,0,0,Matches,7b5ab7f2
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,24,1.33,15,0,2,4,2,1,1,0.06,0,0,0,1,0,0,Matches,8f3565b3
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,7,0.57,6,0,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches,40449bbd
77,Burgui,es ESP,MF,Alavés,26,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,45e304c8
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28.0,68,2.43,61,2,0,0,3,2,10,0.36,10,0,0,0,0,0,Matches,5ab0ea87
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,6,0.41,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,e7ab4179
80,Cala,es ESP,DF,Cádiz,30,1989,25.2,10,0.40,5,0,1,1,2,1,1,0.04,0,0,0,0,1,0,Matches,fe05804b
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,24,1.40,17,0,2,3,1,1,6,0.35,4,0,1,1,0,0,Matches,6922f806
82,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dd672e1f
83,José Campaña,es ESP,MF,Levante,27,1993,8.3,22,2.65,13,7,1,1,0,0,2,0.24,1,0,1,0,0,0,Matches,61220da2
84,Sergio Canales,es ESP,MFFW,Betis,29,1991,27.8,107,3.86,80,16,4,5,2,0,13,0.47,9,2,1,1,0,0,Matches,a6de370d
85,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,6,2.28,5,0,1,0,0,0,1,0.38,1,0,0,0,0,0,Matches,4aa253fd
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,36,1.52,30,2,1,2,0,1,3,0.13,2,0,0,1,0,0,Matches,37f1cf47
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,13.2,9,0.68,6,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches,5acc4a10
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,28.7,32,1.12,22,8,0,1,1,0,3,0.10,3,0,0,0,0,0,Matches,c4b888df
89,Cárdenas,es ESP,GK,Levante,23,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e1846dde
90,Marc Cardona,es ESP,FWMF,Osasuna,25,1995,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b92b456a
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,31.0,15,0.48,12,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches,b4a014b1
92,Juan Carlos,es ESP,MFFW,Huesca,29,1991,3.2,10,3.09,8,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches,82803509
93,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,26,1993,24.2,88,3.63,53,14,14,4,3,0,17,0.70,10,4,3,0,0,0,Matches,de39485a
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8d6a9c93
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,11.1,17,1.53,16,0,1,0,0,0,3,0.27,3,0,0,0,0,0,Matches,8f898ba8
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,10.6,18,1.71,14,0,1,2,0,1,5,0.47,4,0,0,1,0,0,Matches,4958bfb2
97,William Carvalho,pt POR,MF,Betis,28,1992,13.6,20,1.47,16,0,1,2,1,0,2,0.15,1,0,0,1,0,0,Matches,dee86451
98,Casemiro,br BRA,MF,Real Madrid,28,1992,32.2,53,1.64,44,1,0,2,3,3,8,0.25,7,0,0,1,0,0,Matches,4d224fe8
99,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,37f04799
100,Sofian Chakla,ma MAR,DF,Getafe,26,1993,10.0,2,0.20,2,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,37f04799
101,Chema,es ESP,DFMF,Getafe,28,1992,6.2,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7f203b54
102,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,12.2,26,2.13,19,1,2,0,2,2,4,0.33,4,0,0,0,0,0,Matches,0ac94a23
103,Samuel Chukwueze,ng NGA,MFFW,Villarreal,21,1999,15.2,57,3.76,38,1,8,0,10,0,5,0.33,3,0,1,0,1,0,Matches,b8a642fc
104,Víctor Chust,es ESP,DF,Real Madrid,20,2000,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ec1a731e
105,Cifu,es ESP,DF,Elche,29,1990,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,90f83973
106,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,94084f83
107,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,04ac8285
108,Carlos Clerc,es ESP,DF,Levante,28,1992,30.9,42,1.36,33,6,0,1,2,0,5,0.16,4,1,0,0,0,0,Matches,33a61a52
109,Coke,es ESP,DF,Levante,33,1987,9.3,9,0.97,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,6d8f8441
110,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,8.2,9,1.10,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,a6951bf8
111,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,2.4,5,2.08,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,49ea92be
112,Iñigo Córdoba,es ESP,FWMF,Athletic Club,23,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,49ea92be
113,Ángel Correa,ar ARG,FWMF,Atlético Madrid,25,1995,26.6,80,3.01,56,2,12,5,3,2,16,0.60,11,0,4,0,1,0,Matches,01eb744d
114,Rober Correa,es ESP,DF,Eibar,27,1992,12.6,16,1.27,11,2,0,0,2,1,2,0.16,1,0,0,0,1,0,Matches,46bd3a5b
115,Thierry Correia,pt POR,DF,Valencia,21,1999,23.7,31,1.31,24,0,1,1,2,3,2,0.08,1,0,1,0,0,0,Matches,c78b352d
116,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0,Matches,a190d597
117,Jaume Costa,es ESP,DFMF,Villarreal,32,1988,3.9,7,1.79,6,0,0,0,1,0,1,0.26,1,0,0,0,0,0,Matches,808d48f3
118,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1840e36d
119,Philippe Coutinho,br BRA,MFFW,Barcelona,28,1992,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0,Matches,0ef89a37
120,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,21.8,18,0.83,16,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,a56da3ba
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d858d079
122,Cucho,co COL,FWMF,Getafe,21,1999,16.3,35,2.15,29,0,2,1,3,0,5,0.31,5,0,0,0,0,0,Matches,71b47ab9
123,Marc Cucurella,es ESP,MF,Getafe,22,1998,36.0,80,2.22,63,4,2,0,9,2,5,0.14,3,0,1,0,0,1,Matches,1daec722
124,Patrick Cutrone,it ITA,FW,Valencia,22,1998,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a4fe8cda
125,Moussa Dembélé,fr FRA,FWMF,Atlético Madrid,24,1996,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e7986081
126,Ousmane Dembélé,fr FRA,FWDF,Barcelona,23,1997,19.7,82,4.16,55,9,10,6,2,0,9,0.46,6,0,1,2,0,0,Matches,b19db005
127,Sergiño Dest,us USA,DF,Barcelona,19,2000,21.2,38,1.79,34,1,2,1,0,0,1,0.05,1,0,0,0,0,0,Matches,5976f83e
128,Deyverson,br BRA,FW,Alavés,29,1991,9.7,17,1.75,13,0,0,1,3,0,4,0.41,2,0,0,1,1,0,Matches,2e5e846d
129,Abdoulay Diaby,ml MLI,MF,Getafe,29,1991,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0,Matches,23c5db70
130,Mouctar Diakhaby,gn GUI,DF,Valencia,23,1996,23.1,5,0.22,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d2110326
131,Víctor Díaz,es ESP,DF,Granada,32,1988,9.2,11,1.20,7,3,0,1,0,0,3,0.33,2,0,0,1,0,0,Matches,3624ce4c
132,Papakouli Diop,sn SEN,MF,Eibar,34,1986,25.8,31,1.20,23,2,1,1,2,2,1,0.04,1,0,0,0,0,0,Matches,7329018e
133,Djené,tg TOG,DF,Getafe,28,1991,32.7,14,0.43,10,0,1,0,2,1,4,0.12,2,0,1,0,1,0,Matches,a4971d84
134,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,34.7,7,0.20,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ac295d9e
135,Jaume Doménech,es ESP,GK,Valencia,29,1990,28.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c9cb972b
136,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3521abfe
137,John Donald,es ESP,DFFW,Elche,19,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5e95c000
138,Cheick Doukouré,ci CIV,MF,Levante,27,1992,1.1,1,0.89,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e208bcc8
139,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,8.7,9,1.04,7,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,685857dc
140,Domingos Duarte,pt POR,DF,Granada,25,1995,26.3,11,0.42,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,93090f69
141,Óscar Duarte,cr CRC,DF,Levante,31,1989,22.9,10,0.44,8,1,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches,aa0ac32d
142,Rubén Duarte,es ESP,DF,Alavés,24,1995,28.3,48,1.70,31,15,0,1,1,0,3,0.11,3,0,0,0,0,0,Matches,1fe0492d
143,Unai Dufur,es ESP,DF,Eibar,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c261b5dd
144,Hugo Duro,es ESP,FW,Real Madrid,20,1999,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,37e103f8
145,Aritz Elustondo,es ESP,DF,Real Sociedad,26,1994,20.9,15,0.72,14,0,0,1,0,0,2,0.10,1,0,0,1,0,0,Matches,f7dc2ae5
146,Rodrigo Ely,br BRA,DF,Alavés,26,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fd47b4f2
147,Emerson,br BRA,DF,Betis,21,1999,33.2,64,1.93,53,6,1,0,3,1,5,0.15,4,0,0,0,1,0,Matches,df8b52a5
148,Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,25.7,37,1.44,22,0,4,5,3,3,8,0.31,2,0,2,1,2,1,Matches,04e17fd5
149,Sergi Enrich,es ESP,FW,Eibar,30,1990,15.6,32,2.05,21,0,0,8,1,2,3,0.19,1,0,0,2,0,0,Matches,bb4b1242
150,Aarón Escandell,es ESP,GK,Granada,24,1995,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,67669ce7
151,Dani Escriche,es ESP,FWMF,Huesca,22,1998,9.5,23,2.42,17,0,2,0,3,1,3,0.32,2,0,1,0,0,0,Matches,5a36f180
152,Sergio Escudero,es ESP,DF,Sevilla,30,1989,6.3,11,1.75,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b0616e3d
153,Alfonso Espino,uy URU,DF,Cádiz,28,1992,28.9,22,0.76,16,4,1,0,0,1,5,0.17,4,0,1,0,0,0,Matches,db001fa9
154,Vicente Esquerdo,es ESP,MF,Valencia,21,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,ced26057
155,Pervis Estupiñán,ec ECU,DF,Villarreal,22,1998,13.0,28,2.16,24,0,1,1,2,0,3,0.23,2,0,0,0,1,0,Matches,d38fdf53
156,Xabier Etxeita,es ESP,DF,Getafe,32,1987,9.8,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4a895384
157,Edu Expósito,es ESP,MF,Eibar,23,1996,27.3,84,3.08,48,17,7,3,6,3,5,0.18,4,0,0,1,0,0,Matches,283c7121
158,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0f7dbaf6
159,Fali,es ESP,DFMF,Cádiz,26,1993,29.3,20,0.68,15,0,2,2,1,0,3,0.10,1,0,1,1,0,0,Matches,72a84002
160,Ansu Fati,es ESP,FW,Barcelona,17,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,Matches,0ba976e4
161,Nabil Fekir,fr FRA,MFFW,Betis,27,1993,29.1,138,4.74,78,18,18,7,16,1,17,0.58,9,3,3,0,2,0,Matches,bece776f
162,Felipe,br BRA,DF,Atlético Madrid,31,1989,22.9,8,0.35,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,51a3c4c8
163,João Félix,pt POR,FWMF,Atlético Madrid,20,1999,17.5,46,2.63,33,0,5,4,4,0,10,0.57,7,0,1,1,1,0,Matches,8aafd64f
164,Aitor Fernández,es ESP,GK,Levante,29,1991,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a01c3d54
165,Álex Fernández,es ESP,MF,Cádiz,27,1992,21.6,40,1.85,19,20,0,0,1,0,4,0.18,3,1,0,0,0,0,Matches,aa677a35
166,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f127d782
167,Andrés Fernández,es ESP,GK,Huesca,33,1986,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,307fcd26
168,Augusto Fernández,ar ARG,MF,Cádiz,34,1986,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,78c40e94
169,Carlos Fernández,es ESP,FWMF,Real Sociedad,24,1996,4.3,11,2.54,8,0,0,1,2,0,3,0.69,2,0,0,1,0,0,Matches,e08647d6
