,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f9e1b9c
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0,Matches,81442ecb
3,Bobby Adekanye,nl NED,FWMF,Cádiz,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3ed84b2c
4,Martin Agirregabiria,es ESP,DFMF,Alavés,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches,18abe173
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f2a68b97
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,31f5b89b
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Matches,788be7f9
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0,Matches,4601e194
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches,4bd414c1
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0,Matches,a7a9d95a
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ba71d071
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0,Matches,036bba5f
14,Iván Alejo,es ESP,MFFW,Cádiz,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Matches,3d7e48ce
15,Carles Aleñá,es ESP,MFFW,Getafe,22,1998,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0,Matches,6c811eb7
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6c811eb7
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1c772b46
18,Sergio Álvarez,es ESP,MFDF,Eibar,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,3ecc11d8
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,69c5633e
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,Matches,c46736ab
22,Ángel,es ESP,GK,Granada,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b1e5bbec
23,José Ángel,es ESP,DF,Eibar,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3024e383
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,56cafd0a
25,José Antonio Miranda,gq EQG,MFDF,Getafe,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,683788fd
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f28876e5
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0,Matches,58afe001
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,27a013f7
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0,Matches,2bef2bca
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0,Matches,850c0a0d
31,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,74d9a90b
32,Sergio Arribas,es ESP,FWDF,Real Madrid,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,Matches,1e465e70
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,9f0ea33f
34,Marco Asensio,es ESP,FWMF,Real Madrid,24,1996,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0,Matches,45af8a54
