,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
260,Lee Kangin,kr KOR,MFFW,Valencia,18,2001,5.0,3,2,1,1,1,0,5,0.0,5,113,28,24.8,13,67,33,3,0,0,3,0,3,1,0,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,23,1996,2.2,6,5,3,2,1,2,2,100.0,0,43,18,41.9,15,21,7,3,1,0,2,3,9,6,0,Matches,d717630e
262,Kenedy,br BRA,MFDF,Getafe,23,1996,6.5,11,8,2,5,4,2,3,66.7,1,111,30,27.0,20,62,29,9,1,0,8,11,22,7,0,Matches,5eebbfdf
263,Kike,es ESP,FW,Eibar,29,1989,19.6,11,6,1,4,6,4,12,33.3,8,323,97,30.0,20,113,190,17,2,0,15,2,13,7,0,Matches,e897d8ba
264,Giorgi Kochorashvili,ge GEO,MF,Levante,20,1999,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches,3da1b6ed
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,25,1993,4.0,1,0,0,1,0,1,2,50.0,1,88,18,20.5,7,40,41,2,0,0,2,1,2,3,0,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,27,1992,30.0,79,54,31,34,14,35,94,37.2,59,484,137,28.3,153,236,95,51,9,0,42,22,101,31,1,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,26,1993,20.1,66,47,37,22,7,19,51,37.3,32,460,131,28.5,208,207,45,41,10,0,31,24,90,59,0,Matches,cce181df
268,Jules Koundé,fr FRA,DF,Sevilla,20,1998,25.7,24,17,16,5,3,11,19,57.9,8,187,79,42.2,87,83,17,28,15,2,13,12,36,146,2,Matches,4d1666ff
269,Leonardo Koutris,gr GRE,DF,Mallorca,24,1995,1.0,1,0,0,0,1,0,0,,0,15,6,40.0,9,3,3,2,1,0,1,0,1,6,0,Matches,114b510e
270,İsmail Köybaşı,tr TUR,DFFW,Granada,30,1989,2.6,8,6,5,2,1,0,1,0.0,1,51,15,29.4,25,17,9,3,0,0,3,1,9,7,0,Matches,58640e66
271,Toni Kroos,de GER,MF,Real Madrid,29,1990,29.5,57,41,18,29,10,18,71,25.4,53,594,153,25.8,113,376,105,36,2,0,34,12,69,13,0,Matches,6ce1f46f
272,Takefusa Kubo,jp JPN,MFFW,Mallorca,18,2001,25.7,35,25,16,14,5,16,50,32.0,34,492,126,25.6,130,236,126,32,1,0,31,19,54,11,0,Matches,16aa3654
273,Víctor Laguardia,es ESP,DF,Alavés,29,1989,29.5,25,17,17,8,0,13,33,39.4,20,214,55,25.7,131,81,2,45,16,0,29,17,42,182,1,Matches,b7c99b9b
274,Diego Lainez,mx MEX,MFFW,Betis,19,2000,3.9,7,5,2,4,1,3,10,30.0,7,66,15,22.7,16,38,12,9,0,0,9,0,7,1,0,Matches,bf12926c
275,Larra,es ESP,FWMF,Athletic Club,21,1997,2.8,2,1,0,2,0,1,1,100.0,0,43,9,20.9,5,23,15,5,0,0,5,0,2,1,0,Matches,0d690336
276,Toni Lato,es ESP,DFMF,Osasuna,21,1997,5.2,20,12,10,9,1,5,7,71.4,2,111,32,28.8,36,56,19,13,0,0,13,4,24,16,2,Matches,8e088e04
277,Robin Le Normand,fr FRA,DF,Real Sociedad,22,1996,26.6,46,27,29,17,0,22,36,61.1,14,189,83,43.9,119,67,3,22,7,0,15,14,60,151,1,Matches,9a64e67e
278,Wu Lei,cn CHN,FWMF,Espanyol,27,1991,19.1,18,9,11,4,3,8,44,18.2,36,296,69,23.3,70,146,80,33,0,0,33,10,28,18,1,Matches,e3fabb0a
279,Iñigo Lekue,es ESP,FWDF,Athletic Club,26,1993,6.9,23,15,13,6,4,13,22,59.1,9,118,38,32.2,33,54,31,12,0,0,12,1,24,12,0,Matches,59b7d823
280,Thomas Lemar,fr FRA,MF,Atlético Madrid,23,1995,10.3,12,9,5,5,2,4,12,33.3,8,196,48,24.5,66,97,33,18,0,0,18,5,17,3,0,Matches,4dbd0916
281,Clément Lenglet,fr FRA,DF,Barcelona,24,1995,26.9,50,38,32,16,2,12,29,41.4,17,282,122,43.3,145,128,9,44,19,1,25,15,65,112,1,Matches,4f28a6ff
282,Pedro León,es ESP,MFFW,Eibar,32,1986,21.1,27,15,12,8,7,7,22,31.8,15,382,102,26.7,68,185,129,30,1,0,29,13,40,11,0,Matches,d66b9872
283,Sergio León,es ESP,FW,Levante,30,1989,7.5,6,4,0,4,2,2,7,28.6,5,108,25,23.1,6,51,51,6,0,0,6,2,8,2,0,Matches,0a0cc13c
284,Lillo,es ESP,DF,Osasuna,30,1989,2.2,5,2,3,2,0,4,4,100.0,0,19,4,21.1,7,11,1,3,1,0,2,1,6,9,0,Matches,476ca810
285,Diego Llorente,es ESP,DF,Real Sociedad,25,1993,25.9,32,21,22,10,0,16,29,55.2,13,205,76,37.1,127,74,4,30,9,0,21,19,51,139,2,Matches,bba30585
286,Marcos Llorente,es ESP,MFFW,Atlético Madrid,24,1995,15.2,33,22,8,19,6,8,26,30.8,18,309,98,31.7,58,167,84,30,5,0,25,6,39,15,0,Matches,02c15616
287,Stanislav Lobotka,sk SVK,MF,Celta Vigo,24,1994,15.4,23,17,12,11,0,6,26,23.1,20,234,63,26.9,92,113,29,12,1,0,11,7,30,8,0,Matches,e1cbb531
