,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
335,Roque Mesa,es ESP,MF,Leganés,30,1989,22.4,45,29,18,19,8,12,34,35.3,22,478,134,28.0,151,253,74,32,3,0,29,7,52,6,0,Matches,7c4243d4
336,Lionel Messi,ar ARG,FWMF,Barcelona,32,1987,32.0,14,10,2,3,9,0,18,0.0,18,287,87,30.3,16,124,147,7,0,0,7,4,18,1,0,Matches,d70ce98e
337,Míchel,es ESP,MF,Valladolid,31,1988,24.2,47,32,26,18,3,20,69,29.0,49,525,131,25.0,165,302,58,35,5,0,30,27,74,48,0,Matches,418f8f61
338,Miguel,es ESP,FW,Valladolid,19,1999,2.6,2,1,1,0,1,2,4,50.0,2,50,15,30.0,6,19,25,1,1,0,0,0,2,1,0,Matches,6763373d
339,Éder Militão,br BRA,DF,Real Madrid,21,1998,11.4,23,14,14,9,0,5,10,50.0,5,101,34,33.7,57,42,2,14,7,0,7,14,37,56,1,Matches,2784f898
340,Santi Mina,es ESP,FWMF,Celta Vigo,23,1995,21.6,14,8,6,6,2,4,38,10.5,34,405,101,24.9,66,198,141,24,3,0,21,11,25,27,0,Matches,0b90bb97
341,Jorge Miramón,es ESP,DF,Levante,30,1989,27.0,63,32,42,17,4,26,49,53.1,23,303,90,29.7,165,105,33,65,9,0,56,40,103,72,0,Matches,7f4c7c9f
342,Luka Modrić,hr CRO,MF,Real Madrid,33,1985,22.2,34,17,6,13,15,14,34,41.2,20,403,94,23.3,86,192,125,22,2,0,20,15,49,11,0,Matches,6025fab1
343,Jorge Molina,es ESP,FW,Getafe,37,1982,21.0,9,6,1,4,4,2,14,14.3,12,213,56,26.3,10,100,103,13,2,0,11,4,13,18,0,Matches,43f71e77
344,Jon Moncayola,es ESP,MFDF,Osasuna,21,1998,16.6,55,31,24,25,6,25,59,42.4,34,365,101,27.7,109,219,37,40,5,0,35,7,62,33,1,Matches,9939e168
345,Nacho Monreal,es ESP,DF,Real Sociedad,33,1986,26.6,40,24,23,15,2,24,53,45.3,29,304,81,26.6,119,127,58,58,6,0,52,23,63,84,0,Matches,d4cb83cc
346,Joan Monterde,es ESP,MF,Levante,21,1997,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,1,1,1,0,0,0,0,0,0,0,0,Matches,0ff67313
347,Ángel Montoro,es ESP,MF,Granada,31,1988,10.8,17,11,9,7,1,2,13,15.4,11,156,42,26.9,56,82,18,20,4,0,16,8,25,17,0,Matches,719384c1
348,Álvaro Morata,es ESP,FW,Atlético Madrid,26,1992,23.3,19,15,6,9,4,2,11,18.2,9,328,85,25.9,39,151,138,17,3,0,14,4,23,27,0,Matches,129af0db
349,Alberto Moreno,es ESP,DF,Villarreal,27,1992,16.3,33,21,17,13,3,9,31,29.0,22,232,74,31.9,112,84,36,34,3,0,31,11,44,49,0,Matches,11b9265b
350,Álex Moreno,es ESP,DF,Betis,26,1993,25.2,40,24,28,10,2,7,35,20.0,28,376,108,28.7,165,143,68,47,8,1,39,17,57,75,1,Matches,16e9d0ea
351,Gerard Moreno,es ESP,FWMF,Villarreal,27,1992,30.5,17,14,2,11,4,7,48,14.6,41,392,90,23.0,57,218,117,30,4,0,26,8,25,44,0,Matches,81f0781e
352,Manu Morlanes,es ESP,MFFW,Villarreal,20,1999,2.8,6,5,4,2,0,2,6,33.3,4,66,17,25.8,21,38,7,1,0,0,1,2,8,2,0,Matches,a0255c67
353,Loren Morón,es ESP,FW,Betis,25,1993,22.6,15,10,4,6,5,3,16,18.8,13,373,90,24.1,36,150,187,31,8,0,23,6,21,15,0,Matches,3aa4a3be
354,Toni Moya,es ESP,MF,Atlético Madrid,21,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,9e098912
355,Javi Moyano,es ESP,DF,Valladolid,33,1986,24.7,29,15,18,11,0,5,14,35.7,9,202,56,27.7,97,76,29,41,7,0,34,16,45,82,0,Matches,933e8c8a
356,Iker Muniain,es ESP,FWMF,Athletic Club,26,1992,26.5,34,23,16,11,7,4,25,16.0,21,333,88,26.4,76,166,91,17,0,0,17,10,44,7,0,Matches,c05dfb74
357,Aihen Muñoz,es ESP,DF,Real Sociedad,21,1997,10.9,24,9,9,13,2,11,24,45.8,13,134,55,41.0,58,58,18,19,2,0,17,2,26,27,0,Matches,228b0d9d
358,Javier Muñoz,es ESP,MF,Alavés,24,1995,0.6,0,0,0,0,0,0,0,,0,10,2,20.0,5,5,0,1,1,0,0,0,0,0,0,Matches,ec7c84c2
359,Jeison Murillo,co COL,DF,Celta Vigo,27,1992,17.0,37,17,28,8,1,16,29,55.2,13,152,48,31.6,110,40,2,21,10,0,11,5,42,107,0,Matches,b233e8e4
360,Nacho,es ESP,DF,Valladolid,30,1989,21.0,51,28,30,16,5,15,49,30.6,34,298,96,32.2,188,91,19,51,10,0,41,19,70,67,0,Matches,e29d1111
361,Nacho,es ESP,DF,Real Madrid,29,1990,4.9,12,6,7,4,1,4,12,33.3,8,52,14,26.9,21,25,6,14,3,0,11,7,19,20,1,Matches,2946f9a1
362,Naldo,br BRA,DF,Espanyol,30,1988,14.8,24,14,12,11,1,7,15,46.7,8,117,40,34.2,61,52,4,14,6,0,8,13,37,88,0,Matches,a2609621
363,Marc Navarro,es ESP,DF,Leganés,24,1995,2.4,3,2,2,1,0,2,2,100.0,0,23,2,8.7,11,6,6,2,0,0,2,0,3,8,0,Matches,c2846353
364,Ximo Navarro,es ESP,DF,Alavés,29,1990,21.1,47,27,31,14,2,11,29,37.9,18,269,81,30.1,136,121,12,49,9,0,40,26,73,102,3,Matches,8db394aa
365,Jesús Navas,es ESP,DF,Sevilla,33,1985,37.4,34,19,21,11,2,18,34,52.9,16,230,63,27.4,97,90,43,54,5,1,49,22,56,107,1,Matches,3f10bd22
366,Raúl Navas,es ESP,DF,Osasuna,31,1988,7.9,15,11,8,7,0,3,14,21.4,11,67,29,43.3,39,28,0,19,5,0,14,7,22,39,1,Matches,ad178594
367,Neto,br BRA,GK,Barcelona,30,1989,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,a9dc785c
368,Carlos Neva,es ESP,DF,Granada,23,1996,24.5,17,8,10,4,3,8,17,47.1,9,264,61,23.1,121,111,32,52,4,0,48,17,34,63,1,Matches,8d47bb39
369,Saúl Ñíguez,es ESP,MFDF,Atlético Madrid,24,1994,34.1,98,65,43,46,9,33,91,36.3,58,602,192,31.9,218,280,104,102,17,0,85,22,120,92,1,Matches,c14bc029
370,Fernando Niño,es ESP,FW,Villarreal,18,2000,0.9,3,1,0,3,0,0,1,0.0,1,14,4,28.6,0,8,6,0,0,0,0,0,3,2,0,Matches,81d5c497
371,Nolito,es ESP,FWMF,Celta Vigo,32,1986,3.6,6,4,4,2,0,0,3,0.0,3,73,22,30.1,27,31,15,6,1,0,5,1,7,4,0,Matches,b2d0ec1b
372,Nolito,es ESP,FW,Sevilla,32,1986,10.0,12,9,3,5,4,6,24,25.0,18,141,37,26.2,26,65,50,10,0,0,10,2,14,4,0,Matches,b2d0ec1b
373,Unai Núñez,es ESP,DF,Athletic Club,22,1997,17.5,13,10,10,3,0,5,18,27.8,13,112,38,33.9,76,32,4,30,17,0,13,12,25,125,0,Matches,be170419
374,Allan Nyom,cm CMR,DFMF,Getafe,31,1988,26.9,49,20,28,18,3,17,36,47.2,19,336,97,28.9,143,139,54,38,5,0,33,15,64,82,0,Matches,97572117
375,Jan Oblak,si SVN,GK,Atlético Madrid,26,1993,37.7,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches,ee8508c0
376,Rafael Obrador,es ESP,DF,Mallorca,15,2004,0.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,0,1,0,0,0,0,0,1,1,0,0,Matches,949c3655
377,Lucas Ocampos,ar ARG,FW,Sevilla,25,1994,30.5,52,32,29,13,10,21,73,28.8,52,503,144,28.6,132,198,173,55,5,0,50,15,67,19,0,Matches,a08b974a
378,Martin Ødegaard,no NOR,MF,Real Sociedad,20,1998,28.1,28,18,7,16,5,6,36,16.7,30,517,125,24.2,96,263,158,20,0,0,20,15,43,14,0,Matches,79300479
379,Álvaro Odriozola,es ESP,DF,Real Madrid,23,1995,3.8,8,4,6,2,0,7,11,63.6,4,39,13,33.3,14,16,9,5,0,0,5,3,11,2,0,Matches,1d1691ad
380,Lucas Olaza,uy URU,DF,Celta Vigo,25,1994,34.9,64,36,43,19,2,29,53,54.7,24,379,115,30.3,202,138,39,65,8,0,57,16,80,81,1,Matches,4cee5954
381,Oier Olazábal,es ESP,GK,Espanyol,29,1989,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches,b5bdf144
382,Kiko Olivas,es ESP,DF,Valladolid,30,1988,32.7,40,31,31,8,1,12,41,29.3,29,253,87,34.4,167,80,6,47,13,0,34,31,71,140,3,Matches,72b07a9c
383,Paulo Oliveira,pt POR,DF,Eibar,27,1992,23.2,34,15,26,8,0,13,28,46.4,15,183,58,31.7,105,71,7,38,11,2,27,26,60,154,1,Matches,a8fbae1d
384,Mathías Olivera,uy URU,DF,Getafe,21,1997,20.8,68,38,33,23,12,22,50,44.0,28,367,127,34.6,147,161,59,45,3,0,42,20,88,74,1,Matches,41c12f75
385,Kenneth Omeruo,ng NGA,DF,Leganés,25,1993,20.8,34,24,26,8,0,6,10,60.0,4,141,55,39.0,100,39,2,39,14,0,25,19,53,184,1,Matches,0f0aa5b4
386,Javier Ontiveros,es ESP,FWMF,Villarreal,21,1997,9.9,34,22,14,19,1,7,38,18.4,31,271,68,25.1,92,123,56,14,1,0,13,5,39,6,0,Matches,a83d8b0c
387,Fabián Orellana,cl CHI,MFFW,Eibar,33,1986,26.6,34,21,10,9,15,11,53,20.8,42,382,101,26.4,54,153,175,26,1,0,25,18,52,0,0,Matches,c90977db
388,Aimar Oroz,es ESP,FW,Osasuna,17,2001,0.1,0,0,0,0,0,0,0,,0,7,2,28.6,2,3,2,1,0,0,1,0,0,0,0,Matches,7c363088
389,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,22,1997,33.9,35,21,11,20,4,17,47,36.2,30,434,131,30.2,78,204,152,54,5,0,49,16,51,20,0,Matches,8c3c640c
390,Fernando Pacheco,es ESP,GK,Alavés,27,1992,26.2,0,0,0,0,0,0,3,0.0,3,2,1,50.0,2,0,0,0,0,0,0,0,0,1,0,Matches,97852360
391,Jon Pacheco,es ESP,DF,Real Sociedad,18,2001,0.9,1,1,0,1,0,0,0,,0,9,5,55.6,5,4,0,3,0,0,3,0,1,7,0,Matches,44150beb
392,Daniel Parejo,es ESP,MF,Valencia,30,1989,33.6,62,46,25,30,7,20,96,20.8,76,650,165,25.4,245,309,96,52,14,1,38,22,84,17,1,Matches,7460ca0d
393,Miquel Parera,es ESP,GK,Mallorca,23,1996,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,f9b42381
394,Thomas Partey,gh GHA,MF,Atlético Madrid,26,1993,28.3,65,45,34,28,3,26,65,40.0,39,445,138,31.0,179,219,47,56,9,0,47,28,93,54,2,Matches,529f49ab
395,Paulino,es ESP,MF,Alavés,22,1997,0.8,1,1,0,1,0,0,1,0.0,1,13,7,53.8,3,7,3,1,0,0,1,0,1,1,0,Matches,f20fce1b
396,Gabriel Paulista,br BRA,DF,Valencia,28,1990,31.1,16,9,11,3,2,9,23,39.1,14,117,41,35.0,89,23,5,49,30,0,19,24,40,218,4,Matches,b7ca5c51
397,Alfonso Pedraza,es ESP,DF,Betis,23,1996,15.0,33,20,21,10,2,13,32,40.6,19,195,63,32.3,75,84,36,38,6,0,32,10,43,37,2,Matches,63f04c6c
398,Marc Pedraza,es ESP,MF,Mallorca,32,1987,1.4,2,2,1,1,0,1,5,20.0,4,17,6,35.3,5,12,0,0,0,0,0,4,6,2,0,Matches,ff8f26ef
399,Pedrosa,es ESP,DFMF,Espanyol,21,1998,12.1,23,15,10,10,3,7,25,28.0,18,222,69,31.1,83,86,53,31,1,0,30,11,34,33,0,Matches,112521d1
400,Rubén Peña,es ESP,DF,Villarreal,28,1991,21.2,48,32,29,17,2,19,53,35.8,34,400,111,27.8,178,169,53,51,8,1,43,20,68,60,0,Matches,1f079188
401,Luis Perea,es ESP,FWMF,Osasuna,21,1997,0.2,0,0,0,0,0,0,0,,0,9,4,44.4,1,5,3,0,0,0,0,0,0,0,0,Matches,8dc6dbb3
402,Victor Perea,es ESP,DF,Espanyol,19,2000,14.1,18,9,8,9,1,8,18,44.4,10,182,43,23.6,71,89,22,32,0,0,32,17,35,25,0,Matches,b7de5bad
403,Carles Pérez,es ESP,FW,Barcelona,21,1998,5.3,5,3,3,0,2,0,8,0.0,8,75,24,32.0,8,38,29,4,1,0,3,1,6,4,0,Matches,a8f21b9f
404,Iñigo Pérez,es ESP,MF,Osasuna,31,1988,12.0,15,7,5,7,3,5,20,25.0,15,192,58,30.2,55,107,30,16,1,0,15,10,25,8,0,Matches,bc61cc65
405,Juan Pérez,es ESP,GK,Osasuna,23,1996,2.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches,8f29e08b
406,Kike Pérez,es ESP,MFFW,Valladolid,22,1997,2.4,8,5,2,5,1,3,7,42.9,4,72,22,30.6,20,44,8,2,0,0,2,5,13,3,0,Matches,237a3851
407,Lucas Pérez,es ESP,FW,Alavés,30,1988,27.7,12,10,3,7,2,2,19,10.5,17,391,107,27.4,28,196,167,13,1,0,12,4,16,5,0,Matches,a300ac7e
408,Rubén Pérez,es ESP,MF,Leganés,30,1989,24.4,60,42,32,23,5,16,56,28.6,40,479,156,32.6,173,257,49,46,5,0,41,28,88,45,0,Matches,3c7bc9bd
409,Samu Pérez,es ESP,GK,Valladolid,22,1997,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,aae17c81
410,Pablo Piatti,ar ARG,DFMF,Espanyol,30,1989,0.6,2,1,1,1,0,1,2,50.0,1,11,4,36.4,1,3,7,1,0,0,1,0,2,2,0,Matches,48e89655
411,Cristiano Piccini,it ITA,DF,Valencia,26,1992,0.8,4,0,1,2,1,2,3,66.7,1,16,3,18.8,5,9,2,1,0,0,1,2,6,1,0,Matches,32c0491f
412,Tomás Pina Isla,es ESP,MF,Alavés,31,1987,14.9,34,21,13,18,3,9,20,45.0,11,231,63,27.3,93,117,21,18,5,0,13,11,45,51,0,Matches,e54bd0a2
413,Pipa,es ESP,DF,Espanyol,21,1998,5.3,13,6,9,4,0,6,11,54.5,5,80,26,32.5,39,27,14,13,1,0,12,3,16,18,0,Matches,10f1cd17
414,Gerard Piqué,es ESP,DF,Barcelona,32,1987,34.4,37,22,21,16,0,14,29,48.3,15,244,83,34.0,128,109,7,66,26,2,40,36,73,182,1,Matches,adfc9123
415,Óscar Plano,es ESP,MF,Valladolid,28,1991,27.8,51,32,26,22,3,16,49,32.7,33,426,124,29.1,142,192,92,62,3,0,59,23,74,36,0,Matches,7c388b20
416,Pere Pons,es ESP,MF,Alavés,26,1993,12.1,25,20,10,13,2,8,15,53.3,7,248,65,26.2,78,136,34,18,3,0,15,9,34,13,0,Matches,29b61deb
417,Pedro Porro,es ESP,DFMF,Valladolid,19,1999,8.2,18,14,16,2,0,9,20,45.0,11,98,24,24.5,54,33,11,17,0,0,17,3,21,20,1,Matches,27d0a506
418,Francisco Portillo,es ESP,MF,Getafe,29,1990,4.2,11,5,3,7,1,4,11,36.4,7,96,32,33.3,20,57,19,5,0,0,5,3,14,4,0,Matches,8e010ff4
419,Portu,es ESP,FWMF,Real Sociedad,27,1992,26.6,38,23,16,11,11,15,46,32.6,31,435,112,25.7,90,189,156,39,3,0,36,12,50,5,1,Matches,1bda5842
420,Sergio Postigo,es ESP,DF,Levante,30,1988,26.4,32,21,21,10,1,9,22,40.9,13,213,67,31.5,134,65,14,29,14,0,15,26,58,179,2,Matches,474ecac8
421,Florent Poulolo,mq MTQ,MF,Getafe,22,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches,07129f3c
422,Darío Poveda,es ESP,FW,Atlético Madrid,22,1997,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,0,0,0,Matches,cbdf7d5c
423,Alejandro Pozo Pozo,es ESP,FWMF,Sevilla,20,1999,0.4,2,1,2,0,0,1,3,33.3,2,24,5,20.8,7,11,6,0,0,0,0,0,2,0,0,Matches,3c16d927
424,Alejandro Pozo Pozo,es ESP,DF,Mallorca,20,1999,16.6,39,32,32,7,0,18,43,41.9,25,306,91,29.7,166,86,54,31,3,0,28,18,57,32,2,Matches,3c16d927
425,Abdón Prats,es ESP,FWMF,Mallorca,26,1992,3.1,2,0,0,1,1,0,3,0.0,3,49,16,32.7,3,24,22,0,0,0,0,0,2,0,0,Matches,d1b060e2
426,Antonio Puertas,es ESP,FWMF,Granada,27,1992,28.5,39,24,9,21,9,14,50,28.0,36,476,126,26.5,85,245,146,31,3,0,28,9,48,20,0,Matches,c77a8043
427,Riqui Puig,es ESP,MF,Barcelona,19,1999,5.7,10,6,1,7,2,3,18,16.7,15,148,29,19.6,23,94,31,4,0,0,4,3,13,1,0,Matches,f090a37a
428,Quini,es ESP,DF,Granada,29,1989,8.0,25,12,19,6,0,10,18,55.6,8,112,37,33.0,59,39,14,12,1,0,11,6,31,16,0,Matches,7a538238
429,Xavi Quintillà,es ESP,DF,Villarreal,22,1996,17.5,25,11,17,7,1,9,15,60.0,6,204,62,30.4,90,86,28,32,3,0,29,7,32,44,0,Matches,84fb6aff
430,Quique,es ESP,FW,Eibar,29,1990,5.4,2,2,1,1,0,0,2,0.0,2,115,48,41.7,7,34,74,7,1,0,6,1,3,4,0,Matches,c966fce1
431,Nemanja Radoja,rs SRB,MF,Levante,26,1993,22.1,36,22,15,21,0,13,49,26.5,36,323,85,26.3,134,165,24,33,5,0,28,14,50,59,0,Matches,b5dd3469
432,Rafinha,br BRA,MF,Celta Vigo,26,1993,23.5,76,53,34,36,6,16,53,30.2,37,508,161,31.7,153,261,94,50,7,0,43,15,91,22,0,Matches,0c2ac3cb
433,Rafinha,br BRA,FWMF,Barcelona,26,1993,2.1,3,3,1,1,1,0,1,0.0,1,14,5,35.7,2,5,7,1,0,0,1,1,4,0,0,Matches,0c2ac3cb
434,Baba Rahman,gh GHA,DF,Mallorca,25,1994,1.2,2,2,2,0,0,0,0,,0,10,4,40.0,5,1,4,4,1,0,3,2,4,3,0,Matches,e4086af3
435,Antonio Raillo,es ESP,DF,Mallorca,27,1991,30.8,43,32,36,6,1,15,21,71.4,6,256,100,39.1,193,58,5,43,24,0,19,11,54,138,1,Matches,b857bd29
436,Ivan Rakitić,hr CRO,MF,Barcelona,31,1988,17.7,25,19,7,12,6,8,24,33.3,16,293,96,32.8,60,148,85,27,5,0,22,10,35,23,0,Matches,89f951b5
437,Sandro Ramírez,es ESP,FWMF,Valladolid,24,1995,14.5,9,9,1,4,4,1,17,5.9,16,249,49,19.7,30,129,90,12,1,0,11,5,14,3,0,Matches,833fb62e
438,Iván Ramis,es ESP,DF,Eibar,34,1984,5.1,6,2,5,1,0,1,6,16.7,5,25,7,28.0,11,13,1,3,0,0,3,4,10,52,1,Matches,d2be40f2
439,Adrián Ramos,co COL,FW,Granada,33,1986,2.5,3,1,0,1,2,0,3,0.0,3,38,8,21.1,2,15,21,4,0,0,4,0,3,2,0,Matches,c693cf7c
440,Sergio Ramos,es ESP,DF,Real Madrid,33,1986,33.5,60,46,37,23,0,25,46,54.3,21,266,102,38.3,151,102,13,39,12,2,27,31,91,116,4,Matches,08511d65
441,Raúl,es ESP,FWMF,Betis,18,2000,0.2,0,0,0,0,0,0,2,0.0,2,12,1,8.3,2,5,5,0,0,0,0,0,0,0,0,Matches,18f0a9f0
442,Recio,es ESP,MF,Leganés,28,1991,17.4,31,23,13,15,3,14,46,30.4,32,302,70,23.2,90,170,42,21,5,1,16,16,47,19,0,Matches,54073b28
443,Sergio Reguilón,es ESP,DF,Sevilla,22,1996,27.9,57,33,31,22,4,29,62,46.8,33,354,101,28.5,145,144,65,39,6,0,33,20,77,89,0,Matches,3353737a
444,Manolo Reina,es ESP,GK,Mallorca,34,1985,36.0,0,0,0,0,0,0,2,0.0,2,5,1,20.0,5,0,0,1,0,0,1,0,0,1,0,Matches,605eb473
445,Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,4,0,Matches,374ee424
446,Nico Ribaudo,es ESP,FWMF,Espanyol,18,2001,2.0,3,1,2,0,1,2,6,33.3,4,43,11,25.6,18,17,8,3,0,0,3,0,3,0,0,Matches,ce8039aa
447,Luis Rioja,es ESP,MF,Alavés,25,1993,18.2,18,14,9,8,1,6,25,24.0,19,291,60,20.6,77,157,57,24,0,0,24,9,27,16,0,Matches,eb3dd471
448,Rodrigo Riquelme,es ESP,MF,Atlético Madrid,19,2000,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,1,0,0,1,0,0,0,0,Matches,65154df0
449,Cristian Rivera,es ESP,MF,Leganés,22,1997,3.5,3,3,1,1,1,1,3,33.3,2,48,12,25.0,19,27,2,7,2,0,5,3,6,5,0,Matches,8ef81d2d
450,Rober,es ESP,DF,Levante,24,1995,2.1,3,2,2,0,1,1,2,50.0,1,25,7,28.0,17,7,1,0,0,0,0,1,4,4,0,Matches,c00097d2
451,Roberto,es ESP,GK,Alavés,33,1986,8.8,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0,Matches,ba3ca78f
452,Sergi Roberto,es ESP,DFMF,Barcelona,27,1992,26.0,27,19,13,9,5,9,24,37.5,15,237,70,29.5,61,111,65,33,4,1,29,19,46,46,1,Matches,335fa267
453,Joel Robles,es ESP,GK,Betis,29,1990,32.1,0,0,0,0,0,0,2,0.0,2,4,0,0.0,4,0,0,0,0,0,0,0,0,3,1,Matches,cda0b317
454,Marc Roca,es ESP,MF,Espanyol,22,1996,33.4,85,61,35,43,7,29,87,33.3,58,707,205,29.0,243,399,65,42,11,0,31,30,115,75,1,Matches,da27e268
455,Rubén Rochina,es ESP,MF,Levante,28,1991,20.8,44,25,25,11,8,19,47,40.4,28,334,89,26.6,100,157,77,27,0,0,27,13,57,29,0,Matches,ecd8c01e
456,Rodrigo,es ESP,FW,Valencia,28,1991,20.9,11,7,4,5,2,1,18,5.6,17,327,94,28.7,54,160,113,14,2,0,12,7,18,16,0,Matches,1fb1c435
457,Kévin Rodrigues,pt POR,DFMF,Leganés,25,1994,21.5,63,32,30,23,10,18,43,41.9,25,386,113,29.3,136,162,88,44,3,0,41,17,80,35,0,Matches,f1bed920
458,Kévin Rodrigues,pt POR,DF,Real Sociedad,25,1994,0.1,1,0,1,0,0,1,1,100.0,0,5,1,20.0,3,0,2,0,0,0,0,0,1,0,0,Matches,f1bed920
459,Ángel Rodríguez,es ESP,FW,Getafe,32,1987,15.6,15,12,1,6,8,1,12,8.3,11,301,80,26.6,14,140,147,11,1,0,10,6,21,9,0,Matches,8cfc2f69
460,Óscar Rodríguez Arnaiz,es ESP,MFFW,Leganés,21,1998,21.3,20,10,8,7,5,11,45,24.4,34,356,76,21.3,76,174,106,35,0,0,35,10,30,17,0,Matches,19709006
461,Dani Rodríguez,es ESP,MFFW,Mallorca,31,1988,33.8,64,36,25,27,12,14,54,25.9,40,762,199,26.1,189,389,184,51,4,0,47,18,82,34,0,Matches,70f8e0bd
462,Guido Rodríguez,ar ARG,MF,Betis,25,1994,10.4,30,21,13,14,3,12,30,40.0,18,182,57,31.3,72,90,20,11,4,0,7,6,36,25,0,Matches,34e393f2
463,James Rodríguez,co COL,MF,Real Madrid,28,1991,4.7,17,11,6,8,3,3,8,37.5,5,77,27,35.1,20,38,19,5,0,0,5,4,21,1,0,Matches,715bf047
464,Mario Rodriguez,es ESP,FW,Granada,22,1997,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches,a5cdedc7
465,Rodrygo,br BRA,FW,Real Madrid,18,2001,11.3,5,4,1,4,0,2,20,10.0,18,182,43,23.6,33,91,58,17,2,0,15,8,13,5,0,Matches,8f5e92a6
466,Luka Romero,ar ARG,MF,Mallorca,14,2004,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,0,0,Matches,ca6edaa0
467,Facundo Roncaglia,ar ARG,DF,Osasuna,32,1987,14.2,29,18,15,12,2,10,22,45.5,12,149,53,35.6,80,56,13,30,5,0,25,19,48,66,1,Matches,51e3954c
468,Roberto Rosales,ve VEN,DF,Leganés,30,1988,20.8,39,23,23,14,2,22,45,48.9,23,236,72,30.5,91,96,49,38,3,0,35,10,49,58,0,Matches,81069528
469,Rubén,es ESP,GK,Osasuna,35,1984,17.6,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0,Matches,24279b8b
470,Waldo Rubio,es ESP,MFFW,Valladolid,23,1995,9.8,15,9,9,3,3,7,30,23.3,23,171,40,23.4,62,72,37,12,1,0,11,9,24,12,0,Matches,ccaa5728
471,Aitor Ruibal,es ESP,DFFW,Leganés,23,1996,13.6,30,18,16,13,1,13,42,31.0,29,284,79,27.8,94,115,75,18,2,0,16,11,41,15,0,Matches,a55d8df5
472,Jorge Sáenz,es ESP,DFFW,Celta Vigo,22,1996,4.1,4,0,4,0,0,0,2,0.0,2,52,13,25.0,29,21,2,6,2,0,4,4,8,23,0,Matches,bfca375c
473,Borja Sainz,es ESP,MFFW,Alavés,18,2001,6.4,16,11,4,10,2,5,21,23.8,16,203,40,19.7,59,103,41,12,0,0,12,2,18,0,0,Matches,1b40049a
474,Yannis Salibur,fr FRA,MFFW,Mallorca,28,1991,0.9,0,0,0,0,0,0,1,0.0,1,12,4,33.3,1,8,3,1,0,0,1,1,1,2,0,Matches,bb4a42be
475,Mohammed Salisu,gh GHA,DF,Valladolid,20,1999,30.3,52,33,40,12,0,19,38,50.0,19,235,72,30.6,168,64,3,44,28,1,16,16,68,243,4,Matches,0b33f6ad
476,Fede San Emeterio,es ESP,MF,Valladolid,22,1997,19.5,27,17,13,13,1,9,47,19.1,38,402,108,26.9,164,204,34,32,7,0,25,18,45,25,0,Matches,efecd633
477,Mikel San José,es ESP,MF,Athletic Club,30,1989,4.0,8,7,3,2,3,1,11,9.1,10,70,21,30.0,24,35,11,6,1,0,5,4,12,17,0,Matches,003a5c72
478,Oihan Sancet,es ESP,MF,Athletic Club,19,2000,8.2,8,6,3,4,1,1,10,10.0,9,207,52,25.1,32,112,63,7,0,0,7,3,11,3,0,Matches,bdb624a3
479,Germán Sánchez,es ESP,DF,Granada,32,1986,25.5,20,12,16,4,0,6,18,33.3,12,112,32,28.6,63,46,3,45,23,0,22,6,26,161,2,Matches,ea9b2ef9
480,Javi Sánchez,es ESP,DF,Valladolid,22,1997,5.5,10,6,7,3,0,4,7,57.1,3,39,14,35.9,20,18,1,9,2,0,7,1,11,29,0,Matches,60359288
