,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
296,Roberto López,es ESP,MFFW,Real Sociedad,19,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a8c9f98
297,Unai López,es ESP,MF,Athletic Club,23,1995,19.9,1,28,9,32.1,1.41,0.45,0.04,0.11,27.1,5,0,0,0.8,0.8,0.03,+0.2,+0.2,Matches,88050721
298,Losada,es ESP,MFFW,Celta Vigo,17,2001,0.1,1,1,1,100.0,6.92,6.92,1.00,1.00,17.7,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Matches,41521385
299,Pol Lozano,es ESP,MFFW,Espanyol,19,1999,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ea610f00
300,José Luis Gayà,es ESP,DF,Valencia,24,1995,22.1,0,9,2,22.2,0.41,0.09,0.00,0.00,18.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,b05e2dbd
301,José Luis Morales,es ESP,FWMF,Levante,32,1987,28.0,4,39,14,35.9,1.39,0.50,0.10,0.29,16.9,0,0,0,4.7,4.7,0.12,-0.7,-0.7,Matches,4a478107
302,José Luis Rodríguez,pa PAN,FW,Alavés,21,1998,0.2,0,1,1,100.0,4.09,4.09,0.00,0.00,24.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,b333b014
303,Darwin Machís,ve VEN,FWMF,Granada,26,1993,23.7,7,72,27,37.5,3.04,1.14,0.08,0.22,20.7,2,1,1,6.0,5.2,0.07,+1.0,+0.8,Matches,ed6ea4d9
304,Lisandro Magallán,ar ARG,DF,Alavés,25,1993,13.3,1,6,1,16.7,0.45,0.08,0.17,1.00,9.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches,01a49bd2
305,Abdallahi Mahmoud,mr MTN,MF,Alavés,19,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab99e4a0
306,Nemanja Maksimović,rs SRB,MF,Getafe,24,1995,32.2,2,32,11,34.4,0.99,0.34,0.06,0.18,13.5,0,0,0,3.0,3.0,0.09,-1.0,-1.0,Matches,00b28772
307,Hugo Mallo,es ESP,DF,Celta Vigo,28,1991,21.8,0,6,3,50.0,0.27,0.14,0.00,0.00,18.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,cb574619
308,Aïssa Mandi,dz ALG,DF,Betis,27,1991,28.6,0,10,3,30.0,0.35,0.10,0.00,0.00,10.5,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches,fbd6378b
309,Eliaquim Mangala,fr FRA,DF,Valencia,28,1991,7.5,0,1,0,0.0,0.13,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,f520049f
310,Marcelo,br BRA,DF,Real Madrid,31,1988,14.4,1,17,6,35.3,1.18,0.42,0.06,0.17,22.5,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,603116a7
311,Óscar de Marcos,es ESP,DFFW,Athletic Club,30,1989,6.0,0,1,0,0.0,0.17,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,9f323c71
312,Miguel Marí,es ESP,MF,Eibar,22,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d70a3661
313,José María Giménez,uy URU,DF,Atlético Madrid,24,1995,19.5,0,11,2,18.2,0.56,0.10,0.00,0.00,11.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,f0da930c
314,Mariano,do DOM,FW,Real Madrid,25,1993,0.5,1,5,2,40.0,10.00,4.00,0.20,0.50,11.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,5c4dc0ff
315,Adrián Marín,es ESP,DF,Alavés,22,1997,9.5,0,3,0,0.0,0.32,0.00,0.00,,15.0,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches,b7f2edff
316,Guillermo Maripán,cl CHI,DF,Alavés,25,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d9764034
317,Roger Martí,es ESP,FW,Levante,28,1991,25.2,11,53,20,37.7,2.10,0.79,0.13,0.35,17.4,0,4,4,10.4,7.4,0.14,+0.6,-0.4,Matches,0ae4e09a
318,Daniel Martín,es ESP,GK,Betis,21,1998,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4df0dff8
319,Álex Martínez,es ESP,DF,Granada,28,1990,0.2,0,1,0,0.0,6.00,0.00,0.00,,20.6,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,e1c805cf
320,Iñigo Martínez,es ESP,DF,Athletic Club,28,1991,33.0,1,27,4,14.8,0.82,0.12,0.04,0.25,15.0,4,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,3fc45c73
321,Javi Martínez,es ESP,MF,Osasuna,19,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3672b352
322,Pablo Martínez,es ESP,MFFW,Levante,21,1998,0.4,0,1,0,0.0,2.73,0.00,0.00,,22.8,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ecc77652
323,Jordi Masip,es ESP,GK,Valladolid,30,1989,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8fae77ea
324,Jaime Mata,es ESP,FW,Getafe,30,1988,30.5,11,51,20,39.2,1.67,0.66,0.16,0.40,13.8,0,3,4,9.4,6.3,0.12,+1.6,+1.7,Matches,02319ad7
325,Borja Mayoral,es ESP,FW,Levante,22,1997,23.8,8,45,18,40.0,1.89,0.76,0.18,0.44,12.7,0,0,0,7.7,7.7,0.17,+0.3,+0.3,Matches,64e8ed6d
326,Óscar Melendo,es ESP,MFFW,Espanyol,21,1997,12.4,0,3,0,0.0,0.24,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,379652be
327,Gonzalo Melero,es ESP,MF,Levante,25,1994,13.7,2,17,7,41.2,1.24,0.51,0.06,0.14,13.8,0,1,1,2.4,1.6,0.09,-0.4,-0.6,Matches,3902e91b
328,Arthur Melo,br BRA,MF,Barcelona,22,1996,13.1,3,8,5,62.5,0.61,0.38,0.38,0.60,23.2,0,0,0,1.3,1.3,0.16,+1.7,+1.7,Matches,48b3dd60
329,Brais Méndez,es ESP,MFFW,Celta Vigo,22,1997,16.4,0,24,8,33.3,1.46,0.49,0.00,0.00,22.0,0,0,0,1.5,1.5,0.06,-1.5,-1.5,Matches,c9e39d91
330,Édgar Méndez,es ESP,MFFW,Alavés,29,1990,9.6,1,9,4,44.4,0.94,0.42,0.11,0.25,20.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,aed746df
331,Ferland Mendy,fr FRA,DF,Real Madrid,24,1995,20.1,1,7,2,28.6,0.35,0.10,0.14,0.50,21.4,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,3cefcaef
332,Fran Mérida,es ESP,MF,Osasuna,29,1990,12.9,0,13,2,15.4,1.01,0.16,0.00,0.00,27.3,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,0e50f929
333,Mikel Merino,es ESP,MF,Real Sociedad,23,1996,34.9,5,44,14,31.8,1.26,0.40,0.11,0.36,18.0,1,0,0,2.8,2.8,0.06,+2.2,+2.2,Matches,d080ed5e
334,Sabin Merino,es ESP,FW,Leganés,27,1992,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d5f96d9
335,Roque Mesa,es ESP,MF,Leganés,30,1989,22.4,1,26,9,34.6,1.16,0.40,0.04,0.11,24.6,1,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,7c4243d4
336,Lionel Messi,ar ARG,FWMF,Barcelona,32,1987,32.0,25,154,63,40.9,4.81,1.97,0.13,0.32,20.1,43,5,5,19.2,15.4,0.10,+5.8,+4.6,Matches,d70ce98e
337,Míchel,es ESP,MF,Valladolid,31,1988,24.2,1,11,2,18.2,0.45,0.08,0.00,0.00,25.2,2,1,1,1.2,0.5,0.04,-0.2,-0.5,Matches,418f8f61
338,Miguel,es ESP,FW,Valladolid,19,1999,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6763373d
339,Éder Militão,br BRA,DF,Real Madrid,21,1998,11.4,0,3,1,33.3,0.26,0.09,0.00,0.00,11.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,2784f898
340,Santi Mina,es ESP,FWMF,Celta Vigo,23,1995,21.6,6,48,14,29.2,2.22,0.65,0.13,0.43,15.5,1,0,0,5.6,5.6,0.12,+0.4,+0.4,Matches,0b90bb97
341,Jorge Miramón,es ESP,DF,Levante,30,1989,27.0,0,9,2,22.2,0.33,0.07,0.00,0.00,24.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,7f4c7c9f
342,Luka Modrić,hr CRO,MF,Real Madrid,33,1985,22.2,3,30,13,43.3,1.35,0.59,0.10,0.23,21.6,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches,6025fab1
343,Jorge Molina,es ESP,FW,Getafe,37,1982,21.0,5,30,7,23.3,1.43,0.33,0.10,0.43,12.8,0,2,2,5.5,4.0,0.13,-0.5,-1.0,Matches,43f71e77
344,Jon Moncayola,es ESP,MFDF,Osasuna,21,1998,16.6,1,14,3,21.4,0.84,0.18,0.07,0.33,25.5,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,9939e168
345,Nacho Monreal,es ESP,DF,Real Sociedad,33,1986,26.6,2,16,5,31.3,0.60,0.19,0.13,0.40,12.0,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches,d4cb83cc
346,Joan Monterde,es ESP,MF,Levante,21,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0ff67313
347,Ángel Montoro,es ESP,MF,Granada,31,1988,10.8,2,14,5,35.7,1.29,0.46,0.14,0.40,27.1,1,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches,719384c1
348,Álvaro Morata,es ESP,FW,Atlético Madrid,26,1992,23.3,12,64,27,42.2,2.75,1.16,0.16,0.37,12.0,0,2,3,13.1,10.9,0.17,-1.1,-0.9,Matches,129af0db
349,Alberto Moreno,es ESP,DF,Villarreal,27,1992,16.3,0,9,3,33.3,0.55,0.18,0.00,0.00,18.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,11b9265b
350,Álex Moreno,es ESP,DF,Betis,26,1993,25.2,0,25,8,32.0,0.99,0.32,0.00,0.00,16.1,0,0,0,2.2,2.2,0.09,-2.2,-2.2,Matches,16e9d0ea
351,Gerard Moreno,es ESP,FWMF,Villarreal,27,1992,30.5,18,85,32,37.6,2.79,1.05,0.20,0.53,13.9,0,1,2,13.5,12.0,0.14,+4.5,+5.0,Matches,81f0781e
352,Manu Morlanes,es ESP,MFFW,Villarreal,20,1999,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a0255c67
353,Loren Morón,es ESP,FW,Betis,25,1993,22.6,10,49,18,36.7,2.17,0.80,0.20,0.56,14.2,0,0,0,7.9,7.9,0.16,+2.1,+2.1,Matches,3aa4a3be
354,Toni Moya,es ESP,MF,Atlético Madrid,21,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9e098912
355,Javi Moyano,es ESP,DF,Valladolid,33,1986,24.7,0,6,0,0.0,0.24,0.00,0.00,,14.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,933e8c8a
356,Iker Muniain,es ESP,FWMF,Athletic Club,26,1992,26.5,5,28,13,46.4,1.06,0.49,0.18,0.38,15.5,1,0,0,4.0,4.0,0.14,+1.0,+1.0,Matches,c05dfb74
357,Aihen Muñoz,es ESP,DF,Real Sociedad,21,1997,10.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,228b0d9d
358,Javier Muñoz,es ESP,MF,Alavés,24,1995,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ec7c84c2
359,Jeison Murillo,co COL,DF,Celta Vigo,27,1992,17.0,1,9,6,66.7,0.53,0.35,0.11,0.17,15.1,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,b233e8e4
360,Nacho,es ESP,DF,Valladolid,30,1989,21.0,0,10,2,20.0,0.48,0.10,0.00,0.00,23.4,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,e29d1111
361,Nacho,es ESP,DF,Real Madrid,29,1990,4.9,1,6,1,16.7,1.23,0.21,0.17,1.00,22.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,2946f9a1
362,Naldo,br BRA,DF,Espanyol,30,1988,14.8,0,7,0,0.0,0.47,0.00,0.00,,11.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a2609621
363,Marc Navarro,es ESP,DF,Leganés,24,1995,2.4,0,5,0,0.0,2.05,0.00,0.00,,18.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,c2846353
364,Ximo Navarro,es ESP,DF,Alavés,29,1990,21.1,0,7,1,14.3,0.33,0.05,0.00,0.00,20.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,8db394aa
365,Jesús Navas,es ESP,DF,Sevilla,33,1985,37.4,0,10,2,20.0,0.27,0.05,0.00,0.00,25.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,3f10bd22
366,Raúl Navas,es ESP,DF,Osasuna,31,1988,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad178594
367,Neto,br BRA,GK,Barcelona,30,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a9dc785c
368,Carlos Neva,es ESP,DF,Granada,23,1996,24.5,0,7,4,57.1,0.29,0.16,0.00,0.00,16.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,8d47bb39
369,Saúl Ñíguez,es ESP,MFDF,Atlético Madrid,24,1994,34.1,6,41,8,19.5,1.20,0.23,0.10,0.50,18.1,2,2,2,4.3,2.8,0.07,+1.7,+1.2,Matches,c14bc029
370,Fernando Niño,es ESP,FW,Villarreal,18,2000,0.9,1,1,1,100.0,1.08,1.08,1.00,1.00,17.0,0,0,0,0.3,0.3,0.27,+0.7,+0.7,Matches,81d5c497
371,Nolito,es ESP,FWMF,Celta Vigo,32,1986,3.6,2,6,4,66.7,1.67,1.11,0.17,0.25,19.2,2,1,1,2.0,1.3,0.21,0.0,-0.3,Matches,b2d0ec1b
372,Nolito,es ESP,FW,Sevilla,32,1986,10.0,3,28,12,42.9,2.81,1.20,0.11,0.25,16.3,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches,b2d0ec1b
373,Unai Núñez,es ESP,DF,Athletic Club,22,1997,17.5,0,8,3,37.5,0.46,0.17,0.00,0.00,11.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,be170419
374,Allan Nyom,cm CMR,DFMF,Getafe,31,1988,26.9,2,13,5,38.5,0.48,0.19,0.15,0.40,14.9,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches,97572117
375,Jan Oblak,si SVN,GK,Atlético Madrid,26,1993,37.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ee8508c0
376,Rafael Obrador,es ESP,DF,Mallorca,15,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,949c3655
377,Lucas Ocampos,ar ARG,FW,Sevilla,25,1994,30.5,14,81,31,38.3,2.66,1.02,0.11,0.29,17.1,0,5,5,10.6,6.8,0.08,+3.4,+2.2,Matches,a08b974a
378,Martin Ødegaard,no NOR,MF,Real Sociedad,20,1998,28.1,4,49,17,34.7,1.75,0.61,0.08,0.24,21.3,4,0,0,3.3,3.3,0.07,+0.7,+0.7,Matches,79300479
379,Álvaro Odriozola,es ESP,DF,Real Madrid,23,1995,3.8,0,2,0,0.0,0.52,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,1d1691ad
380,Lucas Olaza,uy URU,DF,Celta Vigo,25,1994,34.9,1,19,5,26.3,0.54,0.14,0.05,0.20,26.8,7,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,4cee5954
381,Oier Olazábal,es ESP,GK,Espanyol,29,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b5bdf144
382,Kiko Olivas,es ESP,DF,Valladolid,30,1988,32.7,2,10,4,40.0,0.31,0.12,0.20,0.50,8.4,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches,72b07a9c
383,Paulo Oliveira,pt POR,DF,Eibar,27,1992,23.2,1,12,4,33.3,0.52,0.17,0.08,0.25,9.3,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,a8fbae1d
384,Mathías Olivera,uy URU,DF,Getafe,21,1997,20.8,0,6,1,16.7,0.29,0.05,0.00,0.00,11.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,41c12f75
385,Kenneth Omeruo,ng NGA,DF,Leganés,25,1993,20.8,1,4,1,25.0,0.19,0.05,0.25,1.00,10.6,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches,0f0aa5b4
386,Javier Ontiveros,es ESP,FWMF,Villarreal,21,1997,9.9,2,49,18,36.7,4.96,1.82,0.04,0.11,24.7,9,0,0,2.2,2.2,0.04,-0.2,-0.2,Matches,a83d8b0c
387,Fabián Orellana,cl CHI,MFFW,Eibar,33,1986,26.6,8,38,16,42.1,1.43,0.60,0.11,0.25,18.7,1,4,5,7.4,3.6,0.09,+0.6,+0.4,Matches,c90977db
388,Aimar Oroz,es ESP,FW,Osasuna,17,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c363088
389,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,22,1997,33.9,10,57,18,31.6,1.68,0.53,0.11,0.33,20.5,0,4,4,8.4,5.4,0.09,+1.6,+0.6,Matches,8c3c640c
390,Fernando Pacheco,es ESP,GK,Alavés,27,1992,26.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,97852360
391,Jon Pacheco,es ESP,DF,Real Sociedad,18,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,44150beb
392,Daniel Parejo,es ESP,MF,Valencia,30,1989,33.6,8,29,10,34.5,0.86,0.30,0.10,0.30,28.3,18,5,6,6.2,1.7,0.06,+1.8,+1.3,Matches,7460ca0d
393,Miquel Parera,es ESP,GK,Mallorca,23,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f9b42381
394,Thomas Partey,gh GHA,MF,Atlético Madrid,26,1993,28.3,3,31,8,25.8,1.09,0.28,0.10,0.38,26.4,1,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches,529f49ab
395,Paulino,es ESP,MF,Alavés,22,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f20fce1b
396,Gabriel Paulista,br BRA,DF,Valencia,28,1990,31.1,1,8,2,25.0,0.26,0.06,0.13,0.50,9.1,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,b7ca5c51
397,Alfonso Pedraza,es ESP,DF,Betis,23,1996,15.0,1,15,7,46.7,1.00,0.47,0.07,0.14,17.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches,63f04c6c
398,Marc Pedraza,es ESP,MF,Mallorca,32,1987,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff8f26ef
399,Pedrosa,es ESP,DFMF,Espanyol,21,1998,12.1,1,12,5,41.7,0.99,0.41,0.08,0.20,17.3,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches,112521d1
400,Rubén Peña,es ESP,DF,Villarreal,28,1991,21.2,2,6,3,50.0,0.28,0.14,0.33,0.67,15.5,0,0,0,1.1,1.1,0.18,+0.9,+0.9,Matches,1f079188
401,Luis Perea,es ESP,FWMF,Osasuna,21,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8dc6dbb3
402,Victor Perea,es ESP,DF,Espanyol,19,2000,14.1,0,5,1,20.0,0.35,0.07,0.00,0.00,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,b7de5bad
403,Carles Pérez,es ESP,FW,Barcelona,21,1998,5.3,1,14,6,42.9,2.65,1.13,0.07,0.17,19.4,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,a8f21b9f
404,Iñigo Pérez,es ESP,MF,Osasuna,31,1988,12.0,2,19,7,36.8,1.58,0.58,0.11,0.29,23.6,3,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches,bc61cc65
405,Juan Pérez,es ESP,GK,Osasuna,23,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f29e08b
406,Kike Pérez,es ESP,MFFW,Valladolid,22,1997,2.4,0,5,1,20.0,2.06,0.41,0.00,0.00,28.8,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,237a3851
407,Lucas Pérez,es ESP,FW,Alavés,30,1988,27.7,11,43,14,32.6,1.55,0.50,0.14,0.43,17.7,4,5,5,9.9,6.1,0.14,+1.1,-0.1,Matches,a300ac7e
408,Rubén Pérez,es ESP,MF,Leganés,30,1989,24.4,1,19,2,10.5,0.78,0.08,0.00,0.00,27.7,0,1,1,1.1,0.3,0.02,-0.1,-0.3,Matches,3c7bc9bd
409,Samu Pérez,es ESP,GK,Valladolid,22,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aae17c81
410,Pablo Piatti,ar ARG,DFMF,Espanyol,30,1989,0.6,0,3,0,0.0,4.82,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,48e89655
411,Cristiano Piccini,it ITA,DF,Valencia,26,1992,0.8,0,1,0,0.0,1.20,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,32c0491f
412,Tomás Pina Isla,es ESP,MF,Alavés,31,1987,14.9,1,2,1,50.0,0.13,0.07,0.50,1.00,9.2,0,0,0,0.9,0.9,0.44,+0.1,+0.1,Matches,e54bd0a2
413,Pipa,es ESP,DF,Espanyol,21,1998,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,17.0,0,0,0,0.3,0.3,0.35,-0.3,-0.3,Matches,10f1cd17
414,Gerard Piqué,es ESP,DF,Barcelona,32,1987,34.4,1,15,6,40.0,0.44,0.17,0.07,0.17,8.4,1,0,0,2.3,2.3,0.15,-1.3,-1.3,Matches,adfc9123
415,Óscar Plano,es ESP,MF,Valladolid,28,1991,27.8,4,40,13,32.5,1.44,0.47,0.10,0.31,17.6,0,0,0,4.3,4.3,0.11,-0.3,-0.3,Matches,7c388b20
416,Pere Pons,es ESP,MF,Alavés,26,1993,12.1,1,4,1,25.0,0.33,0.08,0.25,1.00,16.2,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,29b61deb
417,Pedro Porro,es ESP,DFMF,Valladolid,19,1999,8.2,0,1,0,0.0,0.12,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,27d0a506
418,Francisco Portillo,es ESP,MF,Getafe,29,1990,4.2,0,3,1,33.3,0.72,0.24,0.00,0.00,18.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,8e010ff4
419,Portu,es ESP,FWMF,Real Sociedad,27,1992,26.6,7,40,15,37.5,1.50,0.56,0.18,0.47,14.2,0,0,1,5.8,5.1,0.13,+1.2,+1.9,Matches,1bda5842
420,Sergio Postigo,es ESP,DF,Levante,30,1988,26.4,1,7,3,42.9,0.27,0.11,0.14,0.33,12.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches,474ecac8
421,Florent Poulolo,mq MTQ,MF,Getafe,22,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,07129f3c
422,Darío Poveda,es ESP,FW,Atlético Madrid,22,1997,0.1,0,1,0,0.0,11.25,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,cbdf7d5c
423,Alejandro Pozo Pozo,es ESP,FWMF,Sevilla,20,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3c16d927
424,Alejandro Pozo Pozo,es ESP,DF,Mallorca,20,1999,16.6,1,6,2,33.3,0.36,0.12,0.17,0.50,23.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,3c16d927
425,Abdón Prats,es ESP,FWMF,Mallorca,26,1992,3.1,0,9,4,44.4,2.90,1.29,0.00,0.00,16.4,0,0,1,1.4,0.6,0.07,-1.4,-0.6,Matches,d1b060e2
426,Antonio Puertas,es ESP,FWMF,Granada,27,1992,28.5,7,46,18,39.1,1.62,0.63,0.15,0.39,15.2,0,0,0,7.2,7.2,0.16,-0.2,-0.2,Matches,c77a8043
427,Riqui Puig,es ESP,MF,Barcelona,19,1999,5.7,0,7,4,57.1,1.24,0.71,0.00,0.00,20.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,f090a37a
428,Quini,es ESP,DF,Granada,29,1989,8.0,0,10,0,0.0,1.25,0.00,0.00,,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,7a538238
429,Xavi Quintillà,es ESP,DF,Villarreal,22,1996,17.5,0,3,1,33.3,0.17,0.06,0.00,0.00,22.0,2,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,84fb6aff
430,Quique,es ESP,FW,Eibar,29,1990,5.4,0,9,1,11.1,1.65,0.18,0.00,0.00,18.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,c966fce1
431,Nemanja Radoja,rs SRB,MF,Levante,26,1993,22.1,1,3,2,66.7,0.14,0.09,0.33,0.50,20.1,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,b5dd3469
432,Rafinha,br BRA,MF,Celta Vigo,26,1993,23.5,4,32,10,31.3,1.36,0.43,0.13,0.40,19.0,0,0,0,1.8,1.8,0.06,+2.2,+2.2,Matches,0c2ac3cb
433,Rafinha,br BRA,FWMF,Barcelona,26,1993,2.1,0,6,1,16.7,2.90,0.48,0.00,0.00,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,0c2ac3cb
434,Baba Rahman,gh GHA,DF,Mallorca,25,1994,1.2,0,1,0,0.0,0.83,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,e4086af3
435,Antonio Raillo,es ESP,DF,Mallorca,27,1991,30.8,1,14,2,14.3,0.45,0.06,0.07,0.50,10.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches,b857bd29
