,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,7.9,0,1,1,100.0,0.13,0.13,0.00,0.00,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6f5f82c0
216,Esteban Granero,es ESP,MF,Espanyol,32,1987,5.3,1,7,7,100.0,1.33,1.33,0.14,0.14,15.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches,1b17ed86
217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,28.3,9,55,23,41.8,1.94,0.81,0.16,0.39,14.6,0,0,0,8.1,8.1,0.15,+0.9,+0.9,Matches,df69b544
218,Andrés Guardado,mx MEX,MF,Betis,32,1986,22.7,0,12,4,33.3,0.53,0.18,0.00,0.00,21.0,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,ef322658
219,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,29.5,8,54,19,35.2,1.83,0.64,0.15,0.42,19.5,3,0,1,6.0,5.0,0.09,+2.0,+3.0,Matches,32974271
220,Nemanja Gudelj,rs SRB,MFDF,Sevilla,27,1991,13.5,0,7,1,14.3,0.52,0.07,0.00,0.00,25.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,0076ab7f
221,Gonçalo Guedes,pt POR,MFFW,Valencia,22,1996,14.1,2,23,9,39.1,1.64,0.64,0.09,0.22,21.3,0,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches,e6bc67d7
222,Adrián Guerrero,es ESP,DF,Valencia,21,1998,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58a3a572
223,Ander Guevara,es ESP,MF,Real Sociedad,22,1997,10.4,0,3,0,0.0,0.29,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,8e48dc61
224,John Guidetti,se SWE,FWDF,Alavés,27,1992,1.1,0,2,0,0.0,1.87,0.00,0.00,,20.7,1,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,99bebd12
225,Hugo Guillamón,es ESP,DF,Valencia,19,2000,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7c12fbf
226,Munir El Haddadi,ma MAR,FW,Sevilla,23,1995,13.9,5,44,14,31.8,3.17,1.01,0.11,0.36,16.9,1,0,0,3.1,3.1,0.07,+1.9,+1.9,Matches,8696bc90
227,Eden Hazard,be BEL,FWMF,Real Madrid,28,1991,12.0,1,19,14,73.7,1.59,1.17,0.05,0.07,16.3,0,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches,a39bb753
228,Mario Hermoso,es ESP,DF,Atlético Madrid,24,1995,13.5,0,3,2,66.7,0.22,0.15,0.00,0.00,28.2,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches,555f3a0b
229,Aridane Hernández,gq EQG,DF,Osasuna,30,1989,29.0,3,14,4,28.6,0.48,0.14,0.21,0.75,9.4,0,0,0,1.6,1.6,0.12,+1.4,+1.4,Matches,132ac341
230,Javier Hernández,mx MEX,FW,Sevilla,31,1988,5.0,1,13,6,46.2,2.61,1.21,0.08,0.17,11.1,0,0,0,2.5,2.5,0.19,-1.5,-1.5,Matches,189cee7b
231,Juan Hernández,es ESP,FWMF,Celta Vigo,24,1994,1.0,0,1,0,0.0,1.03,0.00,0.00,,19.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,1fc3c3d7
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,29,1990,12.5,0,14,1,7.1,1.12,0.08,0.00,0.00,20.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,a8542814
233,Sergio Herrera,es ESP,GK,Osasuna,26,1993,18.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a4995f48
234,Yangel Herrera,ve VEN,MF,Granada,21,1998,26.3,2,34,4,11.8,1.29,0.15,0.06,0.50,21.5,0,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches,e778654a
235,Iago Herrerín,es ESP,GK,Athletic Club,31,1988,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9109185e
236,Pablo Hervías,es ESP,MFFW,Valladolid,26,1993,11.3,1,19,9,47.4,1.68,0.80,0.05,0.11,27.4,9,0,0,1.0,1.0,0.05,0.0,0.0,Matches,ba5a9545
237,Robert Ibáñez,es ESP,MFFW,Osasuna,26,1993,6.0,1,8,1,12.5,1.34,0.17,0.13,1.00,13.4,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches,c7429db3
238,Vicente Iborra,es ESP,MF,Villarreal,31,1988,29.4,1,19,3,15.8,0.65,0.10,0.05,0.33,14.4,0,0,0,2.7,2.7,0.14,-1.7,-1.7,Matches,ad1ffcfd
239,Borja Iglesias,es ESP,FW,Betis,26,1993,21.4,3,35,12,34.3,1.64,0.56,0.09,0.25,12.9,0,0,0,3.3,3.3,0.09,-0.3,-0.3,Matches,75645f0e
240,Asier Illarramendi,es ESP,MF,Real Sociedad,29,1990,2.4,0,1,0,0.0,0.42,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5ce0b5ba
241,Takashi Inui,jp JPN,MFFW,Eibar,31,1988,21.8,2,38,11,28.9,1.74,0.51,0.05,0.18,19.6,0,0,0,3.9,3.9,0.10,-1.9,-1.9,Matches,61bd33d0
242,Alexander Isak,se SWE,FW,Real Sociedad,19,1999,16.7,9,44,22,50.0,2.63,1.31,0.20,0.41,12.9,1,0,0,6.3,6.3,0.14,+2.7,+2.7,Matches,8e92be30
243,Isco,es ESP,FWMF,Real Madrid,27,1992,13.1,1,23,13,56.5,1.75,0.99,0.04,0.08,17.8,2,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches,a0b4bb3e
244,Ismael,es ESP,MF,Betis,18,2000,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,19cdceb0
245,Ander Iturraspe,es ESP,MF,Espanyol,30,1989,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6dce77a5
246,Jacobo,es ESP,DFMF,Celta Vigo,22,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,09e81276
247,Adnan Januzaj,be BEL,FWMF,Real Sociedad,24,1995,13.0,3,25,8,32.0,1.93,0.62,0.12,0.38,20.5,4,0,0,1.4,1.4,0.06,+1.6,+1.6,Matches,4737cebe
248,Jason,es ESP,MF,Getafe,25,1994,13.1,1,27,8,29.6,2.07,0.61,0.04,0.13,23.2,4,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,9038c2a1
249,Joaquín,es ESP,MFFW,Betis,38,1981,22.9,8,32,11,34.4,1.40,0.48,0.19,0.55,20.0,5,2,3,5.5,3.2,0.10,+2.5,+2.8,Matches,4c5b14d2
250,Frenkie de Jong,nl NED,MF,Barcelona,22,1997,23.5,2,4,4,100.0,0.17,0.17,0.50,0.50,11.7,0,0,0,1.1,1.1,0.27,+0.9,+0.9,Matches,1bacc518
251,Luuk de Jong,nl NED,FW,Sevilla,28,1990,22.9,6,55,24,43.6,2.40,1.05,0.11,0.25,10.0,0,0,0,7.7,7.7,0.14,-1.7,-1.7,Matches,abb3bb95
252,Joan Jordán,es ESP,MF,Sevilla,25,1994,25.0,2,28,6,21.4,1.12,0.24,0.07,0.33,23.1,8,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches,2a0c8ba4
253,Willian José,br BRA,FW,Real Sociedad,27,1991,22.3,11,58,19,32.8,2.60,0.85,0.19,0.58,13.1,2,0,0,10.4,10.4,0.18,+0.6,+0.6,Matches,d87e2cae
254,Joselu,es ESP,FW,Alavés,29,1990,30.9,11,81,28,34.6,2.62,0.91,0.12,0.36,13.2,1,1,1,10.6,9.9,0.12,+0.4,+0.1,Matches,6265208f
255,Luka Jović,rs SRB,FW,Real Madrid,21,1997,4.8,2,12,3,25.0,2.51,0.63,0.17,0.67,12.4,0,0,0,2.2,2.2,0.19,-0.2,-0.2,Matches,4d8cd038
256,Juanmi,es ESP,FWMF,Betis,26,1993,2.9,1,7,3,42.9,2.39,1.02,0.14,0.33,13.4,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches,84399660
257,David Juncà,es ESP,DF,Celta Vigo,25,1993,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de7d40d6
