,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,65d62814
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,293211e1
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,33,1.65,23,4,2,1,3,0,0,0.00,0,0,0,0,0,0,Matches,073b1b37
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,23,0.99,18,1,2,0,2,0,3,0.13,3,0,0,0,0,0,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,13,0.47,9,1,1,2,0,0,2,0.07,2,0,0,0,0,0,Matches,18abe173
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,45,1.85,44,1,0,0,0,0,5,0.21,5,0,0,0,0,0,Matches,4601e194
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,16,0.44,16,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,4bd414c1
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,16,1.56,14,0,0,1,1,0,3,0.29,2,0,0,0,1,0,Matches,a7a9d95a
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,44,2.06,24,6,5,4,5,0,4,0.19,4,0,0,0,0,0,Matches,036bba5f
10,Álex Alegría,es ESP,FWMF,Mallorca,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,46166b49
11,Carles Aleñá,es ESP,MFFW,Betis,21,1998,8.2,13,1.59,13,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,6c811eb7
12,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,2,1.05,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches,6c811eb7
