,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8875b8c9
14,Sergio Álvarez,es ESP,MFDF,Eibar,27,1992,12.7,12,0.94,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,88d91621
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,19,0.61,17,0,0,0,1,1,1,0.03,1,0,0,0,0,0,Matches,3ecc11d8
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9260926b
17,Amath,sn SEN,MF,Getafe,23,1996,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f3b1d9a2
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,8.8,18,2.05,14,0,1,0,3,0,2,0.23,1,0,0,0,1,0,Matches,b35db3f6
19,José Ángel,es ESP,DF,Eibar,29,1989,26.2,51,1.94,35,10,0,3,2,1,5,0.19,4,0,0,1,0,0,Matches,3024e383
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,011d8c56
21,Antoñito,es ESP,DFMF,Valladolid,31,1987,11.4,19,1.66,16,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,dbe519cf
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3e4f735d
23,Anuar,ma MAR,MFFW,Valladolid,24,1995,2.1,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c93231dc
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,34.1,37,1.09,19,7,2,4,5,0,4,0.12,3,1,0,0,0,0,Matches,58afe001
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,32.1,7,0.22,4,0,1,2,0,0,3,0.09,2,0,0,1,0,0,Matches,27a013f7
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2bef2bca
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,22.3,20,0.90,15,3,0,2,0,0,2,0.09,2,0,0,0,0,0,Matches,850c0a0d
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f965a72
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12.0,21,1.76,18,2,0,1,0,0,2,0.17,2,0,0,0,0,0,Matches,fdd60087
30,José Arnaiz,es ESP,FWMF,Osasuna,24,1995,8.8,15,1.71,10,0,0,1,4,0,2,0.23,1,0,0,0,1,0,Matches,46e07328
31,José Arnaiz,es ESP,MFFW,Leganés,24,1995,3.7,14,3.74,8,2,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches,46e07328
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,3,0.09,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,9f0ea33f
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0,Matches,45af8a54
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,107,2.95,76,1,10,5,11,4,12,0.33,6,0,4,0,2,0,Matches,7dcf86f6
35,Roger Assalé,ci CIV,FWMF,Leganés,25,1993,5.9,19,3.22,13,0,1,0,5,0,3,0.51,1,0,0,0,2,0,Matches,5d5219b1
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,50,2.83,29,0,7,5,7,2,7,0.40,3,0,1,0,2,1,Matches,253a06b9
38,Javier Avilés,es ESP,MFFW,Leganés,21,1997,2.0,6,2.93,5,0,1,0,0,0,2,0.98,1,0,1,0,0,0,Matches,53ddba36
39,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,22.2,10,0.45,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,70d8e84c
40,Ramon Azeez,ng NGA,MF,Granada,26,1992,15.1,17,1.12,11,1,0,2,1,2,1,0.07,1,0,0,0,0,0,Matches,0cc474e7
41,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,32.3,25,0.78,24,0,0,0,1,0,1,0.03,1,0,0,0,0,0,Matches,bfd381b3
42,Carlos Bacca,co COL,FWMF,Villarreal,32,1986,7.6,12,1.57,7,0,3,0,2,0,2,0.26,1,0,0,0,1,0,Matches,09a9e921
43,Alex Baena,es ESP,MF,Villarreal,18,2001,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,518f2234
44,Gareth Bale,wls WAL,FWMF,Real Madrid,30,1989,12.1,33,2.73,21,2,5,3,2,0,7,0.58,6,0,0,1,0,0,Matches,a58bb1e1
45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,1988,6.3,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1fe67e86
46,Éver Banega,ar ARG,MF,Sevilla,31,1988,27.5,116,4.22,67,37,3,2,6,1,12,0.44,7,3,1,0,1,0,Matches,fa937f7a
47,Federico Barba,it ITA,DF,Valladolid,25,1993,5.0,3,0.60,2,0,0,0,1,0,1,0.20,1,0,0,0,0,0,Matches,c010b898
48,Enis Bardhi,mk MKD,MF,Levante,24,1995,23.5,68,2.89,40,11,7,5,3,2,10,0.43,4,0,2,2,1,1,Matches,cac2537b
49,Kike Barja,es ESP,MFFW,Osasuna,22,1997,3.5,10,2.88,8,0,1,1,0,0,2,0.58,2,0,0,0,0,0,Matches,aad53e64
50,Antonio Barragán,es ESP,DF,Betis,32,1987,7.1,19,2.67,16,1,2,0,0,0,3,0.42,2,0,1,0,0,0,Matches,487d9b09
51,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,17,2001,4.9,19,3.87,17,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,200e89e1
52,Marc Bartra,es ESP,DFMF,Betis,28,1991,28.0,12,0.43,10,0,0,2,0,0,1,0.04,0,0,0,1,0,0,Matches,b742cc0d
53,Gil Bastião Dias,pt POR,DFFW,Granada,22,1996,4.0,14,3.54,9,1,1,1,0,2,3,0.76,2,0,0,0,0,1,Matches,e61bdd69
54,Fran Beltrán,es ESP,MF,Celta Vigo,20,1999,20.3,29,1.43,23,4,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,ed5c5fa3
55,Hatem Ben Arfa,fr FRA,MFFW,Valladolid,32,1987,1.8,3,1.70,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,74dc806c
56,Karim Benzema,fr FRA,FW,Real Madrid,31,1987,34.9,118,3.38,104,0,11,2,1,0,17,0.49,15,0,2,0,0,0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,29,1990,31.7,56,1.77,44,3,3,4,1,1,3,0.09,2,0,0,1,0,0,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,33,1986,0.8,1,1.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,04a65a8f
59,Sergio Bermejo,es ESP,FW,Celta Vigo,21,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d166c007
60,Pedro Bigas,es ESP,DF,Eibar,28,1990,19.7,9,0.46,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,697295b1
61,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,32.9,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,31,1988,17.8,35,1.96,30,1,1,2,0,1,4,0.22,3,0,0,1,0,0,Matches,9ab48bde
63,Alejandro Blesa,es ESP,MF,Levante,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d2ed99b4
64,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,5.5,2,0.36,1,1,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches,f6798fc3
65,Filip Bradarić,hr CRO,MF,Celta Vigo,27,1992,7.8,9,1.15,6,1,0,1,0,1,1,0.13,1,0,0,0,0,0,Matches,605873e1
66,Martin Braithwaite,dk DEN,FWMF,Barcelona,28,1991,4.5,8,1.77,2,0,2,2,2,0,1,0.22,0,0,0,1,0,0,Matches,fd771f95
67,Martin Braithwaite,dk DEN,FWMF,Leganés,28,1991,21.5,43,2.00,27,0,5,5,5,1,5,0.23,5,0,0,0,0,0,Matches,fd771f95
68,Brandon,es ESP,FW,Osasuna,24,1995,4.5,9,2.00,4,0,3,1,1,0,1,0.22,1,0,0,0,0,0,Matches,3e016e5a
69,Darko Brašanac,rs SRB,MF,Osasuna,27,1992,24.9,48,1.92,37,0,1,4,4,2,4,0.16,2,0,0,1,1,0,Matches,4accb7e0
70,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,16.7,15,0.90,10,1,0,1,2,1,2,0.12,1,0,0,0,1,0,Matches,3d688b46
71,Bryan,es ESP,MFFW,Leganés,18,2001,6.2,23,3.71,14,3,3,1,1,1,1,0.16,0,1,0,0,0,0,Matches,7b5ab7f2
72,Bryan,es ESP,FW,Sevilla,18,2001,0.7,2,2.77,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7b5ab7f2
73,Ante Budimir,hr CRO,FW,Mallorca,28,1991,30.7,46,1.50,26,2,2,7,9,0,6,0.20,4,0,1,0,1,0,Matches,8f3565b3
74,Esteban Burgos,ar ARG,DF,Eibar,27,1992,12.4,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,40449bbd
75,Burgui,es ESP,MF,Alavés,25,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,45e304c8
76,Oliver Burke,sct SCO,MFFW,Alavés,22,1997,15.9,16,1.01,12,0,3,0,0,1,2,0.13,2,0,0,0,0,0,Matches,f631c17f
77,Sergio Busquets,es ESP,MF,Barcelona,31,1988,27.6,57,2.07,51,1,1,0,1,3,11,0.40,9,0,1,0,0,1,Matches,5ab0ea87
78,Unai Bustinza,es ESP,DF,Leganés,27,1992,29.8,32,1.07,27,3,0,0,2,0,2,0.07,1,0,0,0,1,0,Matches,f3112790
79,Erick Cabaco,uy URU,DF,Getafe,24,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e7ab4179
80,Erick Cabaco,uy URU,DF,Levante,24,1995,9.0,6,0.67,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e7ab4179
81,Ariday Cabrera,es ESP,MFFW,Mallorca,30,1988,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,206b11c5
82,Leandro Cabrera,uy URU,DF,Getafe,28,1991,17.0,5,0.29,2,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,69cbc8b6
83,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,17.0,11,0.65,8,3,0,0,0,0,1,0.06,0,1,0,0,0,0,Matches,69cbc8b6
84,Fernando Calero,es ESP,DF,Espanyol,23,1995,11.6,3,0.26,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,41b3069f
85,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,20.1,39,1.94,22,1,2,7,7,0,7,0.35,5,0,0,1,1,0,Matches,6922f806
86,Víctor Camarasa,es ESP,MF,Alavés,25,1994,14.4,24,1.67,17,4,1,0,1,1,2,0.14,0,2,0,0,0,0,Matches,b2d03887
87,Sergio Camello,es ESP,FW,Atlético Madrid,18,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,873619c6
88,José Campaña,es ESP,MF,Levante,26,1993,35.1,134,3.82,91,23,7,4,6,3,12,0.34,9,2,0,0,1,0,Matches,61220da2
89,Xisco Campos,es ESP,DF,Mallorca,37,1982,5.3,2,0.38,2,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches,bd3b9a9f
90,Víctor Campuzano,es ESP,FWMF,Espanyol,22,1997,9.7,16,1.66,6,0,2,4,4,0,0,0.00,0,0,0,0,0,0,Matches,06983922
91,Sergio Canales,es ESP,MFFW,Betis,28,1991,35.1,138,3.93,99,28,4,3,4,0,14,0.40,9,4,0,1,0,0,Matches,a6de370d
92,Ander Capa,es ESP,DF,Athletic Club,27,1992,31.9,48,1.50,34,7,5,0,1,1,5,0.16,5,0,0,0,0,0,Matches,37f1cf47
93,Marc Cardona,es ESP,FW,Osasuna,24,1995,7.8,15,1.91,13,0,1,1,0,0,3,0.38,2,0,0,1,0,0,Matches,b92b456a
94,Diego Carlos,br BRA,DF,Sevilla,26,1993,34.8,17,0.49,13,1,1,1,0,1,1,0.03,1,0,0,0,0,0,Matches,b4a014b1
95,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,25,1993,7.0,25,3.57,10,5,3,1,6,0,7,1.00,2,1,1,0,3,0,Matches,de39485a
96,Daniel Carriço,pt POR,DF,Sevilla,30,1988,9.4,3,0.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e1deea75
97,Guido Carrillo,ar ARG,FW,Leganés,28,1991,13.5,29,2.15,21,0,0,5,3,0,3,0.22,2,0,0,0,1,0,Matches,8f898ba8
98,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,30.4,74,2.43,61,6,4,1,2,0,6,0.20,4,1,0,0,1,0,Matches,4958bfb2
99,William Carvalho,pt POR,MF,Betis,27,1992,9.9,14,1.41,12,0,1,0,0,1,1,0.10,1,0,0,0,0,0,Matches,dee86451
100,Casemiro,br BRA,MF,Real Madrid,27,1992,34.3,54,1.57,40,0,0,4,4,6,7,0.20,4,0,0,1,1,1,Matches,4d224fe8
101,Santi Cazorla,es ESP,MF,Villarreal,34,1984,27.2,136,5.00,92,33,3,3,4,1,17,0.62,13,2,0,1,1,0,Matches,e2e9c250
102,Sofian Chakla,ma MAR,DF,Villarreal,25,1993,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches,37f04799
103,Charles,br BRA,FW,Eibar,35,1984,14.5,25,1.73,17,0,1,1,5,1,2,0.14,1,0,0,0,1,0,Matches,c4b8bcf4
104,Pablo Chavarría,ar ARG,FWMF,Mallorca,31,1988,2.3,5,2.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4207e578
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,21,1997,6.7,11,1.65,7,0,1,0,3,0,4,0.60,1,0,1,0,2,0,Matches,873ce3a2
106,Chema,es ESP,DF,Getafe,27,1992,3.4,1,0.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7f203b54
107,Denis Cheryshev,ru RUS,MFFW,Valencia,28,1990,10.3,21,2.04,15,0,0,0,3,3,4,0.39,4,0,0,0,0,0,Matches,0ac94a23
108,Samuel Chukwueze,ng NGA,MFFW,Villarreal,20,1999,22.8,99,4.36,69,0,13,3,11,3,14,0.62,7,0,3,1,3,0,Matches,b8a642fc
109,Churripi,es ESP,GK,Valladolid,25,1994,2.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,81a606fc
110,Jasper Cillessen,nl NED,GK,Valencia,30,1989,23.3,3,0.13,2,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,04ac8285
111,Óscar Clemente,es ESP,MF,Atlético Madrid,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9dfdbdeb
112,Carlos Clerc,es ESP,DF,Levante,27,1992,20.5,23,1.12,16,5,0,0,1,1,2,0.10,2,0,0,0,0,0,Matches,33a61a52
113,Coke,es ESP,DF,Levante,32,1987,11.0,17,1.55,13,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches,6d8f8441
114,Álex Collado,es ESP,DF,Barcelona,20,1999,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,85dace26
115,Francis Coquelin,fr FRA,MF,Valencia,28,1991,21.2,17,0.80,15,0,0,1,1,0,2,0.09,0,0,0,1,1,0,Matches,a6951bf8
116,Sébastien Corchia,fr FRA,DF,Espanyol,28,1990,3.0,11,3.68,6,3,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,0e7ccfc4
117,Iñigo Córdoba,es ESP,FW,Athletic Club,22,1997,16.0,32,2.00,27,1,2,1,1,0,6,0.37,6,0,0,0,0,0,Matches,49ea92be
118,Ángel Correa,ar ARG,MFFW,Atlético Madrid,24,1995,22.9,65,2.84,51,0,6,4,3,1,10,0.44,8,0,2,0,0,0,Matches,01eb744d
119,Rober Correa,es ESP,DF,Eibar,26,1992,10.3,16,1.55,11,1,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches,46bd3a5b
120,Thierry Correia,pt POR,DF,Valencia,20,1999,2.9,4,1.39,2,2,0,0,0,0,1,0.35,0,1,0,0,0,0,Matches,c78b352d
121,Antonio Cortés,es ESP,FWMF,Granada,19,2000,2.0,5,2.49,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,31a1288d
122,Diego Costa,es ESP,FW,Atlético Madrid,30,1988,15.0,29,1.93,19,0,2,4,3,1,5,0.33,4,0,0,1,0,0,Matches,a190d597
123,Jaume Costa,es ESP,DF,Valencia,31,1988,15.4,18,1.17,15,1,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,808d48f3
124,David Costas,es ESP,DF,Celta Vigo,24,1995,3.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,545e2f01
125,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1840e36d
126,Sebastián Cristóforo,uy URU,MF,Eibar,25,1993,9.7,15,1.54,9,1,1,1,2,1,0,0.00,0,0,0,0,0,0,Matches,3c05c659
127,Cucho,co COL,FWMF,Mallorca,20,1999,16.5,42,2.54,25,0,10,2,5,0,6,0.36,2,0,2,1,1,0,Matches,71b47ab9
128,Marc Cucurella,es ESP,MFDF,Getafe,21,1998,36.0,93,2.59,71,6,2,2,8,4,9,0.25,7,0,0,0,1,1,Matches,1daec722
129,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27.0,3,0.11,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,75751c99
130,Moanes Dabbur,il ISR,FW,Sevilla,27,1992,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,eac044ad
131,Sergi Darder,es ESP,MFFW,Espanyol,25,1993,29.5,62,2.10,45,8,4,4,0,1,3,0.10,3,0,0,0,0,0,Matches,070a3904
132,Ousmane Dembélé,fr FRA,FW,Barcelona,22,1997,4.0,18,4.54,10,2,5,0,1,0,2,0.50,1,0,1,0,0,0,Matches,b19db005
133,Deyverson,br BRA,FW,Getafe,28,1991,2.3,5,2.21,4,0,0,1,0,0,2,0.88,1,0,0,1,0,0,Matches,2e5e846d
134,Mouctar Diakhaby,gn GUI,DF,Valencia,22,1996,16.0,6,0.37,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d2110326
135,Brahim Díaz,es ESP,FWMF,Real Madrid,19,1999,0.7,2,2.77,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,407feb71
136,Víctor Díaz,es ESP,DF,Granada,31,1988,32.0,45,1.40,33,11,0,1,0,0,8,0.25,5,2,0,1,0,0,Matches,3624ce4c
137,Papakouli Diop,sn SEN,MF,Eibar,33,1986,25.0,32,1.28,25,0,0,1,1,5,2,0.08,1,0,0,0,0,1,Matches,7329018e
138,Djené,tg TOG,DF,Getafe,27,1991,34.0,11,0.32,9,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,a4971d84
139,Naïs Djouahra,fr FRA,FWDF,Real Sociedad,19,1999,0.3,3,9.31,2,0,1,0,0,0,1,3.10,1,0,0,0,0,0,Matches,3594a357
140,Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35.0,8,0.23,2,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,ac295d9e
141,Jaume Doménech,es ESP,GK,Valencia,28,1990,14.7,1,0.07,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c9cb972b
142,Domingos Duarte,pt POR,DF,Granada,24,1995,34.3,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,93090f69
143,Óscar Duarte,cr CRC,DF,Levante,30,1989,5.4,4,0.74,3,0,0,1,0,0,1,0.19,1,0,0,0,0,0,Matches,aa0ac32d
144,Rubén Duarte,es ESP,DF,Alavés,23,1995,29.6,37,1.25,24,3,0,4,5,1,6,0.20,2,1,0,1,2,0,Matches,1fe0492d
145,Hugo Duro,es ESP,FWMF,Getafe,19,1999,4.2,7,1.67,3,0,0,0,4,0,2,0.48,1,0,0,0,1,0,Matches,37e103f8
146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,1994,16.8,10,0.60,8,0,0,1,1,0,3,0.18,2,0,0,1,0,0,Matches,f7dc2ae5
147,Rodrigo Ely,br BRA,DF,Alavés,25,1993,23.6,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fd47b4f2
148,Adri Embarba,es ESP,MFFW,Espanyol,27,1992,15.2,33,2.17,17,5,4,2,5,0,4,0.26,4,0,0,0,0,0,Matches,db8f0eba
149,Emerson,br BRA,DF,Betis,20,1999,31.5,60,1.90,47,0,3,2,5,3,8,0.25,6,0,1,0,1,0,Matches,df8b52a5
150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,1997,8.8,6,0.68,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,04e17fd5
151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,1997,15.4,24,1.56,14,0,2,3,3,2,5,0.32,3,0,0,1,0,1,Matches,04e17fd5
152,Sergi Enrich,es ESP,FW,Eibar,29,1990,20.7,19,0.92,12,0,1,3,3,0,5,0.24,3,0,0,1,1,0,Matches,bb4b1242
153,Javier Eraso,es ESP,MFFW,Leganés,29,1990,9.1,14,1.55,9,3,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,aec0fb6f
154,Gonzalo Escalante,ar ARG,MF,Eibar,26,1993,18.6,18,0.97,10,1,1,1,4,1,3,0.16,1,0,0,0,2,0,Matches,3f79a1c8
155,Aarón Escandell,es ESP,GK,Granada,23,1995,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,67669ce7
156,Sergio Escudero,es ESP,DF,Sevilla,29,1989,8.6,12,1.40,9,0,2,1,0,0,1,0.12,0,0,0,1,0,0,Matches,b0616e3d
157,Bernardo Espinosa,co COL,DF,Espanyol,30,1989,25.1,8,0.32,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4242011c
158,Vicente Esquerdo,es ESP,MFFW,Valencia,20,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ced26057
159,Pervis Estupiñán,ec ECU,DF,Osasuna,21,1998,33.1,76,2.30,64,6,3,2,0,1,10,0.30,7,2,0,1,0,0,Matches,d38fdf53
160,Oghenekaro Etebo,ng NGA,MF,Getafe,23,1995,6.4,7,1.10,6,0,0,1,0,0,1,0.16,1,0,0,0,0,0,Matches,b579e83d
161,Beñat Etxebarria,es ESP,MF,Athletic Club,32,1987,4.4,12,2.74,2,10,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches,b037bd4f
162,Xabier Etxeita,es ESP,DF,Getafe,31,1987,16.1,5,0.31,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,4a895384
163,Edu Expósito,es ESP,MF,Eibar,22,1996,25.7,44,1.71,31,0,3,6,2,2,3,0.12,2,0,0,1,0,0,Matches,283c7121
164,Fabricio,es ESP,GK,Mallorca,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,af245161
165,Fayçal Fajr,ma MAR,MF,Getafe,30,1988,4.5,18,4.02,12,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,79135368
166,Eliseo Falcon,es ESP,DFMF,Levante,22,1997,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,904cd50d
167,Ansu Fati,es ESP,FWDF,Barcelona,16,2002,11.4,38,3.33,24,2,7,2,3,0,3,0.26,1,0,2,0,0,0,Matches,0ba976e4
168,Aleix Febas,es ESP,MF,Mallorca,23,1996,18.8,42,2.24,35,0,1,0,6,0,5,0.27,4,0,0,0,1,0,Matches,38126309
169,Zouhair Feddal,ma MAR,DF,Betis,30,1989,15.9,15,0.94,11,0,0,2,0,2,4,0.25,3,0,0,1,0,0,Matches,89151b16
