,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
35,Rui Silva,pt POR,GK,Granada,25,1994,35,35,3150,35.0,42,1.20,136,97,72.1,15,8,12,12,34.3,5,4,1,0,20.0,Matches,ea83bfa6
36,Unai Simón,es ESP,GK,Athletic Club,22,1997,34,34,2991,33.2,29,0.87,103,78,76.7,13,9,12,12,35.3,7,5,0,2,0.0,Matches,5dcf3e90
37,Antonio Sivera,es ESP,GK,Alavés,22,1996,3,3,270,3.0,3,1.00,4,2,50.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,9970da54
38,David Soria,es ESP,GK,Getafe,26,1993,38,38,3420,38.0,37,0.97,102,70,68.6,14,12,12,15,39.5,6,5,1,0,16.7,Matches,8f8c6934
39,Juan Soriano,es ESP,GK,Leganés,21,1997,11,11,990,11.0,18,1.64,34,22,61.8,1,3,7,1,9.1,5,5,0,0,0.0,Matches,5512b1a9
40,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36,36,3240,36.0,36,1.00,110,78,72.7,24,6,6,14,38.9,7,6,1,0,14.3,Matches,6f51e382
41,Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33,33,2925,32.5,31,0.95,96,68,69.8,15,12,6,14,42.4,3,2,1,0,33.3,Matches,7b456af7
42,Koke Vegas,es ESP,GK,Levante,23,1995,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,1,50.0,1,0,0,1,,Matches,bfb15d99
43,Iván Villar,es ESP,GK,Celta Vigo,22,1997,4,3,280,3.1,5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,Matches,cde52ef5
44,Yoel,es ESP,GK,Eibar,30,1988,4,4,270,3.0,5,1.67,14,9,64.3,2,0,1,1,25.0,1,0,1,0,100.0,Matches,61bb7498
