,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,4,6,66.7,121,98,1,1,100.0,1,1,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,Matches,65d62814
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,33,57,57.9,428,88,26,34,76.5,6,16,37.5,1,6,16.7,0,0.0,0.0,0,3,0,0,3,Matches,293211e1
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,709,969,73.2,12419,6169,326,372,87.6,305,410,74.4,67,138,48.6,0,1.9,-1.9,16,47,21,12,69,Matches,073b1b37
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,722,1014,71.2,12634,6071,329,385,85.5,314,408,77.0,70,172,40.7,1,1.0,0.0,12,36,14,5,60,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,1073,1223,87.7,23979,6722,233,262,88.9,615,659,93.3,219,279,78.5,1,0.8,+0.2,2,61,2,0,62,Matches,18abe173
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,1864,2141,87.1,30216,9516,976,1055,92.5,713,797,89.5,140,203,69.0,5,3.3,+1.7,28,125,38,18,141,Matches,4601e194
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,1619,1882,86.0,41784,12199,283,313,90.4,815,882,92.4,515,671,76.8,0,0.4,-0.4,5,95,5,1,78,Matches,4bd414c1
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,181,230,78.7,2575,372,112,133,84.2,54,66,81.8,9,17,52.9,1,1.6,-0.6,9,6,6,0,9,Matches,a7a9d95a
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,831,1059,78.5,19154,4979,254,295,86.1,380,425,89.4,186,300,62.0,2,0.8,+1.2,14,95,4,1,72,Matches,036bba5f
10,Álex Alegría,es ESP,FWMF,Mallorca,26,1992,1.2,23,35,65.7,329,41,14,23,60.9,4,5,80.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,Matches,46166b49
11,Carles Aleñá,es ESP,MFFW,Betis,21,1998,8.2,333,389,85.6,6534,1240,126,145,86.9,145,162,89.5,57,66,86.4,0,0.2,-0.2,4,44,4,1,32,Matches,6c811eb7
12,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,143,156,91.7,2693,591,56,59,94.9,63,65,96.9,21,26,80.8,0,0.0,0.0,0,18,1,0,13,Matches,6c811eb7
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,39,53,73.6,1106,579,7,7,100.0,16,16,100.0,16,30,53.3,0,0.0,0.0,0,0,0,0,0,Matches,8875b8c9
14,Sergio Álvarez,es ESP,MFDF,Eibar,27,1992,12.7,322,427,75.4,6679,1719,111,132,84.1,148,185,80.0,60,101,59.4,0,0.2,-0.2,7,45,2,1,32,Matches,88d91621
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,1149,1403,81.9,26108,8437,283,319,88.7,595,652,91.3,260,408,63.7,0,0.5,-0.5,3,72,8,3,84,Matches,3ecc11d8
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,231,292,79.1,3864,785,116,139,83.5,94,112,83.9,17,29,58.6,0,0.0,0.0,1,17,1,1,14,Matches,9260926b
17,Amath,sn SEN,MF,Getafe,23,1996,0.7,12,17,70.6,201,65,7,8,87.5,4,4,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,1,Matches,f3b1d9a2
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,8.8,149,201,74.1,2142,370,84,108,77.8,47,63,74.6,9,17,52.9,0,0.6,-0.6,8,9,3,0,14,Matches,b35db3f6
19,José Ángel,es ESP,DF,Eibar,29,1989,26.2,982,1464,67.1,21603,10114,310,373,83.1,459,580,79.1,194,458,42.4,1,2.5,-1.5,27,103,40,23,127,Matches,3024e383
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,363,458,79.3,11144,6643,45,46,97.8,170,171,99.4,147,240,61.3,0,0.0,0.0,0,2,0,0,0,Matches,011d8c56
21,Antoñito,es ESP,DFMF,Valladolid,31,1987,11.4,321,452,71.0,5686,2457,137,167,82.0,145,189,76.7,33,82,40.2,0,1.6,-1.6,10,25,9,4,31,Matches,dbe519cf
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,0.1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,3e4f735d
23,Anuar,ma MAR,MFFW,Valladolid,24,1995,2.1,86,101,85.1,1525,254,36,40,90.0,41,48,85.4,7,10,70.0,0,0.0,0.0,0,6,1,0,4,Matches,c93231dc
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,34.1,649,972,66.8,14045,3442,214,301,71.1,268,368,72.8,146,250,58.4,1,1.6,-0.6,13,93,20,5,85,Matches,58afe001
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,32.1,1290,1482,87.0,28800,8280,274,299,91.6,787,861,91.4,218,299,72.9,2,0.2,+1.8,2,44,0,0,59,Matches,27a013f7
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,2.6,197,208,94.7,3840,793,68,70,97.1,105,110,95.5,24,27,88.9,0,0.0,0.0,0,10,0,0,3,Matches,2bef2bca
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,22.3,870,1169,74.4,21846,6948,234,277,84.5,381,441,86.4,247,422,58.5,0,0.1,-0.1,4,101,10,5,83,Matches,850c0a0d
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,114,135,84.4,2998,1661,20,20,100.0,61,61,100.0,32,53,60.4,0,0.0,0.0,0,0,0,0,0,Matches,2f965a72
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12.0,498,653,76.3,8487,3889,223,255,87.5,231,282,81.9,36,91,39.6,1,1.1,-0.1,10,28,21,7,69,Matches,fdd60087
30,José Arnaiz,es ESP,FWMF,Osasuna,24,1995,8.8,130,178,73.0,2089,475,71,94,75.5,38,48,79.2,16,22,72.7,1,0.2,+0.8,5,10,3,1,10,Matches,46e07328
31,José Arnaiz,es ESP,MFFW,Leganés,24,1995,3.7,73,97,75.3,1185,391,38,44,86.4,24,34,70.6,7,11,63.6,0,0.5,-0.5,7,2,4,3,4,Matches,46e07328
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,742,1039,71.4,22188,12548,124,125,99.2,337,341,98.8,279,571,48.9,0,0.0,0.0,0,8,0,0,0,Matches,9f0ea33f
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,134,163,82.2,2312,451,77,85,90.6,38,51,74.5,16,22,72.7,1,1.0,0.0,7,6,7,2,12,Matches,45af8a54
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,998,1283,77.8,15853,3046,541,643,84.1,312,386,80.8,89,130,68.5,3,4.1,-1.1,54,71,46,4,96,Matches,7dcf86f6
35,Roger Assalé,ci CIV,FWMF,Leganés,25,1993,5.9,105,127,82.7,1701,438,56,64,87.5,40,43,93.0,8,13,61.5,1,1.1,-0.1,6,8,6,0,18,Matches,5d5219b1
