,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,10,14,71.4,169,20,6,7,85.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,Matches,12eda7be
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,185,323,57.3,3455,833,92,138,66.7,58,106,54.7,32,58,55.2,2,2.7,-0.7,21,22,13,4,30,Matches,253a06b9
38,Javier Avilés,es ESP,MFFW,Leganés,21,1997,2.0,48,71,67.6,862,392,25,33,75.8,13,18,72.2,7,12,58.3,1,0.9,+0.1,5,2,7,6,3,Matches,53ddba36
39,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,22.2,598,767,78.0,12895,5236,201,223,90.1,271,305,88.9,112,210,53.3,0,0.1,-0.1,4,54,8,3,57,Matches,70d8e84c
40,Ramon Azeez,ng NGA,MF,Granada,26,1992,15.1,316,394,80.2,5621,1240,149,175,85.1,123,146,84.2,39,55,70.9,0,0.3,-0.3,6,26,4,0,19,Matches,0cc474e7
41,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,32.3,1046,1285,81.4,19956,5376,424,492,86.2,456,532,85.7,146,211,69.2,0,0.2,-0.2,6,99,6,1,98,Matches,bfd381b3
42,Carlos Bacca,co COL,FWMF,Villarreal,32,1986,7.6,101,133,75.9,1555,125,64,74,86.5,28,39,71.8,9,13,69.2,1,0.5,+0.5,4,5,1,0,5,Matches,09a9e921
43,Alex Baena,es ESP,MF,Villarreal,18,2001,0.2,4,4,100.0,58,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,518f2234
44,Gareth Bale,wls WAL,FWMF,Real Madrid,30,1989,12.1,360,480,75.0,6351,1578,192,219,87.7,120,154,77.9,43,89,48.3,2,1.2,+0.8,11,18,17,10,30,Matches,a58bb1e1
45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,1988,6.3,188,258,72.9,3272,1457,101,115,87.8,67,96,69.8,18,39,46.2,0,0.0,0.0,0,10,4,1,15,Matches,1fe67e86
46,Éver Banega,ar ARG,MF,Sevilla,31,1988,27.5,1951,2373,82.2,42579,12816,727,811,89.6,787,893,88.1,416,607,68.5,7,5.1,+1.9,59,268,33,7,243,Matches,fa937f7a
47,Federico Barba,it ITA,DF,Valladolid,25,1993,5.0,146,218,67.0,2704,1161,67,81,82.7,64,88,72.7,14,41,34.1,0,0.1,-0.1,2,20,2,1,14,Matches,c010b898
48,Enis Bardhi,mk MKD,MF,Levante,24,1995,23.5,625,853,73.3,10383,3269,336,390,86.2,193,254,76.0,68,141,48.2,2,1.9,+0.1,28,60,23,5,86,Matches,cac2537b
49,Kike Barja,es ESP,MFFW,Osasuna,22,1997,3.5,62,89,69.7,966,270,32,37,86.5,25,33,75.8,2,11,18.2,1,1.0,0.0,3,2,6,1,13,Matches,aad53e64
50,Antonio Barragán,es ESP,DF,Betis,32,1987,7.1,377,460,82.0,6658,2342,177,191,92.7,156,182,85.7,38,74,51.4,1,0.6,+0.4,8,21,19,6,33,Matches,487d9b09
51,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,17,2001,4.9,139,191,72.8,2344,593,69,83,83.1,56,72,77.8,11,22,50.0,0,0.5,-0.5,10,9,7,2,13,Matches,200e89e1
52,Marc Bartra,es ESP,DFMF,Betis,28,1991,28.0,1422,1637,86.9,30963,8557,396,432,91.7,738,800,92.3,267,373,71.6,1,1.0,0.0,3,79,6,0,66,Matches,b742cc0d
53,Gil Bastião Dias,pt POR,DFFW,Granada,22,1996,4.0,100,138,72.5,1707,554,45,59,76.3,43,53,81.1,7,16,43.8,1,0.4,+0.6,7,8,3,1,15,Matches,e61bdd69
54,Fran Beltrán,es ESP,MF,Celta Vigo,20,1999,20.3,781,881,88.6,14453,2779,328,365,89.9,345,365,94.5,96,125,76.8,0,0.6,-0.6,12,62,3,0,38,Matches,ed5c5fa3
55,Hatem Ben Arfa,fr FRA,MFFW,Valladolid,32,1987,1.8,42,55,76.4,797,93,17,21,81.0,19,24,79.2,4,6,66.7,0,0.0,0.0,1,2,1,0,2,Matches,74dc806c
56,Karim Benzema,fr FRA,FW,Real Madrid,31,1987,34.9,1119,1329,84.2,16897,3022,673,757,88.9,303,360,84.2,96,119,80.7,8,8.4,-0.4,61,71,58,1,110,Matches,70d74ece
57,Yuri Berchiche,es ESP,DF,Athletic Club,29,1990,31.7,1351,1695,79.7,25060,10067,624,704,88.6,546,669,81.6,161,247,65.2,1,2.6,-1.6,27,112,37,18,180,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,33,1986,0.8,10,19,52.6,148,17,6,8,75.0,4,8,50.0,0,1,0.0,0,0.2,-0.2,1,0,0,0,1,Matches,04a65a8f
59,Sergio Bermejo,es ESP,FW,Celta Vigo,21,1997,0.1,3,3,100.0,45,18,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches,d166c007
60,Pedro Bigas,es ESP,DF,Eibar,28,1990,19.7,480,699,68.7,11846,4452,102,126,81.0,240,295,81.4,134,270,49.6,0,0.3,-0.3,3,40,5,1,54,Matches,697295b1
61,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,32.9,615,990,62.1,21208,13849,108,109,99.1,229,236,97.0,275,642,42.8,0,0.0,0.0,0,9,0,0,0,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,31,1988,17.8,668,956,69.9,13732,5655,251,286,87.8,276,367,75.2,128,269,47.6,3,2.0,+1.0,17,79,25,12,90,Matches,9ab48bde
63,Alejandro Blesa,es ESP,MF,Levante,17,2002,0.0,3,5,60.0,41,11,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches,d2ed99b4
64,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,5.5,127,170,74.7,4187,2666,19,19,100.0,57,57,100.0,51,94,54.3,1,0.3,+0.7,1,4,0,0,0,Matches,f6798fc3
65,Filip Bradarić,hr CRO,MF,Celta Vigo,27,1992,7.8,323,411,78.6,5769,1793,159,186,85.5,116,146,79.5,43,64,67.2,0,0.1,-0.1,3,30,7,0,35,Matches,605873e1
66,Martin Braithwaite,dk DEN,FWMF,Barcelona,28,1991,4.5,99,128,77.3,1325,141,60,76,78.9,33,42,78.6,3,4,75.0,0,0.0,0.0,1,5,1,0,4,Matches,fd771f95
67,Martin Braithwaite,dk DEN,FWMF,Leganés,28,1991,21.5,269,390,69.0,4023,865,173,220,78.6,69,105,65.7,19,39,48.7,1,1.3,-0.3,12,25,10,0,32,Matches,fd771f95
68,Brandon,es ESP,FW,Osasuna,24,1995,4.5,82,117,70.1,1193,223,49,65,75.4,26,33,78.8,5,9,55.6,1,0.4,+0.6,4,1,4,2,5,Matches,3e016e5a
69,Darko Brašanac,rs SRB,MF,Osasuna,27,1992,24.9,576,772,74.6,9704,2418,276,340,81.2,233,303,76.9,49,74,66.2,1,1.6,-0.6,19,51,9,2,57,Matches,4accb7e0
70,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,16.7,338,427,79.2,6084,1473,152,179,84.9,131,160,81.9,41,60,68.3,0,0.1,-0.1,3,35,2,0,31,Matches,3d688b46
71,Bryan,es ESP,MFFW,Leganés,18,2001,6.2,139,212,65.6,2138,707,83,97,85.6,40,60,66.7,12,33,36.4,0,0.9,-0.9,12,6,8,5,11,Matches,7b5ab7f2
72,Bryan,es ESP,FW,Sevilla,18,2001,0.7,24,28,85.7,283,57,17,17,100.0,4,4,100.0,0,3,0.0,0,0.0,0.0,0,1,0,0,1,Matches,7b5ab7f2
73,Ante Budimir,hr CRO,FW,Mallorca,28,1991,30.7,381,584,65.2,4537,812,243,333,73.0,87,150,58.0,10,27,37.0,2,1.0,+1.0,12,28,8,1,27,Matches,8f3565b3
74,Esteban Burgos,ar ARG,DF,Eibar,27,1992,12.4,244,380,64.2,6711,2423,44,54,81.5,106,138,76.8,91,182,50.0,0,0.1,-0.1,1,27,1,0,29,Matches,40449bbd
75,Burgui,es ESP,MF,Alavés,25,1993,0.2,4,7,57.1,58,18,3,5,60.0,0,0,,1,2,50.0,0,0.0,0.0,0,1,0,0,1,Matches,45e304c8
76,Oliver Burke,sct SCO,MFFW,Alavés,22,1997,15.9,226,333,67.9,3022,738,149,191,78.0,61,95,64.2,7,16,43.8,2,1.2,+0.8,6,9,6,0,18,Matches,f631c17f
77,Sergio Busquets,es ESP,MF,Barcelona,31,1988,27.6,2331,2584,90.2,42547,11347,962,1039,92.6,1066,1160,91.9,247,297,83.2,2,2.7,-0.7,22,237,29,0,184,Matches,5ab0ea87
78,Unai Bustinza,es ESP,DF,Leganés,27,1992,29.8,901,1287,70.0,19162,7780,308,365,84.4,411,529,77.7,167,346,48.3,1,1.3,-0.3,14,97,10,5,95,Matches,f3112790
79,Erick Cabaco,uy URU,DF,Getafe,24,1995,3.0,85,138,61.6,2366,986,19,25,76.0,33,49,67.3,33,62,53.2,0,0.0,0.0,0,11,1,0,11,Matches,e7ab4179
80,Erick Cabaco,uy URU,DF,Levante,24,1995,9.0,275,349,78.8,6650,2637,70,78,89.7,126,140,90.0,75,125,60.0,0,0.1,-0.1,2,15,1,0,22,Matches,e7ab4179
81,Ariday Cabrera,es ESP,MFFW,Mallorca,30,1988,0.4,9,11,81.8,186,39,3,3,100.0,6,7,85.7,0,0,,0,0.0,0.0,0,1,0,0,0,Matches,206b11c5
82,Leandro Cabrera,uy URU,DF,Getafe,28,1991,17.0,272,503,54.1,8770,3484,38,55,69.1,92,153,60.1,140,281,49.8,0,0.2,-0.2,2,54,5,1,63,Matches,69cbc8b6
83,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,17.0,553,819,67.5,13741,5585,113,138,81.9,288,356,80.9,144,302,47.7,1,0.3,+0.7,6,40,6,1,43,Matches,69cbc8b6
84,Fernando Calero,es ESP,DF,Espanyol,23,1995,11.6,507,577,87.9,10180,3225,165,174,94.8,275,294,93.5,63,103,61.2,0,0.0,0.0,1,15,3,0,24,Matches,41b3069f
85,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,20.1,199,365,54.5,2826,711,124,196,63.3,53,110,48.2,12,30,40.0,3,2.3,+0.7,16,20,10,3,23,Matches,6922f806
86,Víctor Camarasa,es ESP,MF,Alavés,25,1994,14.4,430,533,80.7,8342,1719,187,222,84.2,177,201,88.1,60,94,63.8,1,1.6,-0.6,14,36,12,2,36,Matches,b2d03887
87,Sergio Camello,es ESP,FW,Atlético Madrid,18,2001,0.3,2,5,40.0,35,11,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches,873619c6
88,José Campaña,es ESP,MF,Levante,26,1993,35.1,1650,2121,77.8,30027,10242,769,876,87.8,630,757,83.2,218,405,53.8,7,5.0,+2.0,74,155,43,9,217,Matches,61220da2
89,Xisco Campos,es ESP,DF,Mallorca,37,1982,5.3,153,198,77.3,3636,1078,34,41,82.9,77,88,87.5,40,64,62.5,1,0.1,+0.9,2,4,1,1,2,Matches,bd3b9a9f
90,Víctor Campuzano,es ESP,FWMF,Espanyol,22,1997,9.7,99,151,65.6,1404,323,64,79,81.0,22,39,56.4,8,14,57.1,0,0.1,-0.1,2,10,1,0,8,Matches,06983922
91,Sergio Canales,es ESP,MFFW,Betis,28,1991,35.1,1865,2221,84.0,35309,7042,783,857,91.4,777,865,89.8,262,406,64.5,6,5.7,+0.3,76,141,60,13,139,Matches,a6de370d
92,Ander Capa,es ESP,DF,Athletic Club,27,1992,31.9,1188,1598,74.3,20064,8418,588,677,86.9,496,652,76.1,91,202,45.0,4,3.3,+0.7,26,66,25,11,107,Matches,37f1cf47
93,Marc Cardona,es ESP,FW,Osasuna,24,1995,7.8,135,184,73.4,2024,331,83,103,80.6,39,55,70.9,10,14,71.4,2,1.4,+0.6,10,7,5,1,10,Matches,b92b456a
94,Diego Carlos,br BRA,DF,Sevilla,26,1993,34.8,1600,1847,86.6,37196,11742,403,430,93.7,821,884,92.9,365,515,70.9,0,0.5,-0.5,8,70,3,2,55,Matches,b4a014b1
95,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,25,1993,7.0,174,232,75.0,2708,902,114,127,89.8,37,54,68.5,19,40,47.5,2,0.7,+1.3,11,18,6,0,24,Matches,de39485a
96,Daniel Carriço,pt POR,DF,Sevilla,30,1988,9.4,502,542,92.6,10514,3032,145,153,94.8,275,282,97.5,79,103,76.7,0,0.0,0.0,1,23,0,0,18,Matches,e1deea75
97,Guido Carrillo,ar ARG,FW,Leganés,28,1991,13.5,232,340,68.2,3313,561,140,189,74.1,64,104,61.5,14,25,56.0,2,0.3,+1.7,11,16,7,0,24,Matches,8f898ba8
98,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,30.4,2058,2432,84.6,36024,12113,968,1051,92.1,852,971,87.7,212,322,65.8,5,4.3,+0.7,42,124,53,16,157,Matches,4958bfb2
99,William Carvalho,pt POR,MF,Betis,27,1992,9.9,564,634,89.0,10677,2490,229,254,90.2,243,264,92.0,78,94,83.0,0,0.8,-0.8,8,57,6,0,40,Matches,dee86451
100,Casemiro,br BRA,MF,Real Madrid,27,1992,34.3,1826,2186,83.5,37520,9488,753,838,89.9,674,792,85.1,353,474,74.5,3,0.3,+2.7,9,185,21,4,146,Matches,4d224fe8
101,Santi Cazorla,es ESP,MF,Villarreal,34,1984,27.2,1414,1733,81.6,29757,8561,551,624,88.3,554,630,87.9,296,435,68.0,9,6.5,+2.5,66,190,49,10,175,Matches,e2e9c250
102,Sofian Chakla,ma MAR,DF,Villarreal,25,1993,2.0,79,95,83.2,1839,568,18,19,94.7,40,48,83.3,20,27,74.1,0,0.0,0.0,0,0,0,0,3,Matches,37f04799
103,Charles,br BRA,FW,Eibar,35,1984,14.5,237,346,68.5,3241,415,138,194,71.1,72,105,68.6,10,15,66.7,0,0.8,-0.8,10,14,4,1,11,Matches,c4b8bcf4
104,Pablo Chavarría,ar ARG,FWMF,Mallorca,31,1988,2.3,40,63,63.5,494,91,24,33,72.7,11,18,61.1,1,4,25.0,0,0.7,-0.7,2,0,1,0,3,Matches,4207e578
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,21,1997,6.7,238,264,90.2,4097,948,107,118,90.7,95,104,91.3,28,32,87.5,1,0.3,+0.7,5,19,2,0,19,Matches,873ce3a2
106,Chema,es ESP,DF,Getafe,27,1992,3.4,75,123,61.0,1962,689,14,22,63.6,39,48,81.3,21,51,41.2,0,0.0,0.0,0,8,0,0,6,Matches,7f203b54
107,Denis Cheryshev,ru RUS,MFFW,Valencia,28,1990,10.3,240,349,68.8,4058,1037,120,155,77.4,93,127,73.2,20,47,42.6,2,1.2,+0.8,8,14,12,6,25,Matches,0ac94a23
108,Samuel Chukwueze,ng NGA,MFFW,Villarreal,20,1999,22.8,553,750,73.7,10360,2683,233,285,81.8,229,293,78.2,80,124,64.5,2,3.3,-1.3,35,36,33,9,79,Matches,b8a642fc
109,Churripi,es ESP,GK,Valladolid,25,1994,2.7,35,99,35.4,1422,1098,3,3,100.0,13,14,92.9,19,81,23.5,0,0.0,0.0,0,2,0,0,0,Matches,81a606fc
110,Jasper Cillessen,nl NED,GK,Valencia,30,1989,23.3,474,759,62.5,14585,9805,111,113,98.2,179,180,99.4,178,459,38.8,1,0.1,+0.9,1,2,0,0,0,Matches,04ac8285
111,Óscar Clemente,es ESP,MF,Atlético Madrid,20,1999,0.0,2,2,100.0,33,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,9dfdbdeb
112,Carlos Clerc,es ESP,DF,Levante,27,1992,20.5,709,968,73.2,11855,5168,397,448,88.6,249,321,77.6,56,160,35.0,2,1.8,+0.2,10,44,7,4,64,Matches,33a61a52
113,Coke,es ESP,DF,Levante,32,1987,11.0,463,577,80.2,8864,3653,205,228,89.9,185,215,86.0,67,105,63.8,0,0.4,-0.4,7,26,8,3,41,Matches,6d8f8441
114,Álex Collado,es ESP,DF,Barcelona,20,1999,0.1,9,10,90.0,127,7,6,7,85.7,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches,85dace26
115,Francis Coquelin,fr FRA,MF,Valencia,28,1991,21.2,885,984,89.9,17361,3670,347,370,93.8,396,416,95.2,130,178,73.0,0,0.2,-0.2,7,86,8,0,59,Matches,a6951bf8
116,Sébastien Corchia,fr FRA,DF,Espanyol,28,1990,3.0,149,186,80.1,2696,975,63,70,90.0,73,80,91.3,12,26,46.2,0,0.4,-0.4,7,7,7,3,17,Matches,0e7ccfc4
117,Iñigo Córdoba,es ESP,FW,Athletic Club,22,1997,16.0,316,458,69.0,4632,1231,183,223,82.1,104,149,69.8,15,45,33.3,4,1.1,+2.9,14,21,13,6,25,Matches,49ea92be
118,Ángel Correa,ar ARG,MFFW,Atlético Madrid,24,1995,22.9,454,603,75.3,6249,1531,279,333,83.8,120,163,73.6,28,57,49.1,6,4.2,+1.8,29,27,21,2,43,Matches,01eb744d
119,Rober Correa,es ESP,DF,Eibar,26,1992,10.3,381,513,74.3,7041,2947,161,188,85.6,168,210,80.0,43,91,47.3,0,0.2,-0.2,6,32,7,3,42,Matches,46bd3a5b
120,Thierry Correia,pt POR,DF,Valencia,20,1999,2.9,107,134,79.9,2073,893,39,43,90.7,53,56,94.6,13,25,52.0,0,0.1,-0.1,2,10,2,1,12,Matches,c78b352d
121,Antonio Cortés,es ESP,FWMF,Granada,19,2000,2.0,19,38,50.0,243,47,13,20,65.0,3,10,30.0,1,2,50.0,0,0.2,-0.2,2,1,0,0,1,Matches,31a1288d
122,Diego Costa,es ESP,FW,Atlético Madrid,30,1988,15.0,260,366,71.0,3946,695,150,198,75.8,81,104,77.9,18,27,66.7,4,1.8,+2.2,13,18,13,2,26,Matches,a190d597
123,Jaume Costa,es ESP,DF,Valencia,31,1988,15.4,672,818,82.2,12031,4127,282,316,89.2,336,381,88.2,50,105,47.6,1,0.5,+0.5,8,46,8,3,57,Matches,808d48f3
124,David Costas,es ESP,DF,Celta Vigo,24,1995,3.8,182,198,91.9,3688,1176,54,55,98.2,98,103,95.1,29,35,82.9,0,0.0,0.0,0,3,0,0,12,Matches,545e2f01
125,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34.0,849,1084,78.3,21913,10821,142,142,100.0,511,513,99.6,196,428,45.8,0,0.0,0.0,0,4,0,0,0,Matches,1840e36d
126,Sebastián Cristóforo,uy URU,MF,Eibar,25,1993,9.7,232,314,73.9,4126,1136,115,133,86.5,85,103,82.5,27,62,43.5,0,0.5,-0.5,7,27,2,0,30,Matches,3c05c659
127,Cucho,co COL,FWMF,Mallorca,20,1999,16.5,315,448,70.3,4812,1241,185,247,74.9,81,109,74.3,31,51,60.8,1,1.3,-0.3,17,18,8,4,26,Matches,71b47ab9
128,Marc Cucurella,es ESP,MFDF,Getafe,21,1998,36.0,938,1407,66.7,15990,6392,481,578,83.2,333,458,72.7,100,269,37.2,5,4.8,+0.2,49,87,51,24,133,Matches,1daec722
129,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27.0,423,823,51.4,19260,14320,29,30,96.7,113,114,99.1,281,679,41.4,0,0.0,0.0,0,27,1,0,2,Matches,75751c99
130,Moanes Dabbur,il ISR,FW,Sevilla,27,1992,0.3,14,19,73.7,243,75,6,8,75.0,7,7,100.0,1,2,50.0,0,0.0,0.0,0,0,3,0,3,Matches,eac044ad
131,Sergi Darder,es ESP,MFFW,Espanyol,25,1993,29.5,804,1075,74.8,16425,4386,314,384,81.8,331,415,79.8,145,238,60.9,1,2.0,-1.0,28,120,23,6,97,Matches,070a3904
132,Ousmane Dembélé,fr FRA,FW,Barcelona,22,1997,4.0,201,261,77.0,3426,761,107,118,90.7,70,89,78.7,20,35,57.1,0,0.6,-0.6,8,13,13,3,18,Matches,b19db005
133,Deyverson,br BRA,FW,Getafe,28,1991,2.3,34,68,50.0,629,177,15,25,60.0,10,18,55.6,6,15,40.0,1,0.6,+0.4,4,9,2,0,9,Matches,2e5e846d
