,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,0,0,0,0,0,1,1,100.0,0,Matches,65d62814
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,115,31,1,1,0,4,2,117,64,54.7,22,Matches,293211e1
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4230,2217,102,34,5,22,18,665,599,90.1,22,Matches,073b1b37
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,1231,84,397,674,223,9,986,14,26,53.8,16,3,636,2935,1696,64,17,2,20,17,677,608,89.8,21,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,1518,213,836,710,50,11,1475,11,15,73.3,12,0,962,5141,2228,58,10,0,5,8,954,934,97.9,10,Matches,18abe173
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,2322,76,476,1119,830,65,2125,10,19,52.6,12,2,1617,6152,3153,143,27,10,10,7,1907,1762,92.4,108,Matches,4601e194
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,2261,403,1369,968,51,21,2209,3,3,100.0,3,0,1325,7803,4455,72,5,1,1,1,1509,1492,98.9,10,Matches,4bd414c1
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,316,9,28,149,148,46,291,4,8,50.0,4,1,171,658,346,19,5,7,17,7,389,221,56.8,88,Matches,a7a9d95a
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,1330,77,349,890,170,15,1236,21,29,72.4,21,1,828,4312,2163,84,22,2,14,14,811,743,91.6,24,Matches,036bba5f
