,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
10,40,Ramon Azeez,15.1,17,1.12,11,1,0,2,1,2,1,0.07,1,0,0,0,0,0,40,15.1,17,14,3,11,3,4,13,30.8,9,330,82,24.8,58,191,81,17,2,0,15,15,32,15,0,40,15.1,316,394,80.2,5621,1240,149,175,85.1,123,146,84.2,39,55,70.9,0,0.3,-0.3,6,26,4,0,19,40,15.1,522,11,101,318,138,21,506,3,8,37.5,3,0,320,1974,858,34,12,3,17,16,422,301,71.3,44,40,15.1,2,19,3,15.8,1.26,0.20,0.11,0.67,21.1,0,0,0,1.9,1.9,0.10,+0.1,+0.1,75
11,42,Carlos Bacca,7.6,12,1.57,7,0,3,0,2,0,2,0.26,1,0,0,0,1,0,42,7.6,3,1,1,0,2,1,7,14.3,6,84,21,25.0,10,37,37,5,0,0,5,1,4,5,0,42,7.6,101,133,75.9,1555,125,64,74,86.5,28,39,71.8,9,13,69.2,1,0.5,+0.5,4,5,1,0,5,42,7.6,205,5,12,92,109,38,193,6,11,54.5,7,0,127,502,236,11,5,5,16,10,267,149,55.8,67,42,7.6,2,17,6,35.3,2.22,0.78,0.12,0.33,13.6,0,0,0,3.1,3.1,0.18,-1.1,-1.1,77
12,43,Alex Baena,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,43,0.2,1,0,1,0,0,0,1,0.0,1,4,0,0.0,2,1,1,0,0,0,0,0,1,0,0,43,0.2,4,4,100.0,58,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,43,0.2,6,0,3,3,1,0,5,0,0,,0,0,2,10,0,0,0,0,0,0,6,3,50.0,1,43,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,64
13,45,Mikel Balenziaga,6.3,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,45,6.3,11,5,2,7,2,5,8,62.5,3,83,23,27.7,36,38,9,17,3,0,14,4,15,19,0,45,6.3,188,258,72.9,3272,1457,101,115,87.8,67,96,69.8,18,39,46.2,0,0.0,0.0,0,10,4,1,15,45,6.3,317,17,93,157,78,1,261,1,2,50.0,1,0,150,707,388,15,3,0,3,2,159,145,91.2,1,45,6.3,0,3,0,0.0,0.48,0.00,0.00,,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,74
14,48,Enis Bardhi,23.5,68,2.89,40,11,7,5,3,2,10,0.43,4,0,2,2,1,1,48,23.5,34,27,10,19,5,8,34,23.5,26,405,93,23.0,128,187,90,25,4,0,21,15,49,17,1,48,23.5,625,853,73.3,10383,3269,336,390,86.2,193,254,76.0,68,141,48.2,2,1.9,+0.1,28,60,23,5,86,48,23.5,1133,30,205,568,430,51,1061,38,59,64.4,40,1,837,3949,2291,117,37,12,51,30,995,793,79.7,124,48,23.5,7,56,18,32.1,2.38,0.77,0.13,0.39,21.2,11,0,0,4.6,4.6,0.08,+2.4,+2.4,79
15,49,Kike Barja,3.5,10,2.88,8,0,1,1,0,0,2,0.58,2,0,0,0,0,0,49,3.5,1,1,1,0,0,1,2,50.0,1,48,10,20.8,7,24,17,5,1,0,4,0,1,1,0,49,3.5,62,89,69.7,966,270,32,37,86.5,25,33,75.8,2,11,18.2,1,1.0,0.0,3,2,6,1,13,49,3.5,138,4,19,62,76,11,136,11,17,64.7,12,0,116,703,486,26,9,4,12,11,158,101,63.9,31,49,3.5,0,6,3,50.0,1.73,0.86,0.00,0.00,18.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,69
16,51,Ander Barrenetxea,4.9,19,3.87,17,0,2,0,0,0,0,0.00,0,0,0,0,0,0,51,4.9,11,6,4,6,1,3,9,33.3,6,128,39,30.5,32,60,36,5,0,0,5,0,11,5,0,51,4.9,139,191,72.8,2344,593,69,83,83.1,56,72,77.8,11,22,50.0,0,0.5,-0.5,10,9,7,2,13,51,4.9,280,6,26,111,164,39,271,22,45,48.9,23,2,239,1403,834,49,9,17,15,12,272,213,78.3,37,51,4.9,0,15,5,33.3,3.05,1.02,0.00,0.00,17.2,0,0,0,0.8,0.8,0.05,-0.8,-0.8,73
17,52,Marc Bartra,28.0,12,0.43,10,0,0,2,0,0,1,0.04,0,0,0,1,0,0,52,28.0,62,37,41,21,0,16,37,43.2,21,339,112,33.0,175,149,15,59,27,0,32,25,87,181,0,52,28.0,1422,1637,86.9,30963,8557,396,432,91.7,738,800,92.3,267,373,71.6,1,1.0,0.0,3,79,6,0,66,52,28.0,2001,310,1117,878,106,31,1935,13,19,68.4,16,2,1223,6277,3534,96,15,0,16,11,1338,1295,96.8,19,52,28.0,3,21,5,23.8,0.75,0.18,0.14,0.60,16.6,0,0,0,1.6,1.6,0.08,+1.4,+1.4,80
18,56,Karim Benzema,34.9,118,3.38,104,0,11,2,1,0,17,0.49,15,0,2,0,0,0,56,34.9,17,13,2,9,6,7,25,28.0,18,319,83,26.0,23,135,161,16,3,0,13,11,28,25,1,56,34.9,1119,1329,84.2,16897,3022,673,757,88.9,303,360,84.2,96,119,80.7,8,8.4,-0.4,61,71,58,1,110,56,34.9,1688,32,123,737,928,269,1628,39,72,54.2,42,2,1173,6148,3183,177,54,53,59,42,2018,1406,69.7,378,56,34.9,21,118,54,45.8,3.38,1.55,0.14,0.30,14.6,1,5,5,17.4,13.6,0.12,+3.6,+2.4,89
19,57,Yuri Berchiche,31.7,56,1.77,44,3,3,4,1,1,3,0.09,2,0,0,1,0,0,57,31.7,50,31,33,15,2,24,45,53.3,21,408,135,33.1,195,156,57,75,5,0,70,22,72,69,0,57,31.7,1351,1695,79.7,25060,10067,624,704,88.6,546,669,81.6,161,247,65.2,1,2.6,-1.6,27,112,37,18,180,57,31.7,2079,81,568,1071,605,44,1769,47,71,66.2,49,1,1298,7562,4369,182,73,15,53,27,1356,1202,88.6,68,57,31.7,2,35,9,25.7,1.11,0.28,0.06,0.22,23.7,0,0,0,1.4,1.4,0.04,+0.6,+0.6,83
