,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
10,37,Anaitz Arbilla,26.8,39,1.45,29,3,1,4,1,1,5,0.19,4,0,0,1,0,0,37,26.8,38,30,24,12,2,21,40,52.5,19,21,10,11,78,116,108,2,37,26.8,1235,1559,79.2,29963,11577,334,383,87.2,561,638,87.9,331,499,66.3,1,0.4,0.8,+0.6,8,143,10,1,158,37,26.8,1829,99,677,1080,97,6,1829,21,20,95.2,1,4.8,1025,6787,3240,34,14,2,18,3,999,2,37,26.8,2,17,4,23.5,0.63,0.15,0.12,0.50,24.2,8,0,0,0.8,0.8,0.05,+1.2,+1.2,78
11,42,Sergio Asenjo,23.0,2,0.09,1,1,0,0,0,0,1,0.04,1,0,0,0,0,0,42,23.0,2,2,2,0,0,1,5,20.0,4,0,0,0,0,2,11,2,42,23.0,406,657,61.8,13406,10597,50,50,100.0,163,168,97.0,191,434,44.0,0,0.0,0.0,0.0,0,6,0,0,0,42,23.0,714,650,712,2,0,0,714,1,1,100.0,0,0.0,288,2090,1366,0,0,0,1,0,175,0,42,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,84
12,43,Marco Asensio,20.5,107,5.22,87,10,4,3,2,1,11,0.54,11,0,0,0,0,0,43,20.5,26,17,7,13,6,11,26,42.3,15,15,0,15,9,35,2,0,43,20.5,1062,1264,84.0,15960,3700,627,676,92.8,322,378,85.2,77,130,59.2,6,6.4,3.6,-0.4,52,113,43,7,157,43,20.5,1430,4,78,662,714,80,1430,45,31,68.9,14,31.1,1080,7322,4179,135,98,22,32,25,1184,209,43,20.5,6,56,22,39.3,2.73,1.07,0.11,0.27,19.2,3,0,0,4.5,4.5,0.08,+1.5,+1.5,85
13,44,Iago Aspas,32.6,136,4.17,100,7,14,4,9,2,19,0.58,12,0,6,1,0,0,44,32.6,26,22,10,10,6,5,34,14.7,29,15,1,14,23,49,11,1,44,32.6,992,1316,75.4,14982,3301,592,705,84.0,277,366,75.7,81,125,64.8,5,9.5,7.0,-4.5,69,73,50,7,126,44,32.6,1633,12,113,734,814,176,1630,92,58,63.0,34,37.0,1069,6441,3441,115,77,52,71,47,1282,294,44,32.6,22,91,40,44.0,2.79,1.23,0.22,0.50,16.5,6,2,3,17.3,15.0,0.16,+4.7,+5.0,85
14,45,Carlos Bacca,27.7,75,2.70,51,0,18,5,1,0,14,0.50,8,0,6,0,0,0,45,27.7,10,2,2,4,4,1,12,8.3,11,16,1,15,8,18,16,0,45,27.7,388,538,72.1,5649,1228,232,295,78.6,112,158,70.9,27,41,65.9,6,4.7,4.2,+1.3,30,21,15,1,39,45,27.7,750,19,43,339,377,130,749,53,35,66.0,18,34.0,455,2443,1275,56,19,32,51,25,591,188,45,27.7,15,72,33,45.8,2.60,1.19,0.19,0.42,15.6,0,1,1,14.0,13.2,0.18,+1.0,+0.8,82
15,48,Gareth Bale,20.0,71,3.55,60,0,4,4,3,0,9,0.45,5,0,1,1,2,0,48,20.0,19,13,7,8,4,3,14,21.4,11,13,1,12,12,31,18,0,48,20.0,603,779,77.4,9329,2213,360,408,88.2,162,210,77.1,56,89,62.9,2,5.0,4.1,-3.0,41,32,44,11,87,48,20.0,998,21,97,368,544,127,997,52,31,59.6,21,40.4,705,4066,1828,75,44,28,34,20,824,217,48,20.0,16,76,31,40.8,3.80,1.55,0.20,0.48,15.5,4,1,1,11.8,11.0,0.15,+4.2,+4.0,88
16,49,Mikel Balenziaga,17.2,17,0.99,12,2,1,0,1,1,2,0.12,2,0,0,0,0,0,49,17.2,34,24,17,13,4,15,27,55.6,12,24,5,19,17,51,61,0,49,17.2,599,791,75.7,9534,2681,304,340,89.4,239,315,75.9,35,85,41.2,2,1.0,1.1,+1.0,7,34,16,12,48,49,17.2,971,62,273,465,246,7,971,24,14,58.3,10,41.7,460,2324,1068,29,22,2,19,13,483,71,49,17.2,0,3,0,0.0,0.17,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,75
17,52,Mariano Barbosa,12.5,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,52,12.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,52,12.5,225,335,67.2,6683,5191,35,35,100.0,106,106,100.0,84,194,43.3,0,0.0,0.0,0.0,0,1,0,0,0,52,12.5,365,315,365,0,0,0,365,0,0,,0,,162,779,545,0,0,0,0,0,120,0,52,12.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,76
18,53,Enis Bardhi,17.6,57,3.25,40,10,2,2,2,1,6,0.34,6,0,0,0,0,0,53,17.6,39,26,14,16,9,10,38,26.3,28,11,0,11,16,55,7,0,53,17.6,520,683,76.1,9176,2631,252,295,85.4,183,220,83.2,63,118,53.4,1,1.3,1.3,-0.3,23,83,8,0,91,53,17.6,875,17,129,451,307,20,875,43,25,58.1,18,41.9,534,2740,1533,39,18,7,42,34,569,57,53,17.6,9,37,13,35.1,2.11,0.74,0.24,0.69,24.6,16,0,0,3.1,3.1,0.08,+5.9,+5.9,78
19,55,Barri,1.3,2,1.59,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,55,1.3,1,0,0,1,0,0,4,0.0,4,1,1,0,1,2,3,0,55,1.3,10,16,62.5,202,88,5,7,71.4,3,3,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,4,55,1.3,24,2,7,13,6,0,24,3,3,100.0,0,0.0,10,94,59,2,2,0,1,1,12,0,55,1.3,0,1,1,100.0,0.80,0.80,0.00,0.00,20.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,61
