,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,11,0.41,10,0,1,0,0,0,2,0.07,2,0,0,0,0,0,Matches,bb08bce9
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,11.8,37,3.13,30,2,3,1,0,1,5,0.42,4,0,1,0,0,0,Matches,3d7e48ce
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0,Matches,6c811eb7
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,683a1d81
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6f392eb8
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,11,0.53,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches,3ecc11d8
23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0,Matches,c9e99e49
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0,Matches,69c5633e
25,Amath,sn SEN,FWMF,Mallorca,25,1996,9.8,18,1.83,10,0,1,2,4,1,2,0.20,1,0,0,1,0,0,Matches,f3b1d9a2
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,4,2.05,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dc008610
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,16,1.33,14,1,0,1,0,0,2,0.17,1,0,0,1,0,0,Matches,3024e383
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4a5f2032
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1,Matches,58afe001
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,8,0.28,6,0,1,1,0,0,2,0.07,2,0,0,0,0,0,Matches,27a013f7
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,13,0.51,10,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,2bef2bca
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,2,0.96,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,94e01ec6
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,7,3.89,6,0,0,1,0,0,1,0.56,0,0,0,1,0,0,Matches,484ebdb0
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,8,1.64,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,fdd60087
35,Santiago Arzamendia,py PAR,MFDF,Cádiz,23,1998,5.2,4,0.77,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,759d8dd7
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f0ea33f
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,2,15.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b4c23f36
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,19.2,65,3.38,41,10,3,8,2,1,7,0.36,3,0,1,2,0,1,Matches,45af8a54
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,113,3.29,89,7,4,7,6,0,15,0.44,10,0,1,4,0,0,Matches,7dcf86f6
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,15,1.25,12,0,0,2,0,1,2,0.17,2,0,0,0,0,0,Matches,d5dd5f1f
41,Ludwig Augustinsson,se SWE,DF,Sevilla,27,1994,8.8,14,1.59,8,5,0,0,0,1,1,0.11,0,1,0,0,0,0,Matches,9fec8860
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,13,1.16,12,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,5c2b4f07
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,20.8,37,1.78,22,4,0,3,6,2,6,0.29,3,1,0,0,1,1,Matches,253a06b9
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,18,0.84,15,0,0,2,0,1,1,0.05,1,0,0,0,0,0,Matches,bfd381b3
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,13,2.28,9,0,0,2,2,0,2,0.35,1,0,0,0,1,0,Matches,09a9e921
46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e4346678
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a98f3cbf
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,2.1,3,1.44,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,5ccc9672
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a58bb1e1
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,20,0.89,15,2,1,1,1,0,1,0.04,0,0,0,0,1,0,Matches,1fe67e86
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,77,2.20,57,12,2,1,3,2,5,0.14,5,0,0,0,0,0,Matches,cee88597
52,Barbero,es ESP,MFFW,Osasuna,22,1998,0.2,1,4.29,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,981c1863
53,Barcia,es ESP,DF,Granada,20,2000,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0c717ae6
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,18.9,75,3.97,40,19,2,8,6,0,4,0.21,3,1,0,0,0,0,Matches,cac2537b
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,21,1.28,19,0,1,0,1,0,2,0.12,1,0,0,0,1,0,Matches,03049c8c
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,9.6,22,2.29,15,0,0,2,3,2,3,0.31,1,0,0,1,1,0,Matches,aad53e64
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,10,0.88,8,1,0,0,1,0,2,0.18,2,0,0,0,0,0,Matches,487d9b09
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,6.1,16,2.63,12,0,3,0,1,0,3,0.49,2,0,1,0,0,0,Matches,200e89e1
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,11,0.50,8,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b742cc0d
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,42a028c5
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,14,1.07,11,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,d637fc22
62,Jon Bautista,es ESP,FWMF,Real Sociedad,26,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,debc6b55
63,Bebé,cv CPV,FWMF,Rayo Vallecano,31,1990,9.6,41,4.26,21,6,6,3,5,0,6,0.62,2,1,2,0,1,0,Matches,d8712bf9
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22.0,44,2.00,39,4,1,0,0,0,6,0.27,6,0,0,0,0,0,Matches,f874dd44
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,35,1.21,30,0,1,1,1,2,2,0.07,0,0,0,1,0,1,Matches,ed5c5fa3
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,6.6,11,1.68,7,0,3,1,0,0,2,0.31,1,0,0,1,0,0,Matches,bef0a7ac
67,Iker Benito,es ESP,MFFW,Osasuna,18,2002,1.3,3,2.29,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,50cbc806
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a7416105
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,124,4.30,103,0,13,6,2,0,21,0.73,16,0,4,1,0,0,Matches,70d74ece
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,19,1.68,16,1,0,0,1,1,3,0.27,3,0,0,0,0,0,Matches,b6e50615
71,Álex Berenguer,es ESP,MFFW,Athletic Club,26,1995,24.1,71,2.95,44,16,3,3,4,1,8,0.33,5,2,0,1,0,0,Matches,dc1c2fce
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,10,0.58,7,0,0,1,2,0,1,0.06,1,0,0,0,0,0,Matches,697295b1
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,1,2.90,1,0,0,0,0,0,1,2.90,1,0,0,0,0,0,Matches,506daeac
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,4,0.13,3,1,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches,f6798fc3
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,43,2.26,26,0,9,3,2,3,9,0.47,4,0,3,0,0,2,Matches,d49f3e6b
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,3,1.15,3,0,0,0,0,0,1,0.38,1,0,0,0,0,0,Matches,fd771f95
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,57,2.13,50,0,0,3,2,2,6,0.22,5,0,0,1,0,0,Matches,4accb7e0
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,3,0.19,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,10072610
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,2,0.52,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3d688b46
80,Bryan,es ESP,MFFW,Valencia,20,2001,8.4,19,2.27,13,4,1,0,1,0,1,0.12,1,0,0,0,0,0,Matches,7b5ab7f2
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,31,1.61,16,0,2,3,9,1,4,0.21,2,0,0,0,2,0,Matches,8f3565b3
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,85,2.39,75,1,1,0,3,5,3,0.08,3,0,0,0,0,0,Matches,5ab0ea87
83,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,505dce2b
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,3,0.67,2,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches,e7ab4179
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,26,0.70,21,2,0,3,0,0,4,0.11,2,1,0,1,0,0,Matches,69cbc8b6
86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,6,0.81,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e94d79e3
87,Cala,es ESP,DF,Cádiz,31,1989,10.5,3,0.29,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,fe05804b
88,Calderón,es ESP,DF,Betis,21,2000,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,da4e70e5
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,5,0.41,5,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,41b3069f
90,Víctor Camarasa,es ESP,MFFW,Betis,27,1994,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b2d03887
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,31,2.26,26,0,1,0,2,2,3,0.22,3,0,0,0,0,0,Matches,7b9c2d84
92,José Campaña,es ESP,MF,Levante,28,1993,15.8,46,2.91,33,9,0,3,1,0,3,0.19,2,0,0,1,0,0,Matches,61220da2
93,Sergio Canales,es ESP,FWMF,Betis,30,1991,31.0,117,3.77,100,3,4,4,3,3,13,0.42,11,0,1,0,1,0,Matches,a6de370d
94,Álex Cantero,es ESP,FWMF,Levante,21,2000,6.8,18,2.66,13,0,1,3,1,0,4,0.59,4,0,0,0,0,0,Matches,4aa253fd
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,37f1cf47
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,25,0.98,16,0,2,2,3,2,3,0.12,2,0,0,1,0,0,Matches,5acc4a10
97,Isaac Carcelen,es ESP,DFMF,Cádiz,28,1993,17.2,23,1.34,15,1,0,4,2,1,1,0.06,1,0,0,0,0,0,Matches,c4b888df
98,Cárdenas,es ESP,GK,Levante,24,1997,24.0,4,0.17,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e1846dde
99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8249ff06
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,15,0.46,12,0,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches,b4a014b1
101,Carmona,es ESP,DF,Sevilla,19,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2dce876a
102,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,27,1993,28.7,115,4.01,62,22,22,6,2,1,12,0.42,5,4,2,1,0,0,Matches,de39485a
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,13.0,21,1.62,13,0,0,3,3,2,1,0.08,1,0,0,0,0,0,Matches,8f898ba8
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,38,2.21,35,0,1,0,0,2,6,0.35,5,0,1,0,0,0,Matches,4958bfb2
105,William Carvalho,pt POR,MF,Betis,29,1992,20.1,50,2.49,42,0,4,1,1,2,7,0.35,3,0,1,1,1,1,Matches,dee86451
106,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,63,2.21,56,0,0,1,2,4,11,0.39,8,0,0,1,1,1,Matches,4d224fe8
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,4,0.29,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,58bc7d18
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36.0,25,0.69,17,2,0,2,2,2,3,0.08,2,0,0,1,0,0,Matches,274ab13c
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,13,4.24,11,0,0,2,0,0,2,0.65,1,0,0,1,0,0,Matches,c0617e2b
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20.0,32,1.60,22,2,0,3,4,1,7,0.35,4,0,0,2,1,0,Matches,5e1028e5
111,Chapela,es ESP,MFFW,Cádiz,22,1999,4.4,5,1.13,4,0,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches,9ed40a69
112,Chema,es ESP,MF,Getafe,29,1992,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7f203b54
113,Denis Cheryshev,ru RUS,MF,Valencia,30,1990,6.3,15,2.40,10,2,0,0,1,2,3,0.48,1,0,0,0,1,1,Matches,0ac94a23
114,Samuel Chukwueze,ng NGA,MFFW,Villarreal,22,1999,14.8,50,3.38,36,0,9,2,2,1,7,0.47,3,0,2,2,0,0,Matches,b8a642fc
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,7,0.34,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,ec1a731e
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,3,0.19,3,0,0,0,0,0,2,0.12,2,0,0,0,0,0,Matches,04ac8285
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,24,1.97,15,0,1,3,2,3,1,0.08,1,0,0,0,0,0,Matches,9a0408b6
118,Carlos Clerc,es ESP,DF,Levante,29,1992,16.8,20,1.19,15,3,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches,33a61a52
119,Coke,es ESP,DF,Levante,34,1987,1.3,3,2.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6d8f8441
120,Álex Collado,es ESP,MFFW,Granada,22,1999,11.3,33,2.91,21,5,4,2,1,0,2,0.18,1,1,0,0,0,0,Matches,85dace26
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,3,0.66,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,15937e17
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,54,1.81,44,2,2,2,2,2,5,0.17,3,0,1,1,0,0,Matches,5ae499d0
123,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4eae5bc4
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,17,1.84,12,0,0,1,3,1,1,0.11,1,0,0,0,0,0,Matches,a6951bf8
125,Jesús Corona,mx MEX,FWDF,Sevilla,28,1993,12.9,38,2.96,30,3,4,0,1,0,6,0.47,5,0,1,0,0,0,Matches,fb938d24
126,Ángel Correa,ar ARG,FWMF,Atlético Madrid,26,1995,20.6,57,2.76,43,3,3,3,3,2,10,0.48,8,0,0,1,0,1,Matches,01eb744d
127,Thierry Correia,pt POR,DF,Valencia,22,1999,15.7,22,1.40,17,0,1,0,1,3,1,0.06,1,0,0,0,0,0,Matches,c78b352d
128,Hélder Costa,ao ANG,MFFW,Valencia,27,1994,12.4,33,2.66,27,2,3,0,0,1,2,0.16,2,0,0,0,0,0,Matches,f13d02a6
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,38,1.87,31,4,0,0,1,2,6,0.30,5,0,0,0,0,1,Matches,808d48f3
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,1840e36d
131,Philippe Coutinho,br BRA,MFFW,Barcelona,29,1992,5.6,16,2.86,11,2,1,0,1,1,4,0.72,3,0,0,0,1,0,Matches,0ef89a37
132,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ad81ba78
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,6,0.28,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a56da3ba
134,Marc Cucurella,es ESP,FWDF,Getafe,23,1998,0.3,4,15.65,1,1,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,1daec722
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,7,0.23,6,0,0,0,1,0,1,0.03,1,0,0,0,0,0,Matches,0abc51f2
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,22,1.86,12,0,0,3,6,1,7,0.59,4,0,0,1,2,0,Matches,dc62b55d
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,88,2.53,68,7,1,4,4,4,14,0.40,13,0,0,1,0,0,Matches,070a3904
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,85,3.56,57,23,1,1,1,2,5,0.21,4,1,0,0,0,0,Matches,162efffd
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,15,0.87,11,0,0,2,1,1,2,0.12,1,0,0,1,0,0,Matches,fe641c1a
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,15.7,82,5.24,56,12,9,3,2,0,16,1.02,12,3,1,0,0,0,Matches,b19db005
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,5,2.34,0,3,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,fa265f6d
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,20.6,76,3.70,43,18,6,3,6,0,11,0.53,5,1,2,1,2,0,Matches,8f696594
143,Sergiño Dest,us USA,DFFW,Barcelona,20,2000,16.8,39,2.32,30,1,7,0,1,0,3,0.18,3,0,0,0,0,0,Matches,5976f83e
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,32,2.27,24,0,3,2,0,3,7,0.50,5,0,1,1,0,0,Matches,244bc2c8
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,9,0.42,6,0,1,0,1,1,1,0.05,1,0,0,0,0,0,Matches,d2110326
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,17a1299d
147,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,11,0.66,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,3624ce4c
148,Landry Dimata,be BEL,FWMF,Espanyol,23,1997,6.0,16,2.66,11,0,1,0,3,1,0,0.00,0,0,0,0,0,0,Matches,b5f63410
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,3,0.10,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fc70e345
150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38.0,2,0.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b6160ad0
151,Djené,tg TOG,DF,Getafe,29,1991,34.6,26,0.75,20,0,2,1,1,2,4,0.12,4,0,0,0,0,0,Matches,a4971d84
152,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,21,1999,2.4,8,3.29,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,3594a357
153,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ac295d9e
154,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c9cb972b
155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,3.8,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3521abfe
156,Mario Dominguez,es ESP,FW,Valencia,17,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d709cd5c
157,John Donald,es ESP,DF,Elche,20,2000,2.0,3,1.50,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,5e95c000
158,Domingos Duarte,pt POR,DF,Granada,26,1995,18.7,7,0.37,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,93090f69
159,Óscar Duarte,cr CRC,DF,Levante,32,1989,19.7,4,0.20,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,aa0ac32d
160,Rubén Duarte,es ESP,DF,Alavés,25,1995,29.1,46,1.58,27,14,0,0,2,3,6,0.21,3,2,0,0,1,0,Matches,1fe0492d
161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c261b5dd
162,Hugo Duro,es ESP,FWMF,Valencia,21,1999,20.4,32,1.57,21,0,3,1,6,1,7,0.34,2,0,1,1,2,1,Matches,37e103f8
163,Hugo Duro,es ESP,DFMF,Getafe,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,37e103f8
164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,23.4,10,0.43,7,0,0,1,1,1,1,0.04,1,0,0,0,0,0,Matches,f7dc2ae5
165,Adri Embarba,es ESP,FWMF,Espanyol,29,1992,22.1,81,3.67,38,23,8,4,5,3,6,0.27,2,3,0,1,0,0,Matches,db8f0eba
166,Emerson,br BRA,DF,Barcelona,22,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,df8b52a5
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,14.2,12,0.85,9,0,1,1,1,0,4,0.28,2,0,1,0,1,0,Matches,04e17fd5
168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,14.4,17,1.18,12,0,0,3,2,0,3,0.21,1,0,0,1,1,0,Matches,3f79a1c8
169,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,67669ce7
