,Name,Val
0,,74
1,,67
2,,83
3,,83
4,,71
5,,86
6,Oscar Rodriguez Arnaiz,72
7,Dani Alves,82
8,,81
9,,81
10,,85
11,Pablo Martinez,63
12,,63
13,,63
14,,73
15,,60
16,,60
17,,62
18,,60
19,,73
20,,80
21,,59
22,,68
23,,63
24,,64
25,,58
26,Jorge Molina,58
27,Alberto Moreno,64
28,,62
29,,58
30,,62
31,,65
32,,62
33,Adnan Januzaj,81
34,,63
35,,60
36,,70
37,,62
38,,64
39,,61
40,,62
41,,61
42,,60
43,,61
44,Iglesias,59
45,Cristiano Piccini,74
46,,59
47,Calderon,60
48,,65
49,Carlos Martin,62
50,Yannick Carrasco,63
51,,62
52,,65
53,,58
54,Denis Cheryshev,75
55,,77
56,,72
57,,62
58,,62
59,,63
60,,65
61,,58
62,,60
63,,67
64,,64
65,,70
66,,62
67,,71
68,,61
69,,63
70,,63
71,,60
72,,64
73,Juan Miranda,59
74,,63
75,Kike Hermoso,66
76,,61
77,Luca Koleosho,60
78,Luca Zidane,69
79,,62
80,,59
81,,58
82,,64
83,,59
84,,63
85,,61
86,Marcelo,79
87,,64
88,,73
89,,79
90,,61
91,Pedro Benito,62
92,,63
93,,87
94,Serge Aurier,79
95,,60
96,,64
97,,62
98,,61
99,,62
100,,65
101,Alvaro Sanz,65
102,Emmanuel Amankwaa Akurugu,62
103,Ante Budimir,76
104,,82
105,,82
106,Alfonso Espino,78
107,Abdessamad Ezzalzouli,70
108,Antoine Griezmann,83
109,Andres Guardado,77
110,,84
111,Alexander Isak,80
112,Andriy Lunin,75
113,,70
114,Loum Ndiaye,73
115,,87
116,,82
117,,70
118,,79
119,,63
120,Pedrosa,76
121,,63
122,,68
123,,75
124,Aihen Muñoz,75
125,,64
126,Aitor Fernandez,77
127,,63
128,Aitor Ruibal,74
129,,72
130,,73
131,Aleix Vidal,73
132,,58
133,,80
134,,62
135,Ander Guevara,76
136,,63
137,Ander Martin,65
138,Ansu Fati,79
139,,63
140,,71
141,Jesus Areso,67
142,Aritz Elustondo,82
143,,66
144,,71
145,,57
146,Marc Tenas,67
147,,63
148,,62
149,Boulaye Dia,79
150,,57
151,,77
152,Alejandro Balde,68
153,Mikel Balenziaga,75
154,Barbero,67
155,Ander Barrenetxea,74
156,Alvaro Bastida,65
157,Bebe,74
158,,61
159,Blanco,71
160,,74
161,Borja Iglesias,81
162,Borja Mayoral,74
163,Brais Mendez,77
164,Claudio Bravo,78
165,,77
166,Victor Camarasa,71
167,Sergio Canales,84
168,Ander Capa,77
169,Carlos Soler,83
170,Carmona,60
171,Dani Carvajal,84
172,Casemiro,89
173,Catena,76
174,Chapela,66
175,,69
176,Cristhian Mosquera,66
177,,63
178,David Alaba,86
179,,64
180,Dimitri Foulquier,75
181,Dominik Greif,72
182,,64
183,Damian Suarez,77
184,,60
185,Daniel Wass ,79
186,Dani Ceballos,77
187,Dani Garcia,75
188,,69
189,Dani Rodriguez,76
190,,62
191,,68
192,David Lopez,77
193,David Silva,83
194,David Soria,82
195,,63
196,Oscar de Marcos,77
197,Raul de Tomas,62
198,Raul de Tomas,83
199,,58
200,Diego Conde,65
201,,62
202,Diego Gonzalez,71
203,Diego Lopez,79
204,,62
205,,64
206,Domingos Duarte,77
207,Eduardo Camavinga,79
208,Etienne Capoue,80
209,Eray Cömert,71
210,Yusuf Demir,65
211,Eden Hazard,84
212,Erik Lamela,79
213,Ezequiel Ponce,74
214,Esteban Saveljich,71
215,Ezequiel Avila,79
216,Enes Ünal,78
217,Edgar Gonzalez,76
218,,75
219,Adri Embarba,75
220,Eric Garcia,76
221,Sergio Escudero,75
222,,63
223,Francis Coquelin,80
224,,84
225,Ferland Mendy,83
226,Federico Valverde,84
227,Frenkie de Jo,87
228,Radamel Falcao,76
229,Felipe,81
230,Fernando Niño,71
231,Fernando,83
232,Ferran Torres,82
233,Fidel,77
234,,66
235,,59
236,,75
237,,64
238,,65
239,,59
240,Geoffrey Kondogbia,82
241,Giorgi Mamardashvili,77
242,Gonzalo Montiel,79
243,German Pezzella,77
244,,77
245,Guido Rodriguez,81
246,Geronimo Rulli,82
247,,70
248,Gabriel Paulista,82
249,,70
250,Gavi Paez,79
251,Jose Luis Gayà,82
252,Gerard Moreno,85
253,Gori,64
254,,65
255,Helibelton Palacios,73
256,Hugo Duro,77
257,Hugo Guillamon,74
258,,67
259,,71
260,Iddrisu Baba,75
261,Ivan Balliu,75
262,,63
263,,74
264,,67
265,Ivan Rakitić,82
266,,67
267,Isco,82
268,,77
269,,65
270,Ivan Alejo,75
271,,65
272,Ivan Martin,70
273,Ivan Romero,60
274,,72
275,Iñaki Williams,81
