,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
33,Manolo Reina,es ESP,GK,Mallorca,36,1985,21,21,1890,21.0,26,1.24,72,47,66.7,6,9,6,8,38.1,3,2,1,0,33.3,Matches,605eb473
34,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35,35,3150,35.0,32,0.91,107,77,73.8,15,11,9,19,54.3,5,4,1,0,20.0,Matches,374ee424
35,Sergio Rico,es ESP,GK,Mallorca,27,1993,14,14,1260,14.0,29,2.07,52,28,50.0,4,0,10,1,7.1,4,3,1,0,25.0,Matches,5f0241b2
36,Leonardo Román,es ESP,GK,Mallorca,21,2000,2,2,180,2.0,5,2.50,13,10,69.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches,924ff27e
37,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,32,32,2880,32.0,28,0.87,97,70,74.2,14,9,9,14,43.8,4,3,1,0,25.0,Matches,625c144a
38,Mathew Ryan,au AUS,GK,Real Sociedad,29,1992,3,3,270,3.0,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0.0,Matches,4535e4bb
39,Rui Silva,pt POR,GK,Betis,27,1994,22,21,1964,21.8,21,0.96,72,52,73.6,11,4,6,8,38.1,2,2,0,0,0.0,Matches,ea83bfa6
40,Unai Simón,es ESP,GK,Athletic Club,24,1997,34,34,3060,34.0,31,0.91,106,74,73.6,13,11,10,12,35.3,3,3,0,0,0.0,Matches,5dcf3e90
41,Antonio Sivera,es ESP,GK,Alavés,24,1996,4,3,277,3.1,4,1.30,15,12,80.0,0,1,2,1,33.3,1,1,0,0,0.0,Matches,9970da54
42,David Soria,es ESP,GK,Getafe,28,1993,38,38,3414,37.9,41,1.08,130,89,70.0,8,15,15,14,36.8,4,2,1,1,33.3,Matches,8f8c6934
43,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35,35,3150,35.0,34,0.97,110,78,70.9,19,9,7,11,31.4,3,2,1,0,33.3,Matches,6f51e382
44,Rúben Vezo,pt POR,DF,Levante,27,1994,1,1,4,26.9,0,0.00,0,0,,0,1,0,0,0.0,0,0,0,0,,Matches,c67cd65c
45,Luca Zidane,fr FRA,GKMF,Rayo Vallecano,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0.0,0,0,0,0,,Matches,c818c4d9
