,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,Matches,a2c1a8d3
2,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,9,1.50,27,19,70.4,2,2,2,0,0.0,1,1,0,0,0.0,Matches,9f0ea33f
3,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5,Matches,e4346678
4,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31.0,24,0.77,98,75,77.6,14,13,4,13,41.9,4,2,1,1,33.3,Matches,f6798fc3
5,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,1456,16.2,19,1.17,55,39,67.3,8,4,5,5,29.4,1,1,0,0,0.0,Matches,10072610
6,Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24.0,46,1.92,115,71,63.5,6,6,12,5,20.8,4,4,0,0,0.0,Matches,e1846dde
7,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,Matches,58bc7d18
8,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,1457,16.2,29,1.79,71,47,66.2,4,8,5,3,17.6,6,5,1,0,16.7,Matches,04ac8285
9,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,4eae5bc4
10,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,3240,36.0,29,0.81,116,88,76.7,26,7,3,16,44.4,3,2,1,0,33.3,Matches,1840e36d
11,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,17a1299d
12,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,37,1.20,116,86,74.1,11,8,11,9,30.0,9,7,2,0,22.2,Matches,fc70e345
13,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,3420,38.0,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50.0,Matches,b6160ad0
14,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6.0,5,0.83,18,13,72.2,4,2,0,4,66.7,0,0,0,0,,Matches,ac295d9e
15,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,,Matches,c9cb972b
16,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,Matches,67669ce7
17,Aitor Fernández,es ESP,GK,Levante,30,1991,13,13,1166,13.0,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50.0,Matches,a01c3d54
18,Joan García,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,3,2.50,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,87b498b0
19,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,30061f53
20,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36,36,3240,36.0,48,1.33,136,92,67.6,12,10,14,12,33.3,7,4,3,0,42.9,Matches,a4995f48
21,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38,38,3420,38.0,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4,Matches,6c4776b1
22,Diego López,es ESP,GK,Espanyol,39,1981,36,36,3177,35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0.0,Matches,73683fa9
23,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2,2,180,2.0,2,1.00,7,6,85.7,0,1,1,0,0.0,2,1,1,0,50.0,Matches,3061e1ec
24,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18,18,1620,18.0,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0.0,Matches,d4b73232
25,Luís Maximiano,pt POR,GK,Granada,22,1999,35,35,3136,34.8,55,1.58,170,121,70.6,8,12,15,7,20.0,7,5,2,0,28.6,Matches,3318286e
26,Neto,br BRA,GK,Barcelona,32,1989,3,3,270,3.0,4,1.33,14,10,71.4,2,1,0,0,0.0,0,0,0,0,,Matches,a9dc785c
27,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,38,38,3420,38.0,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5,Matches,ee8508c0
28,Oier Olazábal,es ESP,GK,Espanyol,31,1989,2,1,135,1.5,1,0.67,7,7,100.0,0,0,1,1,100.0,1,1,0,0,0.0,Matches,b5bdf144
29,Jesús Owono,gq EQG,GK,Alavés,20,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,d6e3d7fb
30,Fernando Pacheco,es ESP,GK,Alavés,29,1992,34,34,3053,33.9,60,1.77,139,83,60.4,8,5,21,6,17.6,8,5,3,0,37.5,Matches,97852360
31,Juan Pérez,es ESP,GK,Osasuna,25,1996,2,2,180,2.0,3,1.50,4,2,25.0,0,1,1,0,0.0,0,0,0,0,,Matches,8f29e08b
32,Alejandro Primo,es ESP,GK,Levante,17,2004,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,f38284bb
