,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
288,Lee Kangin,kr KOR,MFFW,Mallorca,20,2001,15.7,424,588,72.1,6777,1846,246,274,89.8,112,151,74.2,44,120,36.7,2,2.2,-0.2,23,27,13,2,40,Matches,8455ad90
289,Kike,es ESP,FW,Osasuna,31,1989,20.7,351,517,67.9,5539,1070,205,275,74.5,96,144,66.7,33,58,56.9,1,2.1,-1.1,20,30,17,4,34,Matches,e897d8ba
290,Koba Koindredi,fr FRA,MF,Valencia,19,2001,2.0,38,50,76.0,702,212,14,16,87.5,18,25,72.0,4,5,80.0,0,0.1,-0.1,1,3,3,0,4,Matches,3a58d075
291,Koke,es ESP,MF,Atlético Madrid,29,1992,27.9,1508,1761,85.6,26184,7784,708,754,93.9,613,690,88.8,150,249,60.2,2,1.9,+0.1,26,165,27,5,136,Matches,55126f3b
292,Luca Koleosho,ca CAN,FW,Espanyol,16,2004,0.0,1,1,100.0,11,4,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,fc076f78
293,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,28,1993,20.9,880,1008,87.3,17035,4149,379,416,91.1,341,383,89.0,139,180,77.2,2,1.0,+1.0,9,70,11,0,71,Matches,cce181df
294,Jules Koundé,fr FRA,DF,Sevilla,22,1998,30.4,1903,2124,89.6,38856,13066,665,708,93.9,922,980,94.1,296,401,73.8,1,1.9,-0.9,15,123,12,4,111,Matches,4d1666ff
295,Toni Kroos,de GER,MF,Real Madrid,31,1990,23.4,2076,2258,91.9,43854,12542,820,841,97.5,790,824,95.9,435,548,79.4,3,3.5,-0.5,50,269,41,5,208,Matches,6ce1f46f
296,Takefusa Kubo,jp JPN,FWMF,Mallorca,20,2001,17.8,363,516,70.3,5885,2113,193,243,79.4,120,169,71.0,38,67,56.7,0,2.6,-2.6,31,29,26,7,63,Matches,16aa3654
297,Víctor Laguardia,es ESP,DF,Alavés,31,1989,33.8,917,1216,75.4,24227,9453,181,226,80.1,452,530,85.3,279,443,63.0,2,0.2,+1.8,2,76,5,0,75,Matches,b7c99b9b
298,Diego Lainez,mx MEX,FW,Betis,21,2000,1.6,45,55,81.8,610,114,30,32,93.8,13,18,72.2,2,2,100.0,0,0.2,-0.2,3,3,1,0,2,Matches,bf12926c
299,Érik Lamela,ar ARG,FW,Sevilla,29,1992,11.3,409,479,85.4,6354,1338,221,249,88.8,149,167,89.2,26,33,78.8,2,1.9,+0.1,20,18,14,0,42,Matches,abe66106
300,Latasa,es ESP,FW,Real Madrid,20,2001,0.1,4,5,80.0,37,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,2bea832e
301,Toni Lato,es ESP,DFMF,Valencia,23,1997,6.6,234,310,75.5,4605,1720,96,112,85.7,106,129,82.2,27,56,48.2,1,0.5,+0.5,2,21,4,2,23,Matches,8e088e04
302,Robin Le Normand,fr FRA,DF,Real Sociedad,24,1996,37.0,1888,2109,89.5,40928,9960,496,552,89.9,1019,1092,93.3,356,439,81.1,1,0.2,+0.8,3,84,4,0,89,Matches,9a64e67e
303,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38.0,605,1156,52.3,26578,19853,46,48,95.8,177,180,98.3,379,923,41.1,0,0.0,0.0,2,35,2,0,1,Matches,6c4776b1
304,Wu Lei,cn CHN,FWMF,Espanyol,29,1991,5.3,72,101,71.3,1077,234,41,51,80.4,23,30,76.7,4,11,36.4,0,1.0,-1.0,5,2,1,0,6,Matches,e3fabb0a
