,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
365,Martín Merquelanz,es ESP,FW,Rayo Vallecano,26,1995,1.9,49,69,71.0,892,292,21,27,77.8,22,24,91.7,5,12,41.7,0,0.7,-0.7,6,2,6,2,7,Matches,ddd5348b
366,Matt Miazga,us USA,DF,Alavés,26,1995,9.3,236,301,78.4,5819,1965,56,69,81.2,115,128,89.8,64,103,62.1,0,0.1,-0.1,1,6,0,0,12,Matches,9fc0f253
367,Miguel,es ESP,FWMF,Alavés,21,1999,9.2,113,162,69.8,1653,214,63,80,78.8,39,50,78.0,4,11,36.4,1,0.3,+0.7,5,4,3,2,4,Matches,6763373d
368,Éder Militão,br BRA,DF,Real Madrid,23,1998,33.7,1779,1995,89.2,38518,10907,557,589,94.6,863,921,93.7,337,442,76.2,2,1.2,+0.8,11,141,7,1,71,Matches,2784f898
369,Luis Milla,es ESP,MF,Granada,26,1994,30.8,1149,1447,79.4,23378,7769,464,519,89.4,447,504,88.7,208,366,56.8,3,4.1,-1.1,42,146,22,11,145,Matches,19c36442
370,Pere Milla,es ESP,FWMF,Elche,28,1992,18.3,391,534,73.2,6322,1618,200,253,79.1,137,178,77.0,36,71,50.7,3,1.9,+1.1,12,20,12,3,35,Matches,335039a2
371,Santi Mina,es ESP,FW,Celta Vigo,25,1995,26.3,455,673,67.6,6770,1161,264,373,70.8,116,173,67.1,43,67,64.2,3,2.0,+1.0,16,34,11,0,37,Matches,0b90bb97
372,Óscar Mingueza,es ESP,DF,Barcelona,22,1999,9.9,660,758,87.1,12383,3696,278,297,93.6,284,313,90.7,86,127,67.7,1,0.9,+0.1,9,34,13,7,36,Matches,056269d7
373,Rafa Mir,es ESP,FW,Sevilla,24,1997,20.1,242,352,68.8,3905,401,124,163,76.1,97,137,70.8,14,26,53.8,0,0.4,-0.4,9,12,7,1,17,Matches,bbf5c11b
374,Jorge Miramón,es ESP,DF,Levante,32,1989,22.0,793,1037,76.5,14488,6079,359,410,87.6,328,410,80.0,94,177,53.1,0,0.7,-0.7,14,59,23,8,84,Matches,7f4c7c9f
375,Juan Miranda,es ESP,DF,Betis,21,2000,8.7,394,515,76.5,7031,2824,173,192,90.1,177,217,81.6,37,90,41.1,2,1.5,+0.5,8,25,9,4,35,Matches,ead61f73
376,Stefan Mitrović,rs SRB,DF,Getafe,31,1990,29.6,712,907,78.5,16747,5221,174,200,87.0,366,422,86.7,163,267,61.0,0,0.0,0.0,2,18,1,0,25,Matches,e6777e6b
377,Luka Modrić,hr CRO,MF,Real Madrid,35,1985,22.6,1527,1734,88.1,28816,8248,698,741,94.2,555,613,90.5,234,297,78.8,8,4.2,+3.8,38,174,38,4,163,Matches,6025fab1
378,Johan Mojica,co COL,DF,Elche,28,1992,31.7,1419,1857,76.4,26244,11612,693,765,90.6,513,619,82.9,188,375,50.1,5,4.5,+0.5,31,77,46,26,119,Matches,608f2092
379,Jorge Molina,es ESP,FW,Granada,39,1982,21.8,344,532,64.7,5094,1358,203,284,71.5,110,169,65.1,21,40,52.5,5,3.1,+1.9,28,33,10,1,45,Matches,43f71e77
380,Jon Moncayola,es ESP,MF,Osasuna,23,1998,32.4,1089,1398,77.9,22644,5739,391,444,88.1,477,555,85.9,202,342,59.1,3,2.3,+0.7,34,105,25,8,101,Matches,9939e168
381,Monchu,es ESP,MF,Granada,21,1999,7.4,284,344,82.6,5455,1187,118,132,89.4,106,127,83.5,49,69,71.0,0,0.2,-0.2,2,29,5,2,29,Matches,8ac501f5
382,Gonzalo Montiel,ar ARG,DF,Sevilla,24,1997,11.8,547,704,77.7,9572,3241,243,278,87.4,249,298,83.6,46,97,47.4,2,1.3,+0.7,11,30,12,7,44,Matches,374d5158
383,Ángel Montoro,es ESP,MF,Granada,33,1988,14.8,499,663,75.3,11002,3458,159,190,83.7,222,259,85.7,107,190,56.3,1,1.6,-0.6,23,56,11,2,57,Matches,719384c1
384,Martín Montoya,es ESP,DF,Betis,30,1991,5.8,256,313,81.8,4291,1390,132,151,87.4,101,122,82.8,18,32,56.3,1,1.1,-0.1,3,20,5,2,16,Matches,5cec2487
385,Jon Morcillo,es ESP,MF,Athletic Club,22,1998,0.6,20,34,58.8,273,75,13,16,81.3,7,10,70.0,0,6,0.0,0,0.0,0.0,0,1,0,0,2,Matches,b7d7f3bf
386,Alberto Moreno,es ESP,MFDF,Villarreal,29,1992,13.6,500,623,80.3,8783,2312,229,267,85.8,209,246,85.0,53,88,60.2,2,2.0,0.0,19,25,22,7,38,Matches,11b9265b
387,Álex Moreno,es ESP,DF,Betis,28,1993,26.7,1040,1404,74.1,17304,6747,530,597,88.8,414,551,75.1,77,187,41.2,3,2.4,+0.6,22,58,31,13,89,Matches,16e9d0ea
388,Gerard Moreno,es ESP,FW,Villarreal,29,1992,13.2,323,472,68.4,6092,1697,149,195,76.4,115,161,71.4,52,78,66.7,3,4.7,-1.7,29,38,25,4,59,Matches,81f0781e
389,Tete Morente,es ESP,MFFW,Elche,24,1996,18.1,418,596,70.1,6829,2027,241,290,83.1,128,185,69.2,42,80,52.5,3,2.1,+0.9,17,28,19,11,46,Matches,004d185e
390,Ilaix Moriba,gn GUI,MF,Valencia,18,2003,9.1,224,290,77.2,3968,1089,118,138,85.5,80,101,79.2,23,40,57.5,0,0.2,-0.2,2,24,7,1,26,Matches,f4c69aa6
391,Manu Morlanes,es ESP,MF,Espanyol,22,1999,12.7,562,644,87.3,9786,3066,263,281,93.6,234,253,92.5,55,89,61.8,0,0.3,-0.3,5,59,6,2,58,Matches,a0255c67
392,Loren Morón,es ESP,FWMF,Espanyol,27,1993,6.3,57,95,60.0,901,158,31,43,72.1,16,26,61.5,7,12,58.3,0,0.4,-0.4,3,5,1,1,2,Matches,3aa4a3be
393,Loren Morón,es ESP,FW,Betis,27,1993,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,3aa4a3be
394,Cristhian Mosquera,co COL,DF,Valencia,17,2004,2.4,67,76,88.2,1444,366,19,20,95.0,37,41,90.2,10,14,71.4,0,0.0,0.0,0,8,0,0,6,Matches,dc1ce4f5
395,Toni Moya,es ESP,MF,Alavés,23,1998,15.4,419,608,68.9,8822,2553,168,202,83.2,156,188,83.0,87,196,44.4,1,1.7,-0.7,23,36,8,2,41,Matches,9e098912
396,Iker Muniain,es ESP,MF,Athletic Club,28,1992,30.9,1246,1590,78.4,21703,8092,619,689,89.8,435,524,83.0,160,304,52.6,10,9.5,+0.5,108,112,72,12,191,Matches,c05dfb74
397,Aihen Muñoz,es ESP,DF,Real Sociedad,23,1997,14.9,581,758,76.6,10251,4414,256,290,88.3,272,321,84.7,45,112,40.2,0,0.5,-0.5,6,46,10,4,40,Matches,228b0d9d
398,Jeison Murillo,co COL,DF,Celta Vigo,29,1992,12.4,630,704,89.5,14505,3629,158,168,94.0,311,332,93.7,154,194,79.4,0,0.0,0.0,1,44,1,0,27,Matches,b233e8e4
399,Vedat Muriqi,xk KVX,FW,Mallorca,27,1994,16.0,264,466,56.7,3687,782,158,237,66.7,77,155,49.7,12,33,36.4,3,1.6,+1.4,13,18,13,2,33,Matches,0cadc46d
400,Yunus Musah,us USA,MFFW,Valencia,18,2002,14.0,289,394,73.4,5211,1283,126,158,79.7,111,150,74.0,37,52,71.2,0,1.1,-1.1,10,25,8,5,30,Matches,b51b1b9c
401,Shkodran Mustafi,de GER,DF,Levante,29,1992,7.3,281,358,78.5,7260,2201,41,50,82.0,154,180,85.6,85,123,69.1,0,0.0,0.0,0,19,0,0,19,Matches,3f2d59fe
402,Nacho,es ESP,DF,Real Madrid,31,1990,17.3,951,1024,92.9,17995,5415,363,381,95.3,447,476,93.9,121,139,87.1,0,0.5,-0.5,8,47,4,2,40,Matches,2946f9a1
403,Roberto Navarro,es ESP,MFFW,Real Sociedad,19,2002,2.2,76,93,81.7,1202,277,38,44,86.4,29,34,85.3,5,6,83.3,0,0.1,-0.1,1,7,3,0,8,Matches,c997b942
404,Ximo Navarro,es ESP,DF,Alavés,31,1990,15.0,422,596,70.8,8301,3274,148,177,83.6,209,261,80.1,55,136,40.4,0,0.2,-0.2,2,25,3,1,26,Matches,8db394aa
405,Jesús Navas,es ESP,DF,Sevilla,35,1985,19.8,1102,1418,77.7,21171,7185,481,541,88.9,436,528,82.6,166,293,56.7,3,4.3,-1.3,36,57,54,21,107,Matches,3f10bd22
406,Loum Ndiaye,sn SEN,MF,Alavés,24,1996,25.7,613,825,74.3,12480,3045,215,270,79.6,301,370,81.4,92,159,57.9,0,0.1,-0.1,4,64,4,1,58,Matches,bcfc4473
407,Álvaro Negredo,es ESP,FW,Cádiz,35,1985,24.0,323,541,59.7,6083,1191,161,246,65.4,95,161,59.0,56,88,63.6,2,2.1,-0.1,18,36,11,4,38,Matches,63b0ca6b
408,Neto,br BRA,GK,Barcelona,32,1989,3.0,106,130,81.5,3139,1832,22,22,100.0,36,38,94.7,48,70,68.6,0,0.0,0.0,1,0,0,0,0,Matches,a9dc785c
409,Carlos Neva,es ESP,DF,Granada,25,1996,23.4,691,959,72.1,12619,5124,299,353,84.7,302,379,79.7,78,172,45.3,0,1.3,-1.3,12,35,18,13,44,Matches,8d47bb39
410,Saúl Ñíguez,es ESP,DFMF,Atlético Madrid,26,1994,2.2,96,119,80.7,1728,439,44,47,93.6,36,48,75.0,15,20,75.0,1,0.1,+0.9,1,4,0,0,5,Matches,c14bc029
411,Fernando Niño,es ESP,FW,Mallorca,20,2000,9.8,146,209,69.9,2005,293,93,123,75.6,34,55,61.8,10,14,71.4,0,0.3,-0.3,9,9,2,0,6,Matches,81d5c497
412,Peru Nolaskoain,es ESP,DF,Athletic Club,22,1998,0.0,2,2,100.0,24,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,857cb4f3
413,Nolito,es ESP,MF,Celta Vigo,34,1986,15.4,441,569,77.5,8067,2403,200,229,87.3,173,222,77.9,57,89,64.0,0,1.8,-1.8,13,41,25,3,62,Matches,b2d0ec1b
414,Randy Ntekja,fr FRA,FWMF,Rayo Vallecano,23,1997,16.2,281,412,68.2,4146,885,169,211,80.1,83,128,64.8,18,38,47.4,0,1.9,-1.9,16,20,8,0,25,Matches,a6103274
415,Unai Núñez,es ESP,DF,Athletic Club,24,1997,6.9,301,349,86.2,6759,2515,75,88,85.2,163,171,95.3,61,84,72.6,0,0.1,-0.1,1,23,1,1,25,Matches,be170419
416,Allan Nyom,cm CMR,DF,Getafe,33,1988,2.7,63,90,70.0,1182,408,24,28,85.7,33,43,76.7,6,19,31.6,0,0.1,-0.1,2,5,3,2,2,Matches,97572117
417,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,38.0,638,1095,58.3,21547,13992,91,92,98.9,247,251,98.4,296,748,39.6,0,0.0,0.0,0,13,1,0,0,Matches,ee8508c0
418,Lucas Ocampos,ar ARG,FW,Sevilla,27,1994,23.6,660,861,76.7,11343,2631,340,386,88.1,248,304,81.6,59,127,46.5,4,1.8,+2.2,14,24,15,5,58,Matches,a08b974a
419,Lucas Olaza,uy URU,DF,Elche,27,1994,3.3,162,210,77.1,2718,1106,74,88,84.1,75,87,86.2,13,28,46.4,0,0.3,-0.3,6,11,6,3,16,Matches,4cee5954
420,Oier Olazábal,es ESP,GK,Espanyol,31,1989,1.5,24,43,55.8,849,631,4,4,100.0,8,8,100.0,12,31,38.7,0,0.0,0.0,0,0,0,0,0,Matches,b5bdf144
421,Brian Oliván,es ESP,DF,Mallorca,27,1994,24.3,662,1005,65.9,12867,5902,267,302,88.4,299,392,76.3,87,272,32.0,0,2.2,-2.2,19,42,12,7,63,Matches,a3e4bf46
422,Mathías Olivera,uy URU,DF,Getafe,23,1997,31.1,1049,1445,72.6,17096,7285,571,678,84.2,371,524,70.8,81,169,47.9,3,2.8,+0.2,31,64,21,8,110,Matches,41c12f75
423,Javier Ontiveros,es ESP,MFFW,Osasuna,23,1997,0.4,25,32,78.1,439,120,14,18,77.8,8,10,80.0,3,4,75.0,0,0.0,0.0,0,5,1,1,1,Matches,a83d8b0c
424,Pedro Ortiz,es ESP,MF,Sevilla,20,2000,0.1,14,14,100.0,324,68,5,5,100.0,7,7,100.0,2,2,100.0,0,0.4,-0.4,1,2,1,0,3,Matches,f9358b61
425,Milutin Osmajić,me MNE,FWMF,Cádiz,22,1999,2.9,27,50,54.0,341,58,19,30,63.3,6,12,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches,375ed9d7
426,Jesús Owono,gq EQG,GK,Alavés,20,2001,1.0,11,23,47.8,557,454,0,0,,2,2,100.0,9,21,42.9,0,0.0,0.0,0,1,0,0,0,Matches,d6e3d7fb
427,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,24,1997,18.6,441,652,67.6,7679,2079,215,260,82.7,164,214,76.6,49,126,38.9,3,3.4,-0.4,39,14,23,6,38,Matches,8c3c640c
428,Fernando Pacheco,es ESP,GK,Alavés,29,1992,33.9,644,1026,62.8,28260,21555,64,65,98.5,147,147,100.0,429,809,53.0,0,0.3,-0.3,3,32,2,0,0,Matches,97852360
429,Jon Pacheco,es ESP,DF,Real Sociedad,20,2001,4.2,190,221,86.0,3889,1064,67,71,94.4,89,96,92.7,32,49,65.3,0,0.0,0.0,0,6,1,0,8,Matches,44150beb
430,Gavi Paez,es ESP,MFFW,Barcelona,16,2004,25.7,1115,1270,87.8,17381,3422,643,683,94.1,358,407,88.0,89,123,72.4,5,3.1,+1.9,18,116,28,4,75,Matches,19cae58d
431,Helibelton Palacios,co COL,DF,Elche,28,1993,21.5,721,939,76.8,12642,5568,324,366,88.5,323,394,82.0,62,127,48.8,0,0.2,-0.2,7,48,7,4,59,Matches,ac8b2421
432,Isaac Palazón Camacho,es ESP,FWMF,Rayo Vallecano,26,1994,25.4,644,894,72.0,12250,3381,305,368,82.9,233,295,79.0,95,185,51.4,4,2.5,+1.5,32,75,18,4,80,Matches,49dbab27
433,Daniel Parejo,es ESP,MF,Villarreal,32,1989,30.0,1808,2151,84.1,37979,11995,633,690,91.7,814,895,90.9,331,498,66.5,10,6.6,+3.4,69,222,43,9,216,Matches,7460ca0d
434,Raúl Parra,es ESP,DF,Cádiz,21,1999,1.0,22,31,71.0,418,243,7,8,87.5,12,14,85.7,3,7,42.9,0,0.0,0.0,0,1,0,0,2,Matches,647d39d2
435,Javier Pastore,ar ARG,MFFW,Elche,32,1989,5.8,224,285,78.6,3994,1199,106,126,84.1,85,99,85.9,27,45,60.0,0,0.9,-0.9,11,22,13,2,28,Matches,881ef58c
436,Gabriel Paulista,br BRA,DF,Valencia,30,1990,17.7,484,601,80.5,12081,3930,112,128,87.5,226,261,86.6,138,200,69.0,1,0.1,+0.9,3,28,2,0,30,Matches,b7ca5c51
437,Alfonso Pedraza,es ESP,DF,Villarreal,25,1996,18.9,733,1005,72.9,12097,4258,382,431,88.6,276,363,76.0,56,144,38.9,4,3.2,+0.8,22,45,24,9,62,Matches,63f04c6c
438,Pedri,es ESP,MF,Barcelona,18,2002,9.8,521,613,85.0,10053,2259,212,240,88.3,212,238,89.1,81,101,80.2,1,1.1,-0.1,16,54,18,0,55,Matches,0d9b2d31
439,Pedrosa,es ESP,DF,Espanyol,23,1998,30.2,967,1280,75.5,16785,6322,445,502,88.6,418,522,80.1,81,185,43.8,1,1.8,-0.8,22,51,17,10,58,Matches,112521d1
440,Facundo Pellistri,uy URU,MFFW,Alavés,19,2001,7.5,112,152,73.7,1603,365,70,88,79.5,36,45,80.0,5,10,50.0,0,0.4,-0.4,6,9,4,1,8,Matches,ac7e7b1c
441,Rubén Peña,es ESP,MFFW,Villarreal,30,1991,1.5,38,52,73.1,580,271,23,25,92.0,12,19,63.2,3,6,50.0,0,1.1,-1.1,2,1,3,2,4,Matches,1f079188
442,Alberto Perea,es ESP,MF,Cádiz,30,1990,8.6,266,359,74.1,4656,1745,136,152,89.5,103,134,76.9,26,60,43.3,1,0.6,+0.4,11,29,12,6,49,Matches,5496cc91
443,Victor Perea,es ESP,DF,Espanyol,21,2000,0.0,2,3,66.7,36,34,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,b7de5bad
444,Iñigo Pérez,es ESP,MF,Osasuna,33,1988,3.8,98,151,64.9,1987,696,41,56,73.2,38,49,77.6,18,42,42.9,0,0.9,-0.9,8,15,6,3,18,Matches,bc61cc65
445,Juan Pérez,es ESP,GK,Osasuna,25,1996,2.0,17,42,40.5,639,429,2,2,100.0,6,6,100.0,9,34,26.5,0,0.0,0.0,0,0,0,0,0,Matches,8f29e08b
446,Kike Pérez,es ESP,FWMF,Elche,24,1997,5.8,184,249,73.9,3285,899,85,104,81.7,72,97,74.2,22,34,64.7,0,1.0,-1.0,7,22,3,0,16,Matches,237a3851
447,Lucas Pérez,es ESP,FWMF,Cádiz,32,1988,11.8,276,378,73.0,5069,1374,135,155,87.1,89,117,76.1,46,93,49.5,2,2.4,-0.4,25,17,17,6,23,Matches,a300ac7e
448,Lucas Pérez,es ESP,FW,Elche,32,1988,14.1,276,387,71.3,4608,1085,159,191,83.2,72,103,69.9,36,76,47.4,1,1.3,-0.3,11,18,9,1,23,Matches,a300ac7e
449,Njegoš Petrović,rs SRB,MF,Granada,22,1999,10.2,273,346,78.9,4552,1279,135,163,82.8,94,119,79.0,32,44,72.7,1,0.2,+0.8,3,22,4,0,25,Matches,0cb29e91
450,Alex Petxa,es ESP,DFMF,Athletic Club,24,1997,4.6,203,271,74.9,3741,1396,86,99,86.9,86,105,81.9,26,58,44.8,0,0.2,-0.2,1,20,4,1,19,Matches,97d08e60
451,Germán Pezzella,ar ARG,DF,Betis,30,1991,22.1,911,1039,87.7,19550,5395,251,277,90.6,495,532,93.0,160,221,72.4,0,0.0,0.0,0,20,4,0,23,Matches,8c725b43
452,Pablo Piatti,ar ARG,MFFW,Elche,32,1989,3.5,77,99,77.8,1182,207,51,60,85.0,16,23,69.6,7,9,77.8,0,0.5,-0.5,5,4,2,0,5,Matches,48e89655
453,Cristiano Piccini,it ITA,DF,Valencia,28,1992,3.6,96,140,68.6,2084,1166,36,44,81.8,32,43,74.4,27,49,55.1,0,0.2,-0.2,2,9,4,3,12,Matches,32c0491f
454,Tomás Pina Isla,es ESP,MF,Alavés,33,1987,16.0,469,587,79.9,7903,2132,231,271,85.2,198,237,83.5,31,54,57.4,0,0.3,-0.3,2,42,2,1,39,Matches,e54bd0a2
455,Orbelín Pineda,mx MEX,MFFW,Celta Vigo,25,1996,1.1,58,68,85.3,990,317,28,32,87.5,21,23,91.3,8,10,80.0,0,0.1,-0.1,1,7,2,0,8,Matches,411fabd7
456,Yeremi Pino,es ESP,MFFW,Villarreal,18,2002,18.6,432,542,79.7,6406,1487,249,299,83.3,146,172,84.9,19,29,65.5,4,3.2,+0.8,22,9,30,8,47,Matches,540ec57b
457,Gerard Piqué,es ESP,DF,Barcelona,34,1987,23.2,1508,1664,90.6,34180,9208,342,377,90.7,862,897,96.1,290,369,78.6,0,0.1,-0.1,2,129,3,0,109,Matches,adfc9123
458,Ezequiel Ponce,ar ARG,FW,Elche,24,1997,7.4,122,166,73.5,1714,238,82,98,83.7,28,41,68.3,8,11,72.7,0,0.3,-0.3,6,5,4,1,8,Matches,ccbbe661
459,Pere Pons,es ESP,MF,Alavés,28,1993,15.2,281,394,71.3,4684,1041,152,191,79.6,97,137,70.8,25,45,55.6,0,0.6,-0.6,12,22,7,1,21,Matches,29b61deb
460,Portu,es ESP,FWMF,Real Sociedad,29,1992,17.7,359,486,73.9,5031,1534,222,269,82.5,114,154,74.0,11,31,35.5,2,2.0,0.0,20,17,21,7,41,Matches,1bda5842
461,Sergio Postigo,es ESP,DF,Levante,32,1988,9.4,295,356,82.9,6258,2203,88,94,93.6,166,178,93.3,41,81,50.6,0,0.2,-0.2,2,11,0,0,15,Matches,474ecac8
462,Darío Poveda,es ESP,FWMF,Getafe,24,1997,4.2,51,82,62.2,825,165,32,44,72.7,11,21,52.4,5,12,41.7,0,0.1,-0.1,3,3,1,1,4,Matches,cbdf7d5c
463,José Pozo,es ESP,MF,Rayo Vallecano,25,1996,0.8,45,52,86.5,884,268,21,22,95.5,17,22,77.3,6,6,100.0,0,0.3,-0.3,3,5,5,0,8,Matches,fc8b614b
464,Abdón Prats,es ESP,FW,Mallorca,28,1992,7.1,103,156,66.0,1470,317,62,84,73.8,26,38,68.4,7,13,53.8,0,0.4,-0.4,7,11,3,0,13,Matches,d1b060e2
465,Alejandro Primo,es ESP,GK,Levante,17,2004,1.0,21,26,80.8,501,283,8,8,100.0,6,6,100.0,6,11,54.5,0,0.0,0.0,0,1,0,0,0,Matches,f38284bb
466,Javi Puado,es ESP,FWMF,Espanyol,23,1998,24.9,548,654,83.8,7759,1394,339,371,91.4,165,196,84.2,23,36,63.9,1,1.2,-0.2,21,25,19,2,41,Matches,2683eda7
467,Pubill,es ESP,DF,Levante,18,2003,5.7,216,274,78.8,3800,1036,103,116,88.8,85,103,82.5,25,43,58.1,1,0.2,+0.8,6,9,6,3,15,Matches,365113c0
468,Antonio Puertas,es ESP,MFFW,Granada,29,1992,25.1,488,690,70.7,7819,2116,265,330,80.3,164,222,73.9,46,81,56.8,1,0.9,+0.1,19,31,21,8,48,Matches,c77a8043
469,Riqui Puig,es ESP,MF,Barcelona,21,1999,5.4,420,454,92.5,7088,968,213,220,96.8,149,162,92.0,45,52,86.5,0,0.3,-0.3,5,32,6,0,23,Matches,f090a37a
470,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,30,1991,0.0,1,3,33.3,17,0,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,3b3cbebb
471,Quini,es ESP,DF,Granada,31,1989,25.6,678,960,70.6,12161,5101,313,371,84.4,277,364,76.1,74,175,42.3,1,1.3,-0.3,18,36,13,8,47,Matches,7a538238
472,Dani Raba,es ESP,MFFW,Villarreal,25,1995,1.0,30,44,68.2,663,185,9,13,69.2,11,15,73.3,9,15,60.0,0,0.3,-0.3,4,2,1,0,3,Matches,ea6a7ab4
473,Dani Raba,es ESP,MFFW,Granada,25,1995,0.3,4,5,80.0,60,18,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,ea6a7ab4
474,Uroš Račić,rs SRB,MF,Valencia,23,1998,13.4,380,506,75.1,8403,1989,133,167,79.6,151,183,82.5,86,134,64.2,0,0.7,-0.7,7,49,6,1,45,Matches,faed84db
475,Nemanja Radoja,rs SRB,MF,Levante,28,1993,13.5,403,480,84.0,7137,1689,187,204,91.7,173,192,90.1,39,60,65.0,0,0.6,-0.6,6,33,4,2,23,Matches,b5dd3469
476,Rafinha,br BRA,MFFW,Real Sociedad,28,1993,11.7,591,681,86.8,9914,2279,301,329,91.5,220,244,90.2,56,81,69.1,0,0.7,-0.7,11,59,13,2,46,Matches,0c2ac3cb
477,Antonio Raillo,es ESP,DF,Mallorca,29,1991,17.0,532,615,86.5,11170,3785,161,173,93.1,276,298,92.6,87,130,66.9,0,0.0,0.0,0,34,0,0,31,Matches,b857bd29
478,Ivan Rakitić,hr CRO,MF,Sevilla,33,1988,24.2,1396,1652,84.5,28945,7045,530,575,92.2,602,668,90.1,242,347,69.7,6,2.8,+3.2,40,140,16,3,107,Matches,89f951b5
479,Jonás Ramalho,es ESP,DF,Osasuna,28,1993,2.7,97,130,74.6,1743,748,41,47,87.2,47,60,78.3,9,17,52.9,0,0.0,0.0,0,12,1,0,12,Matches,be3a0121
480,Sandro Ramírez,es ESP,FW,Getafe,26,1995,16.2,287,394,72.8,4377,710,161,194,83.0,86,120,71.7,24,43,55.8,0,0.8,-0.8,15,17,5,1,10,Matches,833fb62e
481,Raúl,es ESP,FW,Betis,20,2000,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,18f0a9f0
482,Lluís Recasens,es ESP,DF,Espanyol,19,2002,0.5,8,12,66.7,174,53,1,2,50.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches,c31ea173
483,Manolo Reina,es ESP,GK,Mallorca,36,1985,21.0,400,640,62.5,14073,9978,73,74,98.6,140,140,100.0,179,418,42.8,0,0.3,-0.3,1,10,1,0,0,Matches,605eb473
484,Karim Rekik,nl NED,DF,Sevilla,26,1994,12.2,693,757,91.5,13097,3704,255,275,92.7,352,370,95.1,77,99,77.8,2,0.3,+1.7,5,29,4,1,26,Matches,3376a776
485,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35.0,943,1251,75.4,28723,17671,182,183,99.5,410,415,98.8,351,652,53.8,0,0.0,0.0,0,12,0,0,0,Matches,374ee424
486,Nico Ribaudo,es ESP,MFFW,Espanyol,20,2001,12.4,367,434,84.6,6267,1349,203,228,89.0,119,139,85.6,39,52,75.0,0,1.3,-1.3,13,28,14,1,38,Matches,ce8039aa
487,Diego Rico,es ESP,DF,Real Sociedad,28,1993,18.3,859,1131,76.0,15422,7207,345,399,86.5,420,515,81.6,79,163,48.5,0,0.9,-0.9,14,53,33,13,94,Matches,d9ba39fc
488,Sergio Rico,es ESP,GK,Mallorca,27,1993,14.0,246,359,68.5,9394,6960,32,32,100.0,81,83,97.6,130,241,53.9,0,0.0,0.0,1,3,0,0,0,Matches,5f0241b2
489,Luis Rioja,es ESP,FWMF,Alavés,27,1993,34.6,560,932,60.1,9414,2755,311,420,74.0,176,276,63.8,60,165,36.4,3,4.8,-1.8,33,30,31,11,59,Matches,eb3dd471
490,Rober,es ESP,DF,Levante,26,1995,22.3,846,1042,81.2,17543,7409,288,311,92.6,402,448,89.7,150,264,56.8,0,0.4,-0.4,5,56,3,1,69,Matches,c00097d2
491,Sergi Roberto,es ESP,MFDF,Barcelona,29,1992,4.4,241,268,89.9,3887,908,124,132,93.9,93,100,93.0,20,29,69.0,1,0.3,+0.7,5,16,2,0,15,Matches,335fa267
492,Rubén Rochina,es ESP,MFFW,Granada,30,1991,8.3,259,379,68.3,5358,1506,121,140,86.4,82,115,71.3,49,103,47.6,3,0.7,+2.3,12,31,8,3,33,Matches,ecd8c01e
493,Enzo Roco,cl CHI,DF,Elche,28,1992,28.4,950,1135,83.7,22032,7156,239,265,90.2,485,529,91.7,220,323,68.1,0,0.1,-0.1,2,41,2,0,42,Matches,37f827ec
494,Rodrigo,es ESP,FW,Betis,21,2000,9.8,340,414,82.1,6007,1892,165,183,90.2,134,161,83.2,37,56,66.1,2,1.6,+0.4,17,37,21,2,54,Matches,85bed4ee
495,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,27,1994,4.8,162,225,72.0,2723,1224,72,88,81.8,72,89,80.9,13,34,38.2,0,0.1,-0.1,4,14,3,2,13,Matches,f1bed920
496,Ángel Rodríguez,es ESP,FW,Mallorca,34,1987,17.2,198,273,72.5,2934,572,114,145,78.6,56,73,76.7,16,30,53.3,2,1.3,+0.7,12,16,12,2,25,Matches,8cfc2f69
497,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,23,1998,10.5,321,424,75.7,6018,1759,153,185,82.7,112,133,84.2,51,92,55.4,1,1.5,-0.5,13,28,7,1,22,Matches,19709006
498,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,23,1998,4.6,166,210,79.0,3187,714,83,90,92.2,57,74,77.0,24,38,63.2,0,1.2,-1.2,7,13,5,2,15,Matches,19709006
