,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
12,Álex Alegría,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,110,52,4,1,2,6,2,80,45,56.3,17,Matches,46166b49
13,Iván Alejo,es ESP,MFFW,Getafe,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,282,130,8,4,0,6,8,64,48,75.0,8,Matches,3d7e48ce
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,2779,1450,72,28,3,13,9,626,580,92.7,38,Matches,6c811eb7
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,0,0,0,0,0,4,4,100.0,1,Matches,3e1858af
16,Júnior Alonso,py PAR,DFMF,Celta Vigo,25,1993,6.0,375,22,108,215,63,8,344,2,6,33.3,2,0,226,742,390,21,7,0,4,2,251,230,91.6,11,Matches,b18a3023
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,480,435,480,0,0,0,333,0,0,,0,0,246,1135,713,0,0,0,0,0,193,193,100.0,0,Matches,8875b8c9
18,Sergio Álvarez,es ESP,MFDF,Eibar,26,1992,11.9,621,48,184,410,54,8,613,3,3,100.0,3,0,370,1721,648,18,4,0,2,8,353,337,95.5,5,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,1626,179,805,883,56,19,1568,4,6,66.7,5,0,928,5501,3249,85,15,0,7,12,927,912,98.4,12,Matches,3ecc11d8
20,Ibrahim Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,450,31,157,265,54,6,444,7,10,70.0,8,0,283,1259,598,21,8,0,4,3,306,279,91.2,12,Matches,9260926b
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,5998,3454,74,19,0,9,9,959,927,96.7,11,Matches,d70a2141
22,Amath,sn SEN,MFFW,Getafe,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,1501,941,43,13,11,32,27,393,237,60.3,76,Matches,f3b1d9a2
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,7767,3827,174,79,5,20,17,1289,1235,95.8,29,Matches,3024e383
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,393,336,389,5,0,0,291,1,1,100.0,1,0,211,778,505,0,0,0,1,0,188,187,99.5,0,Matches,011d8c56
25,Antoñito,es ESP,DFMF,Valladolid,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,46,Matches,dbe519cf
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,45,Matches,3e4f735d
27,Anuar,ma MAR,MF,Valladolid,23,1995,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23,Matches,c93231dc
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5,Matches,a230ebcc
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,36,Matches,58afe001
30,Guilherme Arana,br BRA,MFDF,Sevilla,21,1997,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9,Matches,2b15a82a
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75.0,4,0,1117,4779,2347,48,4,0,1,5,1180,1161,98.4,14,Matches,27a013f7
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15,Matches,850c0a0d
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,45,Matches,fdd60087
34,José Arnaiz,es ESP,DFMF,Leganés,23,1995,1.3,52,1,10,22,26,6,51,4,8,50.0,6,0,44,223,97,7,2,2,4,3,45,36,80.0,10,Matches,46e07328
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,929,841,923,6,0,0,600,0,0,,0,0,335,1983,1089,0,0,0,0,0,246,246,100.0,0,Matches,9f0ea33f
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,1233,7,104,579,674,106,1182,36,56,64.3,38,4,1075,6926,3684,189,58,23,35,27,1215,996,82.0,176,Matches,45af8a54
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,25.0,1142,5,86,569,570,123,1086,35,53,66.0,37,1,888,4403,2278,119,44,17,41,38,1280,900,70.3,250,Matches,7dcf86f6
38,Ezequiel Ávila,ar ARG,FWMF,Huesca,24,1994,22.2,918,31,114,431,445,108,888,31,60,51.7,32,2,581,3134,1681,93,36,13,60,29,975,636,65.2,191,Matches,253a06b9
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,1341,226,872,498,25,11,1303,3,6,50.0,4,0,761,3686,1552,17,1,0,7,1,753,731,97.1,9,Matches,1f54ed90
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,404,7,34,175,228,76,387,10,21,47.6,12,1,285,1181,679,43,18,13,31,25,545,298,54.7,123,Matches,09a9e921
41,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,19.8,1007,15,99,483,506,107,972,23,34,67.6,24,3,746,4147,2107,130,36,24,26,32,1108,830,74.9,186,Matches,a58bb1e1
42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,5.8,277,28,94,138,51,0,232,4,5,80.0,5,0,150,631,303,7,3,0,1,1,160,140,87.5,4,Matches,1fe67e86
43,Éver Banega,ar ARG,MF,Sevilla,30,1988,29.6,2533,57,599,1576,535,20,2315,62,96,64.6,65,4,1902,8935,4850,174,55,3,25,57,1866,1770,94.9,63,Matches,fa937f7a
44,Léo Baptistão,br BRA,FWMF,Espanyol,25,1992,13.7,581,22,101,246,278,55,566,22,34,64.7,26,4,430,2319,1408,63,17,10,32,21,593,388,65.4,119,Matches,35f6db55
45,Enis Bardhi,mk MKD,MF,Levante,23,1995,31.5,1588,63,321,826,582,40,1480,47,75,62.7,51,0,1156,5808,3282,166,53,4,49,55,1201,1015,84.5,150,Matches,cac2537b
46,Antonio Barragán,es ESP,DFMF,Betis,31,1987,10.4,743,34,194,313,279,17,660,2,7,28.6,3,1,492,2017,949,49,17,6,11,7,573,515,89.9,39,Matches,487d9b09
47,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,16,2001,4.4,177,7,27,73,96,15,177,21,28,75.0,21,2,153,913,440,27,8,2,12,9,172,118,68.6,37,Matches,200e89e1
48,Marc Bartra,es ESP,DF,Betis,27,1991,32.5,2640,271,1261,1472,131,19,2582,15,25,60.0,16,0,1894,10520,6635,178,37,1,16,16,1936,1890,97.6,9,Matches,b742cc0d
49,Borja Bastón,es ESP,FW,Alavés,25,1992,16.0,502,12,56,261,212,60,485,6,17,35.3,7,0,276,931,485,27,13,1,52,19,713,353,49.5,132,Matches,8c44e37b
50,Michy Batshuayi,be BEL,FW,Valencia,24,1993,5.9,219,4,18,111,97,30,214,5,16,31.3,6,0,161,600,282,14,3,5,15,12,310,170,54.8,67,Matches,2973d8ff
51,Jon Bautista,es ESP,FWMF,Real Sociedad,23,1995,6.6,232,9,16,124,101,34,223,7,10,70.0,8,1,124,326,152,9,3,3,26,12,347,164,47.3,59,Matches,debc6b55
52,Bebé,cv CPV,FWMF,Rayo Vallecano,28,1990,14.5,764,24,121,360,381,27,731,48,65,73.8,48,4,599,4160,2297,101,43,12,44,35,690,523,75.8,95,Matches,d8712bf9
53,Bebé,cv CPV,MF,Eibar,28,1990,0.7,45,0,2,19,31,3,44,0,2,0.0,0,0,34,177,96,4,4,0,4,0,47,36,76.6,10,Matches,d8712bf9
54,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,16.9,1028,34,220,670,189,12,1015,14,22,63.6,17,0,790,3511,1492,64,14,1,8,16,830,741,89.3,34,Matches,ed5c5fa3
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,31.2,1106,11,65,475,650,226,1066,45,75,60.0,50,1,808,3909,2422,147,52,29,73,49,1453,814,56.0,327,Matches,942b4f90
56,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,32.8,1551,26,76,740,831,226,1472,52,85,61.2,54,0,1258,5618,2773,177,56,36,62,47,1915,1265,66.1,326,Matches,70d74ece
57,Yuri Berchiche,es ESP,DFFW,Athletic Club,28,1990,34.7,2110,113,611,1045,597,43,1827,36,58,62.1,37,1,1356,7405,4054,207,66,10,35,28,1298,1159,89.3,56,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,32,1986,0.6,31,2,6,18,8,1,30,0,0,,0,0,10,43,14,2,0,0,1,1,18,14,77.8,3,Matches,04a65a8f
59,Pedro Bigas,es ESP,DF,Eibar,27,1990,6.5,352,26,124,234,10,3,341,1,1,100.0,1,0,209,1478,706,27,2,0,1,1,203,196,96.6,3,Matches,697295b1
60,Alejandro Blanco,es ESP,FWMF,Alavés,19,1998,0.2,10,2,4,4,3,1,10,1,1,100.0,1,0,8,35,20,0,0,0,2,1,9,7,77.8,3,Matches,c4dce677
61,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,886,764,877,10,1,0,577,0,0,,0,0,409,1978,1119,0,0,0,1,0,333,332,99.7,0,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,30,1988,16.9,962,26,142,495,380,31,862,8,21,38.1,9,2,596,2709,1528,77,29,1,24,18,711,588,82.7,76,Matches,9ab48bde
63,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,7.8,193,8,11,78,110,40,187,6,8,75.0,6,0,126,531,216,15,2,3,17,16,309,147,47.6,67,Matches,2e23c66b
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,2.7,99,2,5,45,51,6,94,1,2,50.0,1,0,61,192,59,2,1,0,9,8,126,77,61.1,23,Matches,f4ec4fd0
65,Daniele Bonera,it ITA,DF,Villarreal,37,1981,2.6,112,15,56,64,1,0,109,0,0,,0,0,75,465,248,5,0,0,0,0,76,76,100.0,0,Matches,13b0c150
66,Ryad Boudebouz,dz ALG,MF,Celta Vigo,28,1990,8.0,478,5,51,229,235,24,443,15,18,83.3,15,0,355,1549,771,34,14,3,19,17,426,351,82.4,47,Matches,1001ae82
67,Ryad Boudebouz,dz ALG,MFFW,Betis,28,1990,6.0,416,2,31,181,228,19,404,17,26,65.4,18,4,332,1375,679,36,14,2,9,12,385,338,87.8,56,Matches,1001ae82
68,Sofiane Boufal,ma MAR,MFFW,Celta Vigo,24,1993,23.2,1303,14,188,668,613,106,1255,168,254,66.1,179,3,1176,6018,4015,200,68,40,66,72,1184,975,82.3,127,Matches,b0c71810
69,Yassine Bounou,ma MAR,GK,Girona,27,1991,31.8,1049,974,1045,5,1,1,722,1,1,100.0,1,0,493,2321,1178,0,0,0,1,1,404,402,99.5,1,Matches,f6798fc3
70,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,15.6,423,6,25,185,251,63,417,18,37,48.6,24,1,291,1221,612,27,14,9,50,28,664,313,47.1,125,Matches,fd771f95
71,Darko Brašanac,rs SRB,MF,Alavés,26,1992,17.6,777,39,184,463,178,22,758,13,20,65.0,14,0,479,2626,1298,58,16,2,14,16,534,425,79.6,46,Matches,4accb7e0
72,Rajko Brežančić,rs SRB,DF,Huesca,28,1989,0.7,27,2,10,7,10,0,19,0,0,,0,0,10,72,31,1,0,0,1,0,12,11,91.7,2,Matches,1519a888
73,Bryan,es ESP,MFFW,Sevilla,17,2001,1.9,123,3,21,49,60,10,119,9,17,52.9,9,0,106,538,290,13,0,2,2,11,121,96,79.3,23,Matches,7b5ab7f2
74,Burgui,es ESP,MFFW,Alavés,24,1993,6.2,262,2,40,130,108,9,242,7,14,50.0,7,0,190,1029,644,36,7,3,8,3,238,180,75.6,35,Matches,45e304c8
75,Sergio Busquets,es ESP,MF,Barcelona,30,1988,30.2,2673,90,598,1792,411,11,2589,17,21,81.0,17,1,1927,6747,3439,112,31,0,15,19,2095,2000,95.5,37,Matches,5ab0ea87
76,Unai Bustinza,es ESP,DF,Leganés,26,1992,22.5,1294,137,556,620,186,17,1108,3,5,60.0,3,0,590,3521,2038,63,20,1,7,9,613,573,93.5,16,Matches,f3112790
77,Erick Cabaco,uy URU,DF,Levante,23,1995,18.1,896,108,430,453,51,10,847,3,4,75.0,3,0,474,2811,1725,61,6,0,1,3,505,492,97.4,10,Matches,e7ab4179
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,21.1,1157,128,595,588,32,18,1129,1,1,100.0,1,0,693,3236,1719,34,2,0,6,7,716,692,96.6,14,Matches,92b4a127
79,Leandro Cabrera,uy URU,DF,Getafe,27,1991,31.0,1477,211,606,747,173,39,1297,4,7,57.1,5,0,488,2787,1399,53,10,1,16,2,524,473,90.3,37,Matches,69cbc8b6
80,Jordi Calavera,es ESP,DF,Eibar,22,1995,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches,bdef8cdb
81,Fernando Calero,es ESP,DF,Valladolid,22,1995,34.8,1781,228,995,805,61,19,1716,8,9,88.9,8,0,1055,5010,2617,89,11,0,9,5,1077,1039,96.5,13,Matches,41b3069f
82,Jonathan Calleri,ar ARG,FW,Alavés,24,1993,31.9,1231,55,128,594,575,158,1205,49,87,56.3,52,2,737,3346,1609,94,25,15,111,66,1601,875,54.7,335,Matches,6922f806
83,Juanjo Camacho,es ESP,MF,Huesca,37,1980,0.4,33,1,8,15,11,5,33,2,2,100.0,2,0,22,65,25,2,1,0,1,1,25,17,68.0,1,Matches,1a1609ab
84,Sergio Camello,es ESP,FW,Atlético Madrid,17,2001,0.5,15,0,1,2,12,3,15,0,2,0.0,0,0,13,67,44,1,0,1,0,0,15,11,73.3,4,Matches,873619c6
85,José Campaña,es ESP,MF,Levante,25,1993,35.7,2296,115,545,1339,582,43,2100,44,70,62.9,46,4,1511,8803,4760,217,58,8,32,35,1595,1451,91.0,81,Matches,61220da2
86,Sergio Canales,es ESP,MFFW,Betis,27,1991,29.5,2194,22,321,1120,959,92,2027,66,87,75.9,68,2,1786,10079,5244,217,102,14,62,52,1943,1691,87.0,191,Matches,a6de370d
87,Ander Capa,es ESP,DF,Athletic Club,26,1992,18.2,1157,42,261,551,431,35,955,21,46,45.7,21,1,617,3920,2520,125,48,11,21,18,674,598,88.7,45,Matches,37f1cf47
88,Marc Cardona,es ESP,FWMF,Eibar,23,1995,6.7,289,2,25,119,162,45,280,10,20,50.0,11,1,202,725,396,25,4,7,26,21,386,211,54.7,74,Matches,b92b456a
89,Daniel Carriço,pt POR,DF,Sevilla,29,1988,23.7,1224,139,610,629,62,20,1188,9,11,81.8,9,0,714,3616,1924,49,9,0,5,4,711,689,96.9,12,Matches,e1deea75
90,Guido Carrillo,ar ARG,FW,Leganés,27,1991,22.1,853,24,61,415,405,139,840,16,19,84.2,16,0,366,1190,270,14,7,3,37,20,1195,626,52.4,218,Matches,8f898ba8
91,Dani Carvajal,es ESP,DF,Real Madrid,26,1992,23.4,2067,82,574,1020,622,60,1820,38,57,66.7,39,2,1466,6484,3854,171,59,13,17,18,1512,1403,92.8,77,Matches,4958bfb2
92,William Carvalho,pt POR,MF,Betis,26,1992,26.5,2107,63,411,1459,353,15,2073,42,56,75.0,44,2,1697,7006,3575,144,37,5,18,31,1784,1692,94.8,58,Matches,dee86451
93,Casemiro,br BRA,MF,Real Madrid,26,1992,25.7,1949,97,569,1209,264,39,1899,14,18,77.8,15,2,1348,4627,2521,74,29,1,11,16,1373,1308,95.3,45,Matches,4d224fe8
94,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,17.6,1005,48,257,709,106,5,973,12,15,80.0,13,2,705,3388,1464,58,17,2,6,6,687,657,95.6,14,Matches,958bba56
95,Catena,es ESP,DF,Rayo Vallecano,23,1994,2.0,125,14,74,55,5,3,121,0,0,,0,0,71,393,226,6,0,0,1,0,80,77,96.3,4,Matches,274ab13c
96,Santi Cazorla,es ESP,MFFW,Villarreal,33,1984,29.4,2055,46,364,1151,685,46,1866,63,86,73.3,65,5,1529,7805,3822,192,57,9,32,45,1598,1426,89.2,119,Matches,e2e9c250
97,Dani Ceballos,es ESP,MFFW,Real Madrid,21,1996,13.9,1237,15,156,753,421,37,1213,21,36,58.3,22,2,990,4957,2484,118,42,5,18,26,1042,962,92.3,68,Matches,c0617e2b
98,Charles,br BRA,FW,Eibar,34,1984,19.3,767,13,33,340,423,128,726,5,12,41.7,5,0,365,1223,480,35,15,4,42,13,1080,538,49.8,224,Matches,c4b8bcf4
99,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1.0,54,6,29,32,0,0,53,2,2,100.0,2,0,41,246,185,3,0,0,0,0,36,36,100.0,0,Matches,e98f3a6a
100,Chema,es ESP,DF,Levante,26,1992,13.9,541,101,317,226,20,4,529,1,1,100.0,1,0,236,969,558,6,2,0,4,2,265,260,98.1,2,Matches,7f203b54
101,Denis Cheryshev,ru RUS,MFFW,Valencia,27,1990,19.0,959,24,169,420,426,88,942,22,38,57.9,23,2,656,3692,2147,114,30,24,40,17,846,645,76.2,128,Matches,0ac94a23
102,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,27,16,27,0,0,0,17,0,0,,0,0,10,54,40,0,0,0,0,0,7,7,100.0,0,Matches,8d957256
103,Samuel Chukwueze,ng NGA,FWMF,Villarreal,19,1999,19.0,796,11,106,336,432,129,787,59,101,58.4,65,2,682,3961,2714,147,34,46,44,40,850,590,69.4,145,Matches,b8a642fc
104,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3.0,121,111,120,1,0,0,93,0,0,,0,0,66,285,146,0,0,0,0,0,63,63,100.0,0,Matches,04ac8285
105,Coke,es ESP,DF,Levante,31,1987,20.2,1155,92,421,489,313,39,1013,19,33,57.6,22,1,680,3610,1851,73,23,5,14,23,716,649,90.6,48,Matches,6d8f8441
106,Álex Collado,es ESP,FW,Barcelona,19,1999,0.9,38,1,4,23,15,2,38,0,0,,0,0,25,169,67,5,2,0,0,0,34,29,85.3,3,Matches,85dace26
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,21,1996,22.6,1289,74,428,777,158,11,1266,36,48,75.0,38,2,902,3693,1748,57,11,0,16,24,884,824,93.2,19,Matches,5ae499d0
108,Duje Čop,hr CRO,FW,Valladolid,28,1990,7.6,259,9,29,111,130,46,244,4,11,36.4,4,0,161,570,314,17,6,7,16,6,315,182,57.8,78,Matches,8b0b02c9
109,Francis Coquelin,fr FRA,MF,Valencia,27,1991,19.6,1182,48,309,749,185,16,1165,31,40,77.5,31,0,882,3430,1561,54,16,1,14,23,852,789,92.6,37,Matches,a6951bf8
110,Iñigo Córdoba,es ESP,FW,Athletic Club,21,1997,14.7,679,16,111,281,340,41,669,31,64,48.4,32,1,524,2648,1347,77,19,9,40,34,606,457,75.4,102,Matches,49ea92be
111,Ángel Correa,ar ARG,MFFW,Atlético Madrid,23,1995,21.3,1102,27,152,495,540,123,1090,65,111,58.6,67,3,893,3909,2335,139,39,17,54,58,1100,788,71.6,224,Matches,01eb744d
112,Diego Costa,es ESP,FW,Atlético Madrid,29,1988,12.4,447,10,24,196,251,64,438,14,25,56.0,16,1,338,1240,488,33,10,8,38,26,699,373,53.4,138,Matches,a190d597
113,Jaume Costa,es ESP,DF,Villarreal,30,1988,16.6,1132,65,313,563,311,23,977,10,14,71.4,10,0,717,3369,2090,96,29,4,6,5,751,692,92.1,26,Matches,808d48f3
114,David Costas,es ESP,DF,Celta Vigo,23,1995,13.0,831,104,460,394,29,4,806,1,2,50.0,1,0,564,3007,1390,35,10,0,0,8,572,565,98.8,3,Matches,545e2f01
115,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27.0,883,808,880,2,1,1,648,1,1,100.0,1,0,487,2299,993,0,0,0,0,0,400,400,100.0,1,Matches,1840e36d
116,Philippe Coutinho,br BRA,FWMF,Barcelona,26,1992,22.4,1766,7,130,852,932,122,1675,63,101,62.4,69,6,1486,7520,4041,250,76,30,38,51,1726,1452,84.1,226,Matches,0ef89a37
117,Sebastián Cristóforo,uy URU,MFFW,Getafe,24,1993,5.0,226,9,53,116,63,7,220,3,6,50.0,4,0,140,645,264,14,4,2,5,10,146,111,76.0,15,Matches,3c05c659
118,Cucho,co COL,FW,Huesca,19,1999,23.9,954,19,84,441,492,128,908,49,82,59.8,53,2,694,3411,1894,113,31,22,66,55,1196,687,57.4,227,Matches,71b47ab9
119,Marc Cucurella,es ESP,MFFW,Eibar,20,1998,26.2,1256,26,171,504,648,87,1183,17,39,43.6,20,5,797,3424,1790,88,25,10,39,35,1118,770,68.9,152,Matches,1daec722
120,Iván Cuéllar,es ESP,GK,Leganés,34,1984,33.9,1137,957,1125,14,0,0,747,0,0,,0,0,506,3834,2039,0,0,0,0,0,382,381,99.7,0,Matches,75751c99
121,Sergi Darder,es ESP,MF,Espanyol,24,1993,30.1,1600,35,293,951,493,51,1523,45,69,65.2,50,6,1202,6645,3379,171,51,6,23,28,1282,1131,88.2,122,Matches,070a3904
122,Moisés Delgado,es ESP,DF,Valladolid,24,1994,3.0,133,10,49,65,28,2,115,1,1,100.0,1,0,73,359,202,9,3,0,4,2,79,73,92.4,3,Matches,248c409d
123,Ousmane Dembélé,fr FRA,FWMF,Barcelona,21,1997,18.5,1247,5,80,537,776,132,1180,89,132,67.4,94,4,1088,6001,3777,210,78,33,42,43,1239,1031,83.2,194,Matches,b19db005
124,Franco Di Santo,ar ARG,FWMF,Rayo Vallecano,29,1989,1.9,51,1,4,28,20,2,45,1,3,33.3,1,0,22,68,6,0,0,0,6,0,69,33,47.8,11,Matches,549c6ba7
125,Mouctar Diakhaby,gn GUI,DF,Valencia,21,1996,17.6,864,157,501,379,26,16,844,5,6,83.3,5,0,529,3105,1441,28,3,0,4,5,530,517,97.5,13,Matches,d2110326
126,Brahim Díaz,es ESP,FW,Real Madrid,18,1999,4.2,249,1,25,127,108,32,247,18,33,54.5,19,2,226,933,449,25,4,3,18,10,248,207,83.5,43,Matches,407feb71
127,Javier Díaz,es ESP,GK,Sevilla,21,1997,1.0,24,22,24,0,0,0,17,0,0,,0,0,14,62,31,0,0,0,0,0,12,12,100.0,0,Matches,17a1299d
128,Adrián Diéguez,es ESP,DF,Huesca,22,1996,8.3,305,48,194,118,11,3,291,5,5,100.0,5,0,143,794,363,7,3,0,2,2,131,123,93.9,2,Matches,70438d35
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21.0,696,635,695,2,0,0,452,0,0,,0,0,315,1699,1038,0,0,0,0,0,208,208,100.0,0,Matches,fc70e345
130,Papakouli Diop,sn SEN,MF,Eibar,32,1986,26.1,1410,36,169,950,340,41,1396,25,30,83.3,26,0,812,2932,1311,84,19,5,23,11,854,762,89.2,57,Matches,7329018e
131,Djené,tg TOG,DF,Getafe,26,1991,33.1,1325,187,632,662,76,24,1295,20,23,87.0,21,1,644,3885,1505,49,2,0,7,13,465,432,92.9,18,Matches,a4971d84
132,Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24.0,822,669,814,9,0,0,566,1,1,100.0,1,0,384,2382,1514,0,0,0,0,0,270,270,100.0,0,Matches,ac295d9e
133,Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,102,93,102,0,0,0,63,0,0,,0,0,38,245,147,0,0,0,0,0,19,19,100.0,0,Matches,c9cb972b
134,Cheick Doukouré,ci CIV,MF,Levante,25,1992,3.5,161,4,32,112,24,4,160,2,2,100.0,2,0,104,389,159,3,1,0,7,4,120,99,82.5,5,Matches,e208bcc8
135,Seydou Doumbia,ci CIV,FW,Girona,30,1987,6.0,139,3,7,68,76,31,130,12,21,57.1,15,0,96,320,212,14,4,2,13,13,232,93,40.1,40,Matches,c49afee6
136,Óscar Duarte,cr CRC,DFMF,Espanyol,29,1989,7.3,417,48,227,194,11,3,412,0,0,,0,0,241,1301,512,13,1,0,1,1,268,262,97.8,5,Matches,aa0ac32d
