,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
2,Aday,es ESP,DFMF,Girona,30,1987,7.2,13,7,5,7,1,9,17,52.9,8,87,21,24.1,33,37,17,9,1,0,8,8,21,10,0,Matches,5890cef1
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,5,3,2,3,0,0,5,0.0,5,121,27,22.3,7,63,51,4,1,0,3,1,6,4,0,Matches,293211e1
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,54,34,38,11,5,16,38,42.1,22,371,116,31.3,199,134,38,41,3,0,38,16,70,50,1,Matches,cacadf4f
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,46,28,30,12,4,28,52,53.8,24,222,52,23.4,129,63,30,40,8,1,32,28,74,85,0,Matches,355c883a
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,2,2,0,1,1,1,12,8.3,11,41,8,19.5,8,27,6,7,3,0,4,2,4,3,0,Matches,18dc8533
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,33,17,22,9,2,14,29,48.3,15,171,44,25.7,99,50,22,16,2,0,14,17,50,38,0,Matches,f2a68b97
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2.0,4,3,4,0,0,1,1,100.0,0,14,7,50.0,9,3,2,2,0,0,2,1,5,8,0,Matches,06efa9dc
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,45,33,23,15,7,18,53,34.0,35,450,154,34.2,174,190,86,74,7,0,67,41,86,75,0,Matches,4601e194
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,31,20,23,8,0,15,25,60.0,10,167,46,27.5,105,59,3,25,16,1,9,29,60,178,1,Matches,ba71d071
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,98,66,56,37,5,38,119,31.9,81,706,194,27.5,299,371,36,60,9,0,51,34,132,62,1,Matches,036bba5f
12,Álex Alegría,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,1,1,0,1,0,1,5,20.0,4,33,10,30.3,4,19,10,2,0,0,2,0,1,0,0,Matches,46166b49
