,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
13,Iván Alejo,es ESP,MFFW,Getafe,23,1995,1.6,1,0,0,1,0,0,6,0.0,6,54,9,16.7,8,36,10,1,0,0,1,0,1,1,0,Matches,3d7e48ce
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,6,3,1,5,0,1,8,12.5,7,181,42,23.2,20,112,49,5,0,0,5,4,10,4,0,Matches,6c811eb7
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,1,1,1,0,0,1,2,50.0,1,1,0,0.0,1,0,0,1,0,0,1,0,1,0,0,Matches,3e1858af
16,Júnior Alonso,py PAR,DFMF,Celta Vigo,25,1993,6.0,11,6,6,4,1,3,15,20.0,12,62,18,29.0,32,23,7,16,2,0,14,3,14,17,0,Matches,b18a3023
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,8875b8c9
18,Sergio Álvarez,es ESP,MFDF,Eibar,26,1992,11.9,30,22,9,19,2,10,22,45.5,12,163,50,30.7,60,87,16,16,3,0,13,10,40,56,1,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,54,34,39,14,1,18,45,40.0,27,204,78,38.2,131,65,8,42,15,0,27,51,105,216,1,Matches,3ecc11d8
20,Ibrahim Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,27,20,11,13,3,5,13,38.5,8,135,43,31.9,52,69,14,8,3,0,5,7,34,26,0,Matches,9260926b
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,45,28,29,16,0,20,46,43.5,26,265,98,37.0,173,88,4,56,12,0,44,30,75,146,0,Matches,d70a2141
22,Amath,sn SEN,MFFW,Getafe,22,1996,11.1,17,10,5,11,1,5,27,18.5,22,287,61,21.3,70,144,73,20,0,0,20,11,28,6,0,Matches,f3b1d9a2
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,73,44,39,26,8,29,60,48.3,31,396,140,35.4,193,155,48,57,6,1,51,40,113,132,0,Matches,3024e383
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,011d8c56
25,Antoñito,es ESP,DFMF,Valladolid,30,1987,20.7,37,13,18,13,6,18,51,35.3,33,299,58,19.4,137,118,44,38,7,1,31,11,48,31,0,Matches,dbe519cf
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,43,26,25,16,2,27,50,54.0,23,348,100,28.7,179,118,51,61,9,0,52,25,68,70,1,Matches,3e4f735d
27,Anuar,ma MAR,MF,Valladolid,23,1995,12.0,30,19,16,13,1,10,17,58.8,7,276,67,24.3,95,160,21,23,1,0,22,7,37,29,2,Matches,c93231dc
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,0,0,0,1,0.0,1,5,1,20.0,0,3,2,0,0,0,0,0,0,0,0,Matches,a230ebcc
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,76,54,19,48,9,23,78,29.5,55,858,200,23.3,195,539,124,55,4,0,51,25,101,33,0,Matches,58afe001
30,Guilherme Arana,br BRA,MFDF,Sevilla,21,1997,7.0,6,5,3,3,0,2,6,33.3,4,90,27,30.0,44,34,12,6,2,0,4,3,9,11,0,Matches,2b15a82a
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,36,24,26,9,1,18,33,54.5,15,222,61,27.5,164,50,8,48,20,2,28,23,59,190,3,Matches,27a013f7
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,31,18,25,5,1,12,25,48.0,13,141,40,28.4,84,51,6,26,8,0,18,28,59,146,5,Matches,850c0a0d
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,55,34,40,15,0,13,36,36.1,23,206,82,39.8,115,70,21,28,1,0,27,25,80,46,0,Matches,fdd60087
34,José Arnaiz,es ESP,DFMF,Leganés,23,1995,1.3,2,1,2,0,0,1,4,25.0,3,28,4,14.3,12,14,2,0,0,0,0,1,3,1,0,Matches,46e07328
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,1,0,0,1,0,0,2,0,Matches,9f0ea33f
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,14,8,5,6,3,3,24,12.5,21,257,63,24.5,46,121,90,17,0,0,17,16,30,3,0,Matches,45af8a54
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,25.0,14,10,5,5,4,3,18,16.7,15,475,114,24.0,43,274,158,14,0,0,14,16,30,4,0,Matches,7dcf86f6
38,Ezequiel Ávila,ar ARG,FWMF,Huesca,24,1994,22.2,21,15,9,9,3,7,34,20.6,27,423,95,22.5,55,200,168,22,4,1,18,18,39,34,0,Matches,253a06b9
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,48,28,39,7,2,22,37,59.5,15,191,52,27.2,133,53,5,46,19,1,27,26,74,180,5,Matches,1f54ed90
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,6,5,3,1,2,2,10,20.0,8,176,28,15.9,14,95,67,5,0,0,5,6,12,4,0,Matches,09a9e921
41,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,19.8,14,12,5,6,3,2,19,10.5,17,241,58,24.1,26,116,99,27,3,0,24,5,19,9,0,Matches,a58bb1e1
42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,5.8,11,9,7,2,2,4,10,40.0,6,108,16,14.8,62,41,5,10,2,0,8,7,18,17,0,Matches,1fe67e86
43,Éver Banega,ar ARG,MF,Sevilla,30,1988,29.6,64,44,32,28,4,16,70,22.9,54,574,141,24.6,224,295,55,31,4,0,27,31,95,32,0,Matches,fa937f7a
44,Léo Baptistão,br BRA,FWMF,Espanyol,25,1992,13.7,23,14,12,5,6,10,31,32.3,21,336,72,21.4,78,152,106,17,0,0,17,11,34,11,0,Matches,35f6db55
45,Enis Bardhi,mk MKD,MF,Levante,23,1995,31.5,65,45,24,33,8,21,84,25.0,63,732,175,23.9,217,383,132,44,3,0,41,26,91,31,0,Matches,cac2537b
46,Antonio Barragán,es ESP,DFMF,Betis,31,1987,10.4,17,8,13,3,1,3,16,18.8,13,130,36,27.7,62,49,19,17,1,0,16,9,26,17,3,Matches,487d9b09
47,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,16,2001,4.4,8,6,3,0,5,2,8,25.0,6,115,26,22.6,28,52,35,11,0,0,11,2,10,3,0,Matches,200e89e1
48,Marc Bartra,es ESP,DF,Betis,27,1991,32.5,86,55,50,32,4,25,67,37.3,42,391,121,30.9,223,145,23,60,23,1,37,39,125,153,3,Matches,b742cc0d
49,Borja Bastón,es ESP,FW,Alavés,25,1992,16.0,15,9,1,12,2,2,28,7.1,26,441,69,15.6,35,248,158,18,5,0,13,1,16,8,0,Matches,8c44e37b
50,Michy Batshuayi,be BEL,FW,Valencia,24,1993,5.9,1,1,0,1,0,0,5,0.0,5,110,23,20.9,10,63,37,7,3,0,4,2,3,3,0,Matches,2973d8ff
51,Jon Bautista,es ESP,FWMF,Real Sociedad,23,1995,6.6,8,5,0,3,5,2,9,22.2,7,143,33,23.1,6,73,64,5,1,0,4,3,11,7,0,Matches,debc6b55
52,Bebé,cv CPV,FWMF,Rayo Vallecano,28,1990,14.5,25,21,13,7,5,11,21,52.4,10,228,70,30.7,76,105,47,20,1,0,19,7,32,15,0,Matches,d8712bf9
53,Bebé,cv CPV,MF,Eibar,28,1990,0.7,0,0,0,0,0,0,0,,0,14,7,50.0,1,7,6,1,0,0,1,0,0,0,0,Matches,d8712bf9
54,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,16.9,28,16,12,13,3,16,49,32.7,33,506,124,24.5,135,266,105,19,2,0,17,16,44,18,1,Matches,ed5c5fa3
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,31.2,20,18,3,11,6,1,14,7.1,13,614,157,25.6,39,257,318,25,0,0,25,8,28,5,0,Matches,942b4f90
56,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,32.8,18,13,4,8,6,4,18,22.2,14,442,100,22.6,19,185,238,13,2,0,11,5,23,26,0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DFFW,Athletic Club,28,1990,34.7,55,42,29,13,13,20,56,35.7,36,480,127,26.5,222,195,63,67,10,0,57,28,83,93,1,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,32,1986,0.6,2,1,0,1,1,1,2,50.0,1,15,5,33.3,1,11,3,3,0,0,3,2,4,1,0,Matches,04a65a8f
59,Pedro Bigas,es ESP,DF,Eibar,27,1990,6.5,6,5,2,2,2,3,6,50.0,3,48,24,50.0,25,21,2,3,0,0,3,8,14,25,0,Matches,697295b1
60,Alejandro Blanco,es ESP,FWMF,Alavés,19,1998,0.2,0,0,0,0,0,0,2,0.0,2,4,1,25.0,1,2,1,1,0,0,1,0,0,1,0,Matches,c4dce677
61,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,1,0,0,1,0,0,3,3,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,30,1988,16.9,29,17,14,9,6,14,43,32.6,29,294,91,31.0,78,135,81,29,0,0,29,11,40,30,0,Matches,9ab48bde
63,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,7.8,3,1,0,2,1,0,1,0.0,1,143,33,23.1,12,70,61,5,1,0,4,1,4,4,0,Matches,2e23c66b
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,2.7,2,1,0,1,1,0,3,0.0,3,37,11,29.7,1,12,24,3,0,0,3,1,3,3,0,Matches,f4ec4fd0
65,Daniele Bonera,it ITA,DF,Villarreal,37,1981,2.6,0,0,0,0,0,0,0,,0,10,3,30.0,9,1,0,5,5,1,0,2,2,10,0,Matches,13b0c150
66,Ryad Boudebouz,dz ALG,MF,Celta Vigo,28,1990,8.0,10,5,2,5,3,3,11,27.3,8,215,48,22.3,37,106,72,13,1,0,12,2,12,5,0,Matches,1001ae82
67,Ryad Boudebouz,dz ALG,MFFW,Betis,28,1990,6.0,8,5,2,4,2,3,9,33.3,6,80,26,32.5,15,43,22,7,1,0,6,2,10,3,0,Matches,1001ae82
68,Sofiane Boufal,ma MAR,MFFW,Celta Vigo,24,1993,23.2,33,21,18,10,5,9,48,18.8,39,469,114,24.3,133,223,113,34,0,0,34,8,41,9,0,Matches,b0c71810
69,Yassine Bounou,ma MAR,GK,Girona,27,1991,31.8,0,0,0,0,0,0,2,0.0,2,6,1,16.7,6,0,0,0,0,0,0,0,0,0,0,Matches,f6798fc3
70,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,15.6,7,5,1,3,3,0,9,0.0,9,274,69,25.2,7,124,143,7,0,0,7,1,8,3,0,Matches,fd771f95
71,Darko Brašanac,rs SRB,MF,Alavés,26,1992,17.6,32,19,13,15,4,12,34,35.3,22,320,76,23.8,83,185,52,22,3,0,19,13,45,25,0,Matches,4accb7e0
72,Rajko Brežančić,rs SRB,DF,Huesca,28,1989,0.7,0,0,0,0,0,0,1,0.0,1,3,2,66.7,2,0,1,0,0,0,0,0,0,1,0,Matches,1519a888
73,Bryan,es ESP,MFFW,Sevilla,17,2001,1.9,6,2,4,1,1,1,6,16.7,5,48,11,22.9,18,14,16,1,0,0,1,2,8,0,0,Matches,7b5ab7f2
74,Burgui,es ESP,MFFW,Alavés,24,1993,6.2,7,5,4,2,1,1,4,25.0,3,101,25,24.8,25,54,22,5,1,0,4,0,7,0,1,Matches,45e304c8
75,Sergio Busquets,es ESP,MF,Barcelona,30,1988,30.2,80,57,27,40,13,37,99,37.4,62,758,217,28.6,189,413,156,71,10,0,61,35,115,34,0,Matches,5ab0ea87
76,Unai Bustinza,es ESP,DF,Leganés,26,1992,22.5,44,32,29,13,2,18,44,40.9,26,205,59,28.8,109,73,23,37,13,0,24,35,79,152,1,Matches,f3112790
77,Erick Cabaco,uy URU,DF,Levante,23,1995,18.1,27,15,23,4,0,10,30,33.3,20,163,51,31.3,100,51,12,37,10,0,27,23,50,79,0,Matches,e7ab4179
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,21.1,37,19,23,11,3,15,27,55.6,12,189,69,36.5,124,61,4,40,12,0,28,20,57,105,1,Matches,92b4a127
79,Leandro Cabrera,uy URU,DF,Getafe,27,1991,31.0,47,29,31,14,2,22,55,40.0,33,307,99,32.2,172,117,18,42,20,0,22,38,85,257,1,Matches,69cbc8b6
80,Jordi Calavera,es ESP,DF,Eibar,22,1995,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,bdef8cdb
81,Fernando Calero,es ESP,DF,Valladolid,22,1995,34.8,45,28,28,16,1,16,38,42.1,22,312,101,32.4,208,94,10,61,23,1,38,37,82,187,2,Matches,41b3069f
82,Jonathan Calleri,ar ARG,FW,Alavés,24,1993,31.9,24,19,7,11,6,5,30,16.7,25,632,117,18.5,46,307,279,38,7,0,31,8,32,51,0,Matches,6922f806
83,Juanjo Camacho,es ESP,MF,Huesca,37,1980,0.4,1,1,1,0,0,1,3,33.3,2,10,6,60.0,6,1,3,0,0,0,0,2,3,4,0,Matches,1a1609ab
84,Sergio Camello,es ESP,FW,Atlético Madrid,17,2001,0.5,1,1,1,0,0,0,0,,0,4,2,50.0,0,2,2,0,0,0,0,0,1,0,0,Matches,873619c6
85,José Campaña,es ESP,MF,Levante,25,1993,35.7,65,49,27,31,7,24,88,27.3,64,762,169,22.2,228,429,105,61,8,0,53,22,87,53,0,Matches,61220da2
86,Sergio Canales,es ESP,MFFW,Betis,27,1991,29.5,48,42,27,16,5,13,56,23.2,43,496,118,23.8,134,242,120,34,3,0,31,15,63,7,2,Matches,a6de370d
87,Ander Capa,es ESP,DF,Athletic Club,26,1992,18.2,43,22,32,8,3,11,33,33.3,22,297,64,21.5,136,104,57,29,1,0,28,20,63,61,0,Matches,37f1cf47
88,Marc Cardona,es ESP,FWMF,Eibar,23,1995,6.7,11,7,3,3,5,3,9,33.3,6,189,51,27.0,12,67,110,9,0,0,9,1,12,4,0,Matches,b92b456a
89,Daniel Carriço,pt POR,DF,Sevilla,29,1988,23.7,35,23,24,9,2,14,28,50.0,14,206,56,27.2,124,70,12,31,13,0,18,26,61,131,2,Matches,e1deea75
90,Guido Carrillo,ar ARG,FW,Leganés,27,1991,22.1,21,12,3,9,9,4,22,18.2,18,421,84,20.0,35,209,177,20,2,0,18,5,26,27,0,Matches,8f898ba8
91,Dani Carvajal,es ESP,DF,Real Madrid,26,1992,23.4,39,21,16,14,9,13,43,30.2,30,364,92,25.3,126,153,85,51,8,2,43,30,69,28,0,Matches,4958bfb2
92,William Carvalho,pt POR,MF,Betis,26,1992,26.5,42,31,20,19,3,15,34,44.1,19,251,64,25.5,90,134,27,10,2,0,8,16,58,31,1,Matches,dee86451
93,Casemiro,br BRA,MF,Real Madrid,26,1992,25.7,82,56,42,35,5,31,100,31.0,69,489,164,33.5,212,222,55,71,12,0,59,36,118,52,2,Matches,4d224fe8
94,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,17.6,72,50,24,42,6,22,60,36.7,38,439,115,26.2,160,246,33,24,10,0,14,9,81,26,0,Matches,958bba56
95,Catena,es ESP,DF,Rayo Vallecano,23,1994,2.0,2,0,2,0,0,2,2,100.0,0,8,1,12.5,6,2,0,8,3,0,5,1,3,21,0,Matches,274ab13c
96,Santi Cazorla,es ESP,MFFW,Villarreal,33,1984,29.4,71,42,36,25,10,28,89,31.5,61,638,155,24.3,217,308,113,40,7,1,33,23,94,26,1,Matches,e2e9c250
97,Dani Ceballos,es ESP,MFFW,Real Madrid,21,1996,13.9,32,22,10,14,8,8,38,21.1,30,349,90,25.8,72,177,100,27,1,1,26,16,48,6,0,Matches,c0617e2b
98,Charles,br BRA,FW,Eibar,34,1984,19.3,11,6,1,6,4,4,22,18.2,18,296,93,31.4,10,111,175,13,1,0,12,7,18,12,0,Matches,c4b8bcf4
99,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,1,1,4,0,Matches,e98f3a6a
100,Chema,es ESP,DF,Levante,26,1992,13.9,32,12,20,9,3,9,18,50.0,9,89,21,23.6,57,26,6,23,12,0,11,19,51,85,1,Matches,7f203b54
101,Denis Cheryshev,ru RUS,MFFW,Valencia,27,1990,19.0,47,35,20,17,10,16,49,32.7,33,599,147,24.5,171,304,124,42,4,0,38,17,64,19,0,Matches,0ac94a23
102,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,8d957256
103,Samuel Chukwueze,ng NGA,FWMF,Villarreal,19,1999,19.0,19,11,5,12,2,5,31,16.1,26,404,92,22.8,84,208,112,14,1,0,13,10,29,8,0,Matches,b8a642fc
104,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches,04ac8285
105,Coke,es ESP,DF,Levante,31,1987,20.2,37,17,21,13,3,14,50,28.0,36,189,59,31.2,98,67,24,30,8,1,22,19,56,65,0,Matches,6d8f8441
106,Álex Collado,es ESP,FW,Barcelona,19,1999,0.9,1,0,0,1,0,0,2,0.0,2,40,2,5.0,9,27,4,3,0,0,3,2,3,0,0,Matches,85dace26
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,21,1996,22.6,55,36,23,28,4,17,64,26.6,47,500,136,27.2,203,261,36,38,4,0,34,16,71,41,1,Matches,5ae499d0
108,Duje Čop,hr CRO,FW,Valladolid,28,1990,7.6,7,6,1,3,3,2,10,20.0,8,138,34,24.6,8,77,53,12,3,0,9,2,9,6,0,Matches,8b0b02c9
109,Francis Coquelin,fr FRA,MF,Valencia,27,1991,19.6,45,35,24,17,4,16,41,39.0,25,303,89,29.4,106,171,26,19,5,0,14,50,95,34,2,Matches,a6951bf8
110,Iñigo Córdoba,es ESP,FW,Athletic Club,21,1997,14.7,36,25,13,15,8,11,52,21.2,41,395,93,23.5,116,170,109,36,0,0,36,17,53,9,0,Matches,49ea92be
111,Ángel Correa,ar ARG,MFFW,Atlético Madrid,23,1995,21.3,38,30,19,11,8,9,54,16.7,45,579,145,25.0,143,277,159,29,4,0,25,22,60,17,0,Matches,01eb744d
112,Diego Costa,es ESP,FW,Atlético Madrid,29,1988,12.4,5,2,1,4,0,2,7,28.6,5,236,47,19.9,16,105,115,6,1,0,5,3,8,6,0,Matches,a190d597
113,Jaume Costa,es ESP,DF,Villarreal,30,1988,16.6,33,17,24,8,1,13,28,46.4,15,167,42,25.1,74,71,22,34,2,0,32,19,52,54,1,Matches,808d48f3
114,David Costas,es ESP,DF,Celta Vigo,23,1995,13.0,27,17,21,6,0,10,20,50.0,10,118,40,33.9,83,32,3,18,4,0,14,8,35,79,0,Matches,545e2f01
115,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27.0,0,0,0,0,0,0,3,0.0,3,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches,1840e36d
116,Philippe Coutinho,br BRA,FWMF,Barcelona,26,1992,22.4,18,12,3,11,4,6,24,25.0,18,370,94,25.4,71,189,110,37,3,0,34,8,26,6,0,Matches,0ef89a37
117,Sebastián Cristóforo,uy URU,MFFW,Getafe,24,1993,5.0,15,11,5,8,2,8,20,40.0,12,165,39,23.6,49,87,29,16,0,0,16,7,22,5,0,Matches,3c05c659
118,Cucho,co COL,FW,Huesca,19,1999,23.9,20,18,7,10,3,9,25,36.0,16,439,91,20.7,58,234,147,32,5,0,27,11,31,14,0,Matches,71b47ab9
119,Marc Cucurella,es ESP,MFFW,Eibar,20,1998,26.2,44,39,14,16,14,9,25,36.0,16,689,223,32.4,161,302,226,45,3,0,42,15,59,29,0,Matches,1daec722
120,Iván Cuéllar,es ESP,GK,Leganés,34,1984,33.9,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,1,0,0,1,0,0,0,0,Matches,75751c99
121,Sergi Darder,es ESP,MF,Espanyol,24,1993,30.1,52,31,20,25,7,16,72,22.2,56,635,120,18.9,168,330,137,42,1,0,41,19,71,21,0,Matches,070a3904
122,Moisés Delgado,es ESP,DF,Valladolid,24,1994,3.0,5,3,1,2,2,1,4,25.0,3,32,7,21.9,15,11,6,2,1,0,1,2,7,15,0,Matches,248c409d
123,Ousmane Dembélé,fr FRA,FWMF,Barcelona,21,1997,18.5,19,10,3,10,6,6,20,30.0,14,350,82,23.4,66,143,141,15,0,0,15,3,22,3,0,Matches,b19db005
124,Franco Di Santo,ar ARG,FWMF,Rayo Vallecano,29,1989,1.9,2,2,1,0,1,1,2,50.0,1,26,6,23.1,2,9,15,1,0,0,1,0,2,1,0,Matches,549c6ba7
125,Mouctar Diakhaby,gn GUI,DF,Valencia,21,1996,17.6,11,9,9,1,1,3,11,27.3,8,117,35,29.9,80,33,4,33,16,0,17,17,28,102,0,Matches,d2110326
126,Brahim Díaz,es ESP,FW,Real Madrid,18,1999,4.2,11,6,7,3,1,1,4,25.0,3,62,21,33.9,9,30,23,1,0,0,1,0,11,0,0,Matches,407feb71
127,Javier Díaz,es ESP,GK,Sevilla,21,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,17a1299d
128,Adrián Diéguez,es ESP,DF,Huesca,22,1996,8.3,16,10,14,1,1,4,15,26.7,11,108,26,24.1,77,28,3,13,3,0,10,11,27,52,2,Matches,70438d35
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,1,0,0,1,0,0,0,0,Matches,fc70e345
130,Papakouli Diop,sn SEN,MF,Eibar,32,1986,26.1,63,46,15,39,9,19,44,43.2,25,485,175,36.1,87,304,94,29,3,0,26,27,90,52,0,Matches,7329018e
131,Djené,tg TOG,DF,Getafe,26,1991,33.1,54,36,41,12,1,17,39,43.6,22,370,136,36.8,201,154,15,36,8,0,28,59,113,185,2,Matches,a4971d84
132,Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,Matches,ac295d9e
133,Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,c9cb972b
134,Cheick Doukouré,ci CIV,MF,Levante,25,1992,3.5,11,10,4,6,1,2,12,16.7,10,112,21,18.8,42,62,8,8,2,0,6,5,16,3,1,Matches,e208bcc8
135,Seydou Doumbia,ci CIV,FW,Girona,30,1987,6.0,6,4,1,2,3,2,4,50.0,2,109,29,26.6,5,52,52,4,0,0,4,3,9,1,0,Matches,c49afee6
136,Óscar Duarte,cr CRC,DFMF,Espanyol,29,1989,7.3,12,5,7,5,0,5,8,62.5,3,52,11,21.2,31,20,1,10,9,0,1,8,20,42,0,Matches,aa0ac32d
137,Rubén Duarte,es ESP,DF,Alavés,22,1995,30.8,72,40,38,23,11,31,68,45.6,37,357,117,32.8,209,114,34,90,11,0,79,34,106,135,1,Matches,1fe0492d
138,Hugo Duro,es ESP,MFFW,Getafe,18,1999,4.6,8,4,2,3,3,3,9,33.3,6,133,35,26.3,23,65,45,5,1,0,4,2,10,2,0,Matches,37e103f8
139,Raphael Dwamena,gh GHA,FW,Levante,22,1995,2.5,0,0,0,0,0,0,1,0.0,1,42,7,16.7,7,19,16,2,1,0,1,0,0,3,0,Matches,525f9bf4
140,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,2.4,1,1,0,0,1,1,3,33.3,2,41,15,36.6,4,14,23,2,0,0,2,3,4,2,0,Matches,7f8fb807
141,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,25.0,47,31,32,12,3,20,44,45.5,24,266,89,33.5,142,106,18,42,5,0,37,27,74,163,0,Matches,f7dc2ae5
142,Gorka Elustondo,es ESP,MF,Rayo Vallecano,31,1987,3.2,5,3,2,3,0,2,6,33.3,4,25,7,28.0,17,8,0,4,1,0,3,3,8,9,0,Matches,7b309e55
143,Rodrigo Ely,br BRA,DF,Alavés,24,1993,4.8,6,4,4,2,0,3,8,37.5,5,31,12,38.7,21,10,0,16,8,0,8,4,10,50,0,Matches,fd47b4f2
