,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
535,Iñaki Williams,gh GHA,FW,Athletic Club,24,1994,33.6,63,1.87,39,1,13,5,4,1,11,0.33,7,0,3,1,0,0,Matches,6a99e0b1
536,Maximilian Wöber,at AUT,DF,Sevilla,20,1998,6.0,6,1.01,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4b803b3c
537,Yoel,es ESP,GK,Valladolid,29,1988,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,61bb7498
538,Okay Yokuşlu,tr TUR,MF,Celta Vigo,24,1994,24.4,34,1.39,25,2,1,0,3,3,1,0.04,1,0,0,0,0,0,Matches,e49ce451
539,Joseba Zaldúa,es ESP,DF,Real Sociedad,26,1992,23.8,40,1.68,32,2,2,0,3,1,5,0.21,4,0,0,0,0,1,Matches,5ca20b7a
540,Nabil El Zhar,ma MAR,MFFW,Leganés,31,1986,10.7,28,2.61,21,2,2,1,2,0,1,0.09,1,0,0,0,0,0,Matches,37f96552
541,Luca Zidane,fr FRA,GK,Real Madrid,20,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c818c4d9
542,Igor Zubeldia,es ESP,MF,Real Sociedad,21,1997,28.3,15,0.53,12,0,0,0,0,3,3,0.11,3,0,0,0,0,0,Matches,5c7845f6
543,Martín Zubimendi,es ESP,MF,Real Sociedad,19,1999,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3ee0dd59
544,David Zurutuza,es ESP,MFFW,Real Sociedad,32,1986,13.6,19,1.40,17,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,d9bda115
