,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
41,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,19.8,8,74,31,41.9,3.73,1.56,0.09,0.23,18.4,10,1,1,8.2,7.4,0.10,-0.2,-0.4,Matches,a58bb1e1
42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,5.8,0,1,0,0.0,0.17,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,1fe67e86
43,Éver Banega,ar ARG,MF,Sevilla,30,1988,29.6,3,32,8,25.0,1.08,0.27,0.03,0.13,25.4,7,2,2,3.2,1.7,0.05,-0.2,-0.7,Matches,fa937f7a
44,Léo Baptistão,br BRA,FWMF,Espanyol,25,1992,13.7,2,40,15,37.5,2.92,1.09,0.03,0.07,18.2,0,1,1,4.7,4.0,0.10,-2.7,-3.0,Matches,35f6db55
45,Enis Bardhi,mk MKD,MF,Levante,23,1995,31.5,3,63,18,28.6,2.00,0.57,0.05,0.17,23.9,18,0,0,3.7,3.7,0.06,-0.7,-0.7,Matches,cac2537b
46,Antonio Barragán,es ESP,DFMF,Betis,31,1987,10.4,0,3,0,0.0,0.29,0.00,0.00,,17.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,487d9b09
47,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,16,2001,4.4,1,5,2,40.0,1.13,0.45,0.20,0.50,13.0,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,200e89e1
48,Marc Bartra,es ESP,DF,Betis,27,1991,32.5,1,10,4,40.0,0.31,0.12,0.10,0.25,24.4,1,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,b742cc0d
49,Borja Bastón,es ESP,FW,Alavés,25,1992,16.0,5,34,10,29.4,2.13,0.63,0.15,0.50,10.2,0,0,0,5.7,5.7,0.17,-0.7,-0.7,Matches,8c44e37b
50,Michy Batshuayi,be BEL,FW,Valencia,24,1993,5.9,1,18,7,38.9,3.07,1.20,0.06,0.14,16.3,0,0,0,2.3,2.3,0.13,-1.3,-1.3,Matches,2973d8ff
51,Jon Bautista,es ESP,FWMF,Real Sociedad,23,1995,6.6,1,19,5,26.3,2.86,0.75,0.05,0.20,11.4,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Matches,debc6b55
52,Bebé,cv CPV,FWMF,Rayo Vallecano,28,1990,14.5,1,57,12,21.1,3.94,0.83,0.02,0.08,28.3,2,0,0,1.7,1.7,0.03,-0.7,-0.7,Matches,d8712bf9
53,Bebé,cv CPV,MF,Eibar,28,1990,0.7,0,3,2,66.7,4.35,2.90,0.00,0.00,21.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,d8712bf9
54,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,16.9,1,18,4,22.2,1.07,0.24,0.06,0.25,22.6,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,ed5c5fa3
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,31.2,18,73,34,46.6,2.34,1.09,0.22,0.47,11.7,0,2,2,17.3,15.8,0.22,+0.7,+0.2,Matches,942b4f90
56,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,32.8,21,99,41,41.4,3.02,1.25,0.18,0.44,13.5,0,3,3,15.6,13.3,0.13,+5.4,+4.7,Matches,70d74ece
57,Yuri Berchiche,es ESP,DFFW,Athletic Club,28,1990,34.7,2,27,6,22.2,0.78,0.17,0.07,0.33,20.7,0,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,32,1986,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,04a65a8f
59,Pedro Bigas,es ESP,DF,Eibar,27,1990,6.5,0,3,0,0.0,0.46,0.00,0.00,,9.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,697295b1
60,Alejandro Blanco,es ESP,FWMF,Alavés,19,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c4dce677
61,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,30,1988,16.9,2,12,8,66.7,0.71,0.47,0.17,0.25,18.4,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches,9ab48bde
63,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,7.8,1,19,4,21.1,2.45,0.52,0.05,0.25,13.8,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches,2e23c66b
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,2.7,0,3,1,33.3,1.13,0.38,0.00,0.00,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,f4ec4fd0
65,Daniele Bonera,it ITA,DF,Villarreal,37,1981,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,13b0c150
66,Ryad Boudebouz,dz ALG,MF,Celta Vigo,28,1990,8.0,1,11,5,45.5,1.38,0.63,0.09,0.20,17.6,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,1001ae82
67,Ryad Boudebouz,dz ALG,MFFW,Betis,28,1990,6.0,0,10,3,30.0,1.67,0.50,0.00,0.00,21.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,1001ae82
68,Sofiane Boufal,ma MAR,MFFW,Celta Vigo,24,1993,23.2,3,50,17,34.0,2.16,0.73,0.06,0.18,18.3,1,0,0,2.7,2.7,0.05,+0.3,+0.3,Matches,b0c71810
69,Yassine Bounou,ma MAR,GK,Girona,27,1991,31.8,0,1,0,0.0,0.03,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,f6798fc3
70,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,15.6,4,29,10,34.5,1.86,0.64,0.14,0.40,11.7,0,0,0,3.6,3.6,0.13,+0.4,+0.4,Matches,fd771f95
71,Darko Brašanac,rs SRB,MF,Alavés,26,1992,17.6,0,8,1,12.5,0.46,0.06,0.00,0.00,15.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,4accb7e0
72,Rajko Brežančić,rs SRB,DF,Huesca,28,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1519a888
73,Bryan,es ESP,MFFW,Sevilla,17,2001,1.9,1,4,1,25.0,2.16,0.54,0.25,1.00,16.7,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches,7b5ab7f2
74,Burgui,es ESP,MFFW,Alavés,24,1993,6.2,1,8,2,25.0,1.30,0.32,0.13,0.50,22.1,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches,45e304c8
75,Sergio Busquets,es ESP,MF,Barcelona,30,1988,30.2,0,6,0,0.0,0.20,0.00,0.00,,24.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,5ab0ea87
76,Unai Bustinza,es ESP,DF,Leganés,26,1992,22.5,0,5,1,20.0,0.22,0.04,0.00,0.00,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,f3112790
77,Erick Cabaco,uy URU,DF,Levante,23,1995,18.1,2,10,3,30.0,0.55,0.17,0.20,0.67,11.7,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Matches,e7ab4179
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,21.1,0,16,2,12.5,0.76,0.09,0.00,0.00,10.6,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches,92b4a127
79,Leandro Cabrera,uy URU,DF,Getafe,27,1991,31.0,2,20,7,35.0,0.64,0.23,0.10,0.29,11.0,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches,69cbc8b6
80,Jordi Calavera,es ESP,DF,Eibar,22,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bdef8cdb
81,Fernando Calero,es ESP,DF,Valladolid,22,1995,34.8,1,8,2,25.0,0.23,0.06,0.13,0.50,9.3,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,41b3069f
82,Jonathan Calleri,ar ARG,FW,Alavés,24,1993,31.9,9,73,17,23.3,2.29,0.53,0.10,0.41,14.5,0,2,2,7.3,5.7,0.08,+1.7,+1.3,Matches,6922f806
83,Juanjo Camacho,es ESP,MF,Huesca,37,1980,0.4,0,3,2,66.7,7.30,4.86,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,1a1609ab
84,Sergio Camello,es ESP,FW,Atlético Madrid,17,2001,0.5,1,3,1,33.3,6.00,2.00,0.33,1.00,10.7,0,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches,873619c6
85,José Campaña,es ESP,MF,Levante,25,1993,35.7,4,22,8,36.4,0.62,0.22,0.18,0.50,22.1,2,0,0,1.4,1.4,0.06,+2.6,+2.6,Matches,61220da2
86,Sergio Canales,es ESP,MFFW,Betis,27,1991,29.5,7,63,23,36.5,2.14,0.78,0.08,0.22,22.7,14,2,2,6.7,5.2,0.08,+0.3,-0.2,Matches,a6de370d
87,Ander Capa,es ESP,DF,Athletic Club,26,1992,18.2,0,9,2,22.2,0.49,0.11,0.00,0.00,16.0,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,37f1cf47
88,Marc Cardona,es ESP,FWMF,Eibar,23,1995,6.7,3,17,8,47.1,2.53,1.19,0.18,0.38,11.6,0,0,0,2.8,2.8,0.16,+0.2,+0.2,Matches,b92b456a
89,Daniel Carriço,pt POR,DF,Sevilla,29,1988,23.7,1,8,2,25.0,0.34,0.08,0.13,0.50,10.2,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,e1deea75
90,Guido Carrillo,ar ARG,FW,Leganés,27,1991,22.1,6,58,17,29.3,2.62,0.77,0.09,0.29,10.5,0,1,3,9.0,6.7,0.12,-3.0,-1.7,Matches,8f898ba8
91,Dani Carvajal,es ESP,DF,Real Madrid,26,1992,23.4,1,11,4,36.4,0.47,0.17,0.09,0.25,21.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,4958bfb2
92,William Carvalho,pt POR,MF,Betis,26,1992,26.5,0,10,2,20.0,0.38,0.08,0.00,0.00,17.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,dee86451
93,Casemiro,br BRA,MF,Real Madrid,26,1992,25.7,3,40,9,22.5,1.56,0.35,0.08,0.33,18.4,1,0,0,1.9,1.9,0.05,+1.1,+1.1,Matches,4d224fe8
94,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,17.6,0,5,1,20.0,0.28,0.06,0.00,0.00,15.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,958bba56
95,Catena,es ESP,DF,Rayo Vallecano,23,1994,2.0,0,2,1,50.0,1.02,0.51,0.00,0.00,11.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,274ab13c
96,Santi Cazorla,es ESP,MFFW,Villarreal,33,1984,29.4,4,27,7,25.9,0.92,0.24,0.07,0.29,21.9,4,2,3,4.3,2.0,0.08,-0.3,0.0,Matches,e2e9c250
97,Dani Ceballos,es ESP,MFFW,Real Madrid,21,1996,13.9,3,21,5,23.8,1.51,0.36,0.14,0.60,18.2,1,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches,c0617e2b
98,Charles,br BRA,FW,Eibar,34,1984,19.3,14,59,24,40.7,3.05,1.24,0.14,0.33,14.0,0,6,7,11.6,6.3,0.11,+2.4,+1.7,Matches,c4b8bcf4
99,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e98f3a6a
100,Chema,es ESP,DF,Levante,26,1992,13.9,2,5,2,40.0,0.36,0.14,0.40,1.00,19.5,0,0,0,0.6,0.6,0.11,+1.4,+1.4,Matches,7f203b54
101,Denis Cheryshev,ru RUS,MFFW,Valencia,27,1990,19.0,2,29,7,24.1,1.53,0.37,0.07,0.29,16.4,0,0,0,3.3,3.3,0.11,-1.3,-1.3,Matches,0ac94a23
102,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d957256
103,Samuel Chukwueze,ng NGA,FWMF,Villarreal,19,1999,19.0,5,58,23,39.7,3.06,1.21,0.09,0.22,17.8,0,0,0,5.3,5.3,0.09,-0.3,-0.3,Matches,b8a642fc
104,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,04ac8285
105,Coke,es ESP,DF,Levante,31,1987,20.2,4,13,7,53.8,0.64,0.35,0.31,0.57,12.1,0,0,0,1.3,1.3,0.10,+2.7,+2.7,Matches,6d8f8441
106,Álex Collado,es ESP,FW,Barcelona,19,1999,0.9,0,2,0,0.0,2.12,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,85dace26
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,21,1996,22.6,1,9,2,22.2,0.40,0.09,0.11,0.50,14.9,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,5ae499d0
108,Duje Čop,hr CRO,FW,Valladolid,28,1990,7.6,0,16,6,37.5,2.10,0.79,0.00,0.00,11.5,0,0,0,2.6,2.6,0.16,-2.6,-2.6,Matches,8b0b02c9
109,Francis Coquelin,fr FRA,MF,Valencia,27,1991,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,18.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,a6951bf8
110,Iñigo Córdoba,es ESP,FW,Athletic Club,21,1997,14.7,0,22,8,36.4,1.50,0.55,0.00,0.00,20.0,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,49ea92be
111,Ángel Correa,ar ARG,MFFW,Atlético Madrid,23,1995,21.3,3,32,11,34.4,1.50,0.52,0.09,0.27,21.6,0,0,0,2.2,2.2,0.07,+0.8,+0.8,Matches,01eb744d
112,Diego Costa,es ESP,FW,Atlético Madrid,29,1988,12.4,2,16,10,62.5,1.29,0.81,0.13,0.20,14.1,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,a190d597
113,Jaume Costa,es ESP,DF,Villarreal,30,1988,16.6,1,13,2,15.4,0.78,0.12,0.08,0.50,22.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,808d48f3
114,David Costas,es ESP,DF,Celta Vigo,23,1995,13.0,0,2,2,100.0,0.15,0.15,0.00,0.00,8.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,545e2f01
115,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27.0,0,1,0,0.0,0.04,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,1840e36d
116,Philippe Coutinho,br BRA,FWMF,Barcelona,26,1992,22.4,5,67,31,46.3,2.99,1.38,0.07,0.16,19.2,3,0,0,7.2,7.2,0.11,-2.2,-2.2,Matches,0ef89a37
117,Sebastián Cristóforo,uy URU,MFFW,Getafe,24,1993,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,19.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,3c05c659
118,Cucho,co COL,FW,Huesca,19,1999,23.9,4,79,24,30.4,3.31,1.00,0.03,0.08,15.9,3,2,2,9.9,8.4,0.11,-5.9,-6.4,Matches,71b47ab9
119,Marc Cucurella,es ESP,MFFW,Eibar,20,1998,26.2,1,21,2,9.5,0.80,0.08,0.05,0.50,15.7,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,1daec722
120,Iván Cuéllar,es ESP,GK,Leganés,34,1984,33.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,75751c99
121,Sergi Darder,es ESP,MF,Espanyol,24,1993,30.1,5,55,16,29.1,1.83,0.53,0.09,0.31,22.6,1,0,0,3.5,3.5,0.06,+1.5,+1.5,Matches,070a3904
122,Moisés Delgado,es ESP,DF,Valladolid,24,1994,3.0,0,1,0,0.0,0.33,0.00,0.00,,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,248c409d
123,Ousmane Dembélé,fr FRA,FWMF,Barcelona,21,1997,18.5,8,38,16,42.1,2.06,0.87,0.21,0.50,16.4,0,0,0,3.7,3.7,0.10,+4.3,+4.3,Matches,b19db005
124,Franco Di Santo,ar ARG,FWMF,Rayo Vallecano,29,1989,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,549c6ba7
125,Mouctar Diakhaby,gn GUI,DF,Valencia,21,1996,17.6,2,12,4,33.3,0.68,0.23,0.17,0.50,7.1,0,0,0,1.7,1.7,0.14,+0.3,+0.3,Matches,d2110326
126,Brahim Díaz,es ESP,FW,Real Madrid,18,1999,4.2,1,7,5,71.4,1.68,1.20,0.14,0.20,11.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,407feb71
127,Javier Díaz,es ESP,GK,Sevilla,21,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,17a1299d
128,Adrián Diéguez,es ESP,DF,Huesca,22,1996,8.3,0,1,1,100.0,0.12,0.12,0.00,0.00,5.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,70438d35
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fc70e345
130,Papakouli Diop,sn SEN,MF,Eibar,32,1986,26.1,1,36,6,16.7,1.38,0.23,0.03,0.17,15.7,0,0,0,2.6,2.6,0.07,-1.6,-1.6,Matches,7329018e
131,Djené,tg TOG,DF,Getafe,26,1991,33.1,0,12,1,8.3,0.36,0.03,0.00,0.00,14.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,a4971d84
132,Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ac295d9e
133,Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c9cb972b
134,Cheick Doukouré,ci CIV,MF,Levante,25,1992,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,19.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,e208bcc8
135,Seydou Doumbia,ci CIV,FW,Girona,30,1987,6.0,2,15,9,60.0,2.50,1.50,0.13,0.22,9.7,0,0,0,2.7,2.7,0.21,-0.7,-0.7,Matches,c49afee6
136,Óscar Duarte,cr CRC,DFMF,Espanyol,29,1989,7.3,0,2,1,50.0,0.27,0.14,0.00,0.00,21.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,aa0ac32d
137,Rubén Duarte,es ESP,DF,Alavés,22,1995,30.8,0,22,7,31.8,0.71,0.23,0.00,0.00,26.7,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,1fe0492d
