,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,65d62814
2,Aday,es ESP,DFMF,Girona,30,1987,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,28.4,2,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,5890cef1
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,2,14,7,50.0,1.34,0.67,0.00,0.00,12.1,0,2,2,3.4,1.8,0.13,-1.4,-1.8,Matches,293211e1
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.7,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches,cacadf4f
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,0,2,0,0.0,0.09,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,355c883a
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,17.8,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,18dc8533
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,0,8,2,25.0,0.70,0.18,0.00,0.00,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,f2a68b97
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,06efa9dc
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.50,13.7,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches,4601e194
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,1,15,3,20.0,0.72,0.14,0.07,0.33,16.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,ba71d071
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,3,52,12,23.1,1.57,0.36,0.06,0.25,25.5,11,0,1,3.3,2.5,0.05,-0.3,+0.5,Matches,036bba5f
12,Álex Alegría,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,0,3,2,66.7,1.93,1.29,0.00,0.00,18.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,46166b49
13,Iván Alejo,es ESP,MFFW,Getafe,23,1995,1.6,0,1,0,0.0,0.62,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,3d7e48ce
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,21.2,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches,6c811eb7
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3e1858af
16,Júnior Alonso,py PAR,DFMF,Celta Vigo,25,1993,6.0,0,4,2,50.0,0.67,0.34,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,b18a3023
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8875b8c9
18,Sergio Álvarez,es ESP,MFDF,Eibar,26,1992,11.9,0,2,0,0.0,0.17,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,8.4,0,0,0,1.4,1.0,0.10,-1.4,-1.0,Matches,3ecc11d8
20,Ibrahim Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,0,9,3,33.3,1.06,0.35,0.00,0.00,19.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,9260926b
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,0,7,1,14.3,0.23,0.03,0.00,0.00,7.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,d70a2141
22,Amath,sn SEN,MFFW,Getafe,22,1996,11.1,1,14,6,42.9,1.26,0.54,0.07,0.17,17.5,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches,f3b1d9a2
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,27.0,4,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches,3024e383
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,011d8c56
25,Antoñito,es ESP,DFMF,Valladolid,30,1987,20.7,2,8,2,25.0,0.39,0.10,0.25,1.00,16.1,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Matches,dbe519cf
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,1,29,6,20.7,1.20,0.25,0.03,0.17,26.8,4,0,0,0.9,0.9,0.03,+0.1,+0.1,Matches,3e4f735d
27,Anuar,ma MAR,MF,Valladolid,23,1995,12.0,1,10,4,40.0,0.83,0.33,0.10,0.25,11.8,0,0,0,2.7,2.7,0.27,-1.7,-1.7,Matches,c93231dc
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a230ebcc
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,1,26,9,34.6,0.87,0.30,0.04,0.11,24.5,3,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,58afe001
30,Guilherme Arana,br BRA,MFDF,Sevilla,21,1997,7.0,0,5,2,40.0,0.72,0.29,0.00,0.00,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2b15a82a
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,3,12,7,58.3,0.40,0.23,0.25,0.43,9.8,0,0,0,1.6,1.6,0.13,+1.4,+1.4,Matches,27a013f7
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,1,19,1,5.3,0.88,0.05,0.05,1.00,22.9,3,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches,850c0a0d
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1.00,17.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,fdd60087
34,José Arnaiz,es ESP,DFMF,Leganés,23,1995,1.3,0,1,0,0.0,0.80,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,46e07328
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f0ea33f
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,1,45,17,37.8,2.28,0.86,0.02,0.06,17.8,1,0,0,4.3,4.3,0.10,-3.3,-3.3,Matches,45af8a54
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,25.0,20,64,26,40.6,2.56,1.04,0.23,0.58,16.3,10,5,5,12.9,9.1,0.14,+7.1,+5.9,Matches,7dcf86f6
38,Ezequiel Ávila,ar ARG,FWMF,Huesca,24,1994,22.2,10,89,23,25.8,4.01,1.04,0.10,0.39,19.4,2,1,1,6.6,5.9,0.07,+3.4,+3.1,Matches,253a06b9
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,1,9,4,44.4,0.38,0.17,0.11,0.25,8.0,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches,1f54ed90
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,6,30,14,46.7,2.13,0.99,0.17,0.36,14.4,0,1,1,5.7,5.0,0.17,+0.3,0.0,Matches,09a9e921
