,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1.0,12,24,50.0,369,247,1,1,100.0,6,6,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0,Matches,65d62814
2,Aday,es ESP,DFMF,Girona,30,1987,7.2,230,325,70.8,4875,1724,81,91,89.0,97,126,77.0,46,94,48.9,2,0.8,+1.2,14,8,10,10,12,Matches,5890cef1
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,0.4,-0.4,5,10,3,1,8,Matches,293211e1
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,3,1.8,+1.2,15,55,24,13,70,Matches,cacadf4f
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,673,968,69.5,11708,5682,311,366,85.0,301,410,73.4,56,159,35.2,0,0.4,-0.4,8,63,14,5,92,Matches,355c883a
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,163,185,88.1,2694,771,87,95,91.6,65,73,89.0,11,17,64.7,0,0.0,0.0,1,16,3,1,11,Matches,18dc8533
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,346,442,78.3,5601,2530,184,210,87.6,124,166,74.7,31,47,66.0,0,0.3,-0.3,3,20,5,0,25,Matches,f2a68b97
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2.0,70,89,78.7,1135,425,41,44,93.2,24,30,80.0,4,13,30.8,1,0.1,+0.9,2,6,1,1,5,Matches,06efa9dc
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,2305,2686,85.8,36567,13309,1283,1393,92.1,856,986,86.8,145,233,62.2,8,5.2,+2.8,44,141,60,18,213,Matches,4601e194
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,698,843,82.8,16867,5451,147,165,89.1,401,434,92.4,149,235,63.4,1,0.3,+0.7,4,37,6,0,40,Matches,ba71d071
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,1435,1748,82.1,30948,7169,483,540,89.4,655,724,90.5,278,439,63.3,2,1.3,+0.7,20,170,2,0,107,Matches,036bba5f
12,Álex Alegría,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,24,38,63.2,367,75,16,22,72.7,5,8,62.5,2,4,50.0,0,0.3,-0.3,3,2,1,0,3,Matches,46166b49
13,Iván Alejo,es ESP,MFFW,Getafe,23,1995,1.6,16,41,39.0,329,108,6,14,42.9,5,13,38.5,4,12,33.3,0,0.1,-0.1,1,2,2,1,2,Matches,3d7e48ce
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,540,587,92.0,9394,1852,260,270,96.3,221,236,93.6,53,67,79.1,0,0.7,-0.7,9,58,5,0,39,Matches,6c811eb7
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,4,7,57.1,45,34,4,4,100.0,0,1,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,Matches,3e1858af
16,Júnior Alonso,py PAR,DFMF,Celta Vigo,25,1993,6.0,237,319,74.3,4324,1897,97,115,84.3,111,140,79.3,26,56,46.4,0,0.2,-0.2,5,20,4,3,23,Matches,b18a3023
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,293,444,66.0,10207,7465,35,35,100.0,133,136,97.8,125,272,46.0,0,0.0,0.0,0,5,0,0,0,Matches,8875b8c9
18,Sergio Álvarez,es ESP,MFDF,Eibar,26,1992,11.9,404,496,81.5,8804,1867,121,141,85.8,198,226,87.6,83,120,69.2,0,0.0,0.0,2,35,0,0,24,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,1030,1251,82.3,22803,8395,295,326,90.5,522,578,90.3,209,336,62.2,0,0.0,0.0,1,79,5,1,66,Matches,3ecc11d8
20,Ibrahim Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,313,365,85.8,5925,1258,131,146,89.7,135,154,87.7,42,52,80.8,0,0.1,-0.1,4,17,2,0,23,Matches,9260926b
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,1081,1289,83.9,23563,8418,330,376,87.8,532,585,90.9,210,302,69.5,0,0.1,-0.1,4,71,0,0,83,Matches,d70a2141
22,Amath,sn SEN,MFFW,Getafe,22,1996,11.1,151,217,69.6,2506,840,88,109,80.7,47,67,70.1,16,31,51.6,2,0.7,+1.3,9,13,10,4,23,Matches,f3b1d9a2
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,1403,2147,65.3,32444,15589,414,477,86.8,646,846,76.4,332,759,43.7,1,3.6,-2.6,53,181,76,30,185,Matches,3024e383
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,292,362,80.7,9462,5487,31,31,100.0,123,124,99.2,138,207,66.7,0,0.0,0.0,0,0,0,0,0,Matches,011d8c56
25,Antoñito,es ESP,DFMF,Valladolid,30,1987,20.7,671,902,74.4,11242,5016,334,368,90.8,268,345,77.7,57,149,38.3,1,1.9,-0.9,23,50,25,13,75,Matches,dbe519cf
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,713,1178,60.5,15239,8474,251,312,80.4,314,453,69.3,136,361,37.7,3,2.8,+0.2,29,77,34,17,88,Matches,3e4f735d
27,Anuar,ma MAR,MF,Valladolid,23,1995,12.0,306,401,76.3,5423,1024,143,177,80.8,124,155,80.0,32,51,62.7,0,0.1,-0.1,3,16,2,1,15,Matches,c93231dc
