,Name,Val
340,Luca Sangalli,73
341,,77
342,,74
343,Lucas Vazquez,81
344,,65
345,,70
346,,68
347,Antonio Luna,73
348,Mauro Arambarri,77
349,,75
350,Martin Braithwaite,75
351,,80
352,Mouctar Diakhaby,77
353,Marko Dmitrović,80
354,Hacen,67
355,,63
356,Maxi Gomez,80
357,,66
358,Mathias Olivera,74
359,,68
360,,68
361,,71
362,,77
363,Moussa Wague,71
364,Wakaso,75
365,Marc-Andre ter Stegen,90
366,,78
367,,70
368,Manu Garcia,78
369,Manu Morlanes,72
370,Manu Trigueros,80
371,Jesus Vallejo,75
372,Marc Cardona,72
373,,73
374,Alfonso Pedraza,69
375,Marc Roca,79
376,Marcelo,85
377,Marco Asensio,83
378,Marcos Llorente,80
379,Mariano,79
380,Mario Gaspar,79
381,Mario Hermoso,80
382,Markel Bergara,76
383,,75
384,,69
385,Jaime Mata,80
386,Alvaro Medran,75
387,Oscar Melendo,80
388,Gonzalo Melero,75
389,Mikel Merino,79
390,Miguel,66
391,Miguel Mari,64
392,Mikel San Jose,78
393,,67
394,,67
395,Moi Gomez,73
396,Victor Mollejo,65
397,,65
398,Francisco Montero,68
399,,74
400,Jose Luis Morales,82
401,Alvaro Morata,83
402,,61
403,Miguel Angel Moya,80
404,Iker Muniain,82
405, Munir El Haddadi ,79
406,Michel,74
407,Nestor Araujo,76
408,,60
409,,84
410,,77
411,Nikola Kalinić,79
412,Anthony Lozano,68
413,Nemanja Maksimović,78
414,Nikola Vukčević,75
415,,77
416,Nacho ,82
417,,72
418,Naldo,78
419,,68
420,Neto,85
421,,62
422,Nolito,78
423,Nelson Semedo,82
424,Ousmane Dembele,84
425,,76
426,,62
427,,66
428,Okay Yokuşlu,78
429,,62
430,Alvaro Odriozola,80
431,Oier Olazabal,74
432,,73
433,,61
434,,67
435,,63
436,Mikel Oyarzabal,82
437,,73
438,,63
439,Pablo de Blasis,74
440,Papakouli Diop,74
441,,78
442,,68
443,Pablo Piatti,78
444,Pione Sisto,77
445,,82
446,Daniel Parejo,86
447,,73
448,,64
449,Paulo Oliveira,76
450,,76
451,Pedro Leon,80
452,Pedro Porro,73
453,,68
454,,63
455,,63
456,Pere Pons,76
457,,64
458,,68
459,Gerard Pique,88
460,,62
461,Francisco Portillo,76
462,Portu,80
463,Sergio Postigo,75
464,Javi Puado,73
465,,73
466,,69
467,,69
468,,75
469,,72
470,Ramiro Funes Mori,77
471,Javi Guerra,66
472,Robin Le Normand,69
473,Roberto Rosales,76
474,Raphaël Varane,85
475,,70
476,Rafinha,81
477,,73
478,Raul Garcia,73
479,,83
480,Raul Garcia,80
481,Raul Navas,76
482,,58
483,,59
484,Recio,75
485,Sergio Reguilon,77
486,,77
487,,63
488,Riqui Puig,71
489,Rober  ,69
490,Robert Ibañez,72
491,Robert Mazaň,66
492,Roberto Lopez,63
493,,73
494,Ruben Rochina,76
495,Rodri,71
496,Rodrigo Tarin,70
497,Rodrigo,83
498,Rodrigo Ely,75
499,,76
500,Roger Marti,77
501,,80
502,Roque Mesa,79
503,,70
504,Ruben Alcaraz,79
505,Ruben Blanco,76
506,Ruben Duarte,76
507,,74
508,,67
509,Ruben Pardo,74
510,Ruben Peña,79
511,Ruben Perez,76
512,Ruben Sobrino,77
513,,60
514,,67
515,,71
516,Ruben Vezo,78
517,Santiago Arias,79
518,,64
519,Samuel Chukwueze,76
520,,74
521,Santiago Caseres,74
522,Simon Kjær,82
523,Stanislav Lobotka,79
524,Stiven Plaza,69
525,Sanjin Prcić,74
526,Stefan Savić,82
527,Samuel Umtiti,86
528,,80
529,Sabin Merino,74
530,Victor Ruiz,68
531,,75
532,,65
533,,69
534,,75
535,Santi Cazorla,82
536,Santi Mina,80
537,Saul Ñiguez,72
538,,85
539,Sergi Darder,80
540,Sergi Enrich,80
541,Sergi Guardiola,77
542,Sergi Gomez,80
543,Sergi Roberto,82
544,  Sergio Alvarez,75
545,Sergio Asenjo,82
546,Sergio Busquets,89
547,Sergio Camello,65
548,,72
549,Sergio Leon,77
550,,63
551,,66
552,Sergio Ramos,89
553,Mikel Rico,77
554,Sergio Alvarez,75
555,,69
556,Sidnei,80
557,,63
558,,62
559,Antonio Sivera,73
560,,76
561,Juan Soriano,69
562,Thibaut Courtois,88
563,Takashi Inui,79
564,Toni Kroos,88
565,,70
566,Thomas Lemar,83
567,Thomas Partey,82
568,Tomaš Vaclik,81
569,,64
570,Tomas Pina Isla,77
571,Toni Moya,64
572,Toni Villa,76
573, Toño,76
574,,70
575,Unai Lopez,74
576,Unai Nuñez,76
577,Unai Simon,73
578,,63
579,,60
580,Vasyl Kravets,70
581,,74
582,Mikel Vesga,73
583,,67
584,Victor Sanchez,77
585,,70
586,,79
587,Vitolo,79
588,,66
589,,73
590,,63
591,,64
592,Wilfrid Kaptoum,70
593,Waldo Rubio,74
594,William Carvalho,83
595,Willian Jose,82
596,Wu Lei,79
597,Ximo Navarro,75
598,,68
599,Youssef En-Nesyri,76
600,,69
601,,64
602,,68
603,,68
604,Yeray Alvarez,80
605,Yoel,74
606,Yuri Berchiche,79
607,Zouhair Feddal,78
608,,64
609,Joseba Zaldua,75
610,Igor Zubeldia,76
611,,67
612,Martin Zubimendi,57
613,,63
614,Alex Collado,65
615,,63
616,Michael Santos,61
617,,65
618,,73
619,,76
620,,73
621, Angel Rodriguez,79
622,,62
623,,81
624,,78
625,Oscar Rodriguez Arnaiz,73
626,Oscar Plano,75
